,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000016108,RCGNTQQ,TF317652,NA,NOG291948,HOG000231992,HBG057281,NA,Q96K21
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9DAZ9,ANCHR_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q499R6,Q499R6_RAT,7.0,,1,1,1,,1,1,1,,1
Q96K21,ANCHR_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q96K21,ANCHR_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q2HJ64,Q2HJ64_BOVIN,6.0,,1,1,1,,1,1,1,,
Q4QQ70,Q4QQ70_DROME,4.0,,1,1,,,1,,,,1
Q4QQ70,Q4QQ70_DROME,4.0,,1,1,,,1,,,,1
E1BUQ7,E1BUQ7_CHICK,4.0,,1,1,1,,,,,,1
G1NF45,G1NF45_MELGA,3.0,,1,1,1,,,,,,
G3QCV4,G3QCV4_GORGO,3.0,,1,1,1,,,,,,
H2U7W7,H2U7W7_TAKRU,3.0,,1,1,1,,,,,,
H2Q970,H2Q970_PANTR,3.0,,1,1,1,,,,,,
H2NMV4,H2NMV4_PONAB,3.0,,1,1,1,,,,,,
E2RES8,E2RES8_CANFA,3.0,,1,1,1,,,,,,
H2MRH4,H2MRH4_ORYLA,3.0,,1,1,1,,,,,,
H0ZKG9,H0ZKG9_TAEGU,3.0,,1,1,1,,,,,,
K7G4F6,K7G4F6_PELSI,3.0,,1,1,1,,,,,,
H0WGL8,H0WGL8_OTOGA,3.0,,1,1,1,,,,,,
H0VQA1,H0VQA1_CAVPO,3.0,,1,1,1,,,,,,
G3WTF5,G3WTF5_SARHA,3.0,,1,1,1,,,,,,
G3TDS0,G3TDS0_LOXAF,3.0,,1,1,1,,,,,,
B1H2R6,B1H2R6_XENTR,3.0,,,,,,1,1,1,,
F1QWA6,F1QWA6_DANRE,3.0,,1,1,1,,,,,,
G1Q682,G1Q682_MYOLU,3.0,,1,1,1,,,,,,
F6SZ52,F6SZ52_MONDO,3.0,,1,1,1,,,,,,
Q4KL52,Q4KL52_MOUSE,3.0,,1,,,,,1,1,,
H3B8G0,H3B8G0_LATCH,3.0,,1,1,1,,,,,,
G3NSX9,G3NSX9_GASAC,3.0,,1,1,1,,,,,,
G1SP94,G1SP94_RABIT,3.0,,1,1,1,,,,,,
Q6DH17,Q6DH17_DANRE,3.0,,,,,,,1,1,,1
F1SST2,F1SST2_PIG,3.0,,1,1,1,,,,,,
G1MEU1,G1MEU1_AILME,3.0,,1,1,1,,,,,,
F7BGL1,F7BGL1_HORSE,3.0,,1,1,1,,,,,,
F7CZI6,F7CZI6_ORNAN,2.0,,1,,1,,,,,,
