,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11422,ENSGT00760000119228,QHWPPLP,TF106436,EOG7GQXTT,COG2940,HOG000168216,HBG055596,NA,Q9UPS6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UPS6,SET1B_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UPS6,SET1B_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8CFT2,SET1B_MOUSE,7.0,1,1,1,1,1,1,,1,,
Q5F3P8,SET1B_CHICK,5.0,1,,,,,1,1,1,,1
Q1LY77,SE1BA_DANRE,5.0,1,,,,,1,1,1,,1
O15047,SET1A_HUMAN,5.0,1,1,,1,1,1,,,,
F7DJA2,F7DJA2_HORSE,4.0,,1,1,1,1,,,,,
G3WAZ7,G3WAZ7_SARHA,4.0,1,1,,1,1,,,,,
G1MZ24,G1MZ24_MELGA,4.0,,1,1,1,1,,,,,
F1Q6L6,F1Q6L6_DANRE,4.0,,1,1,1,1,,,,,
H0Z6S1,H0Z6S1_TAEGU,4.0,,1,1,1,1,,,,,
H3BYU8,H3BYU8_TETNG,4.0,,1,1,1,1,,,,,
F6XR34,F6XR34_MONDO,4.0,,1,1,1,1,,,,,
G3PXW7,G3PXW7_GASAC,4.0,,1,1,1,1,,,,,
Q08D57,SET1B_XENTR,4.0,1,,,,,1,1,1,,
M3XLB2,M3XLB2_LATCH,4.0,1,1,1,,1,,,,,
G3TSW5,G3TSW5_LOXAF,4.0,,1,1,1,1,,,,,
F1RNR2,F1RNR2_PIG,4.0,,1,1,1,1,,,,,
H2Q734,H2Q734_PANTR,4.0,,1,1,1,1,,,,,
F7AAQ2,F7AAQ2_XENTR,4.0,,1,1,1,1,,,,,
G1M7D2,G1M7D2_AILME,4.0,,1,1,1,1,,,,,
H2LWU9,H2LWU9_ORYLA,4.0,,1,1,1,1,,,,,
H2QAZ0,H2QAZ0_PANTR,4.0,1,1,,1,1,,,,,
F1NKV4,F1NKV4_CHICK,4.0,,1,1,1,1,,,,,
H2TH04,H2TH04_TAKRU,4.0,,1,1,1,1,,,,,
F1N6Y5,F1N6Y5_BOVIN,4.0,,1,1,1,1,,,,,
H0UV65,H0UV65_CAVPO,4.0,,1,1,1,1,,,,,
F1LWJ1,F1LWJ1_RAT,4.0,,1,1,1,1,,,,,
E2R0Z5,E2R0Z5_CANFA,4.0,,1,1,1,1,,,,,
E9QGQ0,E9QGQ0_DANRE,4.0,1,1,,1,1,,,,,
H0XKT2,H0XKT2_OTOGA,4.0,,1,1,1,1,,,,,
G1QKN7,G1QKN7_NOMLE,4.0,,1,1,1,1,,,,,
K7GCM0,K7GCM0_PELSI,4.0,,1,1,1,1,,,,,
G3RIZ6,G3RIZ6_GORGO,3.0,,1,,1,1,,,,,
F6XG79,F6XG79_MONDO,3.0,,1,,1,1,,,,,
G3QV10,G3QV10_GORGO,3.0,,1,1,1,,,,,,
G1S1U7,G1S1U7_NOMLE,3.0,,1,,1,1,,,,,
G1TE93,G1TE93_RABIT,3.0,,1,1,1,,,,,,
F6S6D4,F6S6D4_ORNAN,3.0,,1,,1,1,,,,,
H3A4E9,H3A4E9_LATCH,3.0,,1,,1,1,,,,,
I3MJ49,I3MJ49_SPETR,3.0,,1,,1,1,,,,,
G1U5T6,G1U5T6_RABIT,3.0,,1,,1,1,,,,,
F6TBI5,F6TBI5_MACMU,3.0,,1,,1,1,,,,,
G1Q6C8,G1Q6C8_MYOLU,3.0,,1,,1,1,,,,,
I3M608,I3M608_SPETR,3.0,,1,,1,1,,,,,
Q18221,SET2_CAEEL,3.0,1,1,,,,1,,,,
H3DBT3,H3DBT3_TETNG,3.0,,1,,1,1,,,,,
H0XRP1,H0XRP1_OTOGA,3.0,,1,,1,1,,,,,
H0XPN3,H0XPN3_OTOGA,3.0,,1,,1,1,,,,,
E1BLX2,E1BLX2_BOVIN,3.0,,1,,1,1,,,,,
E9PYH6,E9PYH6_MOUSE,3.0,1,1,,1,,,,,,
H0VU90,H0VU90_CAVPO,3.0,,1,,1,1,,,,,
H2LA50,H2LA50_ORYLA,3.0,,1,,1,1,,,,,
G5E7G5,G5E7G5_LOXAF,3.0,,1,,1,1,,,,,
P38827,SET1_YEAST,3.0,1,1,,,,1,,,,
H9GCU8,H9GCU8_ANOCA,3.0,,1,,1,1,,,,,
H9GH97,H9GH97_ANOCA,3.0,,1,,1,1,,,,,
G3VPZ2,G3VPZ2_SARHA,3.0,,1,,1,1,,,,,
F1QJJ4,F1QJJ4_DANRE,3.0,,1,,1,1,,,,,
H2NIY3,H2NIY3_PONAB,3.0,,1,,1,1,,,,,
F6XS76,F6XS76_XENTR,3.0,,1,,1,1,,,,,
F1RG84,F1RG84_PIG,3.0,,1,,1,1,,,,,
H2NQQ9,H2NQQ9_PONAB,3.0,,1,,1,1,,,,,
G3PKG0,G3PKG0_GASAC,3.0,,1,,1,1,,,,,
K7FI20,K7FI20_PELSI,3.0,,1,,1,1,,,,,
M3WID5,M3WID5_FELCA,3.0,,1,1,,1,,,,,
M3XSI2,M3XSI2_MUSPF,3.0,,1,1,,1,,,,,
F7IJW4,F7IJW4_CALJA,3.0,,1,1,1,,,,,,
F7A1T9,F7A1T9_ORNAN,3.0,,1,,1,1,,,,,
F7E7X9,F7E7X9_MACMU,3.0,,1,,1,1,,,,,
G1LLY8,G1LLY8_AILME,3.0,,1,,1,1,,,,,
F7DRS8,F7DRS8_HORSE,3.0,,1,,1,1,,,,,
Q8IRW8,TRR_DROME,2.0,,1,,,,1,,,,
B4LVY5,B4LVY5_DROVI,2.0,1,,,,,1,,,,
K7FBM2,K7FBM2_PELSI,2.0,,1,,,1,,,,,
W5LN62,W5LN62_ASTMX,2.0,,1,1,,,,,,,
D7PF91,D7PF91_GADMO,2.0,,,,1,1,,,,,
F7E9G5,F7E9G5_ORNAN,2.0,,1,,,1,,,,,
H2MCF8,H2MCF8_ORYLA,2.0,,1,,1,,,,,,
Q4PB36,SET1_USTMA,2.0,1,,,,,1,,,,
B9W6P7,B9W6P7_CANDC,2.0,1,,,,,1,,,,
F7DNU6,F7DNU6_MACMU,2.0,,1,,,1,,,,,
K7FBN8,K7FBN8_PELSI,2.0,,1,,1,,,,,,
I3JU36,I3JU36_ORENI,2.0,,,,1,1,,,,,
Q03164,KMT2A_HUMAN,2.0,,1,,,,1,,,,
I3K8M8,I3K8M8_ORENI,2.0,,,,1,1,,,,,
Q54HS3,SET1_DICDI,2.0,1,,,,,1,,,,
A7ECN1,A7ECN1_SCLS1,2.0,1,,,,,1,,,,
B5DFE2,B5DFE2_RAT,2.0,,1,,,,1,,,,
A7E2Z2,EZH1_BOVIN,2.0,,1,,,,1,,,,
Q8NEZ4,KMT2C_HUMAN,2.0,,1,,,,1,,,,
A9V7A2,A9V7A2_MONBE,2.0,1,,,,,1,,,,
B0X1T0,B0X1T0_CULQU,2.0,1,,,,,1,,,,
Q7QKB2,Q7QKB2_ANOGA,2.0,1,,,,,1,,,,
B4JYT4,B4JYT4_DROGR,2.0,1,,,,,1,,,,
P55200,KMT2A_MOUSE,2.0,,1,,,,1,,,,
Q6CIT4,SET1_KLULA,2.0,1,,,,,1,,,,
Q16RX0,Q16RX0_AEDAE,2.0,1,,,,,1,,,,
E3VWL0,E3VWL0_GADMO,2.0,,,,1,1,,,,,
Q5LJZ2,SET1_DROME,2.0,1,1,,,,,,,,
Q15910,EZH2_HUMAN,2.0,,1,,,,1,,,,
C5PE93,C5PE93_COCP7,2.0,1,,,,,1,,,,
Q61188,EZH2_MOUSE,2.0,,1,,,,1,,,,
Q66J90,SET1B_XENLA,2.0,1,,,,,,,1,,
Q6BKL7,SET1_DEBHA,2.0,1,,,,,1,,,,
W5PTB0,W5PTB0_SHEEP,2.0,,1,1,,,,,,,
M3VYS8,M3VYS8_FELCA,2.0,,1,,,1,,,,,
Q6CEK8,SET1_YARLI,2.0,1,,,,,1,,,,
F7HS40,F7HS40_CALJA,2.0,1,1,,,,,,,,
A7TGI1,A7TGI1_VANPO,2.0,1,,,,,1,,,,
Q5B0Y5,SET1_EMENI,2.0,1,,,,,1,,,,
F7HVY8,F7HVY8_CALJA,2.0,,1,,1,,,,,,
F7HY97,F7HY97_CALJA,2.0,,1,,,1,,,,,
F1LPS5,F1LPS5_RAT,2.0,,1,,,1,,,,,
Q6PDK2,KMT2D_MOUSE,2.0,,1,,,,1,,,,
C3ZL20,C3ZL20_BRAFL,2.0,1,,,,,1,,,,
B7Q092,B7Q092_IXOSC,2.0,1,,,,,1,,,,
Q5ABG1,SET1_CANAL,2.0,1,,,,,1,,,,
Q75D88,SET1_ASHGO,2.0,1,,,,,1,,,,
W5MD08,W5MD08_LEPOC,2.0,,1,1,,,,,,,
F7IM74,F7IM74_CALJA,2.0,,1,,,1,,,,,
P70351,EZH1_MOUSE,2.0,,1,,,,1,,,,
B3SAP0,B3SAP0_TRIAD,2.0,1,,,,,1,,,,
A5XCC1,A5XCC1_DANRE,2.0,,,,,,1,1,,,
M4AI44,M4AI44_XIPMA,2.0,,1,,,1,,,,,
U3IC20,U3IC20_ANAPL,2.0,,1,1,,,,,,,
B4NIW7,B4NIW7_DROWI,2.0,1,,,,,1,,,,
H2TCW8,H2TCW8_TAKRU,2.0,,1,,1,,,,,,
G3PDN2,G3PDN2_GASAC,2.0,,1,,1,,,,,,
B3MTL2,B3MTL2_DROAN,2.0,1,,,,,1,,,,
C4R217,C4R217_PICPG,2.0,1,,,,,1,,,,
D3YUD4,D3YUD4_MOUSE,2.0,,1,,,1,,,,,
O17514,MES2_CAEEL,2.0,,1,,,,1,,,,
B0W071,B0W071_CULQU,2.0,,,,,1,1,,,,
G1TL40,G1TL40_RABIT,2.0,,1,,,1,,,,,
C5DZQ8,C5DZQ8_ZYGRC,2.0,1,,,,,1,,,,
Q9Y7R4,SET1_SCHPO,2.0,1,,,,,1,,,,
H2SM04,H2SM04_TAKRU,2.0,,1,,1,,,,,,
F6UMN8,F6UMN8_CANFA,2.0,,1,,1,,,,,,
B0WRF9,B0WRF9_CULQU,2.0,,,,,1,1,,,,
Q9UMN6,KMT2B_HUMAN,2.0,,1,,,,1,,,,
A2EXA5,A2EXA5_TRIVA,2.0,1,,,,,1,,,,
B6H5R8,B6H5R8_PENCW,2.0,1,,,,,1,,,,
H2TCW7,H2TCW7_TAKRU,2.0,,1,,,1,,,,,
B4PT20,B4PT20_DROYA,2.0,1,,,,,1,,,,
B8C597,B8C597_THAPS,2.0,1,,,,,1,,,,
M4A0Q2,M4A0Q2_XIPMA,2.0,,1,,,1,,,,,
M3YKB9,M3YKB9_MUSPF,2.0,,1,,,1,,,,,
G3RXY9,G3RXY9_GORGO,2.0,,1,,,1,,,,,
