,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013820,SWAYRDS,TF335788,EOG7PS1H6,NOG44660,HOG000112394,HBG067189,NA,Q96J88
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5BK43,ESIP1_RAT,8.0,,1,1,1,1,1,1,1,,1
Q96J88,ESIP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96J88,ESIP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8VDI1,ESIP1_MOUSE,6.0,,,,1,1,1,1,1,,1
Q8VDI1,ESIP1_MOUSE,6.0,,,,1,1,1,1,1,,1
F1MI76,F1MI76_BOVIN,4.0,,1,1,1,1,,,,,
H0XBK6,H0XBK6_OTOGA,4.0,,1,1,1,1,,,,,
I3M6D3,I3M6D3_SPETR,4.0,,1,1,1,1,,,,,
G3THQ4,G3THQ4_LOXAF,4.0,,1,1,1,1,,,,,
G3QEU2,G3QEU2_GORGO,4.0,,1,1,1,1,,,,,
H2NJR9,H2NJR9_PONAB,4.0,,1,1,1,1,,,,,
H2RDR8,H2RDR8_PANTR,4.0,,1,1,1,1,,,,,
F6XEU3,F6XEU3_HORSE,4.0,,1,1,1,1,,,,,
G1PSL8,G1PSL8_MYOLU,3.0,,1,,1,1,,,,,
G1QMC5,G1QMC5_NOMLE,3.0,,1,,1,1,,,,,
G1SDW9,G1SDW9_RABIT,3.0,,1,,1,1,,,,,
G3P3E8,G3P3E8_GASAC,3.0,,1,,1,1,,,,,
G1NQ27,G1NQ27_MELGA,3.0,,1,,1,1,,,,,
G1MCY4,G1MCY4_AILME,3.0,,1,,1,1,,,,,
F1QAT8,F1QAT8_DANRE,3.0,,1,,1,1,,,,,
F7E011,F7E011_CALJA,3.0,,1,1,1,,,,,,
F6TNR0,F6TNR0_MACMU,3.0,,1,1,1,,,,,,
H0ZQ44,H0ZQ44_TAEGU,3.0,,1,,1,1,,,,,
G3WB72,G3WB72_SARHA,3.0,,1,,1,1,,,,,
H3A339,H3A339_LATCH,3.0,,1,,1,1,,,,,
F6QZ49,F6QZ49_MONDO,3.0,,1,,1,1,,,,,
E1BXD7,E1BXD7_CHICK,3.0,,1,,1,1,,,,,
J9NUN9,J9NUN9_CANFA,3.0,,1,,1,1,,,,,
M3XRJ2,M3XRJ2_MUSPF,3.0,,1,1,,1,,,,,
Q3ZBR3,Q3ZBR3_BOVIN,3.0,,,,,,1,1,1,,
F7DJL4,F7DJL4_CALJA,2.0,,1,,,1,,,,,
A7S8J5,A7S8J5_NEMVE,2.0,,,,,1,1,,,,
G1KA30,G1KA30_ANOCA,2.0,,1,,,1,,,,,
Q9D3Q7,Q9D3Q7_MOUSE,2.0,,1,,,,,,1,,
F6TNQ3,F6TNQ3_MACMU,2.0,,1,,,1,,,,,
M3ZYH8,M3ZYH8_XIPMA,2.0,,1,,,1,,,,,
M3WVJ9,M3WVJ9_FELCA,2.0,,1,,,1,,,,,
K7FI88,K7FI88_PELSI,2.0,,1,,,1,,,,,
A7S8K0,A7S8K0_NEMVE,1.0,,,,,1,,,,,
F5H4H1,F5H4H1_HUMAN,1.0,,1,,,,,,,,
F5H799,F5H799_HUMAN,1.0,,1,,,,,,,,
A7EZP2,A7EZP2_SCLS1,1.0,,,,,,,,,,1
A0A096MS82,A0A096MS82_PAPAN,1.0,,1,,,,,,,,
C3ZFB3,C3ZFB3_BRAFL,1.0,,,,,,1,,,,
W5PC05,W5PC05_SHEEP,1.0,,1,,,,,,,,
F7A1S7,F7A1S7_MACMU,1.0,,1,,,,,,,,
W5MEV5,W5MEV5_LEPOC,1.0,,1,,,,,,,,
G3X8H0,G3X8H0_BOVIN,1.0,,1,,,,,,,,
H3A340,H3A340_LATCH,1.0,,1,,,,,,,,
H3A341,H3A341_LATCH,1.0,,1,,,,,,,,
Q95XK1,Q95XK1_CAEEL,1.0,,,,,,,,,,1
U3ICG5,U3ICG5_ANAPL,1.0,,1,,,,,,,,
U3K0B0,U3K0B0_FICAL,1.0,,1,,,,,,,,
W5LD54,W5LD54_ASTMX,1.0,,1,,,,,,,,
W5MET0,W5MET0_LEPOC,1.0,,1,,,,,,,,
A0A096M8D8,A0A096M8D8_POEFO,1.0,,1,,,,,,,,
