,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K08615,ENSGT00760000118888,ICGRLQC,TF314733,EOG7FFMR2,NOG276852,HOG000230883,HBG006978,NA,Q9UKF2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UKF2,ADA30_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q811Q3,Q811Q3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
D3ZIP6,D3ZIP6_RAT,6.0,1,1,1,1,1,,,,,1
E2R1Z9,E2R1Z9_CANFA,5.0,1,1,1,1,1,,,,,
G3QN27,G3QN27_GORGO,5.0,1,1,1,1,1,,,,,
B8XA31,B8XA31_CHICK,4.0,,1,,1,,,1,1,,
Q923W9,ADA33_MOUSE,4.0,,1,,1,,,1,1,,
G1TWM0,G1TWM0_RABIT,4.0,,1,1,1,1,,,,,
Q6IMH6,Q6IMH6_MOUSE,4.0,,1,,1,,,1,1,,
Q7M766,Q7M766_MOUSE,4.0,,1,,1,,,1,1,,
O43184,ADA12_HUMAN,4.0,,1,,1,,,1,1,,
A2RSG8,A2RSG8_MOUSE,4.0,,1,,1,,,1,1,,
H2RFK6,H2RFK6_PANTR,4.0,,1,1,1,1,,,,,
Q61072,ADAM9_MOUSE,4.0,,1,,1,,,1,1,,
Q7M762,Q7M762_MOUSE,4.0,,1,,1,,,1,1,,
A3KQJ0,A3KQJ0_DANRE,4.0,,1,,1,,,1,1,,
O35227,ADAM7_MOUSE,4.0,,1,,1,,,1,1,,
G3WTJ3,G3WTJ3_SARHA,4.0,,1,1,1,1,,,,,
Q9H013,ADA19_HUMAN,4.0,,1,,1,,,1,1,,
H0XQL7,H0XQL7_OTOGA,4.0,,1,1,1,1,,,,,
G1MLT2,G1MLT2_AILME,4.0,,1,1,1,1,,,,,
I3MUS2,I3MUS2_SPETR,4.0,,1,1,1,1,,,,,
Q61824,ADA12_MOUSE,4.0,,1,,1,,,1,1,,
Q9BZ11,ADA33_HUMAN,4.0,,1,,1,,,1,1,,
F6VIC4,F6VIC4_MACMU,4.0,,1,1,1,1,,,,,
F1SB05,F1SB05_PIG,4.0,,1,1,1,1,,,,,
F7FQP8,F7FQP8_MONDO,4.0,,1,1,1,1,,,,,
Q7ZYZ9,Q7ZYZ9_DANRE,4.0,,1,,1,,,1,1,,
G3MZT7,G3MZT7_BOVIN,4.0,,1,1,1,1,,,,,
Q9R158,AD26A_MOUSE,4.0,,1,,1,,,1,1,,
Q13443,ADAM9_HUMAN,4.0,,1,,1,,,1,1,,
Q9R160,ADA24_MOUSE,4.0,,1,,1,,,1,1,,
Q9JLN6,ADA28_MOUSE,4.0,,1,,1,,,1,1,,
Q9UKF5,ADA29_HUMAN,4.0,,1,,1,,,1,1,,
Q9UKJ8,ADA21_HUMAN,4.0,,1,,1,,,1,1,,
Q9UKQ2,ADA28_HUMAN,4.0,,1,,1,,,1,1,,
G1QC05,G1QC05_MYOLU,4.0,,1,1,1,1,,,,,
G3UK32,G3UK32_LOXAF,4.0,,1,1,1,1,,,,,
Q9JI76,ADA21_MOUSE,4.0,,1,,1,,,1,1,,
O43506,ADA20_HUMAN,3.0,,,,1,,,1,1,,
G3WRI6,G3WRI6_SARHA,3.0,,1,,1,1,,,,,
Q7M763,Q7M763_MOUSE,3.0,,1,,1,,,,1,,
Q9R159,ADA25_MOUSE,3.0,,,,1,,,1,1,,
O35674,ADA19_MOUSE,3.0,,,,1,,,1,1,,
B2RSY5,B2RSY5_MOUSE,3.0,,1,,1,,,1,,,
G3U663,G3U663_LOXAF,3.0,,1,,1,1,,,,,
Q3B7V9,Q3B7V9_RAT,3.0,,1,,1,,,1,,,
O88839,ADA15_MOUSE,3.0,,1,,1,,,,1,,
Q9QYV0,ADA15_RAT,3.0,,1,,1,,,,1,,
F7FHJ5,F7FHJ5_ORNAN,3.0,,1,,1,1,,,,,
Q3U1J7,Q3U1J7_MOUSE,3.0,,1,,,,,1,1,,
A2A2L3,A2A2L3_HUMAN,3.0,,1,,,,,1,1,,
A0AVL1,A0AVL1_HUMAN,3.0,,1,,,,,1,1,,
Q60813,ADM1A_MOUSE,3.0,,1,,1,,,,1,,
P78325,ADAM8_HUMAN,3.0,,1,,1,,,,1,,
F7D0N0,F7D0N0_MONDO,3.0,,1,,1,1,,,,,
M3Z6P5,M3Z6P5_MUSPF,3.0,,1,1,,1,,,,,
F1MVP4,F1MVP4_BOVIN,3.0,,1,,1,1,,,,,
Q05910,ADAM8_MOUSE,3.0,,,,1,,,1,1,,
F6YPU4,F6YPU4_ORNAN,3.0,,1,,1,1,,,,,
J9NWS7,J9NWS7_CANFA,3.0,,1,,1,1,,,,,
G3MY93,G3MY93_BOVIN,3.0,,1,,1,1,,,,,
F6RQX8,F6RQX8_ORNAN,3.0,,1,,1,1,,,,,
Q8R534,ADM1B_MOUSE,3.0,,1,,1,,,,1,,
Q08AM2,Q08AM2_HUMAN,3.0,,1,,,,,1,1,,
Q13444,ADA15_HUMAN,3.0,,1,,1,,,,1,,
Q8CGQ2,Q8CGQ2_MOUSE,3.0,,1,,1,,,1,,,
F6X6S3,F6X6S3_ORNAN,3.0,,1,,1,1,,,,,
F6X6Q3,F6X6Q3_ORNAN,3.0,,1,,1,1,,,,,
Q9H2U9,ADAM7_HUMAN,3.0,,1,,1,,,,1,,
G1L442,G1L442_AILME,2.0,,1,,1,,,,,,
F7HP30,F7HP30_MACMU,2.0,,1,,1,,,,,,
H2ZUG9,H2ZUG9_LATCH,2.0,,1,,1,,,,,,
F7HCI4,F7HCI4_CALJA,2.0,,1,,1,,,,,,
H2ZWK4,H2ZWK4_LATCH,2.0,,1,,1,,,,,,
H3AQK7,H3AQK7_LATCH,2.0,,1,,1,,,,,,
H2ZS15,H2ZS15_LATCH,2.0,,1,,1,,,,,,
H2YZ96,H2YZ96_CIOSA,2.0,,1,,1,,,,,,
G1KTY5,G1KTY5_ANOCA,2.0,,1,,1,,,,,,
F7HHD3,F7HHD3_MACMU,2.0,,1,,1,,,,,,
H2TRI4,H2TRI4_TAKRU,2.0,,1,,1,,,,,,
G1K8S9,G1K8S9_ANOCA,2.0,,1,,1,,,,,,
F7IT65,F7IT65_CALJA,2.0,,1,,1,,,,,,
H2UFE5,H2UFE5_TAKRU,2.0,,1,,1,,,,,,
H2YWX6,H2YWX6_CIOSA,2.0,,1,,1,,,,,,
H2YWW6,H2YWW6_CIOSA,2.0,,1,,1,,,,,,
H2U0V9,H2U0V9_TAKRU,2.0,,1,,1,,,,,,
F7HIH3,F7HIH3_CALJA,2.0,,1,,1,,,,,,
H2XTH9,H2XTH9_CIOIN,2.0,,1,,1,,,,,,
F7I661,F7I661_CALJA,2.0,,1,,1,,,,,,
F7HP22,F7HP22_CALJA,2.0,,1,,1,,,,,,
H2TJB0,H2TJB0_TAKRU,2.0,,1,,1,,,,,,
G1LMW3,G1LMW3_AILME,2.0,,1,,1,,,,,,
G1L4B7,G1L4B7_AILME,2.0,,1,,1,,,,,,
G1NR58,G1NR58_MELGA,2.0,,1,,1,,,,,,
