,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014787,LQGKKMV,NA,EOG7WX0B9,NOG26498,HOG000059272,HBG094851,NA,A6NF36
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NF36,CC182_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q9D9C6,CC182_MOUSE,6.0,,1,1,,1,1,1,1,,
G3MZI5,G3MZI5_BOVIN,3.0,,1,1,,1,,,,,
G3QWW9,G3QWW9_GORGO,3.0,,1,1,,1,,,,,
F1RSC1,F1RSC1_PIG,3.0,,1,1,,1,,,,,
F7E036,F7E036_HORSE,3.0,,1,1,,1,,,,,
F7EKI8,F7EKI8_MONDO,3.0,,1,1,,1,,,,,
F7HV81,F7HV81_CALJA,3.0,,1,1,,1,,,,,
G1MKY6,G1MKY6_AILME,3.0,,1,1,,1,,,,,
G1PA80,G1PA80_MYOLU,3.0,,1,1,,1,,,,,
G3SRJ0,G3SRJ0_LOXAF,3.0,,1,1,,1,,,,,
D3ZHS2,D3ZHS2_RAT,3.0,,1,1,,1,,,,,
G3W142,G3W142_SARHA,3.0,,1,1,,1,,,,,
H0WDH1,H0WDH1_CAVPO,3.0,,1,1,,1,,,,,
H0XSB0,H0XSB0_OTOGA,3.0,,1,1,,1,,,,,
H2NTJ1,H2NTJ1_PONAB,3.0,,1,1,,1,,,,,
H2QDI0,H2QDI0_PANTR,3.0,,1,1,,1,,,,,
I3NBB8,I3NBB8_SPETR,3.0,,1,1,,1,,,,,
M3VX42,M3VX42_FELCA,3.0,,1,1,,1,,,,,
E2RKE6,E2RKE6_CANFA,3.0,,1,1,,1,,,,,
W5PWC6,W5PWC6_SHEEP,2.0,,1,1,,,,,,,
D2H260,D2H260_AILME,1.0,,,,,,,1,,,
A7T5H7,A7T5H7_NEMVE,1.0,,,,,1,,,,,
H2N1W0,H2N1W0_ORYLA,1.0,,,,,1,,,,,
A0A096N9F5,A0A096N9F5_PAPAN,1.0,,1,,,,,,,,
