,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00550000074456,AHIYSSH,TF300789,EOG73Z2VF,NOG318998,HOG000164685,HBG052489,NA,Q70IA6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8VI63,MOB2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8VI63,MOB2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q70IA6,MOB2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q70IA6,MOB2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q641I9,Q641I9_XENTR,6.0,,1,,1,1,1,1,1,,
Q1ECV3,Q1ECV3_DANRE,6.0,,1,,1,1,,1,1,,1
D3ZLX3,D3ZLX3_RAT,5.0,,1,1,1,1,,,,,1
G3R2N1,G3R2N1_GORGO,4.0,,1,1,1,1,,,,,
Q7ZV94,Q7ZV94_DANRE,4.0,,1,,1,,,1,1,,
G3PAI5,G3PAI5_GASAC,4.0,,1,1,1,1,,,,,
Q6DHC8,Q6DHC8_DANRE,4.0,,,,,,1,1,1,,1
Q6GQN1,Q6GQN1_DANRE,4.0,,1,,1,,,1,1,,
Q6NYJ8,Q6NYJ8_DANRE,4.0,,1,,1,,,1,1,,
Q7L9L4,MOB1B_HUMAN,4.0,,1,,1,,,1,1,,
Q8BPB0,MOB1B_MOUSE,4.0,,1,,1,,,1,1,,
Q86TA1,MOB3B_HUMAN,4.0,,1,,1,,,1,1,,
Q8BSU7,MOB3A_MOUSE,4.0,,1,,1,,,1,1,,
Q8IQG1,MOB2_DROME,4.0,,1,,,1,1,,,,1
Q8IQG1,MOB2_DROME,4.0,,1,,,1,1,,,,1
Q8VE04,MOB3B_MOUSE,4.0,,1,,1,,,1,1,,
Q921Y0,MOB1A_MOUSE,4.0,,1,,1,,,1,1,,
Q96BX8,MOB3A_HUMAN,4.0,,1,,1,,,1,1,,
G1P786,G1P786_MYOLU,4.0,,1,1,1,1,,,,,
B5DEX8,B5DEX8_RAT,4.0,,1,,1,,,1,1,,
