,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10397,ENSGT00730000110885,WYNESFF,TF105229,EOG75J0MF,COG5059,HOG000116164,HBG019045,NA,Q9HAQ2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HAQ2,KIF9_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9HAQ2,KIF9_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8C0X6,Q8C0X6_MOUSE,6.0,1,1,1,1,,,1,1,,
Q9WV04,KIF9_MOUSE,6.0,1,1,,,,1,1,1,,1
E1C427,E1C427_CHICK,6.0,1,1,1,1,1,,,,,1
A7RVQ1,A7RVQ1_NEMVE,6.0,1,,1,,1,1,1,,,1
G1R385,G1R385_NOMLE,5.0,1,1,1,1,1,,,,,
F6Q4D6,F6Q4D6_HORSE,5.0,1,1,1,1,1,,,,,
E1B715,E1B715_BOVIN,5.0,1,1,1,1,1,,,,,
E2RCA8,E2RCA8_CANFA,5.0,1,1,1,1,1,,,,,
G3W716,G3W716_SARHA,5.0,1,1,1,1,1,,,,,
G1M2D9,G1M2D9_AILME,5.0,1,1,1,1,1,,,,,
F7D0G9,F7D0G9_XENTR,4.0,,1,1,1,1,,,,,
Q3V3Y6,Q3V3Y6_MOUSE,4.0,1,,,,1,,1,1,,
G1SJ26,G1SJ26_RABIT,4.0,1,1,,1,1,,,,,
G1MVA1,G1MVA1_MELGA,4.0,,1,1,1,1,,,,,
G1TLI6,G1TLI6_RABIT,4.0,1,1,,1,1,,,,,
G1PSJ3,G1PSJ3_MYOLU,4.0,,1,1,1,1,,,,,
F1QYE9,F1QYE9_DANRE,4.0,,1,1,1,1,,,,,
F6TSW9,F6TSW9_MONDO,4.0,,1,1,1,1,,,,,
I3MNP6,I3MNP6_SPETR,4.0,,1,1,1,1,,,,,
H9GA81,H9GA81_ANOCA,4.0,,1,1,1,1,,,,,
F7CLD1,F7CLD1_CALJA,4.0,1,1,1,1,,,,,,
H3AQV5,H3AQV5_LATCH,4.0,,1,1,1,1,,,,,
G3NLP3,G3NLP3_GASAC,4.0,,1,1,1,1,,,,,
G3QM86,G3QM86_GORGO,4.0,,1,1,1,1,,,,,
G3SYL1,G3SYL1_LOXAF,4.0,,1,1,1,1,,,,,
F6XI84,F6XI84_CIOIN,4.0,,1,1,1,1,,,,,
H0YPG6,H0YPG6_TAEGU,4.0,,1,1,1,1,,,,,
H0WZ91,H0WZ91_OTOGA,4.0,,1,1,1,1,,,,,
H2ZA26,H2ZA26_CIOSA,4.0,,1,1,1,1,,,,,
H0UXW8,H0UXW8_CAVPO,4.0,,1,1,1,1,,,,,
B3S877,B3S877_TRIAD,4.0,1,,,,1,1,1,,,
C3ZC80,C3ZC80_BRAFL,4.0,1,,1,,,1,,,,1
D4A8G1,D4A8G1_RAT,4.0,1,1,1,,1,,,,,
A4S1Y1,A4S1Y1_OSTLU,3.0,1,,,,,1,1,,,
K7GHI5,K7GHI5_PELSI,3.0,,1,,1,1,,,,,
H2PAW8,H2PAW8_PONAB,3.0,,1,1,1,,,,,,
H2QMH9,H2QMH9_PANTR,3.0,,1,,1,1,,,,,
B8C3U1,B8C3U1_THAPS,3.0,1,,,,,1,1,,,
M3WMN8,M3WMN8_FELCA,3.0,,1,1,,1,,,,,
Q6ZMV9,KIF6_HUMAN,3.0,1,1,,,,1,,,,
K7GHJ3,K7GHJ3_PELSI,3.0,,1,,1,1,,,,,
Q503P8,Q503P8_DANRE,3.0,,,,,,1,1,1,,
A7STU5,A7STU5_NEMVE,3.0,1,,,,,1,1,,,
Q05AP4,Q05AP4_DANRE,3.0,1,,,,,1,1,,,
A2EFY7,A2EFY7_TRIVA,3.0,1,,,,,1,,,,1
W5P3C9,W5P3C9_SHEEP,3.0,1,1,1,,,,,,,
B3SAH0,B3SAH0_TRIAD,3.0,1,,,,,1,1,,,
M3YUB6,M3YUB6_MUSPF,3.0,,1,1,,1,,,,,
F6WU57,F6WU57_CALJA,2.0,,1,,,1,,,,,
Q5AXW7,Q5AXW7_EMENI,2.0,,,,,,1,1,,,
A8HM74,A8HM74_CHLRE,2.0,1,,,,,1,,,,
A7REX9,A7REX9_NEMVE,2.0,,,,,,1,1,,,
A7RRH2,A7RRH2_NEMVE,2.0,,,,,,1,1,,,
A7MBA1,A7MBA1_BOVIN,2.0,,,,,,1,1,,,
B8BW53,B8BW53_THAPS,2.0,,,,,,1,1,,,
Q6UIP4,Q6UIP4_PANTR,2.0,,,,,,1,1,,,
B8C6R2,B8C6R2_THAPS,2.0,,,,,,1,1,,,
B8CC51,B8CC51_THAPS,2.0,,,,,,1,1,,,
B8CD61,B8CD61_THAPS,2.0,,,,,,1,1,,,
Q589P6,Q589P6_ORYLA,2.0,,,,,,1,1,,,
B8CEV2,B8CEV2_THAPS,2.0,,,,,,1,1,,,
G1KAC6,G1KAC6_ANOCA,2.0,1,1,,,,,,,,
