,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000004313,FLVWKPR,TF106140,EOG7JX36V,NOG248608,HOG000044257,HBG081100,NA,Q9NPB0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NPB0,SMDC1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q32L85,SMDC1_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q8K190,SMDC1_MOUSE,7.0,,1,1,1,1,1,1,1,,
Q5RGA5,Q5RGA5_DANRE,5.0,,1,,1,1,1,1,,,
H2PIX9,H2PIX9_PONAB,4.0,,1,1,1,1,,,,,
F7I178,F7I178_CALJA,4.0,,1,1,1,1,,,,,
I3N074,I3N074_SPETR,4.0,,1,1,1,1,,,,,
H0XRA3,H0XRA3_OTOGA,4.0,,1,1,1,1,,,,,
H0VTD6,H0VTD6_CAVPO,4.0,,1,1,1,1,,,,,
G3RIV9,G3RIV9_GORGO,4.0,,1,1,1,1,,,,,
H2R389,H2R389_PANTR,4.0,,1,1,1,1,,,,,
G1TXB9,G1TXB9_RABIT,4.0,,1,1,1,1,,,,,
F6TCT3,F6TCT3_HORSE,4.0,,1,1,1,1,,,,,
G1PAL0,G1PAL0_MYOLU,4.0,,1,1,1,1,,,,,
G1M548,G1M548_AILME,4.0,,1,1,1,1,,,,,
F6VWV1,F6VWV1_MACMU,4.0,,1,1,1,1,,,,,
A4IHX5,A4IHX5_XENTR,4.0,,1,,1,1,,,1,,
G3NZF8,G3NZF8_GASAC,3.0,,1,,1,1,,,,,
G3SU25,G3SU25_LOXAF,3.0,,1,,1,1,,,,,
G3VZQ3,G3VZQ3_SARHA,3.0,,1,,1,1,,,,,
H2M6U4,H2M6U4_ORYLA,3.0,,1,,1,1,,,,,
E2REJ8,E2REJ8_CANFA,3.0,,1,1,1,,,,,,
G1RKW2,G1RKW2_NOMLE,3.0,,1,,1,1,,,,,
F6ZLP9,F6ZLP9_MONDO,3.0,,1,,1,1,,,,,
D3ZQ21,D3ZQ21_RAT,3.0,,1,1,,1,,,,,
H2V9V1,H2V9V1_TAKRU,3.0,,1,,1,1,,,,,
M3YQT9,M3YQT9_MUSPF,3.0,,1,1,,1,,,,,
O01486,O01486_CAEEL,3.0,,1,,,1,1,,,,
Q17MC2,Q17MC2_AEDAE,3.0,,,,,1,1,1,,,
Q7QAJ6,Q7QAJ6_ANOGA,3.0,,,,,1,1,1,,,
B0W3H8,B0W3H8_CULQU,3.0,,,,,1,1,1,,,
B6IL76,B6IL76_CAEBR,2.0,,,,,1,1,,,,
B4PUB6,B4PUB6_DROYA,2.0,,,,,1,1,,,,
F6RAW5,F6RAW5_ORNAN,2.0,,1,,,1,,,,,
B4NJX5,B4NJX5_DROWI,2.0,,,,,1,1,,,,
B4M5H5,B4M5H5_DROVI,2.0,,,,,1,1,,,,
B4JHN1,B4JHN1_DROGR,2.0,,,,,1,1,,,,
B3S0S3,B3S0S3_TRIAD,2.0,,,,,1,1,,,,
B3M282,B3M282_DROAN,2.0,,,,,1,1,,,,
B7PSB2,B7PSB2_IXOSC,2.0,,,,,1,1,,,,
W5Q4I9,W5Q4I9_SHEEP,2.0,,1,1,,,,,,,
M4AR30,M4AR30_XIPMA,2.0,,1,,,1,,,,,
G1KZD6,G1KZD6_ANOCA,2.0,,1,,1,,,,,,
J9NX98,J9NX98_CANFA,2.0,,1,,,1,,,,,
G1KA27,G1KA27_ANOCA,2.0,,1,,,1,,,,,
I3JES0,I3JES0_ORENI,2.0,,,,1,1,,,,,
Q9VBW0,Q9VBW0_DROME,2.0,,1,,,1,,,,,
Q7QKP9,Q7QKP9_ANOGA,2.0,,,,,1,,1,,,
B4IJI1,B4IJI1_DROSE,1.0,,,,,1,,,,,
B4KCA7,B4KCA7_DROMO,1.0,,,,,1,,,,,
Q4QQ08,Q4QQ08_DROME,1.0,,,,,,1,,,,
F7I189,F7I189_CALJA,1.0,,1,,,,,,,,
Q297G5,Q297G5_DROPS,1.0,,,,,1,,,,,
R4GHQ9,R4GHQ9_CHICK,1.0,,1,,,,,,,,
U3K8T8,U3K8T8_FICAL,1.0,,1,,,,,,,,
A0A096NHY8,A0A096NHY8_PAPAN,1.0,,1,,,,,,,,
A0A096M8T7,A0A096M8T7_POEFO,1.0,,1,,,,,,,,
B3P6Q0,B3P6Q0_DROER,1.0,,,,,1,,,,,
B4QUD2,B4QUD2_DROSI,1.0,,,,,1,,,,,
J9JQ29,J9JQ29_ACYPI,1.0,,,,,1,,,,,
D2HV57,D2HV57_AILME,1.0,,,,,,,1,,,
H2R341,H2R341_PANTR,1.0,,1,,,,,,,,
D6WPY9,D6WPY9_TRICA,1.0,,,,,1,,,,,
E0VJ48,E0VJ48_PEDHC,1.0,,,,,1,,,,,
H2M6U5,H2M6U5_ORYLA,1.0,,1,,,,,,,,
E9IN37,E9IN37_SOLIN,1.0,,,,,1,,,,,
G9L4F5,G9L4F5_MUSPF,1.0,,,1,,,,,,,
F6S092,F6S092_MACMU,1.0,,1,,,,,,,,
W5LR23,W5LR23_ASTMX,1.0,,1,,,,,,,,
A0A087YKE5,A0A087YKE5_POEFO,1.0,,1,,,,,,,,
