,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10712,ENSGT00390000014082,CETDGFS,TF314673,EOG7NKKMH,NOG301373,HOG000037604,HBG050966,NA,Q96SZ5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96SZ5,AEDO_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6PDY2,AEDO_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q6P0S8,Q6P0S8_DANRE,6.0,1,1,,,,1,1,1,,1
F7GUF4,F7GUF4_CALJA,5.0,1,1,1,1,1,,,,,
E2RLA7,E2RLA7_CANFA,5.0,1,1,1,1,1,,,,,
A0NBN0,A0NBN0_ANOGA,5.0,1,,,,1,1,1,,,1
G3MZK0,G3MZK0_BOVIN,5.0,1,1,1,1,1,,,,,
H2NAS8,H2NAS8_PONAB,5.0,1,1,1,1,1,,,,,
B0WC79,B0WC79_CULQU,5.0,1,,1,,1,1,1,,,
F7FC21,F7FC21_MACMU,5.0,1,1,1,1,1,,,,,
Q9VSD8,Q9VSD8_DROME,5.0,1,1,,,1,1,,,,1
F1RFB8,F1RFB8_PIG,5.0,1,1,1,1,1,,,,,
A7SJK9,A7SJK9_NEMVE,5.0,1,,,,1,1,1,,,1
Q17FN6,Q17FN6_AEDAE,4.0,1,,,,1,1,1,,,
Q16WG8,Q16WG8_AEDAE,4.0,1,,,,1,1,1,,,
H2U1X2,H2U1X2_TAKRU,4.0,1,1,,1,1,,,,,
H2RNA0,H2RNA0_TAKRU,4.0,1,1,,1,1,,,,,
H2RGA9,H2RGA9_PANTR,4.0,,1,1,1,1,,,,,
H0XJ86,H0XJ86_OTOGA,4.0,,1,1,1,1,,,,,
H2MI40,H2MI40_ORYLA,4.0,1,1,,1,1,,,,,
B7QNX6,B7QNX6_IXOSC,4.0,1,,,,1,1,,,,1
B3S1K3,B3S1K3_TRIAD,4.0,1,,,,1,1,1,,,
