,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000001644,NREAGNC,TF332391,EOG7KH9N4,NOG319794,HOG000282991,HBG056555,NA,Q8WVJ2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9CQ48,NUDC2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9CQ48,NUDC2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8WVJ2,NUDC2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6DC89,Q6DC89_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q32KU8,Q32KU8_BOVIN,7.0,,1,1,1,1,1,1,1,,
B5G040,B5G040_TAEGU,7.0,,1,1,1,1,1,1,1,,
Q5M823,NUDC2_RAT,6.0,,,,1,1,1,1,1,,1
D2HVU5,D2HVU5_AILME,5.0,,1,1,1,1,,1,,,
I3MS07,I3MS07_SPETR,4.0,,1,1,1,1,,,,,
F7AYM4,F7AYM4_MONDO,4.0,,1,1,1,1,,,,,
F7B1E3,F7B1E3_HORSE,4.0,,1,1,1,1,,,,,
K7FEG7,K7FEG7_PELSI,4.0,,1,1,1,1,,,,,
F7CKN8,F7CKN8_MACMU,4.0,,1,1,1,1,,,,,
G1MUH5,G1MUH5_MELGA,4.0,,1,1,1,1,,,,,
G1NW49,G1NW49_MYOLU,4.0,,1,1,1,1,,,,,
H2XPJ3,H2XPJ3_CIOIN,4.0,,1,1,1,1,,,,,
H3CU57,H3CU57_TETNG,4.0,,1,1,1,1,,,,,
H3ASA1,H3ASA1_LATCH,4.0,,1,1,1,1,,,,,
G2HIJ2,G2HIJ2_PANTR,4.0,,1,1,1,1,,,,,
H2SPM9,H2SPM9_TAKRU,4.0,,1,1,1,1,,,,,
H2PHA6,H2PHA6_PONAB,4.0,,1,1,1,1,,,,,
H2LMJ2,H2LMJ2_ORYLA,4.0,,1,1,1,1,,,,,
H0XNA8,H0XNA8_OTOGA,4.0,,1,1,1,1,,,,,
H0UUY0,H0UUY0_CAVPO,4.0,,1,1,1,1,,,,,
G3VZW4,G3VZW4_SARHA,4.0,,1,1,1,1,,,,,
G3R377,G3R377_GORGO,4.0,,1,1,1,1,,,,,
F6UHX7,F6UHX7_CALJA,4.0,,1,1,1,1,,,,,
G3Q2B4,G3Q2B4_GASAC,4.0,,1,1,1,1,,,,,
F1RR73,F1RR73_PIG,4.0,,1,1,1,1,,,,,
E1BUG9,E1BUG9_CHICK,4.0,,1,1,1,1,,,,,
