,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K08868,ENSGT00740000115539,NIRGTCL,TF316085,EOG76QFGG,NOG73232,HOG000169279,HBG079770,NA,Q96QP1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96QP1,ALPK1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q96QP1,ALPK1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
A1L1E6,A1L1E6_XENTR,7.0,1,1,1,1,1,1,1,,,
E1BQC3,E1BQC3_CHICK,6.0,1,1,1,1,1,,,,,1
D3ZTA7,D3ZTA7_RAT,6.0,1,1,1,1,1,,,,,1
D3ZTA7,D3ZTA7_RAT,6.0,1,1,1,1,1,,,,,1
E1BQC3,E1BQC3_CHICK,6.0,1,1,1,1,1,,,,,1
H2QQ20,H2QQ20_PANTR,5.0,1,1,1,1,1,,,,,
E9QNX4,E9QNX4_MOUSE,5.0,1,1,1,1,1,,,,,
E2R0X4,E2R0X4_CANFA,5.0,1,1,1,1,1,,,,,
G1M8B1,G1M8B1_AILME,4.0,,1,1,1,1,,,,,
G1NER2,G1NER2_MELGA,4.0,,1,1,1,1,,,,,
G1S360,G1S360_NOMLE,4.0,,1,1,1,1,,,,,
I3NAK8,I3NAK8_SPETR,4.0,,1,1,1,1,,,,,
G3RQ23,G3RQ23_GORGO,4.0,,1,1,1,1,,,,,
E1BMC1,E1BMC1_BOVIN,4.0,,1,1,1,1,,,,,
F6QEG4,F6QEG4_MONDO,4.0,,1,1,1,1,,,,,
G1KKC1,G1KKC1_ANOCA,4.0,1,1,,1,1,,,,,
E7F7D0,E7F7D0_DANRE,4.0,1,1,,1,1,,,,,
F7EIE3,F7EIE3_ORNAN,4.0,,1,1,1,1,,,,,
G3TEJ4,G3TEJ4_LOXAF,4.0,,1,1,1,1,,,,,
F7E264,F7E264_HORSE,4.0,,1,1,1,1,,,,,
H0VCB1,H0VCB1_CAVPO,4.0,,1,1,1,1,,,,,
H3A639,H3A639_LATCH,4.0,,1,1,1,1,,,,,
H0WJ14,H0WJ14_OTOGA,4.0,,1,1,1,1,,,,,
H0YU85,H0YU85_TAEGU,4.0,,1,1,1,1,,,,,
F7AFP6,F7AFP6_MACMU,4.0,,1,1,1,1,,,,,
H2PE51,H2PE51_PONAB,4.0,,1,1,1,1,,,,,
F1S144,F1S144_PIG,4.0,,1,1,1,1,,,,,
M3WDS3,M3WDS3_FELCA,3.0,,1,1,,1,,,,,
H2U187,H2U187_TAKRU,3.0,,1,,1,1,,,,,
K7F343,K7F343_PELSI,3.0,,1,,1,1,,,,,
G1TK94,G1TK94_RABIT,3.0,,1,,1,1,,,,,
M3YAQ0,M3YAQ0_MUSPF,3.0,,1,1,,1,,,,,
H2MAC5,H2MAC5_ORYLA,3.0,,1,,1,1,,,,,
A7S899,A7S899_NEMVE,3.0,1,,,,1,1,,,,
F7CY57,F7CY57_CALJA,3.0,,1,1,1,,,,,,
Q9CXB8,ALPK1_MOUSE,3.0,,,,,,1,1,1,,
U3JDZ1,U3JDZ1_FICAL,3.0,1,1,1,,,,,,,
F6T489,F6T489_HORSE,2.0,,1,,1,,,,,,
F7A4C9,F7A4C9_CALJA,2.0,,1,,1,,,,,,
H0ZFE2,H0ZFE2_TAEGU,2.0,,1,,1,,,,,,
F7C015,F7C015_XENTR,2.0,,1,,1,,,,,,
F7C485,F7C485_MONDO,2.0,,1,,1,,,,,,
F7CXH8,F7CXH8_CALJA,2.0,,1,,,1,,,,,
H0WWW7,H0WWW7_OTOGA,2.0,,1,,1,,,,,,
H0VKK6,H0VKK6_CAVPO,2.0,,1,,1,,,,,,
G3VYM2,G3VYM2_SARHA,2.0,,1,,1,,,,,,
F6RRE1,F6RRE1_ORNAN,2.0,,1,,1,,,,,,
G3NEW3,G3NEW3_GASAC,2.0,,1,,1,,,,,,
G3TPE2,G3TPE2_LOXAF,2.0,,1,,1,,,,,,
F7F8P2,F7F8P2_MACMU,2.0,,1,,1,,,,,,
G1N7P5,G1N7P5_MELGA,2.0,,1,,1,,,,,,
G1P0T3,G1P0T3_MYOLU,2.0,,1,,1,,,,,,
G1RNC5,G1RNC5_NOMLE,2.0,,1,,1,,,,,,
G1SUE3,G1SUE3_RABIT,2.0,,1,,1,,,,,,
G3RGY7,G3RGY7_GORGO,2.0,,1,,1,,,,,,
W5NX94,W5NX94_SHEEP,2.0,,1,1,,,,,,,
F1RPE8,F1RPE8_PIG,2.0,,1,,1,,,,,,
H2M540,H2M540_ORYLA,2.0,,1,,1,,,,,,
G3QUW5,G3QUW5_GORGO,2.0,1,1,,,,,,,,
H2NQD5,H2NQD5_PONAB,2.0,,1,,1,,,,,,
K7F345,K7F345_PELSI,2.0,,1,,,1,,,,,
A7S8A0,A7S8A0_NEMVE,2.0,,,,,1,1,,,,
A7T9N8,A7T9N8_NEMVE,2.0,1,,,,1,,,,,
U3J1C5,U3J1C5_ANAPL,2.0,,1,1,,,,,,,
D2HU00,D2HU00_AILME,2.0,,1,,1,,,,,,
Q6DGE0,Q6DGE0_DANRE,2.0,,1,,1,,,,,,
P70531,EF2K_RAT,2.0,,1,,1,,,,,,
O08796,EF2K_MOUSE,2.0,,1,,1,,,,,,
H2QAR0,H2QAR0_PANTR,2.0,,1,,1,,,,,,
M4AAQ9,M4AAQ9_XIPMA,2.0,,1,,,1,,,,,
E1BEM1,E1BEM1_BOVIN,2.0,,1,,1,,,,,,
K7FRH3,K7FRH3_PELSI,2.0,,1,,1,,,,,,
O00418,EF2K_HUMAN,2.0,,1,,1,,,,,,
E1C172,E1C172_CHICK,2.0,,1,,1,,,,,,
H3CEM6,H3CEM6_TETNG,2.0,,1,,1,,,,,,
H2ZY01,H2ZY01_LATCH,2.0,,1,,1,,,,,,
H3C8F8,H3C8F8_TETNG,2.0,,1,,,1,,,,,
F6ZFJ9,F6ZFJ9_CIOIN,2.0,,1,,1,,,,,,
E2RIJ6,E2RIJ6_CANFA,2.0,,1,,1,,,,,,
H3CP91,H3CP91_TETNG,2.0,,1,,1,,,,,,
H9GIY6,H9GIY6_ANOCA,2.0,,1,,1,,,,,,
A0A096NHB9,A0A096NHB9_PAPAN,1.0,,1,,,,,,,,
F6XIT9,F6XIT9_CANFA,1.0,1,,,,,,,,,
A0A096MXC5,A0A096MXC5_PAPAN,1.0,,1,,,,,,,,
D2H700,D2H700_AILME,1.0,,,,,,,1,,,
A0A087Y1P7,A0A087Y1P7_POEFO,1.0,,1,,,,,,,,
B3KUH8,B3KUH8_HUMAN,1.0,,1,,,,,,,,
F6V0L2,F6V0L2_MOUSE,1.0,,1,,,,,,,,
B4E0R2,B4E0R2_HUMAN,1.0,,1,,,,,,,,
E7F318,E7F318_DANRE,1.0,,1,,,,,,,,
C3XQI1,C3XQI1_BRAFL,1.0,,,,,,1,,,,
E7FFN2,E7FFN2_DANRE,1.0,1,,,,,,,,,
D3YUT2,D3YUT2_MOUSE,1.0,1,,,,,,,,,
F6QX10,F6QX10_MACMU,1.0,,1,,,,,,,,
F1P5T4,F1P5T4_CHICK,1.0,1,,,,,,,,,
D3Z088,D3Z088_MOUSE,1.0,,1,,,,,,,,
D3Z1Y3,D3Z1Y3_MOUSE,1.0,,1,,,,,,,,
D3ZH28,D3ZH28_RAT,1.0,1,,,,,,,,,
F1MKY9,F1MKY9_BOVIN,1.0,1,,,,,,,,,
F1N5U0,F1N5U0_BOVIN,1.0,1,,,,,,,,,
D6RB29,D6RB29_HUMAN,1.0,,1,,,,,,,,
D6RDN6,D6RDN6_HUMAN,1.0,,1,,,,,,,,
E1B7M4,E1B7M4_BOVIN,1.0,,1,,,,,,,,
F1S143,F1S143_PIG,1.0,,1,,,,,,,,
F6ZEU2,F6ZEU2_MOUSE,1.0,,1,,,,,,,,
W5Q259,W5Q259_SHEEP,1.0,,1,,,,,,,,
F6ZMF9,F6ZMF9_MONDO,1.0,1,,,,,,,,,
Q96L96,ALPK3_HUMAN,1.0,1,,,,,,,,,
M3W5L2,M3W5L2_FELCA,1.0,,1,,,,,,,,
M3YZE2,M3YZE2_MUSPF,1.0,,1,,,,,,,,
M4AMW2,M4AMW2_XIPMA,1.0,,1,,,,,,,,
O01991,EF2K_CAEEL,1.0,,1,,,,,,,,
Q3UWZ1,Q3UWZ1_MOUSE,1.0,,1,,,,,,,,
Q4TEA0,Q4TEA0_TETNG,1.0,,1,,,,,,,,
Q4TFW3,Q4TFW3_TETNG,1.0,,,,,,1,,,,
Q86TB3,ALPK2_HUMAN,1.0,1,,,,,,,,,
Q91ZB0,ALPK2_MOUSE,1.0,1,,,,,,,,,
U3I6V1,U3I6V1_ANAPL,1.0,,1,,,,,,,,
F7C045,F7C045_XENTR,1.0,,1,,,,,,,,
U3J1D1,U3J1D1_ANAPL,1.0,,1,,,,,,,,
U3KHV7,U3KHV7_FICAL,1.0,,1,,,,,,,,
V3ZPU0,V3ZPU0_LOTGI,1.0,1,,,,,,,,,
W5KNJ2,W5KNJ2_ASTMX,1.0,,1,,,,,,,,
W5KU69,W5KU69_ASTMX,1.0,,1,,,,,,,,
W5KU82,W5KU82_ASTMX,1.0,,1,,,,,,,,
W5MHT8,W5MHT8_LEPOC,1.0,,1,,,,,,,,
W5MNS9,W5MNS9_LEPOC,1.0,,1,,,,,,,,
W5MNU6,W5MNU6_LEPOC,1.0,,1,,,,,,,,
M3VY83,M3VY83_FELCA,1.0,1,,,,,,,,,
L5LU43,L5LU43_MYODS,1.0,1,,,,,,,,,
I3NCF0,I3NCF0_SPETR,1.0,,1,,,,,,,,
I3MHZ1,I3MHZ1_SPETR,1.0,,1,,,,,,,,
F7CYA1,F7CYA1_CALJA,1.0,,1,,,,,,,,
F7DAQ5,F7DAQ5_MACMU,1.0,,1,,,,,,,,
F7DIU9,F7DIU9_HORSE,1.0,,1,,,,,,,,
