,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11108,ENSGT00530000063404,FMKHPLR,TF300831,EOG72NRQ9,COG0430,HOG000110352,HBG014327,NA,Q9Y2P8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y2P8,RCL1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9Y2P8,RCL1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9JJT0,RCL1_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q2KHX8,RCL1_BOVIN,7.0,1,1,1,1,1,1,,1,,
P56175,RCL1_DROME,6.0,1,1,1,,1,1,,,,1
D2HPJ7,D2HPJ7_AILME,5.0,1,1,1,1,1,,,,,
E2RAG1,E2RAG1_CANFA,5.0,1,1,1,1,1,,,,,
G1SUL4,G1SUL4_RABIT,5.0,1,1,1,1,1,,,,,
Q7Q8X5,Q7Q8X5_ANOGA,5.0,1,,1,,1,1,,,,1
A7SYA4,A7SYA4_NEMVE,5.0,1,,1,,1,1,,,,1
Q23400,RCL1_CAEEL,5.0,1,1,1,,,1,,,,1
H2QWZ3,H2QWZ3_PANTR,5.0,1,1,1,1,1,,,,,
H2PS84,H2PS84_PONAB,5.0,1,1,1,1,1,,,,,
H2M3S5,H2M3S5_ORYLA,5.0,1,1,1,1,1,,,,,
F7HHJ5,F7HHJ5_MACMU,5.0,1,1,1,1,1,,,,,
A9UXT2,A9UXT2_MONBE,4.0,1,,1,,,1,,,,1
G1KC43,G1KC43_ANOCA,4.0,1,1,,1,1,,,,,
B0WYC5,B0WYC5_CULQU,4.0,1,,1,,1,1,,,,
F7DYY9,F7DYY9_XENTR,4.0,,1,1,1,1,,,,,
A8XCQ5,A8XCQ5_CAEBR,4.0,1,,1,,1,1,,,,
F7DZK0,F7DZK0_CALJA,4.0,,1,1,1,1,,,,,
B3RPF5,B3RPF5_TRIAD,4.0,1,,1,,1,1,,,,
A7EGJ5,A7EGJ5_SCLS1,4.0,1,,1,,,1,,,,1
F6WH36,F6WH36_MONDO,4.0,,1,1,1,1,,,,,
F6V831,F6V831_HORSE,4.0,,1,1,1,1,,,,,
Q17MD2,Q17MD2_AEDAE,4.0,1,,1,,1,1,,,,
G1PE64,G1PE64_MYOLU,4.0,,1,1,1,1,,,,,
B4JL71,B4JL71_DROGR,4.0,1,,1,,1,1,,,,
Q09870,RCL1_SCHPO,4.0,1,,1,,,1,,,,1
H0WWE0,H0WWE0_OTOGA,4.0,,1,1,1,1,,,,,
C3Y247,C3Y247_BRAFL,4.0,1,,1,,,1,,,,1
H2TP62,H2TP62_TAKRU,4.0,,1,1,1,1,,,,,
H2XT24,H2XT24_CIOIN,4.0,,1,1,1,1,,,,,
H3D6Q6,H3D6Q6_TETNG,4.0,,1,1,1,1,,,,,
H0VT59,H0VT59_CAVPO,4.0,,1,1,1,1,,,,,
G3WMA6,G3WMA6_SARHA,4.0,,1,1,1,1,,,,,
K7G0E7,K7G0E7_PELSI,4.0,,1,1,1,1,,,,,
G3TIZ9,G3TIZ9_LOXAF,4.0,,1,1,1,1,,,,,
G3RGD4,G3RGD4_GORGO,4.0,,1,1,1,1,,,,,
G3PZQ6,G3PZQ6_GASAC,4.0,,1,1,1,1,,,,,
M3WKX1,M3WKX1_FELCA,4.0,1,1,1,,1,,,,,
M3ZGT2,M3ZGT2_XIPMA,4.0,1,1,1,,1,,,,,
B4Q2F9,B4Q2F9_DROYA,4.0,1,,1,,1,1,,,,
B4NCZ0,B4NCZ0_DROWI,4.0,1,,1,,1,1,,,,
F1SK46,F1SK46_PIG,4.0,,1,1,1,1,,,,,
Q08096,RCL1_YEAST,4.0,1,1,,,,1,,,,1
B4M1I4,B4M1I4_DROVI,4.0,1,,1,,1,1,,,,
H0Z401,H0Z401_TAEGU,4.0,,1,1,1,1,,,,,
F1RAI8,F1RAI8_DANRE,4.0,,1,1,1,1,,,,,
E1C1K6,E1C1K6_CHICK,4.0,,1,1,1,1,,,,,
Q9C578,RCL1_ARATH,4.0,1,,1,,,1,,,,1
Q54S38,RCL1_DICDI,3.0,1,,,,,1,,,,1
C5X358,C5X358_SORBI,3.0,1,,1,,,1,,,,
Q5KDP4,Q5KDP4_CRYNJ,3.0,1,,1,,,,,,,1
B6HF91,B6HF91_PENCW,3.0,1,,1,,,1,,,,
A4S0I3,A4S0I3_OSTLU,3.0,1,,1,,,1,,,,
I3LVU8,I3LVU8_SPETR,3.0,,1,,1,1,,,,,
A8J7U7,A8J7U7_CHLRE,3.0,1,,1,,,1,,,,
Q5BDA6,Q5BDA6_EMENI,3.0,1,,1,,,1,,,,
A4IB71,A4IB71_LEIIN,3.0,1,,1,,,1,,,,
Q59U65,Q59U65_CANAL,3.0,1,,,,,1,,,,1
Q38D23,Q38D23_TRYB2,3.0,1,,1,,,1,,,,
Q68FS8,Q68FS8_RAT,3.0,,1,,1,,1,,,,
O00442,RTCA_HUMAN,3.0,,1,,1,,1,,,,
G1RC91,G1RC91_NOMLE,3.0,,1,,1,1,,,,,
D6WH43,D6WH43_TRICA,3.0,1,,1,,1,,,,,
A9SCL8,A9SCL8_PHYPA,3.0,1,,1,,,,,,,1
W5PVF0,W5PVF0_SHEEP,3.0,1,1,1,,,,,,,
B4L2D9,B4L2D9_DROMO,3.0,1,,1,,1,,,,,
Q0UUZ5,Q0UUZ5_PHANO,3.0,1,,1,,,,,,,1
H3A6A1,H3A6A1_LATCH,3.0,1,1,,,1,,,,,
H3A6A2,H3A6A2_LATCH,3.0,,1,1,1,,,,,,
Q2HJ88,RTCA_BOVIN,3.0,,1,,1,,1,,,,
G1MTN4,G1MTN4_MELGA,3.0,,1,,1,1,,,,,
I3J7N8,I3J7N8_ORENI,3.0,,,1,1,1,,,,,
M3Y0V7,M3Y0V7_MUSPF,3.0,,1,1,,1,,,,,
F7A1P3,F7A1P3_ORNAN,3.0,,1,,1,1,,,,,
Q6DRI3,Q6DRI3_DANRE,3.0,1,,,,,,,1,,1
E0W412,E0W412_PEDHC,3.0,1,,1,,1,,,,,
B7P4H1,B7P4H1_IXOSC,3.0,1,,,,1,1,,,,
Q7TQ76,Q7TQ76_RAT,3.0,,1,,1,1,,,,,
Q7SH54,Q7SH54_NEUCR,3.0,1,,,,,1,,,,1
Q9D7H3,RTCA_MOUSE,3.0,,1,,1,,1,,,,
G3V7Z1,G3V7Z1_RAT,3.0,1,1,,,,1,,,,
Q7ZUX5,Q7ZUX5_DANRE,3.0,,1,,1,,1,,,,
B9HQ79,B9HQ79_POPTR,3.0,1,,1,,,1,,,,
Q6CHS3,Q6CHS3_YARLI,3.0,1,,1,,,,,,,1
B3MW14,B3MW14_DROAN,3.0,1,,,,1,1,,,,
E1C1Y0,E1C1Y0_CHICK,2.0,,1,,1,,,,,,
B9GHM4,B9GHM4_POPTR,2.0,1,,,,,1,,,,
G1PEU0,G1PEU0_MYOLU,2.0,,1,,1,,,,,,
U3IEH2,U3IEH2_ANAPL,2.0,,1,1,,,,,,,
A1DB75,A1DB75_NEOFI,2.0,1,,1,,,,,,,
C4R421,C4R421_PICPG,2.0,1,,,,,1,,,,
K4B7R6,K4B7R6_SOLLC,2.0,1,,1,,,,,,,
G1N514,G1N514_MELGA,2.0,,1,,1,,,,,,
A5DYN2,A5DYN2_LODEL,2.0,1,,1,,,,,,,
K4ABD7,K4ABD7_SETIT,2.0,1,,1,,,,,,,
C5DTC2,C5DTC2_ZYGRC,2.0,1,,,,,1,,,,
G1LQJ9,G1LQJ9_AILME,2.0,,1,,1,,,,,,
B4IG66,B4IG66_DROSE,2.0,1,,,,1,,,,,
B4GY84,B4GY84_DROPE,2.0,1,,,,1,,,,,
B4FAC1,B4FAC1_MAIZE,2.0,1,,1,,,,,,,
H9JJZ8,H9JJZ8_BOMMO,2.0,,,1,,1,,,,,
A2XNQ7,A2XNQ7_ORYSI,2.0,,,1,,,1,,,,
C5DEN6,C5DEN6_LACTC,2.0,1,,,,,1,,,,
B3NVZ2,B3NVZ2_DROER,2.0,1,,,,1,,,,,
J9K3U1,J9K3U1_ACYPI,2.0,,,1,,1,,,,,
A1C407,A1C407_ASPCL,2.0,1,,1,,,,,,,
O66884,RTCA_AQUAE,2.0,,,,,,1,,,,1
B8CA80,B8CA80_THAPS,2.0,1,,,,,,,,,1
G3SNL8,G3SNL8_LOXAF,2.0,,1,,1,,,,,,
V4BU88,V4BU88_LOTGI,2.0,1,,1,,,,,,,
G3PJR9,G3PJR9_GASAC,2.0,,1,,1,,,,,,
K7FXS0,K7FXS0_PELSI,2.0,,1,,1,,,,,,
E2RQG6,E2RQG6_CANFA,2.0,,1,,1,,,,,,
G3VFM0,G3VFM0_SARHA,2.0,,1,,1,,,,,,
D8SJB3,D8SJB3_SELML,2.0,1,,1,,,,,,,
G3AKY3,G3AKY3_SPAPN,2.0,1,,1,,,,,,,
B9WC31,B9WC31_CANDC,2.0,1,,,,,1,,,,
I3ML68,I3ML68_SPETR,2.0,,1,,1,,,,,,
G1T706,G1T706_RABIT,2.0,,1,,1,,,,,,
E3JY20,E3JY20_PUCGT,2.0,1,,1,,,,,,,
M1BWN9,M1BWN9_SOLTU,2.0,1,,1,,,,,,,
G1RMB4,G1RMB4_NOMLE,2.0,,1,,1,,,,,,
M0SBD6,M0SBD6_MUSAM,2.0,1,,1,,,,,,,
B4NUF2,B4NUF2_DROSI,2.0,1,,,,1,,,,,
O66884,RTCA_AQUAE,2.0,,,,,,1,,,,1
G3S5N6,G3S5N6_GORGO,2.0,,1,,1,,,,,,
C5P2Q3,C5P2Q3_COCP7,2.0,1,,,,,1,,,,
H3B0V1,H3B0V1_LATCH,2.0,,1,,1,,,,,,
E9AEZ2,E9AEZ2_LEIMA,2.0,1,,,,,,,,,1
Q6FVF3,Q6FVF3_CANGA,2.0,1,,1,,,,,,,
A8B240,A8B240_GIAIC,2.0,1,,,,,,,,,1
F7DDR8,F7DDR8_ORNAN,2.0,,1,,1,,,,,,
F7BTC6,F7BTC6_HORSE,2.0,,1,,1,,,,,,
Q5JIQ0,RTCA_THEKO,2.0,,,,,,1,,,,1
A7TJV6,A7TJV6_VANPO,2.0,1,,,,,1,,,,
Q5VZU2,Q5VZU2_HUMAN,2.0,,1,,,,,1,,,
Q5VZU3,Q5VZU3_HUMAN,2.0,,1,,,,,1,,,
Q60335,RTCA_METJA,2.0,,,,,,1,,,,1
Q60335,RTCA_METJA,2.0,,,,,,1,,,,1
Q67XN9,Q67XN9_ARATH,2.0,1,,1,,,,,,,
Q6BKB0,Q6BKB0_DEBHA,2.0,1,,1,,,,,,,
Q6CUC5,Q6CUC5_KLULA,2.0,1,,1,,,,,,,
F7A1N5,F7A1N5_ORNAN,2.0,,1,,,1,,,,,
F0ZPA2,F0ZPA2_DICPU,2.0,1,,1,,,,,,,
F1S564,F1S564_PIG,2.0,,1,,1,,,,,,
Q75LH9,Q75LH9_ORYSJ,2.0,1,,1,,,,,,,
Q97W04,RTCA_SULSO,2.0,,,,,,1,,,,1
Q7RC93,Q7RC93_PLAYO,2.0,1,,,,,1,,,,
F6TGX7,F6TGX7_CIOIN,2.0,,1,,1,,,,,,
Q7ZXF0,Q7ZXF0_XENLA,2.0,1,,,,,,,1,,
Q8I717,Q8I717_PLAF7,2.0,1,,,,,,,,,1
F6T8X7,F6T8X7_MACMU,2.0,,1,,1,,,,,,
Q8SRP7,Q8SRP7_ENCCU,2.0,1,,,,,1,,,,
Q8TH85,RTCA_METAC,2.0,,,,,,1,,,,1
H2N6M8,H2N6M8_PONAB,2.0,,1,,1,,,,,,
H2MEQ8,H2MEQ8_ORYLA,2.0,,1,,1,,,,,,
Q504F0,Q504F0_DANRE,2.0,,,,,,1,,1,,
Q59UB1,Q59UB1_CANAL,2.0,1,,,,,,,,,1
A8NUC0,A8NUC0_BRUMA,2.0,1,,1,,,,,,,
J3LUI1,J3LUI1_ORYBR,2.0,1,,1,,,,,,,
H2Z448,H2Z448_CIOSA,2.0,,1,,1,,,,,,
H0Z446,H0Z446_TAEGU,2.0,,1,,1,,,,,,
W5KHT5,W5KHT5_ASTMX,2.0,,1,1,,,,,,,
Q2NLA9,Q2NLA9_XENLA,2.0,1,,,,,,,1,,
H0WSG8,H0WSG8_OTOGA,2.0,,1,,1,,,,,,
A0A087X1L9,A0A087X1L9_HUMAN,2.0,1,1,,,,,,,,
H3CGK0,H3CGK0_TETNG,2.0,,1,,1,,,,,,
B0R414,RTCA_HALS3,2.0,,,,,,1,,,,1
H2TBR2,H2TBR2_TAKRU,2.0,,1,,1,,,,,,
B1L6E9,RTCA_KORCO,2.0,,,,,,1,,,,1
W5MVL7,W5MVL7_LEPOC,2.0,,1,1,,,,,,,
D0N2U2,D0N2U2_PHYIT,2.0,1,,1,,,,,,,
F7GD30,F7GD30_CALJA,2.0,,1,,1,,,,,,
F7GBC6,F7GBC6_MONDO,2.0,,1,,1,,,,,,
Q29HV1,Q29HV1_DROPS,2.0,1,,,,1,,,,,
H2PZH5,H2PZH5_PANTR,2.0,,1,,1,,,,,,
Q4UCK5,Q4UCK5_THEAN,2.0,1,,,,,1,,,,
Q4WCF2,Q4WCF2_ASPFU,2.0,1,,1,,,,,,,
F7EPH8,F7EPH8_XENTR,2.0,,1,,1,,,,,,
D8RZT3,D8RZT3_SELML,1.0,1,,,,,,,,,
