,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000001394,YYRKLHM,TF329364,EOG7VQJCH,COG0475,NA,HBG094066,NA,Q6UWJ1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6UWJ1,TMCO3_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q8BH01,TMCO3_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q8BH01,TMCO3_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q6UWJ1,TMCO3_HUMAN,7.0,,1,1,1,1,1,,1,,1
A5D7N7,A5D7N7_BOVIN,6.0,,1,1,1,1,1,,1,,
E1BT78,E1BT78_CHICK,5.0,,1,1,1,1,,,,,1
D4A9M9,D4A9M9_RAT,5.0,,1,1,1,1,,,,,1
D4A9M9,D4A9M9_RAT,5.0,,1,1,1,1,,,,,1
H0ZG38,H0ZG38_TAEGU,4.0,,1,1,1,1,,,,,
G3WT35,G3WT35_SARHA,4.0,,1,1,1,1,,,,,
H0V933,H0V933_CAVPO,4.0,,1,1,1,1,,,,,
H0WVS7,H0WVS7_OTOGA,4.0,,1,1,1,1,,,,,
H2NKE4,H2NKE4_PONAB,4.0,,1,1,1,1,,,,,
H2LIU7,H2LIU7_ORYLA,4.0,,1,1,1,1,,,,,
K7G212,K7G212_PELSI,4.0,,1,1,1,1,,,,,
G3R4X5,G3R4X5_GORGO,4.0,,1,1,1,1,,,,,
H2Q7U4,H2Q7U4_PANTR,4.0,,1,1,1,1,,,,,
H3AQ49,H3AQ49_LATCH,4.0,,1,1,1,1,,,,,
I3N574,I3N574_SPETR,4.0,,1,1,1,1,,,,,
G3SX89,G3SX89_LOXAF,4.0,,1,1,1,1,,,,,
E2R0X2,E2R0X2_CANFA,4.0,,1,1,1,1,,,,,
G1QJ81,G1QJ81_NOMLE,4.0,,1,1,1,1,,,,,
G1PJY2,G1PJY2_MYOLU,4.0,,1,1,1,1,,,,,
G1LDF4,G1LDF4_AILME,4.0,,1,1,1,1,,,,,
F1Q937,F1Q937_DANRE,4.0,,1,1,1,1,,,,,
F1RN34,F1RN34_PIG,4.0,,1,1,1,1,,,,,
F6ZKN9,F6ZKN9_MONDO,4.0,,1,1,1,1,,,,,
F6U7C3,F6U7C3_CALJA,4.0,,1,1,1,1,,,,,
M4AXX4,M4AXX4_XIPMA,3.0,,1,1,,1,,,,,
F6T994,F6T994_XENTR,3.0,,1,,1,1,,,,,
M3WKD3,M3WKD3_FELCA,3.0,,1,1,,1,,,,,
H9H4Y4,H9H4Y4_MACMU,3.0,,1,,1,1,,,,,
H3CVP0,H3CVP0_TETNG,3.0,,1,,1,1,,,,,
F6Z699,F6Z699_HORSE,3.0,,1,,1,1,,,,,
H2V4I1,H2V4I1_TAKRU,3.0,,1,,1,1,,,,,
G1TW92,G1TW92_RABIT,3.0,,1,1,1,,,,,,
F7B330,F7B330_CIOIN,3.0,,1,,1,1,,,,,
F7G4E2,F7G4E2_ORNAN,3.0,,1,,1,1,,,,,
G1NPR3,G1NPR3_MELGA,3.0,,1,,1,1,,,,,
G3PRJ1,G3PRJ1_GASAC,3.0,,1,1,1,,,,,,
M3YEG8,M3YEG8_MUSPF,3.0,,1,1,,1,,,,,
A6VF06,A6VF06_PSEA7,2.0,,,,,,1,,,,1
H2ZQZ2,H2ZQZ2_CIOSA,2.0,,1,,,1,,,,,
Q4SHX9,Q4SHX9_TETNG,2.0,,,,,,1,,1,,
W5LA16,W5LA16_ASTMX,2.0,,1,1,,,,,,,
U3JKZ7,U3JKZ7_FICAL,2.0,,1,1,,,,,,,
U3J557,U3J557_ANAPL,2.0,,1,1,,,,,,,
Q9ZUN3,KEA4_ARATH,2.0,,,,,,1,,,,1
B3S7L0,B3S7L0_TRIAD,2.0,,,,,1,1,,,,
G1K8H0,G1K8H0_ANOCA,2.0,,1,,,1,,,,,
B5X0N6,KEA6_ARATH,2.0,,,,,,1,,,,1
G1TRY1,G1TRY1_RABIT,2.0,,1,,,1,,,,,
G3PRJ0,G3PRJ0_GASAC,2.0,,1,,,1,,,,,
W5MUN2,W5MUN2_LEPOC,2.0,,1,1,,,,,,,
D4A3Z8,D4A3Z8_RAT,2.0,,1,,,1,,,,,
H2ZQZ3,H2ZQZ3_CIOSA,2.0,,1,,1,,,,,,
A9VB84,A9VB84_MONBE,2.0,,,,,,1,,,,1
A6VF06,A6VF06_PSEA7,2.0,,,,,,1,,,,1
Q8VYR9,KEA5_ARATH,2.0,,,,,,1,,,,1
I3J555,I3J555_ORENI,2.0,,,,1,1,,,,,
C3ZDE3,C3ZDE3_BRAFL,2.0,,,,,,1,,,,1
B2TRR0,B2TRR0_CLOBB,1.0,,,,,,1,,,,
B2UST0,B2UST0_HELPS,1.0,,,,,,1,,,,
B2S0F1,B2S0F1_BORHD,1.0,,,,,,1,,,,
B2SLG7,B2SLG7_XANOP,1.0,,,,,,1,,,,
B2J2A8,B2J2A8_NOSP7,1.0,,,,,,1,,,,
B2J2S2,B2J2S2_NOSP7,1.0,,,,,,1,,,,
B3WC42,B3WC42_LACCB,1.0,,,,,,1,,,,
B2JEX6,B2JEX6_BURP8,1.0,,,,,,1,,,,
B3W823,B3W823_LACCB,1.0,,,,,,1,,,,
B2JLD7,B2JLD7_BURP8,1.0,,,,,,1,,,,
B3QNJ3,B3QNJ3_CHLP8,1.0,,,,,,1,,,,
B3QAI3,B3QAI3_RHOPT,1.0,,,,,,1,,,,
B3PG78,B3PG78_CELJU,1.0,,,,,,1,,,,
B2SSJ0,B2SSJ0_XANOP,1.0,,,,,,1,,,,
B2RLP7,B2RLP7_PORG3,1.0,,,,,,1,,,,
B3PDU9,B3PDU9_CELJU,1.0,,,,,,1,,,,
B3ENU1,B3ENU1_CHLPB,1.0,,,,,,1,,,,
B3EE21,B3EE21_CHLL2,1.0,,,,,,1,,,,
B2SH58,B2SH58_FRATM,1.0,,,,,,1,,,,
B2ITR3,B2ITR3_NOSP7,1.0,,,,,,1,,,,
B3DZE8,B3DZE8_METI4,1.0,,,,,,1,,,,
B2T662,B2T662_BURPP,1.0,,,,,,1,,,,
B3DVT7,B3DVT7_METI4,1.0,,,,,,1,,,,
B2V682,B2V682_SULSY,1.0,,,,,,1,,,,
B2V680,B2V680_SULSY,1.0,,,,,,1,,,,
B2IY60,B2IY60_NOSP7,1.0,,,,,,1,,,,
B2V529,B2V529_CLOBA,1.0,,,,,,1,,,,
B2V3M7,B2V3M7_CLOBA,1.0,,,,,,1,,,,
B2UUU6,B2UUU6_HELPS,1.0,,,,,,1,,,,
B3EBD2,B3EBD2_GEOLS,1.0,,,,,,1,,,,
W5PF30,W5PF30_SHEEP,1.0,,1,,,,,,,,
B2ITR2,B2ITR2_NOSP7,1.0,,,,,,1,,,,
B1WYM1,B1WYM1_CYAA5,1.0,,,,,,1,,,,
B1WRG7,B1WRG7_CYAA5,1.0,,,,,,1,,,,
B1W2Q9,B1W2Q9_STRGG,1.0,,,,,,1,,,,
B1VXA1,B1VXA1_STRGG,1.0,,,,,,1,,,,
B1VQZ4,B1VQZ4_STRGG,1.0,,,,,,1,,,,
B1VMM5,B1VMM5_STRGG,1.0,,,,,,1,,,,
B1MZ89,B1MZ89_LEUCK,1.0,,,,,,1,,,,
B1MWI9,B1MWI9_LEUCK,1.0,,,,,,1,,,,
B1MAU5,B1MAU5_MYCA9,1.0,,,,,,1,,,,
B1L499,B1L499_KORCO,1.0,,,,,,1,,,,
B1KZ32,B1KZ32_CLOBM,1.0,,,,,,1,,,,
B1KYJ0,B1KYJ0_CLOBM,1.0,,,,,,1,,,,
B1KSC7,B1KSC7_CLOBM,1.0,,,,,,1,,,,
B1K6Q6,B1K6Q6_BURCC,1.0,,,,,,1,,,,
B1JFM5,B1JFM5_PSEPW,1.0,,,,,,1,,,,
B1JER0,B1JER0_PSEPW,1.0,,,,,,1,,,,
B1IM91,B1IM91_CLOBK,1.0,,,,,,1,,,,
B1IL10,B1IL10_CLOBK,1.0,,,,,,1,,,,
B1WWC4,B1WWC4_CYAA5,1.0,,,,,,1,,,,
B1X0U6,B1X0U6_CYAA5,1.0,,,,,,1,,,,
B2I9K9,B2I9K9_XYLF2,1.0,,,,,,1,,,,
B1X1B7,B1X1B7_CYAA5,1.0,,,,,,1,,,,
B2HL75,B2HL75_MYCMM,1.0,,,,,,1,,,,
