,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00400000023650,KCRHECH,NA,EOG7PGDTW,NOG324905,HOG000112163,HBG084155,NA,Q30KQ1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q30KQ1,DB133_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q32ZF1,Q32ZF1_RAT,4.0,,1,,,1,1,,,,1
Q30KJ6,DB133_PANTR,3.0,,,,,,1,1,1,,
H2RAP0,H2RAP0_PANTR,3.0,,1,1,,1,,,,,
H2PJB5,H2PJB5_PONAB,3.0,,1,1,,1,,,,,
G3SIQ4,G3SIQ4_GORGO,3.0,,1,1,,1,,,,,
G1QV58,G1QV58_NOMLE,3.0,,1,1,,1,,,,,
F6PVC8,F6PVC8_CALJA,3.0,,1,1,,1,,,,,
W5PST9,W5PST9_SHEEP,2.0,,1,1,,,,,,,
K7GNJ8,K7GNJ8_PIG,2.0,,1,,,1,,,,,
F7FL06,F7FL06_MACMU,2.0,,1,,,1,,,,,
A0A096NJ10,A0A096NJ10_PAPAN,1.0,,1,,,,,,,,
