,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063559,NA,TF332155,EOG79SDWD,NOG265070,NA,HBG108087,NA,Q9UPQ0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UPQ0,LIMC1_HUMAN,6.0,,1,,1,1,1,,1,,1
Q9UPQ0,LIMC1_HUMAN,6.0,,1,,1,1,1,,1,,1
Q3UH68,LIMC1_MOUSE,5.0,,1,,1,1,1,,1,,
G3NAN9,G3NAN9_GASAC,3.0,,1,,1,1,,,,,
H0UW45,H0UW45_CAVPO,3.0,,1,,1,1,,,,,
H3AZR0,H3AZR0_LATCH,3.0,,1,,1,1,,,,,
H0XGW2,H0XGW2_OTOGA,3.0,,1,,1,1,,,,,
H0WNC3,H0WNC3_OTOGA,3.0,,1,,1,1,,,,,
H0VGZ0,H0VGZ0_CAVPO,3.0,,1,,1,1,,,,,
H3D692,H3D692_TETNG,3.0,,1,,1,1,,,,,
F1QI22,F1QI22_DANRE,3.0,,1,,1,1,,,,,
E1BC91,E1BC91_BOVIN,3.0,,1,,1,1,,,,,
H3DMT7,H3DMT7_TETNG,3.0,,1,,1,1,,,,,
G3VRL2,G3VRL2_SARHA,3.0,,1,,1,1,,,,,
G3SM01,G3SM01_LOXAF,3.0,,1,,1,1,,,,,
G3S3D9,G3S3D9_GORGO,3.0,,1,,1,1,,,,,
G3RA33,G3RA33_GORGO,3.0,,1,,1,1,,,,,
I3M6H5,I3M6H5_SPETR,3.0,,1,,1,1,,,,,
I3MKC1,I3MKC1_SPETR,3.0,,1,,1,1,,,,,
G3PYD0,G3PYD0_GASAC,3.0,,1,,1,1,,,,,
H3AAD7,H3AAD7_LATCH,3.0,,1,,1,1,,,,,
F1PG65,F1PG65_CANFA,3.0,,1,,1,1,,,,,
F1M392,F1M392_RAT,3.0,,1,,1,1,,,,,
H2V4M3,H2V4M3_TAKRU,3.0,,1,,1,1,,,,,
F7B3E0,F7B3E0_HORSE,3.0,,1,,1,1,,,,,
H2R3J9,H2R3J9_PANTR,3.0,,1,,1,1,,,,,
E9PYF4,E9PYF4_MOUSE,3.0,,1,,1,1,,,,,
E9PTK8,E9PTK8_RAT,3.0,,1,,1,1,,,,,
H2Q7N3,H2Q7N3_PANTR,3.0,,1,,1,1,,,,,
H2PD66,H2PD66_PONAB,3.0,,1,,1,1,,,,,
H2NK26,H2NK26_PONAB,3.0,,1,,1,1,,,,,
H2N0H1,H2N0H1_ORYLA,3.0,,1,,1,1,,,,,
H2UQN1,H2UQN1_TAKRU,3.0,,1,,1,1,,,,,
H2M6X5,H2M6X5_ORYLA,3.0,,1,,1,1,,,,,
H2LUP1,H2LUP1_ORYLA,3.0,,1,,1,1,,,,,
H0ZQM6,H0ZQM6_TAEGU,3.0,,1,,1,1,,,,,
H0ZE75,H0ZE75_TAEGU,3.0,,1,,1,1,,,,,
F1NIU4,F1NIU4_CHICK,3.0,,1,,1,1,,,,,
F1NY52,F1NY52_CHICK,3.0,,1,,1,1,,,,,
G3PWP3,G3PWP3_GASAC,3.0,,1,,1,1,,,,,
K7FAE8,K7FAE8_PELSI,3.0,,1,,1,1,,,,,
G1LYB6,G1LYB6_AILME,3.0,,1,,1,1,,,,,
G1NHX0,G1NHX0_MELGA,3.0,,1,,1,1,,,,,
F7CJI5,F7CJI5_XENTR,3.0,,1,,1,1,,,,,
A8E4L8,A8E4L8_BOVIN,3.0,,1,,1,1,,,,,
F6SD69,F6SD69_ORNAN,3.0,,1,,1,1,,,,,
B8A4X7,B8A4X7_DANRE,3.0,,1,,,1,1,,,,
G1KAN0,G1KAN0_ANOCA,3.0,,1,,1,1,,,,,
G1KXH7,G1KXH7_ANOCA,3.0,,1,,1,1,,,,,
F7AC24,F7AC24_XENTR,3.0,,1,,1,1,,,,,
B0UYM8,B0UYM8_DANRE,3.0,,1,,1,1,,,,,
G1M370,G1M370_AILME,3.0,,1,,1,1,,,,,
G1NPZ3,G1NPZ3_MELGA,3.0,,1,,1,1,,,,,
G1P080,G1P080_MYOLU,3.0,,1,,1,1,,,,,
F7AG66,F7AG66_HORSE,3.0,,1,,1,1,,,,,
F7DPH4,F7DPH4_MONDO,3.0,,1,,1,1,,,,,
G1PDG3,G1PDG3_MYOLU,3.0,,1,,1,1,,,,,
G1S2D7,G1S2D7_NOMLE,3.0,,1,,1,1,,,,,
G1S5Y6,G1S5Y6_NOMLE,3.0,,1,,1,1,,,,,
G1SRR2,G1SRR2_RABIT,3.0,,1,,1,1,,,,,
G1T9Q0,G1T9Q0_RABIT,3.0,,1,,1,1,,,,,
F1S4G7,F1S4G7_PIG,3.0,,1,,1,1,,,,,
F7A1R8,F7A1R8_MONDO,3.0,,1,,1,1,,,,,
F7CPN4,F7CPN4_MACMU,2.0,,1,,,1,,,,,
G3PRN7,G3PRN7_GASAC,2.0,,1,,,1,,,,,
F7CP92,F7CP92_MACMU,2.0,,1,,1,,,,,,
F7BNA4,F7BNA4_MACMU,2.0,,1,,,1,,,,,
H2T1Y2,H2T1Y2_TAKRU,2.0,,1,,,1,,,,,
F7EZI4,F7EZI4_ORNAN,2.0,,1,,,1,,,,,
F1PHJ6,F1PHJ6_CANFA,2.0,,1,,,1,,,,,
F7F699,F7F699_ORNAN,2.0,,1,,,1,,,,,
F7FTH2,F7FTH2_CALJA,2.0,,1,,1,,,,,,
F6XFV2,F6XFV2_ORNAN,2.0,,1,,,1,,,,,
F7G713,F7G713_ORNAN,2.0,,1,,,1,,,,,
F7GRY0,F7GRY0_CALJA,2.0,,1,,,1,,,,,
F7GS20,F7GS20_CALJA,2.0,,1,,1,,,,,,
F1PHJ3,F1PHJ3_CANFA,2.0,,1,,1,,,,,,
F1R7D1,F1R7D1_DANRE,2.0,,1,,,1,,,,,
F6TPU1,F6TPU1_CALJA,2.0,,1,,,1,,,,,
G1LIA0,G1LIA0_AILME,2.0,,1,,,1,,,,,
G3TW41,G3TW41_LOXAF,2.0,,1,,,1,,,,,
G3T2J5,G3T2J5_LOXAF,2.0,,1,,1,,,,,,
H2T1Y3,H2T1Y3_TAKRU,2.0,,1,,1,,,,,,
H2TQ73,H2TQ73_TAKRU,2.0,,1,,1,,,,,,
M3XVS3,M3XVS3_MUSPF,2.0,,1,,,1,,,,,
H3DBZ6,H3DBZ6_TETNG,2.0,,1,,,1,,,,,
I3J4U7,I3J4U7_ORENI,2.0,,,,1,1,,,,,
I3JI28,I3JI28_ORENI,2.0,,,,1,1,,,,,
I3LPI3,I3LPI3_PIG,2.0,,1,,,1,,,,,
I3LR88,I3LR88_PIG,2.0,,1,,,1,,,,,
I3LS49,I3LS49_PIG,2.0,,1,,,1,,,,,
K7G8W7,K7G8W7_PELSI,2.0,,1,,,1,,,,,
K7G8Y9,K7G8Y9_PELSI,2.0,,1,,1,,,,,,
M3W7R0,M3W7R0_FELCA,2.0,,1,,,1,,,,,
M3W9S5,M3W9S5_FELCA,2.0,,1,,,1,,,,,
H2TQ72,H2TQ72_TAKRU,2.0,,1,,,1,,,,,
M3Y4C2,M3Y4C2_MUSPF,2.0,,1,,,1,,,,,
M3ZII5,M3ZII5_XIPMA,2.0,,1,,,1,,,,,
M4A0R6,M4A0R6_XIPMA,2.0,,1,,,1,,,,,
M4A9F0,M4A9F0_XIPMA,2.0,,1,,,1,,,,,
M4AXJ9,M4AXJ9_XIPMA,2.0,,1,,,1,,,,,
Q8WWI1,LMO7_HUMAN,2.0,,1,,,1,,,,,
B0JZN0,B0JZN0_DANRE,2.0,,,,,,1,,,,1
I3IYP0,I3IYP0_ORENI,2.0,,,,1,1,,,,,
F7BN32,F7BN32_MACMU,2.0,,1,,1,,,,,,
H3DBZ5,H3DBZ5_TETNG,2.0,,1,,,1,,,,,
H3CVL9,H3CVL9_TETNG,2.0,,1,,,1,,,,,
E7FA77,E7FA77_DANRE,2.0,,1,,1,,,,,,
F6Z3I4,F6Z3I4_CALJA,1.0,,1,,,,,,,,
B7Z656,B7Z656_HUMAN,1.0,,,,,,,,1,,
F6TFN2,F6TFN2_MOUSE,1.0,,1,,,,,,,,
B7Z5Q8,B7Z5Q8_HUMAN,1.0,,,,,,,,1,,
E9PRJ0,E9PRJ0_HUMAN,1.0,,1,,,,,,,,
B7Z5G6,B7Z5G6_HUMAN,1.0,,,,,,,,1,,
B7Z3G0,B7Z3G0_HUMAN,1.0,,,,,,,,1,,
F6VG99,F6VG99_MOUSE,1.0,,1,,,,,,,,
F6W1Y9,F6W1Y9_MOUSE,1.0,,1,,,,,,,,
F6X3N8,F6X3N8_MOUSE,1.0,,1,,,,,,,,
B7Z3F1,B7Z3F1_HUMAN,1.0,,,,,,,,1,,
F6YGL2,F6YGL2_CALJA,1.0,,1,,,,,,,,
F1Q7Z5,F1Q7Z5_DANRE,1.0,,1,,,,,,,,
B7Z2J4,B7Z2J4_HUMAN,1.0,,,,,,,,1,,
F6SBR8,F6SBR8_CIOIN,1.0,,,,,1,,,,,
B0UYM5,B0UYM5_DANRE,1.0,,1,,,,,,,,
F6ZAR4,F6ZAR4_XENTR,1.0,,1,,,,,,,,
E9PYI7,E9PYI7_MOUSE,1.0,,1,,,,,,,,
A7MC57,A7MC57_XENTR,1.0,,,,,,1,,,,
A0A0A0MTE2,A0A0A0MTE2_HUMAN,1.0,,1,,,,,,,,
A0A096MTU8,A0A096MTU8_PAPAN,1.0,,1,,,,,,,,
A0A096ML83,A0A096ML83_PAPAN,1.0,,1,,,,,,,,
A0A087YKE7,A0A087YKE7_POEFO,1.0,,1,,,,,,,,
A0A087XZV0,A0A087XZV0_POEFO,1.0,,1,,,,,,,,
A0A087XUQ6,A0A087XUQ6_POEFO,1.0,,1,,,,,,,,
B5DE77,B5DE77_XENTR,1.0,,1,,,,,,,,
D3YU22,D3YU22_MOUSE,1.0,,1,,,,,,,,
F6RME4,F6RME4_HORSE,1.0,,1,,,,,,,,
D3YU59,D3YU59_MOUSE,1.0,,1,,,,,,,,
D6RJ93,D6RJ93_HUMAN,1.0,,1,,,,,,,,
F1QJN0,F1QJN0_DANRE,1.0,,1,,,,,,,,
E0CZD8,E0CZD8_MOUSE,1.0,,1,,,,,,,,
F1QL17,F1QL17_DANRE,1.0,,1,,,,,,,,
E7EPK0,E7EPK0_HUMAN,1.0,,1,,,,,,,,
