,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00550000074591,TQITMAT,NA,EOG7V7665,COG0405,HOG000074069,HBG051730,NA,Q9BX51
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BX51,GGTL1_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q9BX51,GGTL1_HUMAN,7.0,,1,1,,1,1,1,1,,1
A7SEW7,A7SEW7_NEMVE,5.0,,,1,,1,1,1,,,1
B5MD39,GGTL3_HUMAN,4.0,,1,,,1,,1,1,,
Q14390,GGTL2_HUMAN,4.0,,1,,,1,,1,1,,
Q9CAR5,GAGT4_ARATH,3.0,,,,,,1,1,,,1
P36269,GGT5_HUMAN,3.0,,1,,,1,1,,,,
Q9Z2A9,GGT5_MOUSE,3.0,,1,,,1,1,,,,
Q9XZS5,Q9XZS5_DROME,3.0,,1,,,1,1,,,,
H2QK37,H2QK37_PANTR,3.0,,1,1,,1,,,,,
Q9VYR2,Q9VYR2_DROME,3.0,,1,,,1,1,,,,
Q9VWT3,Q9VWT3_DROME,3.0,,1,,,1,1,,,,
A7RVG4,A7RVG4_NEMVE,3.0,,,,,1,1,,,,1
Q9N5V4,Q9N5V4_CAEEL,3.0,,1,,,1,1,,,,
P19440,GGT1_HUMAN,3.0,,1,,,1,1,,,,
Q05902,ECM38_YEAST,3.0,,1,,,,1,,,,1
O18256,O18256_CAEEL,3.0,,1,,,1,1,,,,
A7RVG5,A7RVG5_NEMVE,3.0,,,,,1,1,,,,1
A7SBB1,A7SBB1_NEMVE,3.0,,,,,1,1,,,,1
A7SF26,A7SF26_NEMVE,3.0,,,,,1,1,,,,1
B0UXV5,B0UXV5_DANRE,3.0,,1,,,1,1,,,,
A7SSJ4,A7SSJ4_NEMVE,3.0,,,,,1,1,,,,1
G1S049,G1S049_NOMLE,3.0,,1,1,,1,,,,,
B5MC36,B5MC36_HUMAN,3.0,,1,,,,,1,1,,
A8JV19,A8JV19_DROME,3.0,,1,,,1,1,,,,
B5MC34,B5MC34_HUMAN,3.0,,1,,,,,1,1,,
B5BM47,B5BM47_CAEEL,3.0,,1,,,1,1,,,,
Q60928,GGT1_MOUSE,3.0,,1,,,1,1,,,,
A7TA81,A7TA81_NEMVE,2.0,,,,,1,1,,,,
F7IEP5,F7IEP5_CALJA,2.0,,1,,,1,,,,,
G1T2W7,G1T2W7_RABIT,2.0,,1,,,1,,,,,
G1TLQ2,G1TLQ2_RABIT,2.0,,1,,,1,,,,,
G3N2D8,G3N2D8_BOVIN,2.0,,1,,,1,,,,,
A7T9N0,A7T9N0_NEMVE,2.0,,,,,1,1,,,,
Q16FZ4,Q16FZ4_AEDAE,2.0,,,,,1,1,,,,
A7T7L7,A7T7L7_NEMVE,2.0,,,,,1,1,,,,
