,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000046514,NA,TF337563,EOG7MD4P9,NOG76473,NA,HBG108562,NA,Q6N021
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6N021,TET2_HUMAN,6.0,,1,,1,1,1,,1,,1
Q4JK59,TET2_MOUSE,6.0,,1,,1,1,1,,1,,1
Q6N021,TET2_HUMAN,6.0,,1,,1,1,1,,1,,1
D4AC33,D4AC33_RAT,3.0,,1,,1,,,,,,1
H2PE14,H2PE14_PONAB,3.0,,1,,1,1,,,,,
F1S116,F1S116_PIG,3.0,,1,,1,1,,,,,
H0XX74,H0XX74_OTOGA,3.0,,1,,1,1,,,,,
I3MV75,I3MV75_SPETR,3.0,,1,,1,1,,,,,
E2R146,E2R146_CANFA,3.0,,1,,1,1,,,,,
H0V6A6,H0V6A6_CAVPO,3.0,,1,,1,1,,,,,
K7FUI1,K7FUI1_PELSI,3.0,,1,,1,1,,,,,
G3W3X0,G3W3X0_SARHA,3.0,,1,,1,1,,,,,
E1BD99,E1BD99_BOVIN,3.0,,1,,1,1,,,,,
D4AC33,D4AC33_RAT,3.0,,1,,1,,,,,,1
F7FXD1,F7FXD1_MONDO,3.0,,1,,1,1,,,,,
G3RNU6,G3RNU6_GORGO,3.0,,1,,1,1,,,,,
H2QPZ5,H2QPZ5_PANTR,3.0,,1,,1,1,,,,,
G1PM72,G1PM72_MYOLU,3.0,,1,,1,1,,,,,
G1RS82,G1RS82_NOMLE,3.0,,1,,1,1,,,,,
G1N320,G1N320_MELGA,3.0,,1,,1,1,,,,,
G1SSD1,G1SSD1_RABIT,3.0,,1,,1,1,,,,,
F7DR39,F7DR39_MACMU,2.0,,1,,,1,,,,,
F7B2Z8,F7B2Z8_CALJA,2.0,,1,,1,,,,,,
E7F958,E7F958_DANRE,2.0,,1,,,1,,,,,
H0Z012,H0Z012_TAEGU,2.0,,1,,,1,,,,,
F1NJ90,F1NJ90_CHICK,2.0,,1,,,1,,,,,
H9GE46,H9GE46_ANOCA,2.0,,1,,,1,,,,,
F7HMT4,F7HMT4_CALJA,2.0,,1,,,1,,,,,
H2LQ18,H2LQ18_ORYLA,2.0,,1,,,1,,,,,
F6ZYL2,F6ZYL2_HORSE,2.0,,1,,,1,,,,,
M0R3U6,M0R3U6_RAT,2.0,,1,,,1,,,,,
G1LJZ8,G1LJZ8_AILME,2.0,,1,,1,,,,,,
M3XF06,M3XF06_FELCA,2.0,,1,,,1,,,,,
H3DL03,H3DL03_TETNG,2.0,,1,,,1,,,,,
F7DR47,F7DR47_MACMU,2.0,,,,1,1,,,,,
G1LJZ3,G1LJZ3_AILME,2.0,,1,,,1,,,,,
Q8NFU7,TET1_HUMAN,2.0,,1,,,,1,,,,
G3PZZ9,G3PZZ9_GASAC,2.0,,1,,,1,,,,,
H2SDX3,H2SDX3_TAKRU,2.0,,1,,,1,,,,,
F6U6M4,F6U6M4_CIOIN,2.0,,1,,,1,,,,,
A2CEA2,A2CEA2_DANRE,2.0,,1,,,,1,,,,
F6QVT4,F6QVT4_HORSE,2.0,,,,1,1,,,,,
G3UKJ9,G3UKJ9_LOXAF,2.0,,1,,,1,,,,,
F6PXM2,F6PXM2_XENTR,2.0,,1,,,1,,,,,
H3AG05,H3AG05_LATCH,2.0,,1,,,1,,,,,
M3ZTA4,M3ZTA4_XIPMA,2.0,,1,,,1,,,,,
M3YCM8,M3YCM8_MUSPF,2.0,,1,,,1,,,,,
G1P294,G1P294_MYOLU,1.0,,1,,,,,,,,
F6V6A0,F6V6A0_ORNAN,1.0,,1,,,,,,,,
F6ZJ08,F6ZJ08_ORNAN,1.0,,,,,1,,,,,
F7AKG6,F7AKG6_HORSE,1.0,,1,,,,,,,,
F6VLI3,F6VLI3_HORSE,1.0,,1,,,,,,,,
F6XCP8,F6XCP8_MONDO,1.0,,1,,,,,,,,
F7I1Q0,F7I1Q0_CALJA,1.0,,1,,,,,,,,
F7B8K2,F7B8K2_XENTR,1.0,,1,,,,,,,,
F7B8K9,F7B8K9_XENTR,1.0,,1,,,,,,,,
F7I1Q4,F7I1Q4_CALJA,1.0,,1,,,,,,,,
F7GZE1,F7GZE1_MACMU,1.0,,1,,,,,,,,
F7GQL0,F7GQL0_CALJA,1.0,,1,,,,,,,,
F7GQB9,F7GQB9_CALJA,1.0,,1,,,,,,,,
F7GQ94,F7GQ94_CALJA,1.0,,1,,,,,,,,
F7EP39,F7EP39_ORNAN,1.0,,1,,,,,,,,
F7EP34,F7EP34_ORNAN,1.0,,1,,,,,,,,
F7EF05,F7EF05_MACMU,1.0,,1,,,,,,,,
F7D294,F7D294_MACMU,1.0,,1,,,,,,,,
F6V082,F6V082_HORSE,1.0,,1,,,,,,,,
F7D285,F7D285_MACMU,1.0,,1,,,,,,,,
G1MG63,G1MG63_AILME,1.0,,1,,,,,,,,
G1MYB6,G1MYB6_MELGA,1.0,,1,,,,,,,,
G1NDB1,G1NDB1_MELGA,1.0,,1,,,,,,,,
G1NQX7,G1NQX7_MELGA,1.0,,1,,,,,,,,
F7BTK8,F7BTK8_XENTR,1.0,,1,,,,,,,,
F7BMD4,F7BMD4_ORNAN,1.0,,1,,,,,,,,
F7D273,F7D273_MACMU,1.0,,1,,,,,,,,
W5PRQ9,W5PRQ9_SHEEP,1.0,,1,,,,,,,,
F6TNA1,F6TNA1_HORSE,1.0,,1,,,,,,,,
F6S1Q5,F6S1Q5_MONDO,1.0,,1,,,,,,,,
B7QKG9,B7QKG9_IXOSC,1.0,,,,,,1,,,,
B4PDB2,B4PDB2_DROYA,1.0,,,,,,1,,,,
B4MN32,B4MN32_DROWI,1.0,,,,,,1,,,,
B4LE31,B4LE31_DROVI,1.0,,,,,,1,,,,
B4K0C9,B4K0C9_DROGR,1.0,,,,,,1,,,,
B3RIQ4,B3RIQ4_TRIAD,1.0,,,,,,1,,,,
B3M7H2,B3M7H2_DROAN,1.0,,,,,,1,,,,
B0WRY0,B0WRY0_CULQU,1.0,,,,,,1,,,,
A7URN0,A7URN0_ANOGA,1.0,,,,,,1,,,,
A7S0G3,A7S0G3_NEMVE,1.0,,,,,,1,,,,
A0JP82,A0JP82_XENTR,1.0,,,,,,1,,,,
A0A0A0MS53,A0A0A0MS53_HUMAN,1.0,,1,,,,,,,,
A0A096P519,A0A096P519_PAPAN,1.0,,1,,,,,,,,
A0A096NFM8,A0A096NFM8_PAPAN,1.0,,1,,,,,,,,
A0A096NEV4,A0A096NEV4_PAPAN,1.0,,1,,,,,,,,
A0A096MN85,A0A096MN85_PAPAN,1.0,,1,,,,,,,,
A0A096MEY7,A0A096MEY7_POEFO,1.0,,1,,,,,,,,
A0A096LVJ8,A0A096LVJ8_POEFO,1.0,,1,,,,,,,,
A0A087Y237,A0A087Y237_POEFO,1.0,,1,,,,,,,,
A0A087XAA1,A0A087XAA1_POEFO,1.0,,1,,,,,,,,
A0A087X8M2,A0A087X8M2_POEFO,1.0,,1,,,,,,,,
C3ZZN4,C3ZZN4_BRAFL,1.0,,,,,,1,,,,
D0VLQ4,D0VLQ4_MOUSE,1.0,,,,,,1,,,,
D2GXI8,D2GXI8_AILME,1.0,,1,,,,,,,,
E9QG55,E9QG55_DANRE,1.0,,1,,,,,,,,
F1SUI3,F1SUI3_PIG,1.0,,1,,,,,,,,
F1SLG7,F1SLG7_PIG,1.0,,1,,,,,,,,
F1R3C6,F1R3C6_DANRE,1.0,,1,,,,,,,,
G1QHJ7,G1QHJ7_NOMLE,1.0,,1,,,,,,,,
F1QQ36,F1QQ36_DANRE,1.0,,1,,,,,,,,
F1PBJ1,F1PBJ1_CANFA,1.0,,1,,,,,,,,
F1MJY3,F1MJY3_BOVIN,1.0,,1,,,,,,,,
F1MGK2,F1MGK2_BOVIN,1.0,,1,,,,,,,,
F1LUQ3,F1LUQ3_RAT,1.0,,1,,,,,,,,
E9Q9Y4,E9Q9Y4_MOUSE,1.0,,1,,,,,,,,
D3ZES0,D3ZES0_RAT,1.0,,1,,,,,,,,
E7EQS8,E7EQS8_HUMAN,1.0,,1,,,,,,,,
E7EPB1,E7EPB1_HUMAN,1.0,,1,,,,,,,,
E2QSC2,E2QSC2_CANFA,1.0,,1,,,,,,,,
E1BYY9,E1BYY9_CHICK,1.0,,1,,,,,,,,
E1BFM5,E1BFM5_BOVIN,1.0,,1,,,,,,,,
D6RE87,D6RE87_HUMAN,1.0,,1,,,,,,,,
D4ABV3,D4ABV3_RAT,1.0,,1,,,,,,,,
D4A4D3,D4A4D3_RAT,1.0,,1,,,,,,,,
D3ZQT7,D3ZQT7_RAT,1.0,,1,,,,,,,,
