,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000048298,QCMLRFS,TF354322,NA,NOG312529,HOG000231171,HBG061557,NA,Q9H6L4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B2GUY5,B2GUY5_RAT,7.0,,1,1,1,,1,1,1,,1
Q3UJZ3,ARMC7_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q9H6L4,ARMC7_HUMAN,7.0,,1,1,1,,1,1,1,,1
A4FV81,A4FV81_BOVIN,6.0,,1,1,1,,1,1,1,,
Q08BY8,Q08BY8_DANRE,4.0,,,,,,1,1,1,,1
G3QPY1,G3QPY1_GORGO,3.0,,1,1,1,,,,,,
H2TTA2,H2TTA2_TAKRU,3.0,,1,1,1,,,,,,
G1LRF0,G1LRF0_AILME,3.0,,1,1,1,,,,,,
I3MP95,I3MP95_SPETR,3.0,,1,1,1,,,,,,
G1NAS6,G1NAS6_MELGA,3.0,,1,1,1,,,,,,
H3D2Q6,H3D2Q6_TETNG,3.0,,1,1,1,,,,,,
H3AAX4,H3AAX4_LATCH,3.0,,1,1,1,,,,,,
H2YTY0,H2YTY0_CIOSA,3.0,,1,1,1,,,,,,
H2NUP1,H2NUP1_PONAB,3.0,,1,1,1,,,,,,
H2QDU7,H2QDU7_PANTR,3.0,,1,1,1,,,,,,
K7FEF4,K7FEF4_PELSI,3.0,,1,1,1,,,,,,
H0ZEI8,H0ZEI8_TAEGU,3.0,,1,1,1,,,,,,
H0XFU3,H0XFU3_OTOGA,3.0,,1,1,1,,,,,,
H0VWX4,H0VWX4_CAVPO,3.0,,1,1,1,,,,,,
G3X2U2,G3X2U2_SARHA,3.0,,1,1,1,,,,,,
G3T7G5,G3T7G5_LOXAF,3.0,,1,1,1,,,,,,
G1PLG0,G1PLG0_MYOLU,3.0,,1,1,1,,,,,,
G3NJ96,G3NJ96_GASAC,3.0,,1,1,1,,,,,,
F7I209,F7I209_CALJA,3.0,,1,1,1,,,,,,
F7C8T0,F7C8T0_MACMU,3.0,,1,1,1,,,,,,
E1C475,E1C475_CHICK,3.0,,1,1,1,,,,,,
F1R1C2,F1R1C2_DANRE,3.0,,1,1,1,,,,,,
A7RKU0,A7RKU0_NEMVE,3.0,,,,,,1,1,,,1
B3H618,B3H618_ARATH,3.0,,,,,,1,1,,,1
B3RPU1,B3RPU1_TRIAD,3.0,,,1,,,1,1,,,
C3YCL3,C3YCL3_BRAFL,3.0,,,1,,,1,,,,1
E2RGQ4,E2RGQ4_CANFA,3.0,,1,1,1,,,,,,
