,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000006240,PMRKEEN,TF337232,EOG7X9G8R,NOG27072,HOG000115697,HBG053680,NA,Q86XR5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q86XR5,PRIMA_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q2T9N5,Q2T9N5_BOVIN,7.0,,1,1,1,1,1,1,1,,
B9VWG2,B9VWG2_CHICK,6.0,,1,1,1,1,,,1,,1
D3ZZP4,PRIMA_RAT,4.0,,1,1,1,1,,,,,
G3REW9,G3REW9_GORGO,4.0,,1,1,1,1,,,,,
G3W433,G3W433_SARHA,4.0,,1,1,1,1,,,,,
H0VMW8,H0VMW8_CAVPO,4.0,,1,1,1,1,,,,,
H0X0L2,H0X0L2_OTOGA,4.0,,1,1,1,1,,,,,
H2NM41,H2NM41_PONAB,4.0,,1,1,1,1,,,,,
H2Q8U3,H2Q8U3_PANTR,4.0,,1,1,1,1,,,,,
F6U027,F6U027_HORSE,4.0,,1,1,1,1,,,,,
G1PSB6,G1PSB6_MYOLU,4.0,,1,1,1,1,,,,,
J9NTV1,J9NTV1_CANFA,4.0,,1,1,1,1,,,,,
K7E2V8,K7E2V8_MONDO,4.0,,1,1,1,1,,,,,
K7FP25,K7FP25_PELSI,4.0,,1,1,1,1,,,,,
G1NKF3,G1NKF3_MELGA,4.0,,1,1,1,1,,,,,
E7FER7,E7FER7_DANRE,4.0,,1,1,1,1,,,,,
F1SD49,F1SD49_PIG,4.0,,1,1,1,1,,,,,
M3VUL9,M3VUL9_FELCA,3.0,,1,1,,1,,,,,
K7EG79,K7EG79_ORNAN,3.0,,1,,1,1,,,,,
M3XWA9,M3XWA9_MUSPF,3.0,,1,1,,1,,,,,
G1MBF1,G1MBF1_AILME,3.0,,1,,1,1,,,,,
I3MJY6,I3MJY6_SPETR,3.0,,1,,1,1,,,,,
Q810F0,PRIMA_MOUSE,3.0,,,,,,1,1,1,,
D6RE30,D6RE30_MOUSE,3.0,,1,,,1,,1,,,
F8VQJ2,F8VQJ2_MOUSE,3.0,,1,1,1,,,,,,
H0ZQV7,H0ZQV7_TAEGU,3.0,,1,,1,1,,,,,
F7GRJ1,F7GRJ1_CALJA,3.0,,1,1,1,,,,,,
G1TFN1,G1TFN1_RABIT,3.0,,1,,1,1,,,,,
G1S5Y0,G1S5Y0_NOMLE,2.0,,1,,,1,,,,,
F7EYX1,F7EYX1_CALJA,2.0,,1,,,1,,,,,
G3SZX9,G3SZX9_LOXAF,2.0,,1,,,1,,,,,
W5N606,W5N606_LEPOC,2.0,,1,1,,,,,,,
H2N187,H2N187_ORYLA,2.0,,1,,1,,,,,,
H3BW85,H3BW85_TETNG,2.0,,1,,1,,,,,,
B9VWG3,B9VWG3_CHICK,2.0,,,,,,1,,1,,
U3JII0,U3JII0_FICAL,2.0,,1,1,,,,,,,
W5KHG6,W5KHG6_ASTMX,2.0,,1,1,,,,,,,
F7EAK1,F7EAK1_MACMU,2.0,,1,,,1,,,,,
D6RCX4,D6RCX4_MOUSE,1.0,,1,,,,,,,,
A0A096NJH3,A0A096NJH3_PAPAN,1.0,,1,,,,,,,,
A0A096MDF6,A0A096MDF6_POEFO,1.0,,1,,,,,,,,
A0A096M4X9,A0A096M4X9_POEFO,1.0,,1,,,,,,,,
A0A096LX24,A0A096LX24_POEFO,1.0,,1,,,,,,,,
A0A087Y027,A0A087Y027_POEFO,1.0,,1,,,,,,,,
W5PX69,W5PX69_SHEEP,1.0,,1,,,,,,,,
F6VZI7,F6VZI7_CALJA,1.0,,1,,,,,,,,
F7HY41,F7HY41_CALJA,1.0,,1,,,,,,,,
F8W4S8,F8W4S8_DANRE,1.0,,1,,,,,,,,
G1KI05,G1KI05_ANOCA,1.0,,,,,1,,,,,
G3NZF9,G3NZF9_GASAC,1.0,,1,,,,,,,,
H2R976,H2R976_PANTR,1.0,,1,,,,,,,,
K7FP32,K7FP32_PELSI,1.0,,1,,,,,,,,
M4AGL9,M4AGL9_XIPMA,1.0,,1,,,,,,,,
Q3USW1,Q3USW1_MOUSE,1.0,,,,,,,,1,,
Q8C546,Q8C546_MOUSE,1.0,,,,1,,,,,,
U3ITU3,U3ITU3_ANAPL,1.0,,1,,,,,,,,
W5L5B6,W5L5B6_ASTMX,1.0,,1,,,,,,,,
W5N5Z8,W5N5Z8_LEPOC,1.0,,1,,,,,,,,
A0A024R6J9,A0A024R6J9_HUMAN,1.0,,,1,,,,,,,
