,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000012396,TDIYKKT,TF336040,EOG7TF78M,NOG128347,HOG000154251,HBG083919,NA,Q8N6K7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8N6K7,SAMD3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8N6K7,SAMD3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
F7FJV5,F7FJV5_MACMU,4.0,,1,1,1,1,,,,,
F6QY58,F6QY58_ORNAN,4.0,,1,1,1,1,,,,,
G1NV21,G1NV21_MYOLU,4.0,,1,1,1,1,,,,,
G1NKH0,G1NKH0_MELGA,4.0,,1,1,1,1,,,,,
I3MEM5,I3MEM5_SPETR,4.0,,1,1,1,1,,,,,
K7FU50,K7FU50_PELSI,4.0,,1,1,1,1,,,,,
G3TDN6,G3TDN6_LOXAF,4.0,,1,1,1,1,,,,,
G3WZQ3,G3WZQ3_SARHA,4.0,,1,1,1,1,,,,,
G1LMJ0,G1LMJ0_AILME,4.0,,1,1,1,1,,,,,
F7IRA6,F7IRA6_CALJA,4.0,,1,1,1,1,,,,,
H3A1U8,H3A1U8_LATCH,4.0,,1,1,1,1,,,,,
F7AH25,F7AH25_MONDO,4.0,,1,1,1,1,,,,,
F6ZT69,F6ZT69_HORSE,4.0,,1,1,1,1,,,,,
F6PN19,F6PN19_BOVIN,4.0,,1,1,1,1,,,,,
G3QE56,G3QE56_GORGO,4.0,,1,1,1,1,,,,,
F1S3M6,F1S3M6_PIG,4.0,,1,1,1,1,,,,,
E9Q3G4,E9Q3G4_MOUSE,4.0,,1,1,1,1,,,,,
E2RC14,E2RC14_CANFA,4.0,,1,1,1,1,,,,,
E1BU98,E1BU98_CHICK,4.0,,1,1,1,1,,,,,
H0WJ15,H0WJ15_OTOGA,4.0,,1,1,1,1,,,,,
H0ZN88,H0ZN88_TAEGU,4.0,,1,1,1,1,,,,,
H2PKB4,H2PKB4_PONAB,4.0,,1,1,1,1,,,,,
Q8C4H2,SAMD3_MOUSE,4.0,,1,,,,,1,1,,1
Q8C4H2,SAMD3_MOUSE,4.0,,1,,,,,1,1,,1
H2QTQ6,H2QTQ6_PANTR,4.0,,1,1,1,1,,,,,
G1RVT9,G1RVT9_NOMLE,4.0,,1,1,1,1,,,,,
H0V7G2,H0V7G2_CAVPO,3.0,,1,,1,1,,,,,
G1TB83,G1TB83_RABIT,3.0,,1,,1,1,,,,,
M3VWQ2,M3VWQ2_FELCA,3.0,,1,1,,1,,,,,
M3YT74,M3YT74_MUSPF,3.0,,1,1,,1,,,,,
D3ZKC5,D3ZKC5_RAT,3.0,,1,,1,1,,,,,
Q2T9R5,Q2T9R5_BOVIN,3.0,,,,,,1,1,1,,
U3KAT1,U3KAT1_FICAL,2.0,,1,1,,,,,,,
F6S3U6,F6S3U6_CIOIN,2.0,,1,,,1,,,,,
B9EKF8,B9EKF8_MOUSE,2.0,,,,,,,1,1,,
A7ST68,A7ST68_NEMVE,2.0,,,,,1,1,,,,
H2XMM7,H2XMM7_CIOIN,2.0,,1,,,1,,,,,
W5PWJ2,W5PWJ2_SHEEP,2.0,,1,1,,,,,,,
U3IUC2,U3IUC2_ANAPL,2.0,,1,1,,,,,,,
I3JQ41,I3JQ41_ORENI,1.0,,,,,1,,,,,
F1QRS3,F1QRS3_DANRE,1.0,,,,,1,,,,,
E9QID7,E9QID7_DANRE,1.0,,,,,1,,,,,
F1MIP5,F1MIP5_BOVIN,1.0,,1,,,,,,,,
F1Q6L9,F1Q6L9_DANRE,1.0,,,,,1,,,,,
F1Q8F8,F1Q8F8_DANRE,1.0,,,,,1,,,,,
F1Q8N3,F1Q8N3_DANRE,1.0,,,,,1,,,,,
F1QAN7,F1QAN7_DANRE,1.0,,,,,1,,,,,
F1QD97,F1QD97_DANRE,1.0,,,,,1,,,,,
F1QDA9,F1QDA9_DANRE,1.0,,,,,1,,,,,
F1QG54,F1QG54_DANRE,1.0,,,,,1,,,,,
F1QHJ9,F1QHJ9_DANRE,1.0,,,,,1,,,,,
F1QMA0,F1QMA0_DANRE,1.0,,,,,1,,,,,
F1QRC2,F1QRC2_DANRE,1.0,,,,,1,,,,,
F1QT30,F1QT30_DANRE,1.0,,,,,1,,,,,
E9QD26,E9QD26_DANRE,1.0,,,,,1,,,,,
F1QTX3,F1QTX3_DANRE,1.0,,,,,1,,,,,
F1QWZ7,F1QWZ7_DANRE,1.0,,,,,1,,,,,
F1QXE6,F1QXE6_DANRE,1.0,,,,,1,,,,,
F1R0D4,F1R0D4_DANRE,1.0,,,,,1,,,,,
F1R0E0,F1R0E0_DANRE,1.0,,,,,1,,,,,
F1R1C7,F1R1C7_DANRE,1.0,,,,,1,,,,,
F1R239,F1R239_DANRE,1.0,,,,,1,,,,,
F1R2Y4,F1R2Y4_DANRE,1.0,,,,,1,,,,,
F1R4C7,F1R4C7_DANRE,1.0,,,,,1,,,,,
F1R9I7,F1R9I7_DANRE,1.0,,,,,1,,,,,
F1RBN3,F1RBN3_DANRE,1.0,,,,,1,,,,,
F1RC42,F1RC42_DANRE,1.0,,,,,1,,,,,
E9QFZ0,E9QFZ0_DANRE,1.0,,,,,1,,,,,
Q17HL4,Q17HL4_AEDAE,1.0,,,,,,1,,,,
I3JGZ2,I3JGZ2_ORENI,1.0,,,,,1,,,,,
E9PS85,E9PS85_HUMAN,1.0,,1,,,,,,,,
A4IGB0,A4IGB0_DANRE,1.0,,,,,1,,,,,
B0W1G9,B0W1G9_CULQU,1.0,,,,,,1,,,,
B0WAE2,B0WAE2_CULQU,1.0,,,,,,1,,,,
B0WGL9,B0WGL9_CULQU,1.0,,,,,,1,,,,
B0WU47,B0WU47_CULQU,1.0,,,,,,1,,,,
B0X867,B0X867_CULQU,1.0,,,,,,1,,,,
B0XBY7,B0XBY7_CULQU,1.0,,,,,,1,,,,
B0XGL0,B0XGL0_CULQU,1.0,,,,,,1,,,,
B0XKY8,B0XKY8_CULQU,1.0,,,,,,1,,,,
B7P301,B7P301_IXOSC,1.0,,,,,1,,,,,
B7Q1V2,B7Q1V2_IXOSC,1.0,,,,,1,,,,,
B8JKT5,B8JKT5_DANRE,1.0,,,,,1,,,,,
Q5RG00,Q5RG00_DANRE,1.0,,,,,1,,,,,
D2HLX0,D2HLX0_AILME,1.0,,,,,,,1,,,
Q1L9B6,Q1L9B6_DANRE,1.0,,,,,1,,,,,
Q17KG0,Q17KG0_AEDAE,1.0,,,,,,1,,,,
Q17KF9,Q17KF9_AEDAE,1.0,,,,,,1,,,,
E7F319,E7F319_DANRE,1.0,,,,,1,,,,,
E7F4X0,E7F4X0_DANRE,1.0,,,,,1,,,,,
E7F5W8,E7F5W8_DANRE,1.0,,,,,1,,,,,
E7F8S8,E7F8S8_DANRE,1.0,,,,,1,,,,,
E9PPN0,E9PPN0_HUMAN,1.0,,1,,,,,,,,
E9PR28,E9PR28_HUMAN,1.0,,1,,,,,,,,
E9PR45,E9PR45_HUMAN,1.0,,1,,,,,,,,
E9PRU9,E9PRU9_HUMAN,1.0,,1,,,,,,,,
Q17GD2,Q17GD2_AEDAE,1.0,,,,,,1,,,,
Q16XS3,Q16XS3_AEDAE,1.0,,,,,,1,,,,
Q16VB6,Q16VB6_AEDAE,1.0,,,,,,1,,,,
H9GY15,H9GY15_DANRE,1.0,,,,,1,,,,,
H2L6W2,H2L6W2_ORYLA,1.0,,,,,1,,,,,
H2M109,H2M109_ORYLA,1.0,,,,,1,,,,,
H2M861,H2M861_ORYLA,1.0,,,,,1,,,,,
H2MJ56,H2MJ56_ORYLA,1.0,,,,,1,,,,,
H2MKM5,H2MKM5_ORYLA,1.0,,,,,1,,,,,
H2MVV5,H2MVV5_ORYLA,1.0,,,,,1,,,,,
I3KDY5,I3KDY5_ORENI,1.0,,,,,1,,,,,
