,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00440000039984,VATYISE,TF316475,NA,COG3386,HOG000223914,HBG050543,NA,Q9HDC9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D7N9,APMAP_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q9HDC9,APMAP_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9HDC9,APMAP_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q5FVB7,Q5FVB7_XENTR,5.0,,1,,1,,1,1,1,,
Q4S2M7,Q4S2M7_TETNG,5.0,,1,1,1,,1,,1,,
B3DIS2,B3DIS2_DANRE,5.0,,1,,1,,1,1,1,,
Q3T0E5,APMAP_BOVIN,5.0,,1,1,1,,1,1,,,
Q803F5,APMAP_DANRE,4.0,,,,1,,1,1,,,1
Q5ZIF1,APMAP_CHICK,4.0,,1,,,,1,1,,,1
O62040,O62040_CAEEL,4.0,,1,,,,1,1,,,1
Q7TP48,APMAP_RAT,4.0,,1,,,,1,1,,,1
Q7TP48,APMAP_RAT,4.0,,1,,,,1,1,,,1
O62265,O62265_CAEEL,4.0,,1,,,,1,1,,,1
H2P185,H2P185_PONAB,3.0,,1,1,1,,,,,,
Q01Y82,Q01Y82_SOLUE,3.0,,,1,,,1,1,,,
A8XYU3,A8XYU3_CAEBR,3.0,,,1,,,1,1,,,
F6S5S8,F6S5S8_CALJA,3.0,,1,1,1,,,,,,
H2QK40,H2QK40_PANTR,3.0,,1,1,1,,,,,,
Q22437,Q22437_CAEEL,3.0,,1,,,,1,,,,1
H0Z6N7,H0Z6N7_TAEGU,3.0,,1,1,1,,,,,,
F6W1R3,F6W1R3_MACMU,3.0,,1,1,1,,,,,,
E2RPE9,E2RPE9_CANFA,3.0,,1,1,1,,,,,,
H0WKT8,H0WKT8_OTOGA,3.0,,1,1,1,,,,,,
H0VBM4,H0VBM4_CAVPO,3.0,,1,1,1,,,,,,
G3VIF2,G3VIF2_SARHA,3.0,,1,1,1,,,,,,
G3T888,G3T888_LOXAF,3.0,,1,1,1,,,,,,
G3QG13,G3QG13_GORGO,3.0,,1,1,1,,,,,,
G3N8Y6,G3N8Y6_GASAC,3.0,,1,1,1,,,,,,
G1S028,G1S028_NOMLE,3.0,,1,1,1,,,,,,
G1PGJ9,G1PGJ9_MYOLU,3.0,,1,1,1,,,,,,
F7CSZ7,F7CSZ7_HORSE,3.0,,1,1,1,,,,,,
F6XEH1,F6XEH1_XENTR,3.0,,1,1,1,,,,,,
F1SAS3,F1SAS3_PIG,3.0,,1,1,1,,,,,,
H2ZUY5,H2ZUY5_LATCH,3.0,,1,1,1,,,,,,
I3M6Y5,I3M6Y5_SPETR,3.0,,1,1,1,,,,,,
A7RZV5,A7RZV5_NEMVE,3.0,,,,,,1,1,,,1
Q9CAZ7,SSL5_ARATH,3.0,,,,,,1,1,,,1
H2Y826,H2Y826_CIOSA,3.0,,1,1,1,,,,,,
Q9SD07,SSL4_ARATH,3.0,,,,,,1,1,,,1
Q9SD05,SSL6_ARATH,3.0,,,,,,1,1,,,1
Q9SD04,SSL7_ARATH,3.0,,,,,,1,1,,,1
A6V8R7,A6V8R7_PSEA7,3.0,,,,,,1,1,,,1
F7BQY7,F7BQY7_MONDO,2.0,,1,,1,,,,,,
A4XT70,A4XT70_PSEMY,2.0,,,,,,1,1,,,
