,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05310,ENSGT00780000122020,ILMKIHT,TF300609,EOG7B8S35,COG1524,HOG000171439,HBG075245,NA,Q5H8A4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5H8A4,PIGG_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5H8A4,PIGG_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
G3RE71,G3RE71_GORGO,5.0,1,1,1,1,1,,,,,
E2QRY4,E2QRY4_CANFA,5.0,1,1,1,1,1,,,,,
E7FE54,E7FE54_DANRE,5.0,1,1,1,1,1,,,,,
H2QP26,H2QP26_PANTR,5.0,1,1,1,1,1,,,,,
A1Z705,A1Z705_DROME,5.0,1,1,,,1,1,,,,1
F6SKB9,F6SKB9_MONDO,5.0,1,1,1,1,1,,,,,
F6T8X8,F6T8X8_HORSE,5.0,1,1,1,1,1,,,,,
D3Z4I0,D3Z4I0_MOUSE,5.0,1,1,,1,1,,,,,1
G1QJB2,G1QJB2_NOMLE,5.0,1,1,1,1,1,,,,,
G3Q4B1,G3Q4B1_GASAC,4.0,,1,1,1,1,,,,,
F7H4K2,F7H4K2_CALJA,4.0,1,1,1,1,,,,,,
H0V5H2,H0V5H2_CAVPO,4.0,,1,1,1,1,,,,,
F1NL78,F1NL78_CHICK,4.0,,1,1,1,1,,,,,
F1N0Y2,F1N0Y2_BOVIN,4.0,,1,1,1,1,,,,,
M3W965,M3W965_FELCA,4.0,1,1,1,,1,,,,,
Q16TY7,Q16TY7_AEDAE,4.0,1,,1,,1,1,,,,
H0YPF6,H0YPF6_TAEGU,4.0,,1,1,1,1,,,,,
G3TNU3,G3TNU3_LOXAF,4.0,,1,1,1,1,,,,,
H2XP51,H2XP51_CIOIN,4.0,,1,1,1,1,,,,,
Q7Q7Y2,Q7Q7Y2_ANOGA,4.0,1,,,,1,1,,,,1
F6YBC8,F6YBC8_ORNAN,4.0,,1,1,1,1,,,,,
B7P4A8,B7P4A8_IXOSC,4.0,1,,,,1,1,,,,1
F7HKG1,F7HKG1_MACMU,4.0,1,1,,1,1,,,,,
H9G5I3,H9G5I3_ANOCA,4.0,1,1,,1,1,,,,,
I3MQK1,I3MQK1_SPETR,4.0,,1,1,1,1,,,,,
H0WI69,H0WI69_OTOGA,4.0,,1,1,1,1,,,,,
Q7SBA8,Q7SBA8_NEUCR,3.0,1,,,,,1,,,,1
G1SCR1,G1SCR1_RABIT,3.0,,1,,1,1,,,,,
Q6C7Q6,GPI7_YARLI,3.0,1,,,,,1,,,,1
H2PCL8,H2PCL8_PONAB,3.0,,1,,1,1,,,,,
H2ZXC3,H2ZXC3_LATCH,3.0,,1,,1,1,,,,,
H2T4E8,H2T4E8_TAKRU,3.0,,1,,1,1,,,,,
M0RDM7,M0RDM7_RAT,3.0,,1,1,,1,,,,,
B0WVG8,B0WVG8_CULQU,3.0,1,,,,1,1,,,,
I3KFG8,I3KFG8_ORENI,3.0,,,1,1,1,,,,,
H3CKP2,H3CKP2_TETNG,3.0,,1,,1,1,,,,,
E0VMF7,E0VMF7_PEDHC,3.0,1,,1,,1,,,,,
B4P1R0,B4P1R0_DROYA,3.0,1,,,,1,1,,,,
D3Z3Y1,D3Z3Y1_MOUSE,3.0,1,1,1,,,,,,,
H2M0R0,H2M0R0_ORYLA,3.0,,1,,1,1,,,,,
B3S1D2,B3S1D2_TRIAD,3.0,1,,,,1,1,,,,
B4LLD0,B4LLD0_DROVI,3.0,1,,,,1,1,,,,
B3MGU7,B3MGU7_DROAN,3.0,1,,,,1,1,,,,
Q09782,GPI7_SCHPO,3.0,1,,,,,1,,,,1
G1PJM2,G1PJM2_MYOLU,3.0,,1,,1,1,,,,,
A7RTY0,A7RTY0_NEMVE,3.0,1,,,,1,1,,,,
C3YCC9,C3YCC9_BRAFL,3.0,1,,,,,1,,,,1
F6VAS9,F6VAS9_XENTR,3.0,,1,,1,1,,,,,
B4MIN2,B4MIN2_DROWI,3.0,1,,,,1,1,,,,
Q58D07,Q58D07_BOVIN,3.0,1,,,,,1,,1,,
G1N5Q7,G1N5Q7_MELGA,3.0,,1,,1,1,,,,,
G3WJ10,G3WJ10_SARHA,3.0,,1,,1,1,,,,,
M4A9W3,M4A9W3_XIPMA,3.0,,1,1,,1,,,,,
P40367,GPI7_YEAST,3.0,1,1,,,,1,,,,
B4JA02,B4JA02_DROGR,3.0,1,,,,1,1,,,,
Q6BZ57,GPI7_DEBHA,2.0,1,,,,,1,,,,
A7TKJ1,A7TKJ1_VANPO,2.0,1,,,,,1,,,,
B6H1B3,B6H1B3_PENCW,2.0,1,,,,,1,,,,
Q6CLN2,GPI7_KLULA,2.0,1,,,,,1,,,,
F7H4K9,F7H4K9_CALJA,2.0,,1,,,1,,,,,
Q551Y7,Q551Y7_DICDI,2.0,,,,,,1,,,,1
D6RFE8,D6RFE8_HUMAN,2.0,1,1,,,,,,,,
A7EUL9,A7EUL9_SCLS1,2.0,1,,,,,1,,,,
H3C5F0,H3C5F0_TETNG,2.0,,1,,,1,,,,,
Q5AYY4,Q5AYY4_EMENI,2.0,1,,,,,1,,,,
A7RTY1,A7RTY1_NEMVE,2.0,,,,,1,1,,,,
E7EWV1,E7EWV1_HUMAN,2.0,1,1,,,,,,,,
Q4WDM5,GPI7_ASPFU,2.0,1,,,,,1,,,,
F6SZD0,F6SZD0_ORNAN,2.0,,1,,,1,,,,,
B6HV32,B6HV32_PENCW,2.0,1,,,,,1,,,,
