,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000008146,HSLDKQD,TF324853,NA,NOG87490,NA,HBG102998,NA,Q8IXM6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IXM6,NRM_HUMAN,6.0,,1,1,1,,1,,1,,1
Q6MG14,NRM_RAT,6.0,,1,1,1,,1,,1,,1
Q1L911,NRM_DANRE,6.0,,1,1,1,,1,,1,,1
Q8VC65,NRM_MOUSE,6.0,,1,1,1,,1,,1,,1
Q8IXM6,NRM_HUMAN,6.0,,1,1,1,,1,,1,,1
Q32LM8,NRM_BOVIN,5.0,,1,1,1,,1,,1,,
Q767L9,NRM_PIG,5.0,,1,1,1,,1,,1,,
Q1XHX8,NRM_PANTR,5.0,,1,1,1,,1,,1,,
Q9VEG9,NRM_DROME,4.0,,1,1,,,1,,,,1
H0WY69,H0WY69_OTOGA,3.0,,1,1,1,,,,,,
H3CD86,H3CD86_TETNG,3.0,,1,1,1,,,,,,
G3W046,G3W046_SARHA,3.0,,1,1,1,,,,,,
I3MSD7,I3MSD7_SPETR,3.0,,1,1,1,,,,,,
H2YJR6,H2YJR6_CIOSA,3.0,,1,1,1,,,,,,
G3TT68,G3TT68_LOXAF,3.0,,1,1,1,,,,,,
K7G0W5,K7G0W5_PELSI,3.0,,1,1,1,,,,,,
G3QEL9,G3QEL9_GORGO,3.0,,1,1,1,,,,,,
G1SGZ4,G1SGZ4_RABIT,3.0,,1,1,1,,,,,,
G1QZT1,G1QZT1_NOMLE,3.0,,1,1,1,,,,,,
G1PCL6,G1PCL6_MYOLU,3.0,,1,1,1,,,,,,
G1M3J2,G1M3J2_AILME,3.0,,1,1,1,,,,,,
G3NE62,G3NE62_GASAC,3.0,,1,1,1,,,,,,
F7HIK9,F7HIK9_MACMU,3.0,,1,1,1,,,,,,
H2S337,H2S337_TAKRU,3.0,,1,1,1,,,,,,
F7A2F7,F7A2F7_CALJA,3.0,,1,1,1,,,,,,
F6WIG4,F6WIG4_HORSE,3.0,,1,1,1,,,,,,
F6UP59,F6UP59_CIOIN,3.0,,1,1,1,,,,,,
Q7Q6I8,Q7Q6I8_ANOGA,3.0,,,1,,,1,,,,1
H2PIG0,H2PIG0_PONAB,3.0,,1,1,1,,,,,,
G1KK16,G1KK16_ANOCA,2.0,,1,,1,,,,,,
F7BR41,F7BR41_MONDO,2.0,,1,,1,,,,,,
F6UVE0,F6UVE0_CANFA,2.0,,1,,1,,,,,,
B7QNJ0,B7QNJ0_IXOSC,2.0,,,,,,1,,,,1
H0WB16,H0WB16_CAVPO,2.0,,1,,1,,,,,,
B4PKH4,B4PKH4_DROYA,2.0,,,1,,,1,,,,
B4LEH0,B4LEH0_DROVI,2.0,,,1,,,1,,,,
B4J1Q0,B4J1Q0_DROGR,2.0,,,1,,,1,,,,
W5PQR2,W5PQR2_SHEEP,2.0,,1,1,,,,,,,
M3W866,M3W866_FELCA,2.0,,1,1,,,,,,,
Q5TM67,NRM_MACMU,2.0,,,,,,1,,1,,
Q296J9,NRM_DROPS,2.0,,,1,,,1,,,,
H3A1X8,H3A1X8_LATCH,2.0,,1,,1,,,,,,
I3KUF5,I3KUF5_ORENI,2.0,,,1,1,,,,,,
O05883,O05883_MYCTU,2.0,,,1,,,,,,,1
O05883,O05883_MYCTU,2.0,,,1,,,,,,,1
M4AIK7,M4AIK7_XIPMA,2.0,,1,1,,,,,,,
B0W3S7,B0W3S7_CULQU,1.0,,,,,,1,,,,
B1WZQ6,B1WZQ6_CYAA5,1.0,,,1,,,,,,,
B2HEQ8,B2HEQ8_MYCMM,1.0,,,1,,,,,,,
H2S338,H2S338_TAKRU,1.0,,1,,,,,,,,
B3KQU6,B3KQU6_HUMAN,1.0,,,,,,,,1,,
B0C5G9,B0C5G9_ACAM1,1.0,,,1,,,,,,,
B3M0U8,B3M0U8_DROAN,1.0,,,,,,1,,,,
B3RK57,B3RK57_TRIAD,1.0,,,1,,,,,,,
B4DP16,B4DP16_HUMAN,1.0,,,,,,,,1,,
W4WAW8,W4WAW8_ATTCE,1.0,,,1,,,,,,,
B4KWF2,B4KWF2_DROMO,1.0,,,1,,,,,,,
Q89V40,Q89V40_BRADU,1.0,,,,,,,,,,1
B0UA21,B0UA21_METS4,1.0,,,1,,,,,,,
A5U7R2,A5U7R2_MYCTA,1.0,,,1,,,,,,,
A6Q8R6,A6Q8R6_SULNB,1.0,,,1,,,,,,,
A5WSF3,A5WSF3_MYCTF,1.0,,,1,,,,,,,
Q7TWX4,Q7TWX4_MYCBO,1.0,,,1,,,,,,,
A5ESV4,A5ESV4_BRASB,1.0,,,1,,,,,,,
A4YL67,A4YL67_BRASO,1.0,,,1,,,,,,,
A3Q299,A3Q299_MYCSJ,1.0,,,1,,,,,,,
A1UIT5,A1UIT5_MYCSK,1.0,,,1,,,,,,,
A1T9A3,A1T9A3_MYCVP,1.0,,,1,,,,,,,
A1KNP0,A1KNP0_MYCBP,1.0,,,1,,,,,,,
A0QKA7,A0QKA7_MYCA1,1.0,,,1,,,,,,,
A0PRE4,A0PRE4_MYCUA,1.0,,,1,,,,,,,
A0A096NLV0,A0A096NLV0_PAPAN,1.0,,1,,,,,,,,
B4NIR5,B4NIR5_DROWI,1.0,,,,,,1,,,,
C1AH12,C1AH12_MYCBT,1.0,,,1,,,,,,,
B7JYF3,B7JYF3_CYAP8,1.0,,,1,,,,,,,
F7GS99,F7GS99_CALJA,1.0,,1,,,,,,,,
H0Y6T6,H0Y6T6_HUMAN,1.0,,1,,,,,,,,
H9H5D9,H9H5D9_MACMU,1.0,,1,,,,,,,,
G3UZN7,G3UZN7_MOUSE,1.0,,1,,,,,,,,
G3UWN3,G3UWN3_MOUSE,1.0,,1,,,,,,,,
K7BGU9,K7BGU9_PANTR,1.0,,,1,,,,,,,
G3SBX4,G3SBX4_GORGO,1.0,,1,,,,,,,,
G3NE65,G3NE65_GASAC,1.0,,1,,,,,,,,
W5KY89,W5KY89_ASTMX,1.0,,1,,,,,,,,
Q10VG3,Q10VG3_TRIEI,1.0,,,1,,,,,,,
Q1B691,Q1B691_MYCSS,1.0,,,1,,,,,,,
G0THL4,G0THL4_MYCCP,1.0,,,1,,,,,,,
Q4T7U0,Q4T7U0_TETNG,1.0,,,,,,1,,,,
Q73UL5,Q73UL5_MYCPA,1.0,,,1,,,,,,,
F7BQR3,F7BQR3_MACMU,1.0,,1,,,,,,,,
Q4T7U4,Q4T7U4_TETNG,1.0,,,,,,,,1,,
Q54JG5,Q54JG5_DICDI,1.0,,,,,,,,,,1
F6UZI3,F6UZI3_CANFA,1.0,,1,,,,,,,,
Q6GNM0,NRM_XENLA,1.0,,,,,,,,1,,
C6XRI9,C6XRI9_HIRBI,1.0,,,1,,,,,,,
C6DXI4,C6DXI4_MYCTK,1.0,,,1,,,,,,,
C3Y6B5,C3Y6B5_BRAFL,1.0,,,,,,1,,,,
H2LA47,H2LA47_ORYLA,1.0,,1,,,,,,,,
B8III9,B8III9_METNO,1.0,,,1,,,,,,,
B8HL53,B8HL53_CYAP4,1.0,,,1,,,,,,,
A0A087X6E5,A0A087X6E5_POEFO,1.0,,1,,,,,,,,
