,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06499,NA,NA,NA,NA,NOG146066,NA,HBG063623,NA,Q6UY09
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6UY09,CEA20_HUMAN,4.0,1,,,,,1,,1,,1
Q6UY09,CEA20_HUMAN,4.0,1,,,,,1,,1,,1
Q9D2Z1,Q9D2Z1_MOUSE,3.0,1,,,,,,,1,,1
A7LFK8,A7LFK8_HUMAN,2.0,1,,,,,,,1,,
A7LFL0,A7LFL0_HUMAN,2.0,1,,,,,,,1,,
A7LFK7,A7LFK7_HUMAN,2.0,1,,,,,,,1,,
Q80Y42,Q80Y42_MOUSE,2.0,,,,,,1,,1,,
A7LFK9,A7LFK9_HUMAN,2.0,1,,,,,,,1,,
B0CLZ7,B0CLZ7_DANRE,2.0,1,,,,,,,,,1
E9QA28,CEA16_MOUSE,1.0,1,,,,,,,,,
C3YQI1,C3YQI1_BRAFL,1.0,,,,,,,,,,1
F6VCS1,F6VCS1_HORSE,1.0,1,,,,,,,,,
F7BLP8,F7BLP8_CALJA,1.0,1,,,,,,,,,
F7ECD5,F7ECD5_MACMU,1.0,1,,,,,,,,,
B7Q5E6,B7Q5E6_IXOSC,1.0,,,,,,,,,,1
G1RTA0,G1RTA0_NOMLE,1.0,1,,,,,,,,,
B7PTX9,B7PTX9_IXOSC,1.0,,,,,,,,,,1
E9QJI4,E9QJI4_DANRE,1.0,1,,,,,,,,,
W5PCL0,W5PCL0_SHEEP,1.0,1,,,,,,,,,
B7PC65,B7PC65_IXOSC,1.0,,,,,,,,,,1
G3R3H7,G3R3H7_GORGO,1.0,1,,,,,,,,,
G3RA24,G3RA24_GORGO,1.0,1,,,,,,,,,
G3RAA8,G3RAA8_GORGO,1.0,1,,,,,,,,,
G3RQD4,G3RQD4_GORGO,1.0,1,,,,,,,,,
G3S247,G3S247_GORGO,1.0,1,,,,,,,,,
H2NYY2,H2NYY2_PONAB,1.0,1,,,,,,,,,
H2QGE5,H2QGE5_PANTR,1.0,1,,,,,,,,,
H2QGE6,H2QGE6_PANTR,1.0,1,,,,,,,,,
H2QGH0,H2QGH0_PANTR,1.0,1,,,,,,,,,
H2R427,H2R427_PANTR,1.0,1,,,,,,,,,
H2RDV4,H2RDV4_PANTR,1.0,1,,,,,,,,,
J9NS18,J9NS18_CANFA,1.0,1,,,,,,,,,
B7PQY1,B7PQY1_IXOSC,1.0,,,,,,,,,,1
A7T084,A7T084_NEMVE,1.0,,,,,,,,,,1
B4DLI3,B4DLI3_HUMAN,1.0,1,,,,,,,,,
A1YV62,A1YV62_CANFA,1.0,1,,,,,,,,,
A0A061HUC0,A0A061HUC0_CRIGR,1.0,1,,,,,,,,,
A0A077JIU5,A0A077JIU5_HUMAN,1.0,1,,,,,,,,,
A0A077JJN3,A0A077JJN3_HUMAN,1.0,1,,,,,,,,,
A0A087WYH6,A0A087WYH6_HUMAN,1.0,1,,,,,,,,,
A0A087WYM6,A0A087WYM6_HUMAN,1.0,1,,,,,,,,,
