,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF343181,NA,NOG134039,NA,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B1AJZ1,CA196_HUMAN,2.0,,,,1,,1,,,,
K7FCC4,K7FCC4_PELSI,1.0,,,,1,,,,,,
H2R9H0,H2R9H0_PANTR,1.0,,,,1,,,,,,
H0YWA4,H0YWA4_TAEGU,1.0,,,,1,,,,,,
G3WI10,G3WI10_SARHA,1.0,,,,1,,,,,,
G3QHK9,G3QHK9_GORGO,1.0,,,,1,,,,,,
G1U9P4,G1U9P4_RABIT,1.0,,,,1,,,,,,
F7HVQ7,F7HVQ7_CALJA,1.0,,,,1,,,,,,
F7FN94,F7FN94_MACMU,1.0,,,,1,,,,,,
F7E1T7,F7E1T7_MONDO,1.0,,,,1,,,,,,
