,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03505,ENSGT00390000005096,PLEDKTH,TF103004,NA,NOG70894,HOG000031022,HBG057838,NA,Q9HCU8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HCU8,DPOD4_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9HCU8,DPOD4_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9CWP8,DPOD4_MOUSE,7.0,1,1,,1,,1,1,1,,1
Q6P6U6,Q6P6U6_RAT,7.0,1,1,,1,,1,1,1,,1
Q3T0X9,DPOD4_BOVIN,6.0,1,1,,1,,1,1,1,,
F6SCR4,F6SCR4_MACMU,3.0,1,1,,1,,,,,,
H2Q484,H2Q484_PANTR,3.0,1,1,,1,,,,,,
H2NCN8,H2NCN8_PONAB,3.0,1,1,,1,,,,,,
G1SKV8,G1SKV8_RABIT,3.0,1,1,,1,,,,,,
C3XVA8,C3XVA8_BRAFL,3.0,1,,,,,1,,,,1
G3VQJ6,G3VQJ6_SARHA,3.0,,1,1,1,,,,,,
M4AH52,M4AH52_XIPMA,2.0,1,1,,,,,,,,
I3MQ71,I3MQ71_SPETR,2.0,,1,,1,,,,,,
C5YH78,C5YH78_SORBI,2.0,1,,,,,1,,,,
C5X609,C5X609_SORBI,2.0,1,,,,,1,,,,
Q64MB0,Q64MB0_ORYSJ,2.0,1,,,,,1,,,,
B6HKM6,B6HKM6_PENCW,2.0,1,,,,,1,,,,
Q5BAI4,Q5BAI4_EMENI,2.0,1,,,,,1,,,,
F1RUX5,F1RUX5_PIG,2.0,,1,,1,,,,,,
Q547B4,Q547B4_MOUSE,2.0,1,,,,,,,1,,
E2R1W8,E2R1W8_CANFA,2.0,,1,,1,,,,,,
F1R563,F1R563_DANRE,2.0,1,1,,,,,,,,
C5P6F7,C5P6F7_COCP7,2.0,1,,,,,1,,,,
Q1H568,Q1H568_ARATH,2.0,1,,,,,1,,,,
B9IPX7,B9IPX7_POPTR,2.0,1,,,,,1,,,,
O59835,DPOD4_SCHPO,2.0,1,,,,,1,,,,
A0A024R5D7,A0A024R5D7_HUMAN,2.0,1,,1,,,,,,,
Q6NSD7,Q6NSD7_HUMAN,2.0,1,,,,,,,1,,
A9USR8,A9USR8_MONBE,2.0,1,,,,,1,,,,
A7S4K3,A7S4K3_NEMVE,2.0,1,,,,,1,,,,
G3RIW8,G3RIW8_GORGO,2.0,,1,,1,,,,,,
G3UN89,G3UN89_LOXAF,2.0,,1,,1,,,,,,
G1P3Y3,G1P3Y3_MYOLU,2.0,,1,,1,,,,,,
G1L1L2,G1L1L2_AILME,2.0,,1,,1,,,,,,
H0W7T9,H0W7T9_CAVPO,2.0,,1,,1,,,,,,
A4S099,A4S099_OSTLU,2.0,1,,,,,1,,,,
H2XMK0,H2XMK0_CIOIN,2.0,1,1,,,,,,,,
H0XW40,H0XW40_OTOGA,2.0,,1,,1,,,,,,
D2HGP6,D2HGP6_AILME,2.0,1,,,,,,1,,,
A8JFM4,A8JFM4_CHLRE,2.0,1,,,,,1,,,,
F7B8J0,F7B8J0_HORSE,2.0,,1,,1,,,,,,
F7CBH4,F7CBH4_CALJA,2.0,,1,,1,,,,,,
F7FN78,F7FN78_MONDO,2.0,,1,,1,,,,,,
E2LY75,E2LY75_MONPE,1.0,1,,,,,,,,,
D4D0K7,D4D0K7_TRIVH,1.0,1,,,,,,,,,
D6RNN8,D6RNN8_COPC7,1.0,1,,,,,,,,,
D7KJU8,D7KJU8_ARALL,1.0,1,,,,,,,,,
D4B2Q7,D4B2Q7_ARTBC,1.0,1,,,,,,,,,
D8Q1W0,D8Q1W0_SCHCM,1.0,1,,,,,,,,,
E1ZLL6,E1ZLL6_CHLVA,1.0,1,,,,,,,,,
G0RZ52,G0RZ52_CHATD,1.0,1,,,,,,,,,
F8MP87,F8MP87_NEUT8,1.0,1,,,,,,,,,
F8P395,F8P395_SERL9,1.0,1,,,,,,,,,
E3S575,E3S575_PYRTT,1.0,1,,,,,,,,,
F9XJM5,F9XJM5_ZYMTI,1.0,1,,,,,,,,,
F6HE88,F6HE88_VITVI,1.0,1,,,,,,,,,
E6RED6,E6RED6_CRYGW,1.0,1,,,,,,,,,
F6XNL3,F6XNL3_CALJA,1.0,,1,,,,,,,,
E9E186,E9E186_METAQ,1.0,1,,,,,,,,,
E9ERF8,E9ERF8_METRA,1.0,1,,,,,,,,,
E9PL15,E9PL15_HUMAN,1.0,,1,,,,,,,,
F7W848,F7W848_SORMK,1.0,1,,,,,,,,,
G0RJJ7,G0RJJ7_HYPJQ,1.0,1,,,,,,,,,
C1H317,C1H317_PARBA,1.0,1,,,,,,,,,
C9SL65,C9SL65_VERA1,1.0,1,,,,,,,,,
A0DB11,A0DB11_PARTE,1.0,1,,,,,,,,,
A6R5M0,A6R5M0_AJECN,1.0,1,,,,,,,,,
A5AG58,A5AG58_VITVI,1.0,,,,,,1,,,,
A5ABK7,A5ABK7_ASPNC,1.0,1,,,,,,,,,
A2Z370,A2Z370_ORYSI,1.0,,,,,,1,,,,
A2YXP6,A2YXP6_ORYSI,1.0,,,,,,1,,,,
A1DNB4,A1DNB4_NEOFI,1.0,1,,,,,,,,,
A1CTU7,A1CTU7_ASPCL,1.0,1,,,,,,,,,
A0A0A0KND6,A0A0A0KND6_CUCSA,1.0,1,,,,,,,,,
A9PA85,A9PA85_POPTR,1.0,,,,,,1,,,,
A0A096N552,A0A096N552_PAPAN,1.0,,1,,,,,,,,
A0A087XZM3,A0A087XZM3_POEFO,1.0,,1,,,,,,,,
A0A087WWV3,A0A087WWV3_HUMAN,1.0,,1,,,,,,,,
A0A061H323,A0A061H323_9BASI,1.0,1,,,,,,,,,
A0A061F033,A0A061F033_THECC,1.0,1,,,,,,,,,
A0A061EZP0,A0A061EZP0_THECC,1.0,1,,,,,,,,,
A0A061EYV8,A0A061EYV8_THECC,1.0,1,,,,,,,,,
A8PXM4,A8PXM4_MALGO,1.0,1,,,,,,,,,
A9PI30,A9PI30_POPTR,1.0,1,,,,,,,,,
C7YPT9,C7YPT9_NECH7,1.0,1,,,,,,,,,
B9EL45,B9EL45_SALSA,1.0,,,,,,,,1,,
C5YHG1,C5YHG1_SORBI,1.0,1,,,,,,,,,
C4JPZ2,C4JPZ2_UNCRE,1.0,1,,,,,,,,,
C1MQQ9,C1MQQ9_MICPC,1.0,1,,,,,,,,,
G2RHE9,G2RHE9_THITE,1.0,1,,,,,,,,,
C1DYA6,C1DYA6_MICSR,1.0,1,,,,,,,,,
B9SDG4,B9SDG4_RICCO,1.0,1,,,,,,,,,
B9EQ60,B9EQ60_SALSA,1.0,,,,,,,,1,,
B8N852,B8N852_ASPFN,1.0,1,,,,,,,,,
A9TRK5,A9TRK5_PHYPA,1.0,1,,,,,,,,,
B6TNZ0,B6TNZ0_MAIZE,1.0,1,,,,,,,,,
B6TEV1,B6TEV1_MAIZE,1.0,1,,,,,,,,,
B6T9Q8,B6T9Q8_MAIZE,1.0,1,,,,,,,,,
B6SHY6,B6SHY6_MAIZE,1.0,1,,,,,,,,,
B4FJU3,B4FJU3_MAIZE,1.0,1,,,,,,,,,
B2B0K8,B2B0K8_PODAN,1.0,1,,,,,,,,,
B0CTL0,B0CTL0_LACBS,1.0,1,,,,,,,,,
G2QPK0,G2QPK0_THIHA,1.0,1,,,,,,,,,
W6ZFY9,W6ZFY9_COCMI,1.0,1,,,,,,,,,
G2XBF3,G2XBF3_VERDV,1.0,1,,,,,,,,,
R1GQF9,R1GQF9_BOTPV,1.0,1,,,,,,,,,
R1CML3,R1CML3_EMIHU,1.0,1,,,,,,,,,
R0GMK7,R0GMK7_9BRAS,1.0,1,,,,,,,,,
Q9P3F2,Q9P3F2_NEUCS,1.0,,,,,,1,,,,
Q6ZBI3,Q6ZBI3_ORYSJ,1.0,,,,,,1,,,,
Q6CE34,Q6CE34_YARLI,1.0,1,,,,,,,,,
Q5S1P5,Q5S1P5_EPICO,1.0,,,,,,,,1,,
Q5CVB9,Q5CVB9_CRYPI,1.0,1,,,,,,,,,
Q55IP4,Q55IP4_CRYNB,1.0,1,,,,,,,,,
Q4WMA8,Q4WMA8_ASPFU,1.0,1,,,,,,,,,
Q4PH86,Q4PH86_USTMA,1.0,,,,,,,,,,1
Q2UI26,Q2UI26_ASPOR,1.0,1,,,,,,,,,
Q29292,Q29292_PIG,1.0,,,,,,1,,,,
Q1K5E1,Q1K5E1_NEUCR,1.0,1,,,,,,,,,
Q0U2I5,Q0U2I5_PHANO,1.0,1,,,,,,,,,
Q0J7T7,Q0J7T7_ORYSJ,1.0,1,,,,,,,,,
M7TAW0,M7TAW0_EUTLA,1.0,1,,,,,,,,,
M5X140,M5X140_PRUPE,1.0,1,,,,,,,,,
R1ES89,R1ES89_EMIHU,1.0,1,,,,,,,,,
R7S1A9,R7S1A9_STEHR,1.0,1,,,,,,,,,
G3I406,G3I406_CRIGR,1.0,1,,,,,,,,,
R7SPF7,R7SPF7_DICSQ,1.0,1,,,,,,,,,
W5PMS4,W5PMS4_SHEEP,1.0,,1,,,,,,,,
W5KR38,W5KR38_ASTMX,1.0,,1,,,,,,,,
W1NH63,W1NH63_AMBTC,1.0,1,,,,,,,,,
V7CP34,V7CP34_PHAVU,1.0,1,,,,,,,,,
V7CLH2,V7CLH2_PHAVU,1.0,1,,,,,,,,,
V7BQU8,V7BQU8_PHAVU,1.0,1,,,,,,,,,
V7BN57,V7BN57_PHAVU,1.0,1,,,,,,,,,
V4TBM0,V4TBM0_9ROSI,1.0,1,,,,,,,,,
V4L7Y5,V4L7Y5_EUTSA,1.0,1,,,,,,,,,
V4AM12,V4AM12_LOTGI,1.0,1,,,,,,,,,
V2X542,V2X542_MONRO,1.0,1,,,,,,,,,
U3KCQ3,U3KCQ3_FICAL,1.0,,1,,,,,,,,
S8FA61,S8FA61_TOXGO,1.0,1,,,,,,,,,
S7Q9A8,S7Q9A8_GLOTA,1.0,1,,,,,,,,,
S7MQK6,S7MQK6_MYOBR,1.0,1,,,,,,,,,
R9ACA5,R9ACA5_WALI9,1.0,1,,,,,,,,,
R8BM75,R8BM75_TOGMI,1.0,1,,,,,,,,,
