,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00450000040324,KSAAWHG,TF332812,EOG7B05DR,NOG124191,HOG000065749,HBG080480,NA,Q69YI7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6PFD7,NAIF1_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q69YI7,NAIF1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A7MBH3,NAIF1_BOVIN,7.0,,1,1,1,1,1,1,1,,
B0S5D0,B0S5D0_DANRE,6.0,,1,,,1,1,1,1,,1
D2H132,D2H132_AILME,5.0,,1,1,1,1,,1,,,
Q4TDT4,Q4TDT4_TETNG,5.0,,1,,1,1,1,,1,,
K7FHY2,K7FHY2_PELSI,4.0,,1,1,1,1,,,,,
I3MAH7,I3MAH7_SPETR,4.0,,1,1,1,1,,,,,
F7C5E5,F7C5E5_HORSE,4.0,,1,1,1,1,,,,,
E2RSK8,E2RSK8_CANFA,4.0,,1,1,1,1,,,,,
H3CA17,H3CA17_TETNG,4.0,,1,1,1,1,,,,,
H3B9I1,H3B9I1_LATCH,4.0,,1,1,1,1,,,,,
H2UCP1,H2UCP1_TAKRU,4.0,,1,1,1,1,,,,,
F1RRZ0,F1RRZ0_PIG,4.0,,1,1,1,1,,,,,
F6Q6R2,F6Q6R2_CALJA,4.0,,1,1,1,1,,,,,
H2PTH9,H2PTH9_PONAB,4.0,,1,1,1,1,,,,,
H2MVQ0,H2MVQ0_ORYLA,4.0,,1,1,1,1,,,,,
F6RU55,F6RU55_MACMU,4.0,,1,1,1,1,,,,,
H0YZ97,H0YZ97_TAEGU,4.0,,1,1,1,1,,,,,
H0VC32,H0VC32_CAVPO,4.0,,1,1,1,1,,,,,
H0XV07,H0XV07_OTOGA,4.0,,1,1,1,1,,,,,
G1PN42,G1PN42_MYOLU,4.0,,1,1,1,1,,,,,
G1S6X4,G1S6X4_NOMLE,4.0,,1,1,1,1,,,,,
G3U927,G3U927_LOXAF,4.0,,1,1,1,1,,,,,
G1T5A1,G1T5A1_RABIT,4.0,,1,1,1,1,,,,,
G3R6E5,G3R6E5_GORGO,4.0,,1,1,1,1,,,,,
Q5ZI27,NAIF1_CHICK,4.0,,,,,,1,1,1,,1
F6UKT9,F6UKT9_MONDO,4.0,,1,1,1,1,,,,,
G2HJR8,G2HJR8_PANTR,4.0,,1,1,1,1,,,,,
M4AFY2,M4AFY2_XIPMA,3.0,,1,1,,1,,,,,
G3UTB1,G3UTB1_MELGA,3.0,,1,1,1,,,,,,
G3X2K6,G3X2K6_SARHA,3.0,,1,,1,1,,,,,
F6QWG1,F6QWG1_XENTR,3.0,,1,1,1,,,,,,
G3Q3F1,G3Q3F1_GASAC,3.0,,1,1,1,,,,,,
M3VWR9,M3VWR9_FELCA,3.0,,1,1,,1,,,,,
F1Q642,F1Q642_DANRE,3.0,,1,1,1,,,,,,
Q28GM6,Q28GM6_XENTR,3.0,,1,,,1,,,1,,
I3K403,I3K403_ORENI,3.0,,,1,1,1,,,,,
A2VCU4,A2VCU4_XENTR,3.0,,,,,,1,1,1,,
M0R6C4,M0R6C4_RAT,3.0,,1,1,,1,,,,,
