,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K02914,ENSGT00390000012240,NA,TF324478,NA,NOG273530,HOG000111573,HBG018253,NA,Q9BQ48
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q99N91,RM34_MOUSE,7.0,1,1,,1,,1,1,1,,1
Q9BQ48,RM34_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q5XFV6,Q5XFV6_RAT,6.0,1,1,,1,,,1,1,,1
A8NN94,RM34_BOVIN,6.0,1,1,,1,,1,1,1,,
Q5XFV6,Q5XFV6_RAT,6.0,1,1,,1,,,1,1,,1
Q9P7L9,RM34_SCHPO,3.0,1,,,,,,1,,,1
F7I567,F7I567_CALJA,3.0,1,1,,1,,,,,,
G1R170,G1R170_NOMLE,3.0,1,1,,1,,,,,,
H3AKC1,H3AKC1_LATCH,3.0,1,1,,1,,,,,,
F6YJR8,F6YJR8_MACMU,3.0,1,1,,1,,,,,,
H2R6A9,H2R6A9_PANTR,3.0,1,1,,1,,,,,,
Q7QD26,Q7QD26_ANOGA,3.0,1,,,,,,1,,,1
Q5KPZ7,Q5KPZ7_CRYNJ,3.0,1,,,,,,1,,,1
E9QEZ5,E9QEZ5_DANRE,3.0,1,1,,1,,,,,,
Q4SBN9,Q4SBN9_TETNG,3.0,,1,,1,,1,,,,
G3QSN3,G3QSN3_GORGO,3.0,1,1,,1,,,,,,
Q6C9A1,Q6C9A1_YARLI,2.0,1,,,,,,1,,,
E6UGT2,E6UGT2_RUMA7,2.0,1,,,,,,1,,,
C3Y1T2,C3Y1T2_BRAFL,2.0,1,,,,,1,,,,
C3NTL2,C3NTL2_VIBCJ,2.0,1,,,,,,1,,,
Q84R26,Q84R26_ARATH,2.0,1,,,,,,1,,,
I3M7H8,I3M7H8_SPETR,2.0,,1,,1,,,,,,
Q04598,RM34_YEAST,2.0,1,,,,,,,,,1
Q74ZX7,Q74ZX7_ASHGO,2.0,1,,,,,,1,,,
B9WGX8,B9WGX8_CANDC,2.0,1,,,,,,1,,,
A9WVP6,A9WVP6_RENSM,2.0,1,,,,,,1,,,
E9QF21,E9QF21_DANRE,2.0,1,1,,,,,,,,
H0XQ90,H0XQ90_OTOGA,2.0,,1,,1,,,,,,
H2NY04,H2NY04_PONAB,2.0,,1,,1,,,,,,
H2LXR9,H2LXR9_ORYLA,2.0,,1,,1,,,,,,
G1MXQ7,G1MXQ7_MELGA,2.0,,1,,1,,,,,,
Q6FXD5,Q6FXD5_CANGA,2.0,1,,,,,,1,,,
A9US65,A9US65_MONBE,2.0,1,,,,,,,,,1
H0V8Z0,H0V8Z0_CAVPO,2.0,,1,,1,,,,,,
G1LVB0,G1LVB0_AILME,2.0,,1,,1,,,,,,
A9P9J1,A9P9J1_POPTR,2.0,1,,,,,,1,,,
B8N9S8,B8N9S8_ASPFN,2.0,1,,,,,,1,,,
A4D9N2,A4D9N2_ASPFU,2.0,1,,,,,,1,,,
Q6CJE5,Q6CJE5_KLULA,2.0,1,,,,,,1,,,
G3T919,G3T919_LOXAF,2.0,,1,,1,,,,,,
A1CH71,A1CH71_ASPCL,2.0,1,,,,,,1,,,
B0XEL2,B0XEL2_CULQU,2.0,1,,,,,,1,,,
F7B9W7,F7B9W7_HORSE,2.0,,1,,1,,,,,,
C5DSM9,C5DSM9_ZYGRC,2.0,1,,,,,,1,,,
F7FUX8,F7FUX8_MONDO,2.0,,1,,1,,,,,,
J9P3S0,J9P3S0_CANFA,2.0,,1,,1,,,,,,
A1CXL4,A1CXL4_NEOFI,2.0,1,,,,,,1,,,
D7TZV9,D7TZV9_VITVI,2.0,1,,,,,,1,,,
B6TP32,B6TP32_MAIZE,2.0,1,,,,,,1,,,
C5XNR9,C5XNR9_SORBI,2.0,1,,,,,,1,,,
Q8LR04,Q8LR04_ORYSJ,2.0,1,,,,,,1,,,
F6S352,F6S352_ORNAN,2.0,,1,,1,,,,,,
M3ZNR5,M3ZNR5_XIPMA,2.0,1,1,,,,,,,,
C5DN24,C5DN24_LACTC,2.0,1,,,,,,1,,,
Q16ZW9,Q16ZW9_AEDAE,2.0,1,,,,,,1,,,
Q4SBN4,Q4SBN4_TETNG,2.0,,,,,,1,1,,,
W5Q709,W5Q709_SHEEP,2.0,1,1,,,,,,,,
C4R4N6,C4R4N6_PICPG,2.0,1,,,,,,1,,,
D4L5S6,D4L5S6_9FIRM,1.0,1,,,,,,,,,
D4KZX6,D4KZX6_9FIRM,1.0,1,,,,,,,,,
D4KTA1,D4KTA1_9FIRM,1.0,1,,,,,,,,,
D4LA91,D4LA91_RUMC1,1.0,1,,,,,,,,,
D3V787,D3V787_XENBS,1.0,1,,,,,,,,,
D3QW95,D3QW95_ECOCB,1.0,1,,,,,,,,,
D4K8U5,D4K8U5_9FIRM,1.0,1,,,,,,,,,
D3QGZ1,D3QGZ1_STALH,1.0,1,,,,,,,,,
D4LLK0,D4LLK0_9FIRM,1.0,1,,,,,,,,,
D4LY76,D4LY76_9FIRM,1.0,1,,,,,,,,,
D4M1B9,D4M1B9_9FIRM,1.0,1,,,,,,,,,
D3Q5P2,D3Q5P2_STANL,1.0,1,,,,,,,,,
D4MHS6,D4MHS6_9FIRM,1.0,1,,,,,,,,,
D4MX60,D4MX60_9FIRM,1.0,1,,,,,,,,,
D4YZ14,D4YZ14_SPHJU,1.0,1,,,,,,,,,
D3R307,D3R307_CLOB3,1.0,1,,,,,,,,,
D3RAX1,D3RAX1_KLEVT,1.0,1,,,,,,,,,
D4JZG0,D4JZG0_9FIRM,1.0,1,,,,,,,,,
D4JV46,D4JV46_9FIRM,1.0,1,,,,,,,,,
D3UVQ4,D3UVQ4_CHLTS,1.0,1,,,,,,,,,
D3VQ19,D3VQ19_MYCA6,1.0,1,,,,,,,,,
D4G7W3,D4G7W3_RIEPU,1.0,1,,,,,,,,,
D3UL07,D3UL07_LISSS,1.0,1,,,,,,,,,
D3T6X8,D3T6X8_THEIA,1.0,1,,,,,,,,,
D4ZD79,D4ZD79_SHEVD,1.0,1,,,,,,,,,
D4H192,D4H192_DENA2,1.0,1,,,,,,,,,
D4HBZ5,D4HBZ5_PROAS,1.0,1,,,,,,,,,
D4I4J3,D4I4J3_ERWAC,1.0,1,,,,,,,,,
D3SM37,D3SM37_THEAH,1.0,1,,,,,,,,,
D4IGG4,D4IGG4_ERWAE,1.0,1,,,,,,,,,
D4IPM5,D4IPM5_9BACT,1.0,1,,,,,,,,,
D4IXS2,D4IXS2_BUTFI,1.0,1,,,,,,,,,
D4J4X9,D4J4X9_9FIRM,1.0,1,,,,,,,,,
D3SFF4,D3SFF4_THISK,1.0,1,,,,,,,,,
D3RS88,D3RS88_ALLVD,1.0,1,,,,,,,,,
D3VG02,D3VG02_XENNA,1.0,1,,,,,,,,,
D3R7D3,D3R7D3_BIFAB,1.0,1,,,,,,,,,
D4JNV7,D4JNV7_9FIRM,1.0,1,,,,,,,,,
D4GGF7,D4GGF7_PANAM,1.0,1,,,,,,,,,
W6Z473,W6Z473_COCMI,1.0,1,,,,,,,,,
D4ZQE1,D4ZQE1_ARTPN,1.0,1,,,,,,,,,
D5AKB8,D5AKB8_STRGZ,1.0,1,,,,,,,,,
D5XDU9,D5XDU9_THEPJ,1.0,1,,,,,,,,,
D6BBR3,D6BBR3_9ACTO,1.0,1,,,,,,,,,
D6CPC0,D6CPC0_THIA3,1.0,1,,,,,,,,,
D6D6B4,D6D6B4_9BACE,1.0,1,,,,,,,,,
D6DAZ7,D6DAZ7_BIFLN,1.0,1,,,,,,,,,
D6DFA8,D6DFA8_CLOSC,1.0,1,,,,,,,,,
D6DZX1,D6DZX1_9FIRM,1.0,1,,,,,,,,,
D6E878,D6E878_9ACTN,1.0,1,,,,,,,,,
D6GT14,D6GT14_FILAD,1.0,1,,,,,,,,,
D6RL93,D6RL93_COPC7,1.0,1,,,,,,,,,
D6XS43,D6XS43_HELPV,1.0,1,,,,,,,,,
D6Y1M1,D6Y1M1_BACIE,1.0,1,,,,,,,,,
D6YB06,D6YB06_THEBD,1.0,1,,,,,,,,,
D6YVL1,D6YVL1_WADCW,1.0,1,,,,,,,,,
D6Z0V7,D6Z0V7_DESAT,1.0,1,,,,,,,,,
D6ZEM3,D6ZEM3_SEGRD,1.0,1,,,,,,,,,
D6ZJW1,D6ZJW1_MOBCV,1.0,1,,,,,,,,,
D6ZPE4,D6ZPE4_STRP0,1.0,1,,,,,,,,,
D6ZX53,D6ZX53_BIFLJ,1.0,1,,,,,,,,,
D7A2X5,D7A2X5_STAND,1.0,1,,,,,,,,,
D7AGW4,D7AGW4_GEOSK,1.0,1,,,,,,,,,
D7ATS1,D7ATS1_THEM3,1.0,1,,,,,,,,,
D7B157,D7B157_NOCDD,1.0,1,,,,,,,,,
D7BF77,D7BF77_MEISD,1.0,1,,,,,,,,,
D7BLG9,D7BLG9_ARCHD,1.0,1,,,,,,,,,
D5X094,D5X094_THIK1,1.0,1,,,,,,,,,
D5WXT1,D5WXT1_KYRT2,1.0,1,,,,,,,,,
D5W784,D5W784_BURSC,1.0,1,,,,,,,,,
D5ENL2,D5ENL2_CORAD,1.0,1,,,,,,,,,
D5AM45,D5AM45_RHOCB,1.0,1,,,,,,,,,
D5AXL0,D5AXL0_RICPP,1.0,1,,,,,,,,,
D5BAK9,D5BAK9_ZUNPS,1.0,1,,,,,,,,,
D5C434,D5C434_NITHN,1.0,1,,,,,,,,,
D5CHV5,D5CHV5_ENTCC,1.0,1,,,,,,,,,
D5CQK1,D5CQK1_SIDLE,1.0,1,,,,,,,,,
D5D4L0,D5D4L0_ECOKI,1.0,1,,,,,,,,,
D5D8R5,D5D8R5_SULMD,1.0,1,,,,,,,,,
D5DNL6,D5DNL6_BACMD,1.0,1,,,,,,,,,
D5DXJ5,D5DXJ5_BACMQ,1.0,1,,,,,,,,,
D3PL18,D3PL18_MEIRD,1.0,1,,,,,,,,,
D5EV61,D5EV61_PRER2,1.0,1,,,,,,,,,
D5VNE7,D5VNE7_CAUST,1.0,1,,,,,,,,,
D5GPQ6,D5GPQ6_TUBMM,1.0,1,,,,,,,,,
D5H0B2,D5H0B2_LACCS,1.0,1,,,,,,,,,
D5H4L7,D5H4L7_SALRM,1.0,1,,,,,,,,,
D5T1K3,D5T1K3_LEUKI,1.0,1,,,,,,,,,
D5TC22,D5TC22_LEGP2,1.0,1,,,,,,,,,
D5TSI5,D5TSI5_BACT1,1.0,1,,,,,,,,,
D5U933,D5U933_BRAM5,1.0,1,,,,,,,,,
D5UEC2,D5UEC2_CELFN,1.0,1,,,,,,,,,
D5UPA2,D5UPA2_TSUPD,1.0,1,,,,,,,,,
D5V162,D5V162_ARCNC,1.0,1,,,,,,,,,
D5V9C2,D5V9C2_MORCR,1.0,1,,,,,,,,,
D5E6G2,D5E6G2_MYCCM,1.0,1,,,,,,,,,
D3F3X5,D3F3X5_CONWI,1.0,1,,,,,,,,,
D3PB74,D3PB74_DEFDS,1.0,1,,,,,,,,,
C7MSR3,C7MSR3_SACVD,1.0,1,,,,,,,,,
C7NEG5,C7NEG5_LEPBD,1.0,1,,,,,,,,,
C7NH81,C7NH81_KYTSD,1.0,1,,,,,,,,,
C7PMK9,C7PMK9_CHIPD,1.0,1,,,,,,,,,
C7Q5Q8,C7Q5Q8_CATAD,1.0,1,,,,,,,,,
C7R3P5,C7R3P5_JONDD,1.0,1,,,,,,,,,
C7RAG1,C7RAG1_KANKD,1.0,1,,,,,,,,,
C7REZ4,C7REZ4_ANAPD,1.0,1,,,,,,,,,
C7T8F1,C7T8F1_LACRG,1.0,1,,,,,,,,,
C7TF55,C7TF55_LACRL,1.0,1,,,,,,,,,
C7XSN8,C7XSN8_FUSNV,1.0,1,,,,,,,,,
C8TLA9,C8TLA9_ECO26,1.0,1,,,,,,,,,
C8TYZ4,C8TYZ4_ECO10,1.0,1,,,,,,,,,
C8UJ91,C8UJ91_ECO1A,1.0,1,,,,,,,,,
