,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000064564,FAKNSRG,TF336944,EOG7Q5HDZ,NOG46970,HOG000208509,NA,NA,Q9BXQ6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BXQ6,CECR6_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q9BXQ6,CECR6_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q99MX7,CECR6_MOUSE,5.0,,1,1,1,1,,,,,1
F6XBQ2,F6XBQ2_MONDO,4.0,,1,1,1,1,,,,,
F6Z8D2,F6Z8D2_MACMU,4.0,,1,1,1,1,,,,,
G1LBF8,G1LBF8_AILME,4.0,,1,1,1,1,,,,,
I3ND01,I3ND01_SPETR,4.0,,1,1,1,1,,,,,
G3UK18,G3UK18_LOXAF,4.0,,1,1,1,1,,,,,
H9KXY1,H9KXY1_CALJA,4.0,,1,1,1,1,,,,,
F1PN15,F1PN15_CANFA,4.0,,1,1,1,1,,,,,
H2U1X0,H2U1X0_TAKRU,3.0,,1,,1,1,,,,,
G1QBW8,G1QBW8_MYOLU,3.0,,1,,1,1,,,,,
G3Q6A4,G3Q6A4_GASAC,3.0,,1,,1,1,,,,,
G3SI62,G3SI62_GORGO,3.0,,1,,1,1,,,,,
H2MBN5,H2MBN5_ORYLA,3.0,,1,,1,1,,,,,
H2R741,H2R741_PANTR,3.0,,1,,1,1,,,,,
H3B9H0,H3B9H0_LATCH,3.0,,1,,1,1,,,,,
E7F625,E7F625_DANRE,3.0,,1,,1,1,,,,,
H3CP49,H3CP49_TETNG,3.0,,1,,1,1,,,,,
M0R697,M0R697_RAT,3.0,,1,1,,1,,,,,
H9KW75,H9KW75_CALJA,3.0,,1,,1,1,,,,,
I3K9J8,I3K9J8_ORENI,2.0,,,,1,1,,,,,
M3WUI4,M3WUI4_FELCA,2.0,,1,,,1,,,,,
M4B022,M4B022_XIPMA,2.0,,1,,,1,,,,,
B2RQD1,B2RQD1_MOUSE,1.0,,,1,,,,,,,
A7SRF6,A7SRF6_NEMVE,1.0,,,,,,1,,,,
W5Q858,W5Q858_SHEEP,1.0,,1,,,,,,,,
W5NN06,W5NN06_LEPOC,1.0,,1,,,,,,,,
R4GLP3,R4GLP3_CHICK,1.0,,1,,,,,,,,
U3JK17,U3JK17_FICAL,1.0,,1,,,,,,,,
A0A096NVX4,A0A096NVX4_PAPAN,1.0,,1,,,,,,,,
