,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015147,GHQEQGP,TF328811,EOG7TF7BR,NOG76712,HOG000074103,HBG081379,NA,Q8WYQ4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8WYQ4,CV015_HUMAN,8.0,,1,1,1,1,1,1,1,,1
F6PP24,F6PP24_HORSE,4.0,,1,1,1,1,,,,,
K7FZ55,K7FZ55_PELSI,4.0,,1,1,1,1,,,,,
H2P3S6,H2P3S6_PONAB,4.0,,1,1,1,1,,,,,
F6SQX8,F6SQX8_ORNAN,4.0,,1,1,1,1,,,,,
H0VRF3,H0VRF3_CAVPO,4.0,,1,1,1,1,,,,,
F1RL19,F1RL19_PIG,4.0,,1,1,1,1,,,,,
H0X1K1,H0X1K1_OTOGA,4.0,,1,1,1,1,,,,,
F1PSL6,F1PSL6_CANFA,4.0,,1,1,1,1,,,,,
E1BIE3,E1BIE3_BOVIN,4.0,,1,1,1,1,,,,,
Q3UMK1,Q3UMK1_MOUSE,4.0,,,,1,1,1,1,,,
D3ZCL1,D3ZCL1_RAT,4.0,,1,1,1,1,,,,,
M3W1H9,M3W1H9_FELCA,3.0,,1,1,,1,,,,,
M3XVF7,M3XVF7_MUSPF,3.0,,1,1,,1,,,,,
H9KWQ4,H9KWQ4_CALJA,3.0,,1,1,1,,,,,,
H9H334,H9H334_MACMU,3.0,,1,1,1,,,,,,
G1QI39,G1QI39_NOMLE,3.0,,1,,1,1,,,,,
G3R108,G3R108_GORGO,3.0,,1,,1,1,,,,,
H2QLC8,H2QLC8_PANTR,3.0,,1,,1,1,,,,,
W5PU53,W5PU53_SHEEP,2.0,,1,1,,,,,,,
G3TFP8,G3TFP8_LOXAF,2.0,,1,,,1,,,,,
H9H335,H9H335_MACMU,2.0,,1,,,1,,,,,
H9KWQ5,H9KWQ5_CALJA,2.0,,1,,,1,,,,,
H0WZL9,H0WZL9_OTOGA,1.0,,,,1,,,,,,
A6NEN9,CX065_HUMAN,1.0,,,,1,,,,,,
A7RXB3,A7RXB3_NEMVE,1.0,,,,,,,,,,1
C3ZET5,C3ZET5_BRAFL,1.0,,,,,,,,,,1
Q3V2K1,CX065_MOUSE,1.0,,,,1,,,,,,
Q32LJ3,CX065_BOVIN,1.0,,,,1,,,,,,
K7GSX7,K7GSX7_PIG,1.0,,,,1,,,,,,
I3KG18,I3KG18_ORENI,1.0,,,,,1,,,,,
F6QY76,F6QY76_CIOIN,1.0,,,,1,,,,,,
F6UBR1,F6UBR1_MACMU,1.0,,,,1,,,,,,
H2PVY4,H2PVY4_PONAB,1.0,,,,1,,,,,,
F6V8U3,F6V8U3_HORSE,1.0,,,,1,,,,,,
F7GSG7,F7GSG7_CALJA,1.0,,,,1,,,,,,
F8W7S3,F8W7S3_HUMAN,1.0,,1,,,,,,,,
G1P826,G1P826_MYOLU,1.0,,,,1,,,,,,
H2XMZ4,H2XMZ4_CIOIN,1.0,,,,1,,,,,,
G1T4L5,G1T4L5_RABIT,1.0,,,,1,,,,,,
H2R4P4,H2R4P4_PANTR,1.0,,,,1,,,,,,
G3RFF5,G3RFF5_GORGO,1.0,,,,1,,,,,,
G3SZR0,G3SZR0_LOXAF,1.0,,,,1,,,,,,
A0A096NTK4,A0A096NTK4_PAPAN,1.0,,1,,,,,,,,
