,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014318,DIPFRSK,TF324246,EOG773XG0,NOG68878,HOG000046597,NA,NA,Q9NVH0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B2GUW4,B2GUW4_RAT,7.0,,1,1,1,1,1,1,,,1
B2GUW4,B2GUW4_RAT,7.0,,1,1,1,1,1,1,,,1
Q9NVH0,EXD2_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q9NVH0,EXD2_HUMAN,7.0,,1,1,1,1,1,1,,,1
D2H5Q3,D2H5Q3_AILME,5.0,,1,1,1,1,,1,,,
E1BXG2,E1BXG2_CHICK,5.0,,1,1,1,1,,,,,1
A7RNM5,A7RNM5_NEMVE,5.0,,,1,,1,1,1,,,1
Q9VGN7,Q9VGN7_DROME,5.0,,1,1,,1,1,,,,1
Q9VGN7,Q9VGN7_DROME,5.0,,1,1,,1,1,,,,1
H3CBJ4,H3CBJ4_TETNG,4.0,,1,1,1,1,,,,,
G1PJ71,G1PJ71_MYOLU,4.0,,1,1,1,1,,,,,
H9GA32,H9GA32_ANOCA,4.0,,1,1,1,1,,,,,
G1NH34,G1NH34_MELGA,4.0,,1,1,1,1,,,,,
I3LW37,I3LW37_SPETR,4.0,,1,1,1,1,,,,,
F8WID1,F8WID1_MOUSE,4.0,,1,1,1,1,,,,,
F7GZE4,F7GZE4_CALJA,4.0,,1,1,1,1,,,,,
K7FT63,K7FT63_PELSI,4.0,,1,1,1,1,,,,,
H3BH11,H3BH11_LATCH,4.0,,1,1,1,1,,,,,
H2MZR9,H2MZR9_ORYLA,4.0,,1,1,1,1,,,,,
G1QKW9,G1QKW9_NOMLE,4.0,,1,1,1,1,,,,,
F7BT43,F7BT43_XENTR,4.0,,1,1,1,1,,,,,
H2S869,H2S869_TAKRU,4.0,,1,1,1,1,,,,,
H2Q8I3,H2Q8I3_PANTR,4.0,,1,1,1,1,,,,,
H2NLM3,H2NLM3_PONAB,4.0,,1,1,1,1,,,,,
H0ZMJ9,H0ZMJ9_TAEGU,4.0,,1,1,1,1,,,,,
H0X633,H0X633_OTOGA,4.0,,1,1,1,1,,,,,
H0VFX7,H0VFX7_CAVPO,4.0,,1,1,1,1,,,,,
G3VRD0,G3VRD0_SARHA,4.0,,1,1,1,1,,,,,
G3TLU5,G3TLU5_LOXAF,4.0,,1,1,1,1,,,,,
F7FZ00,F7FZ00_ORNAN,4.0,,1,1,1,1,,,,,
G3NP15,G3NP15_GASAC,4.0,,1,1,1,1,,,,,
Q7PXS8,Q7PXS8_ANOGA,4.0,,,,,1,1,1,,,1
B7PNL2,B7PNL2_IXOSC,4.0,,,1,,1,1,,,,1
G3QFZ8,G3QFZ8_GORGO,4.0,,1,1,1,1,,,,,
F6YN96,F6YN96_CIOIN,4.0,,1,1,1,1,,,,,
F6WLQ1,F6WLQ1_MONDO,4.0,,1,1,1,1,,,,,
F1S4B8,F1S4B8_PIG,4.0,,1,1,1,1,,,,,
F1QBW6,F1QBW6_DANRE,4.0,,1,1,1,1,,,,,
F7B2V9,F7B2V9_MACMU,4.0,,1,1,1,1,,,,,
E1BEQ0,E1BEQ0_BOVIN,4.0,,1,1,1,1,,,,,
B0JZN3,B0JZN3_DANRE,3.0,,,,,,1,1,,,1
B4PM58,B4PM58_DROYA,3.0,,,1,,1,1,,,,
B4NAX0,B4NAX0_DROWI,3.0,,,1,,1,1,,,,
B4M5C8,B4M5C8_DROVI,3.0,,,1,,1,1,,,,
G1SRD1,G1SRD1_RABIT,3.0,,1,,1,1,,,,,
C3Z1Z1,C3Z1Z1_BRAFL,3.0,,,1,,,1,,,,1
B4JUN9,B4JUN9_DROGR,3.0,,,1,,1,1,,,,
E2QXX4,E2QXX4_CANFA,3.0,,1,1,1,,,,,,
B0WTA6,B0WTA6_CULQU,3.0,,,,,1,1,1,,,
I3IV46,I3IV46_ORENI,3.0,,,1,1,1,,,,,
F7A2P3,F7A2P3_HORSE,3.0,,1,1,1,,,,,,
Q16LC6,Q16LC6_AEDAE,3.0,,,,,1,1,1,,,
M3WKJ6,M3WKJ6_FELCA,3.0,,1,1,,1,,,,,
M3Y7K3,M3Y7K3_MUSPF,3.0,,1,1,,1,,,,,
B3LXB7,B3LXB7_DROAN,2.0,,,,,1,1,,,,
E0V8Y7,E0V8Y7_PEDHC,2.0,,,1,,1,,,,,
B4KDZ0,B4KDZ0_DROMO,2.0,,,1,,1,,,,,
W5QJ64,W5QJ64_SHEEP,2.0,,1,1,,,,,,,
F7A8B8,F7A8B8_HORSE,2.0,,1,,,1,,,,,
Q54YU4,Q54YU4_DICDI,2.0,,,,,,1,,,,1
W5N778,W5N778_LEPOC,2.0,,1,1,,,,,,,
Q54YU5,Q54YU5_DICDI,2.0,,,,,,1,,,,1
H9J1C5,H9J1C5_BOMMO,2.0,,,1,,1,,,,,
J9NWB3,J9NWB3_CANFA,2.0,,1,,,1,,,,,
U3JR49,U3JR49_FICAL,2.0,,1,1,,,,,,,
U3I6D7,U3I6D7_ANAPL,2.0,,1,1,,,,,,,
M3ZMY1,M3ZMY1_XIPMA,2.0,,1,,,1,,,,,
Q295A4,Q295A4_DROPS,2.0,,,1,,1,,,,,
Q16LC7,Q16LC7_AEDAE,2.0,,,,,1,1,,,,
B3NZE7,B3NZE7_DROER,1.0,,,,,1,,,,,
A1VER2,A1VER2_DESVV,1.0,,,,,,1,,,,
A1RGS0,A1RGS0_SHESW,1.0,,,,,,1,,,,
B2RL70,B2RL70_PORG3,1.0,,,,,,1,,,,
A0KTU6,A0KTU6_SHESA,1.0,,,,,,1,,,,
A0A096NVS1,A0A096NVS1_PAPAN,1.0,,1,,,,,,,,
B4GMD5,B4GMD5_DROPE,1.0,,,,,1,,,,,
B4HI24,B4HI24_DROSE,1.0,,,,,1,,,,,
A2WTF6,A2WTF6_ORYSI,1.0,,,,,,1,,,,
A0A096NVR8,A0A096NVR8_PAPAN,1.0,,1,,,,,,,,
A0A096M877,A0A096M877_POEFO,1.0,,1,,,,,,,,
A0A096M434,A0A096M434_POEFO,1.0,,1,,,,,,,,
B4QU36,B4QU36_DROSI,1.0,,,,,1,,,,,
A2WNV4,A2WNV4_ORYSI,1.0,,,,,,1,,,,
A8JIV5,A8JIV5_CHLRE,1.0,,,,,,1,,,,
A2WUV0,A2WUV0_ORYSI,1.0,,,,,,1,,,,
