,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10639,ENSGT00390000002849,IANHEGT,TF328863,EOG76MK99,NOG27432,HOG000111677,HBG050962,NA,Q9NPC3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NPC3,CIP1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9NPC3,CIP1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5BJM2,Q5BJM2_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q5BJM2,Q5BJM2_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q2YDD5,Q2YDD5_BOVIN,8.0,1,1,1,1,1,1,1,1,,
D3Z3K2,CIP1_MOUSE,6.0,1,1,1,,1,,1,,,1
G3QPJ5,G3QPJ5_GORGO,5.0,1,1,1,1,1,,,,,
F6R9H7,F6R9H7_ORNAN,5.0,1,1,1,1,1,,,,,
G3WGX4,G3WGX4_SARHA,5.0,1,1,1,1,1,,,,,
F6WCD1,F6WCD1_MONDO,5.0,1,1,1,1,1,,,,,
H2QZI7,H2QZI7_PANTR,5.0,1,1,1,1,1,,,,,
H9GDT9,H9GDT9_ANOCA,5.0,1,1,1,1,1,,,,,
K7G050,K7G050_PELSI,5.0,1,1,1,1,1,,,,,
D2I2V2,D2I2V2_AILME,5.0,1,1,,1,1,,1,,,
G1SH84,G1SH84_RABIT,5.0,1,1,1,1,1,,,,,
G1RIF1,G1RIF1_NOMLE,5.0,1,1,1,1,1,,,,,
F7ERK7,F7ERK7_CALJA,5.0,1,1,1,1,1,,,,,
H2NKH2,H2NKH2_PONAB,5.0,1,1,1,1,1,,,,,
F7GEK4,F7GEK4_MACMU,5.0,1,1,1,1,1,,,,,
A7SSM0,A7SSM0_NEMVE,5.0,1,,,,1,1,1,,,1
H0VDN2,H0VDN2_CAVPO,4.0,,1,1,1,1,,,,,
G1PS14,G1PS14_MYOLU,4.0,,1,1,1,1,,,,,
F6Y504,F6Y504_CIOIN,4.0,1,1,,1,1,,,,,
H3D646,H3D646_TETNG,4.0,,1,1,1,1,,,,,
G3Q6B2,G3Q6B2_GASAC,4.0,,1,1,1,1,,,,,
G3SQJ1,G3SQJ1_LOXAF,4.0,,1,1,1,1,,,,,
H3A4J8,H3A4J8_LATCH,4.0,,1,1,1,1,,,,,
