,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000049460,MPQPKGA,TF336539,EOG7B31P5,NOG71295,HOG000013006,HBG101687,NA,Q8IYJ0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IYJ0,PIANP_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8IYJ0,PIANP_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A4IFJ4,A4IFJ4_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q6P1B3,PIANP_MOUSE,7.0,,1,1,1,1,1,1,1,,
Q5U2P6,PIANP_RAT,6.0,,1,1,,1,1,1,1,,
G1Q9X3,G1Q9X3_MYOLU,4.0,,1,1,1,1,,,,,
H2Q5B0,H2Q5B0_PANTR,4.0,,1,1,1,1,,,,,
H2NG94,H2NG94_PONAB,4.0,,1,1,1,1,,,,,
G1NMT8,G1NMT8_MELGA,4.0,,1,1,1,1,,,,,
F1SLT0,F1SLT0_PIG,4.0,,1,1,1,1,,,,,
H0XRT0,H0XRT0_OTOGA,4.0,,1,1,1,1,,,,,
F1NGK1,F1NGK1_CHICK,4.0,,1,1,1,1,,,,,
H0UTQ6,H0UTQ6_CAVPO,4.0,,1,1,1,1,,,,,
G3WRY2,G3WRY2_SARHA,4.0,,1,1,1,1,,,,,
F6VYZ6,F6VYZ6_HORSE,4.0,,1,1,1,1,,,,,
G3U3D2,G3U3D2_LOXAF,4.0,,1,1,1,1,,,,,
G3SIQ5,G3SIQ5_GORGO,4.0,,1,1,1,1,,,,,
F6PRP7,F6PRP7_MACMU,4.0,,1,1,1,1,,,,,
F1P677,F1P677_CANFA,4.0,,1,1,1,1,,,,,
G1SKB7,G1SKB7_RABIT,4.0,,1,1,1,1,,,,,
F7HV06,F7HV06_CALJA,4.0,,1,1,1,1,,,,,
K7G9Q5,K7G9Q5_PELSI,4.0,,1,1,1,1,,,,,
F7FFB9,F7FFB9_MONDO,4.0,,1,1,1,1,,,,,
I3NBY9,I3NBY9_SPETR,4.0,,1,1,1,1,,,,,
G1M6A4,G1M6A4_AILME,4.0,,1,1,1,1,,,,,
G1QU23,G1QU23_NOMLE,3.0,,1,,1,1,,,,,
M3YZH1,M3YZH1_MUSPF,3.0,,1,1,,1,,,,,
