,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14560,ENSGT00550000075090,VDFLNWK,TF300149,EOG7HQN9J,COG0522,HOG000213883,HBG052121,NA,Q9NV31
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NV31,IMP3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
A5WV64,A5WV64_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q921Y2,IMP3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
B2RZ12,B2RZ12_RAT,8.0,1,1,,1,1,1,1,1,,1
O01513,YS4L_CAEEL,6.0,1,1,1,,,1,1,,,1
Q7JZ53,Q7JZ53_DROME,6.0,1,1,1,,1,1,,,,1
Q7Q5L1,Q7Q5L1_ANOGA,6.0,1,,1,,1,1,1,,,1
P32899,IMP3_YEAST,6.0,1,1,1,,,1,1,,,1
D2HRJ9,D2HRJ9_AILME,6.0,1,1,1,1,1,,1,,,
A7RTU1,A7RTU1_NEMVE,6.0,1,,1,,1,1,1,,,1
O13835,IMP3_SCHPO,5.0,1,,1,,,1,1,,,1
A8XGG3,A8XGG3_CAEBR,5.0,1,,1,,1,1,1,,,
G3QWL5,G3QWL5_GORGO,5.0,1,1,1,1,1,,,,,
F1SJ73,F1SJ73_PIG,5.0,1,1,1,1,1,,,,,
E2RL19,E2RL19_CANFA,5.0,1,1,1,1,1,,,,,
H2S549,H2S549_TAKRU,5.0,1,1,1,1,1,,,,,
H2Q9U5,H2Q9U5_PANTR,5.0,1,1,1,1,1,,,,,
H2NNU6,H2NNU6_PONAB,5.0,1,1,1,1,1,,,,,
H0ZSM3,H0ZSM3_TAEGU,5.0,1,1,1,1,1,,,,,
Q683D4,Q683D4_ARATH,5.0,1,,1,,,1,1,,,1
F6YGG6,F6YGG6_CIOIN,5.0,1,1,1,1,1,,,,,
G1SMB3,G1SMB3_RABIT,5.0,1,1,1,1,1,,,,,
F7GL33,F7GL33_MACMU,5.0,1,1,1,1,1,,,,,
G3VVD1,G3VVD1_SARHA,5.0,1,1,1,1,1,,,,,
Q17AL1,Q17AL1_AEDAE,5.0,1,,1,,1,1,1,,,
B3RPB0,B3RPB0_TRIAD,5.0,1,,1,,1,1,1,,,
B0XDY0,B0XDY0_CULQU,5.0,1,,1,,1,1,1,,,
F7I5Q9,F7I5Q9_CALJA,5.0,1,1,1,1,1,,,,,
H0WCT2,H0WCT2_CAVPO,4.0,,1,1,1,1,,,,,
H0WQX4,H0WQX4_OTOGA,4.0,,1,1,1,1,,,,,
M3WGW4,M3WGW4_FELCA,4.0,1,1,1,,1,,,,,
F7C0I3,F7C0I3_MONDO,4.0,1,1,,1,1,,,,,
Q6C1C9,Q6C1C9_YARLI,4.0,1,,1,,,,1,,,1
C4WVH2,C4WVH2_ACYPI,4.0,1,,1,,1,,1,,,
B6H297,B6H297_PENCW,4.0,1,,1,,,1,1,,,
Q3T0M3,IMP3_BOVIN,4.0,1,,,,,1,1,1,,
G3SU86,G3SU86_LOXAF,4.0,,1,1,1,1,,,,,
F1MZR5,F1MZR5_BOVIN,4.0,,1,1,1,1,,,,,
Q5AZV9,Q5AZV9_EMENI,4.0,1,,1,,,1,1,,,
H2Y7F6,H2Y7F6_CIOSA,4.0,,1,1,1,1,,,,,
M3ZQL9,M3ZQL9_XIPMA,4.0,1,1,1,,1,,,,,
Q4Q5L4,Q4Q5L4_LEIMA,4.0,1,,1,,,,1,,,1
Q54XG2,Q54XG2_DICDI,4.0,1,,1,,,1,,,,1
H2LI14,H2LI14_ORYLA,4.0,,1,1,1,1,,,,,
Q8SRU8,Q8SRU8_ENCCU,4.0,1,,1,,,1,1,,,
M3XKR4,M3XKR4_LATCH,4.0,1,1,1,,1,,,,,
C5Z7J5,C5Z7J5_SORBI,4.0,1,,1,,,1,1,,,
B5YNP5,B5YNP5_THAPS,4.0,1,,,,,1,1,,,1
G3PU24,G3PU24_GASAC,4.0,,1,1,1,1,,,,,
A9PE16,A9PE16_POPTR,4.0,1,,1,,,1,1,,,
B4P5F9,B4P5F9_DROYA,4.0,1,,1,,1,1,,,,
