,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09103,ENSGT00390000014051,SMMGINS,TF313391,EOG7J446V,NOG259050,HOG000092311,HBG005108,NA,Q9HAK2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HAK2,COE2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
O08792,COE2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
O08792,COE2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A1L2E2,A1L2E2_DANRE,7.0,1,1,,1,1,1,1,1,,
Q9UH73,COE1_HUMAN,7.0,1,1,,1,1,1,1,1,,
Q63398,COE1_RAT,7.0,1,1,,1,1,1,1,1,,
O08791,COE3_MOUSE,7.0,1,1,,1,1,1,1,1,,
Q9H4W6,COE3_HUMAN,7.0,1,1,,1,1,1,1,1,,
Q93705,UNC3_CAEEL,6.0,1,1,,,1,1,1,,,1
Q07802,COE1_MOUSE,6.0,1,,,1,1,1,1,1,,
D3ZT68,D3ZT68_RAT,6.0,1,1,1,1,1,,,,,1
Q93705,UNC3_CAEEL,6.0,1,1,,,1,1,1,,,1
E1C814,E1C814_CHICK,6.0,1,1,1,1,1,,,,,1
D3ZT68,D3ZT68_RAT,6.0,1,1,1,1,1,,,,,1
A7S0M6,A7S0M6_NEMVE,5.0,1,,,,1,1,1,,,1
A2BI80,A2BI80_MOUSE,5.0,1,1,,,1,,1,1,,
Q8K4J2,COE4_MOUSE,5.0,1,1,,1,,1,,1,,
Q9BQW3,COE4_HUMAN,5.0,1,1,,,,1,1,1,,
G1MQ56,G1MQ56_MELGA,5.0,1,1,1,1,1,,,,,
G1L0F2,G1L0F2_AILME,5.0,1,1,1,1,1,,,,,
G1S2A8,G1S2A8_NOMLE,5.0,1,1,1,1,1,,,,,
Q7PN01,Q7PN01_ANOGA,5.0,1,,,,1,1,1,,,1
G3QGU9,G3QGU9_GORGO,5.0,1,1,1,1,1,,,,,
G1T2C6,G1T2C6_RABIT,5.0,1,1,1,1,1,,,,,
O93375,COE2_DANRE,5.0,1,,,,,1,1,1,,1
F7CAY5,F7CAY5_HORSE,5.0,1,1,1,1,1,,,,,
P56721,COLL_DROME,5.0,1,1,,,1,1,,,,1
F1PTQ9,F1PTQ9_CANFA,5.0,1,1,1,1,1,,,,,
P56721,COLL_DROME,5.0,1,1,,,1,1,,,,1
H2PPV8,H2PPV8_PONAB,5.0,1,1,1,1,1,,,,,
H2Q2S3,H2Q2S3_PANTR,5.0,1,1,1,1,1,,,,,
H3BCM0,H3BCM0_LATCH,4.0,,1,1,1,1,,,,,
Q17FF9,Q17FF9_AEDAE,4.0,1,,,,1,1,1,,,
E7F5K2,E7F5K2_DANRE,4.0,1,1,,1,1,,,,,
G3TQJ4,G3TQJ4_LOXAF,4.0,,1,1,1,1,,,,,
B0WS16,B0WS16_CULQU,4.0,1,,,,1,1,1,,,
E1BFT2,E1BFT2_BOVIN,4.0,1,1,,1,1,,,,,
Q6P4K7,COE2_XENTR,4.0,1,,,,,1,1,1,,
H0X3F3,H0X3F3_OTOGA,4.0,,1,1,1,1,,,,,
G1PIF5,G1PIF5_MYOLU,4.0,,1,1,1,1,,,,,
D4A274,D4A274_RAT,4.0,1,1,,1,1,,,,,
Q5SWK8,Q5SWK8_MOUSE,4.0,1,1,,,,,1,1,,
Q5SWK4,Q5SWK4_MOUSE,4.0,1,1,,,,,1,1,,
H0UW95,H0UW95_CAVPO,4.0,,1,1,1,1,,,,,
K7GEY1,K7GEY1_PELSI,4.0,1,1,,1,1,,,,,
K7GFB2,K7GFB2_PELSI,4.0,,1,1,1,1,,,,,
B3S326,B3S326_TRIAD,4.0,1,,,,1,1,1,,,
F2Z510,F2Z510_PIG,4.0,,1,1,1,1,,,,,
E1BPV4,E1BPV4_BOVIN,4.0,1,1,,1,1,,,,,
H0Z1M6,H0Z1M6_TAEGU,4.0,,1,1,1,1,,,,,
H2QRX0,H2QRX0_PANTR,4.0,1,1,,1,1,,,,,
H2PH80,H2PH80_PONAB,4.0,1,1,,1,1,,,,,
B4P7P4,B4P7P4_DROYA,4.0,1,,1,,1,1,,,,
F6UBL8,F6UBL8_CALJA,4.0,,1,1,1,1,,,,,
B8JKJ0,B8JKJ0_DANRE,4.0,,1,,,,1,1,1,,
H0ZMZ6,H0ZMZ6_TAEGU,4.0,1,1,,1,1,,,,,
B7Z934,B7Z934_HUMAN,4.0,1,1,,,,,1,1,,
F7GGX5,F7GGX5_MONDO,4.0,1,1,,1,1,,,,,
F7AL94,F7AL94_MONDO,4.0,,1,1,1,1,,,,,
A2BIQ0,A2BIQ0_DANRE,4.0,,1,,1,1,,,1,,
F7I410,F7I410_CALJA,4.0,1,1,,1,1,,,,,
E9QJG7,E9QJG7_DANRE,4.0,1,1,,1,1,,,,,
H3DEI7,H3DEI7_TETNG,4.0,,1,1,1,1,,,,,
G1K3E3,G1K3E3_XENTR,4.0,,1,1,1,1,,,,,
G1KI56,G1KI56_ANOCA,4.0,1,1,,1,1,,,,,
E1BFT1,E1BFT1_BOVIN,3.0,,1,,1,1,,,,,
B7Q6P5,B7Q6P5_IXOSC,3.0,1,,,,1,1,,,,
G3TJ22,G3TJ22_LOXAF,3.0,,1,,1,1,,,,,
C3Z8V7,C3Z8V7_BRAFL,3.0,1,,,,,1,,,,1
H2TWQ3,H2TWQ3_TAKRU,3.0,,1,,1,1,,,,,
H2SNB2,H2SNB2_TAKRU,3.0,,1,,1,1,,,,,
G3SZ41,G3SZ41_LOXAF,3.0,,1,,1,1,,,,,
F1SDK2,F1SDK2_PIG,3.0,,1,,1,1,,,,,
H0XA95,H0XA95_OTOGA,3.0,,1,,1,1,,,,,
G3VB47,G3VB47_SARHA,3.0,,1,,1,1,,,,,
G3WY22,G3WY22_SARHA,3.0,,1,,1,1,,,,,
H2P1E3,H2P1E3_PONAB,3.0,,1,,1,1,,,,,
G3SZ21,G3SZ21_LOXAF,3.0,,1,,1,1,,,,,
H2LTE8,H2LTE8_ORYLA,3.0,,1,,1,1,,,,,
H2LPR7,H2LPR7_ORYLA,3.0,,1,,1,1,,,,,
H2LMW4,H2LMW4_ORYLA,3.0,,1,,1,1,,,,,
H2LAJ6,H2LAJ6_ORYLA,3.0,,1,,1,1,,,,,
H0V443,H0V443_CAVPO,3.0,,1,,1,1,,,,,
