,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000049857,PACQICI,TF330675,EOG7J1812,NOG326166,HOG000111301,HBG006113,NA,Q5XLA6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5XLA6,CAR17_HUMAN,8.0,,1,1,1,1,1,1,1,,1
H2RDW1,H2RDW1_PANTR,4.0,,1,1,1,1,,,,,
Q5EG05,CAR16_HUMAN,4.0,,1,,1,1,,,1,,
H2NF49,H2NF49_PONAB,3.0,,1,,1,1,,,,,
P57730,CAR18_HUMAN,3.0,,1,,,1,,,1,,
H2R501,H2R501_PANTR,3.0,,1,,1,1,,,,,
G3TH08,G3TH08_LOXAF,3.0,,1,1,,1,,,,,
K7E6D5,K7E6D5_MONDO,3.0,,1,1,,1,,,,,
G3QIA6,G3QIA6_GORGO,3.0,,1,,1,1,,,,,
H0VUL2,H0VUL2_CAVPO,3.0,,1,1,,1,,,,,
H3DRC4,H3DRC4_TETNG,2.0,,1,,1,,,,,,
G3QKS6,G3QKS6_GORGO,2.0,,1,,,1,,,,,
F7I702,F7I702_CALJA,2.0,,1,,,1,,,,,
F7FAG6,F7FAG6_MACMU,2.0,,1,,,1,,,,,
F7A0D9,F7A0D9_MACMU,2.0,,1,,1,,,,,,
H2RCJ2,H2RCJ2_PANTR,2.0,,1,,,1,,,,,
F6ZRQ4,F6ZRQ4_ORNAN,2.0,,1,,,1,,,,,
F7A0D0,F7A0D0_MACMU,1.0,,1,,,,,,,,
F6ZHM2,F6ZHM2_MACMU,1.0,,1,,,,,,,,
F6YZS8,F6YZS8_MACMU,1.0,,1,,,,,,,,
F6YZS0,F6YZS0_MACMU,1.0,,,,,1,,,,,
E9PQW1,E9PQW1_HUMAN,1.0,,1,,,,,,,,
B8A526,B8A526_DANRE,1.0,,,,,,1,,,,
B4DKN4,B4DKN4_HUMAN,1.0,,,,,,,,1,,
A9YEF3,A9YEF3_FELCA,1.0,,,,,,1,,,,
A7MBW7,A7MBW7_DANRE,1.0,,,,,,1,,,,
A5HC37,A5HC37_RABIT,1.0,,,,,,1,,,,
A0PCH9,A0PCH9_BOVIN,1.0,,,,,,1,,,,
G5EA35,G5EA35_HUMAN,1.0,,1,,,,,,,,
Q9TV13,CASP1_HORSE,1.0,,,,,,1,,,,
H2Q4N8,H2Q4N8_PANTR,1.0,,1,,,,,,,,
Q9N2I1,CASP1_PIG,1.0,,,,,,1,,,,
Q9MZV7,CASP1_CANFA,1.0,,,,,,1,,,,
Q9I9L7,Q9I9L7_DANRE,1.0,,,,,,1,,,,
Q5FBZ0,Q5FBZ0_HUMAN,1.0,,,,,,,,1,,
Q5E9C1,CASP4_BOVIN,1.0,,,,,,1,,,,
Q5BLH4,Q5BLH4_DANRE,1.0,,,,,,1,,,,
Q504J1,Q504J1_DANRE,1.0,,,,,,1,,,,
Q4U0E2,Q4U0E2_DANRE,1.0,,,,,,1,,,,
Q4R9W1,Q4R9W1_TETNG,1.0,,,,,,1,,,,
Q3MHS1,Q3MHS1_RAT,1.0,,,,,,1,,,,
Q05BX3,Q05BX3_HUMAN,1.0,,,,,,1,,,,
P70343,CASP4_MOUSE,1.0,,,,,,1,,,,
P51878,CASP5_HUMAN,1.0,,,,,,1,,,,
P49662,CASP4_HUMAN,1.0,,,,,,1,,,,
P43527,CASP1_RAT,1.0,,,,,,1,,,,
P29452,CASP1_MOUSE,1.0,,,,,,1,,,,
O42284,O42284_CHICK,1.0,,,,,,1,,,,
I3KM76,I3KM76_ORENI,1.0,,,,,1,,,,,
A0A096N916,A0A096N916_PAPAN,1.0,,1,,,,,,,,
