,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000062926,CHQGGSP,TF323692,EOG7PK905,COG1272,HOG000006893,HBG053505,NA,Q8N4S7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q568Z3,Q568Z3_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8N4S7,PAQR4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8N4S7,PAQR4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9JJE4,PAQR4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
A6H740,A6H740_BOVIN,7.0,,1,1,1,1,1,1,1,,
D2I6Z2,D2I6Z2_AILME,5.0,,1,1,1,1,,1,,,
I3LP82,I3LP82_PIG,4.0,,1,1,1,1,,,,,
F6Z3L5,F6Z3L5_MACMU,4.0,,1,1,1,1,,,,,
H0VCE0,H0VCE0_CAVPO,4.0,,1,1,1,1,,,,,
I3MER7,I3MER7_SPETR,4.0,,1,1,1,1,,,,,
G3WZA8,G3WZA8_SARHA,4.0,,1,1,1,1,,,,,
A7RQG1,A7RQG1_NEMVE,4.0,,,,,1,1,1,,,1
F7EPL3,F7EPL3_MONDO,4.0,,1,1,1,1,,,,,
G3QR01,G3QR01_GORGO,4.0,,1,1,1,1,,,,,
H9GC10,H9GC10_ANOCA,4.0,,1,1,1,1,,,,,
G3TTG8,G3TTG8_LOXAF,4.0,,1,1,1,1,,,,,
H2RHA4,H2RHA4_PANTR,4.0,,1,1,1,1,,,,,
H3AV51,H3AV51_LATCH,4.0,,1,1,1,1,,,,,
G1U142,G1U142_RABIT,4.0,,1,1,1,1,,,,,
G1PLU2,G1PLU2_MYOLU,4.0,,1,1,1,1,,,,,
F6WJL7,F6WJL7_ORNAN,4.0,,1,1,1,1,,,,,
H0XJM9,H0XJM9_OTOGA,4.0,,1,1,1,1,,,,,
H2NPW6,H2NPW6_PONAB,4.0,,1,1,1,1,,,,,
G1REE2,G1REE2_NOMLE,4.0,,1,1,1,1,,,,,
E7EYL0,E7EYL0_DANRE,4.0,,1,1,1,1,,,,,
F6XFB3,F6XFB3_CALJA,4.0,,1,1,1,1,,,,,
E2R8I7,E2R8I7_CANFA,4.0,,1,1,1,1,,,,,
E7FEU9,E7FEU9_DANRE,3.0,,1,,1,1,,,,,
H2LML8,H2LML8_ORYLA,3.0,,1,,1,1,,,,,
Q86D34,Q86D34_DROME,3.0,,1,,,1,1,,,,
F6V607,F6V607_XENTR,3.0,,1,,1,1,,,,,
H3DBS2,H3DBS2_TETNG,3.0,,1,,1,1,,,,,
I3JU06,I3JU06_ORENI,3.0,,,1,1,1,,,,,
H2T2H0,H2T2H0_TAKRU,3.0,,1,,1,1,,,,,
G3WYS5,G3WYS5_SARHA,3.0,,1,,1,1,,,,,
M3YUY9,M3YUY9_MUSPF,3.0,,1,1,,1,,,,,
G3PK05,G3PK05_GASAC,3.0,,1,,1,1,,,,,
H3C6B9,H3C6B9_TETNG,3.0,,1,,1,1,,,,,
K7FY04,K7FY04_PELSI,3.0,,1,,1,1,,,,,
G3NW64,G3NW64_GASAC,3.0,,1,,1,1,,,,,
H2SN57,H2SN57_TAKRU,3.0,,1,,1,1,,,,,
C3Z4J6,C3Z4J6_BRAFL,3.0,,,1,,,1,,,,1
Q7Q4W2,Q7Q4W2_ANOGA,2.0,,,,,1,,,,,1
Q54B86,Q54B86_DICDI,2.0,,,,,,1,,,,1
Q86V24,ADR2_HUMAN,2.0,,1,,,,1,,,,
F6SHY4,F6SHY4_HORSE,2.0,,1,,,1,,,,,
Q6PC57,Q6PC57_DANRE,2.0,,1,,,,1,,,,
A2DZ10,A2DZ10_TRIVA,2.0,,,,,,1,,,,1
