,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K12021,ENSGT00550000074377,GYLGCGH,TF324196,EOG7PS1F8,NOG294122,HOG000231266,HBG054905,NA,Q9H8W5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H8W5,TRI45_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9H8W5,TRI45_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5BIM1,TRI45_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q6PFY8,TRI45_MOUSE,7.0,1,1,,1,1,1,1,1,,
D2HMJ2,D2HMJ2_AILME,6.0,1,1,1,1,1,,1,,,
K7GAL8,K7GAL8_PELSI,5.0,1,1,1,1,1,,,,,
H0ZT12,H0ZT12_TAEGU,5.0,1,1,1,1,1,,,,,
F7E8F4,F7E8F4_MONDO,5.0,1,1,1,1,1,,,,,
H2QZF0,H2QZF0_PANTR,5.0,1,1,1,1,1,,,,,
D4A7S9,D4A7S9_RAT,5.0,1,1,1,,1,,,,,1
K7GLN7,K7GLN7_PIG,5.0,1,1,1,1,1,,,,,
F6RUP9,F6RUP9_HORSE,5.0,1,1,1,1,1,,,,,
G1QZH5,G1QZH5_NOMLE,5.0,1,1,1,1,1,,,,,
G3SJ16,G3SJ16_GORGO,5.0,1,1,1,1,1,,,,,
F6XP18,F6XP18_MACMU,5.0,1,1,1,1,1,,,,,
H2LWJ3,H2LWJ3_ORYLA,4.0,,1,1,1,1,,,,,
H3DDY9,H3DDY9_TETNG,4.0,,1,1,1,1,,,,,
Q9VLR7,Q9VLR7_DROME,4.0,1,1,,,1,,,,,1
H0WUL0,H0WUL0_OTOGA,4.0,,1,1,1,1,,,,,
H3B4P0,H3B4P0_LATCH,4.0,,1,1,1,1,,,,,
G1PNX1,G1PNX1_MYOLU,4.0,,1,1,1,1,,,,,
F7HYV0,F7HYV0_CALJA,4.0,,1,1,1,1,,,,,
G3X1J0,G3X1J0_SARHA,4.0,,1,1,1,1,,,,,
C3Z575,C3Z575_BRAFL,4.0,1,,1,,,1,,,,1
G3SVN9,G3SVN9_LOXAF,4.0,,1,1,1,1,,,,,
H2N678,H2N678_PONAB,4.0,1,1,,1,1,,,,,
H2RS43,H2RS43_TAKRU,4.0,,1,1,1,1,,,,,
E2RGD5,E2RGD5_CANFA,4.0,,1,1,1,1,,,,,
I3M9K9,I3M9K9_SPETR,4.0,,1,1,1,1,,,,,
I3L6F2,I3L6F2_PIG,3.0,,1,,1,1,,,,,
B3MPI3,B3MPI3_DROAN,3.0,1,,,,1,1,,,,
E1C827,E1C827_CHICK,3.0,,1,,1,1,,,,,
B0WGE2,B0WGE2_CULQU,3.0,1,,,,1,1,,,,
Q63ZT9,Q63ZT9_XENTR,3.0,1,,,,,1,,1,,
Q5T2K3,Q5T2K3_HUMAN,3.0,,1,,,,,1,1,,
E0VVI1,E0VVI1_PEDHC,3.0,1,,1,,1,,,,,
B4MVX4,B4MVX4_DROWI,3.0,1,,,,1,1,,,,
B4JB32,B4JB32_DROGR,3.0,1,,,,1,1,,,,
Q17LY5,Q17LY5_AEDAE,3.0,1,,,,1,1,,,,
B4NWF1,B4NWF1_DROYA,3.0,1,,,,1,1,,,,
M3W3N1,M3W3N1_FELCA,3.0,,1,1,,1,,,,,
B7Q6L0,B7Q6L0_IXOSC,3.0,1,,,,1,1,,,,
M3XR84,M3XR84_MUSPF,3.0,,1,1,,1,,,,,
F7DE87,F7DE87_XENTR,3.0,,1,,1,1,,,,,
M4A5U8,M4A5U8_XIPMA,3.0,,1,1,,1,,,,,
I3KF25,I3KF25_ORENI,3.0,,,1,1,1,,,,,
B4LUB8,B4LUB8_DROVI,3.0,1,,,,1,1,,,,
A2ACL2,A2ACL2_MOUSE,3.0,,1,,,,,1,1,,
G1SCW3,G1SCW3_RABIT,3.0,,1,,1,1,,,,,
W5QGE2,W5QGE2_SHEEP,3.0,1,1,1,,,,,,,
G3P037,G3P037_GASAC,3.0,,1,,1,1,,,,,
G1NN71,G1NN71_MELGA,3.0,,1,,1,1,,,,,
B4G921,B4G921_DROPE,2.0,1,,,,1,,,,,
A7SPQ6,A7SPQ6_NEMVE,2.0,,,,,1,,,,,1
A7SQM3,A7SQM3_NEMVE,2.0,,,,,,1,,,,1
I3MFY1,I3MFY1_SPETR,2.0,,1,,,1,,,,,
U3JRJ4,U3JRJ4_FICAL,2.0,,1,1,,,,,,,
U3J7J6,U3J7J6_ANAPL,2.0,,1,1,,,,,,,
B4Q6B4,B4Q6B4_DROSI,2.0,1,,,,1,,,,,
B4KGW7,B4KGW7_DROMO,2.0,1,,,,1,,,,,
Q29ML5,Q29ML5_DROPS,2.0,1,,,,1,,,,,
B4HYG2,B4HYG2_DROSE,2.0,1,,,,1,,,,,
J9NRL4,J9NRL4_CANFA,2.0,,1,,,1,,,,,
Q5TP87,Q5TP87_ANOGA,2.0,,,,,1,1,,,,
B0WGE1,B0WGE1_CULQU,2.0,,,,,1,1,,,,
Q4RTR6,Q4RTR6_TETNG,2.0,,,,,,1,,1,,
B3N718,B3N718_DROER,2.0,1,,,,1,,,,,
B0X5J6,B0X5J6_CULQU,2.0,1,,,,1,,,,,
F6UH74,F6UH74_HORSE,1.0,,1,,,,,,,,
F6YCR4,F6YCR4_HORSE,1.0,,1,,,,,,,,
F6YE39,F6YE39_CIOIN,1.0,,1,,,,,,,,
F6Z4R4,F6Z4R4_XENTR,1.0,,1,,,,,,,,
F6ZFU3,F6ZFU3_MONDO,1.0,,1,,,,,,,,
