,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00410000026432,NA,NA,NA,NOG304168,NA,NA,NA,Q0VF49
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q0VF49,K2012_HUMAN,3.0,,1,,,,1,,,,1
W5Q7Z0,W5Q7Z0_SHEEP,1.0,,1,,,,,,,,
F1SI29,F1SI29_PIG,1.0,,1,,,,,,,,
G1R5R0,G1R5R0_NOMLE,1.0,,1,,,,,,,,
G1M3M3,G1M3M3_AILME,1.0,,1,,,,,,,,
F7I8U5,F7I8U5_CALJA,1.0,,1,,,,,,,,
F7I6F7,F7I6F7_CALJA,1.0,,1,,,,,,,,
F7G082,F7G082_MACMU,1.0,,1,,,,,,,,
F6YF19,F6YF19_HORSE,1.0,,1,,,,,,,,
F6QYM8,F6QYM8_MONDO,1.0,,1,,,,,,,,
F1MV67,F1MV67_BOVIN,1.0,,1,,,,,,,,
G1SK34,G1SK34_RABIT,1.0,,1,,,,,,,,
E9Q295,E9Q295_MOUSE,1.0,,1,,,,,,,,
E7FBU3,E7FBU3_DANRE,1.0,,1,,,,,,,,
D3ZI88,D3ZI88_RAT,1.0,,1,,,,,,,,
A7YY35,K2012_BOVIN,1.0,,1,,,,,,,,
A0A096MSU6,A0A096MSU6_PAPAN,1.0,,1,,,,,,,,
A0A087WSM0,A0A087WSM0_MOUSE,1.0,,1,,,,,,,,
G1R5R2,G1R5R2_NOMLE,1.0,,1,,,,,,,,
G3R1F5,G3R1F5_GORGO,1.0,,1,,,,,,,,
W5MVY7,W5MVY7_LEPOC,1.0,,1,,,,,,,,
G3R5E9,G3R5E9_GORGO,1.0,,1,,,,,,,,
M3XMM3,M3XMM3_MUSPF,1.0,,1,,,,,,,,
M3X543,M3X543_FELCA,1.0,,1,,,,,,,,
K7FU29,K7FU29_PELSI,1.0,,1,,,,,,,,
K7EG35,K7EG35_ORNAN,1.0,,1,,,,,,,,
H9GV19,H9GV19_ANOCA,1.0,,1,,,,,,,,
H9GRH2,H9GRH2_ANOCA,1.0,,1,,,,,,,,
H7C5G6,H7C5G6_HUMAN,1.0,,1,,,,,,,,
H3B3C1,H3B3C1_LATCH,1.0,,1,,,,,,,,
H2R689,H2R689_PANTR,1.0,,1,,,,,,,,
H2P8B4,H2P8B4_PONAB,1.0,,1,,,,,,,,
H0WW89,H0WW89_OTOGA,1.0,,1,,,,,,,,
H0W000,H0W000_CAVPO,1.0,,1,,,,,,,,
H0UT06,H0UT06_CAVPO,1.0,,1,,,,,,,,
G3UHD3,G3UHD3_LOXAF,1.0,,1,,,,,,,,
G3SLS4,G3SLS4_LOXAF,1.0,,1,,,,,,,,
A0A087WRV0,A0A087WRV0_MOUSE,1.0,,1,,,,,,,,
