,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09653,ENSGT00530000063264,CLKYTGV,TF317293,EOG7ZGX3B,NOG254346,HOG000013033,HBG059493,NA,Q96EU7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q499P3,C1GLC_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q96EU7,C1GLC_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q96EU7,C1GLC_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q499P3,C1GLC_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9JMG2,C1GLC_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q3SX46,C1GLC_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q6DJ98,Q6DJ98_XENTR,7.0,1,1,,1,1,1,1,1,,
D2HJU0,D2HJU0_AILME,6.0,1,1,1,1,1,,1,,,
F1RUC2,F1RUC2_PIG,5.0,1,1,1,1,1,,,,,
G1RYD9,G1RYD9_NOMLE,5.0,1,1,1,1,1,,,,,
Q7SYK2,Q7SYK2_DANRE,5.0,1,,,,,1,1,1,,1
G3S1D2,G3S1D2_GORGO,5.0,1,1,1,1,1,,,,,
G3UUU5,G3UUU5_MELGA,5.0,1,1,1,1,1,,,,,
F6WX44,F6WX44_HORSE,5.0,1,1,1,1,1,,,,,
F6TJI6,F6TJI6_MACMU,5.0,1,1,1,1,1,,,,,
F6W6E5,F6W6E5_CALJA,5.0,1,1,1,1,1,,,,,
F7FDB2,F7FDB2_ORNAN,5.0,1,1,1,1,1,,,,,
H2L6D9,H2L6D9_ORYLA,5.0,1,1,1,1,1,,,,,
H9GGT8,H9GGT8_ANOCA,5.0,1,1,1,1,1,,,,,
H2PWN6,H2PWN6_PONAB,5.0,1,1,1,1,1,,,,,
H3A546,H3A546_LATCH,5.0,1,1,1,1,1,,,,,
H2R4K4,H2R4K4_PANTR,5.0,1,1,1,1,1,,,,,
E7FBK8,E7FBK8_DANRE,5.0,1,1,1,1,1,,,,,
E2RMM2,E2RMM2_CANFA,5.0,1,1,1,1,1,,,,,
K7EYC4,K7EYC4_PELSI,5.0,1,1,1,1,1,,,,,
E1BSH4,E1BSH4_CHICK,5.0,1,1,1,1,1,,,,,
H2THW9,H2THW9_TAKRU,4.0,,1,1,1,1,,,,,
G1PYY4,G1PYY4_MYOLU,4.0,,1,1,1,1,,,,,
G1S448,G1S448_NOMLE,4.0,1,1,,1,1,,,,,
G1SMI1,G1SMI1_RABIT,4.0,,1,1,1,1,,,,,
I3MHF8,I3MHF8_SPETR,4.0,,1,1,1,1,,,,,
M3WD96,M3WD96_FELCA,4.0,1,1,1,,1,,,,,
H0WIP6,H0WIP6_OTOGA,4.0,,1,1,1,1,,,,,
G3TET9,G3TET9_LOXAF,4.0,,1,1,1,1,,,,,
G3WF53,G3WF53_SARHA,4.0,,1,1,1,1,,,,,
M4AYM7,M4AYM7_XIPMA,4.0,1,1,1,,1,,,,,
H0WAR4,H0WAR4_CAVPO,4.0,,1,1,1,1,,,,,
H1A315,H1A315_TAEGU,4.0,,1,1,1,1,,,,,
G3PZG4,G3PZG4_GASAC,4.0,,1,1,1,1,,,,,
H3C101,H3C101_TETNG,4.0,,1,1,1,1,,,,,
F7CVA3,F7CVA3_CALJA,4.0,1,1,,1,1,,,,,
F7H0Z6,F7H0Z6_MACMU,3.0,,1,,1,1,,,,,
Q9JJ06,C1GLT_MOUSE,3.0,,1,,1,,1,,,,
I3KYG7,I3KYG7_ORENI,3.0,,,1,1,1,,,,,
I3LSI1,I3LSI1_PIG,3.0,,1,,1,1,,,,,
H2P742,H2P742_PONAB,3.0,,1,,1,1,,,,,
W5PIS2,W5PIS2_SHEEP,3.0,1,1,1,,,,,,,
H0Y2J4,H0Y2J4_OTOGA,3.0,,1,,1,1,,,,,
M3Z6L4,M3Z6L4_MUSPF,3.0,,1,1,,1,,,,,
R0L1J6,R0L1J6_ANAPL,3.0,1,1,1,,,,,,,
G5E5C9,G5E5C9_BOVIN,3.0,,1,,1,1,,,,,
G3U4F6,G3U4F6_LOXAF,3.0,,1,,1,1,,,,,
Q0VC84,C1GLT_BOVIN,3.0,,1,,1,,1,,,,
Q9NS00,C1GLT_HUMAN,3.0,,1,,1,,1,,,,
H0VUD9,H0VUD9_CAVPO,3.0,,1,,1,1,,,,,
Q9JJ05,C1GLT_RAT,3.0,,1,,1,,1,,,,
Q5F3G7,C1GLT_CHICK,3.0,,1,,1,,1,,,,
G1TN73,G1TN73_RABIT,2.0,,1,,1,,,,,,
B8BS86,B8BS86_THAPS,2.0,,,,,,1,,,,1
F1QJQ5,F1QJQ5_DANRE,2.0,,1,,1,,,,,,
G1NBQ6,G1NBQ6_MELGA,2.0,,1,,1,,,,,,
H2LTI0,H2LTI0_ORYLA,2.0,,1,,1,,,,,,
H2M337,H2M337_ORYLA,2.0,,1,,1,,,,,,
G1MD47,G1MD47_AILME,2.0,,1,,1,,,,,,
F1QGX4,F1QGX4_DANRE,2.0,,1,,1,,,,,,
H2QU65,H2QU65_PANTR,2.0,,1,,1,,,,,,
F1Q7W9,F1Q7W9_DANRE,2.0,,1,,1,,,,,,
E2RF40,E2RF40_CANFA,2.0,,1,,1,,,,,,
H2U925,H2U925_TAKRU,2.0,,1,,1,,,,,,
H2U884,H2U884_TAKRU,2.0,,1,,1,,,,,,
H0YTV0,H0YTV0_TAEGU,2.0,,1,,1,,,,,,
B5YLG6,B5YLG6_THAPS,2.0,,,,,,1,,,,1
H2YKS1,H2YKS1_CIOSA,2.0,,1,,1,,,,,,
G1KN54,G1KN54_ANOCA,2.0,,1,,1,,,,,,
B5YLG5,B5YLG5_THAPS,2.0,,,,,,1,,,,1
H3AHL2,H3AHL2_LATCH,2.0,,1,,1,,,,,,
H3APM5,H3APM5_LATCH,2.0,,1,,1,,,,,,
A3KQK4,A3KQK4_DANRE,2.0,,1,,,,1,,,,
H3BFW3,H3BFW3_LATCH,2.0,,1,,1,,,,,,
F1R8T4,F1R8T4_DANRE,2.0,,1,,1,,,,,,
F1SF84,F1SF84_PIG,2.0,,1,,1,,,,,,
G3N492,G3N492_GASAC,2.0,,1,,1,,,,,,
G3VWJ0,G3VWJ0_SARHA,2.0,,1,,1,,,,,,
G3N6J2,G3N6J2_GASAC,2.0,,1,,1,,,,,,
G3P2L7,G3P2L7_GASAC,2.0,,1,,1,,,,,,
G3QUN9,G3QUN9_GORGO,2.0,,1,,1,,,,,,
H3DAR8,H3DAR8_TETNG,2.0,,1,,1,,,,,,
F7ALR3,F7ALR3_XENTR,2.0,,1,,1,,,,,,
G3SL14,G3SL14_LOXAF,2.0,,1,,1,,,,,,
F7ALQ4,F7ALQ4_XENTR,2.0,,1,,1,,,,,,
F7AU22,F7AU22_XENTR,2.0,,1,,1,,,,,,
F7AKT4,F7AKT4_ORNAN,2.0,,1,,1,,,,,,
F6ZK62,F6ZK62_CALJA,2.0,,1,,1,,,,,,
G1PQS8,G1PQS8_MYOLU,2.0,,1,,1,,,,,,
F7B5V6,F7B5V6_XENTR,2.0,,1,,1,,,,,,
H0UWL8,H0UWL8_CAVPO,2.0,,1,,1,,,,,,
F6YYH5,F6YYH5_XENTR,2.0,,1,,1,,,,,,
F7GRL3,F7GRL3_MACMU,2.0,,1,,1,,,,,,
G1S1W3,G1S1W3_NOMLE,2.0,,1,,1,,,,,,
F6SVA7,F6SVA7_HORSE,2.0,,1,,1,,,,,,
H0X7U7,H0X7U7_OTOGA,2.0,,1,,1,,,,,,
F7CY00,F7CY00_XENTR,2.0,,1,,1,,,,,,
H0Y1U9,H0Y1U9_OTOGA,2.0,,1,,1,,,,,,
W5Q0X8,W5Q0X8_SHEEP,2.0,1,1,,,,,,,,
H2L872,H2L872_ORYLA,2.0,,1,,1,,,,,,
H3DC88,H3DC88_TETNG,2.0,,1,,1,,,,,,
I3N372,I3N372_SPETR,2.0,,1,,1,,,,,,
Q5XHD4,Q5XHD4_XENLA,2.0,1,,,,,,,1,,
Q7JRF9,Q7JRF9_DROME,2.0,,1,,,,1,,,,
Q7K237,C1GLT_DROME,2.0,,1,,,,1,,,,
W5LSS3,W5LSS3_ASTMX,2.0,,1,1,,,,,,,
Q8IPZ8,Q8IPZ8_DROME,2.0,,1,,,,1,,,,
Q95LT3,Q95LT3_MACFA,2.0,1,,,,,,,1,,
K7FI60,K7FI60_PELSI,2.0,,1,,1,,,,,,
O16535,O16535_CAEEL,2.0,,1,,,,1,,,,
K7F934,K7F934_PELSI,2.0,,1,,1,,,,,,
W5NLU2,W5NLU2_LEPOC,2.0,,1,1,,,,,,,
H3DLD0,H3DLD0_TETNG,2.0,,1,,1,,,,,,
I3LSU9,I3LSU9_PIG,2.0,,1,,1,,,,,,
H9GBB7,H9GBB7_ANOCA,2.0,,1,,1,,,,,,
Q18515,C1GLT_CAEEL,2.0,,1,,,,1,,,,
U3KJH3,U3KJH3_FICAL,2.0,,1,1,,,,,,,
W5MYX6,W5MYX6_LEPOC,1.0,,1,,,,,,,,
B8C087,B8C087_THAPS,1.0,,,,,,1,,,,
B8CCI7,B8CCI7_THAPS,1.0,,,,,,1,,,,
B8CB75,B8CB75_THAPS,1.0,,,,,,1,,,,
W5ML64,W5ML64_LEPOC,1.0,,1,,,,,,,,
B4NXJ7,B4NXJ7_DROYA,1.0,,,,,,1,,,,
B7PBB8,B7PBB8_IXOSC,1.0,,,,,,1,,,,
B4P2P2,B4P2P2_DROYA,1.0,,,,,,1,,,,
B7QNC6,B7QNC6_IXOSC,1.0,,,,,,,,,,1
C3Z8K8,C3Z8K8_BRAFL,1.0,,,,,,1,,,,
C3YYX3,C3YYX3_BRAFL,1.0,,,,,,1,,,,
C9K0C8,C9K0C8_HUMAN,1.0,,1,,,,,,,,
C3Z8K9,C3Z8K9_BRAFL,1.0,,,,,,1,,,,
C3Z8L0,C3Z8L0_BRAFL,1.0,,,,,,,,,,1
C9JDX1,C9JDX1_HUMAN,1.0,,1,,,,,,,,
B4N006,B4N006_DROWI,1.0,,,,,,1,,,,
D5AEM5,D5AEM5_DROME,1.0,,1,,,,,,,,
W5LR71,W5LR71_ASTMX,1.0,,1,,,,,,,,
W5L8J8,W5L8J8_ASTMX,1.0,,1,,,,,,,,
W5L8J7,W5L8J7_ASTMX,1.0,,1,,,,,,,,
W5L0T5,W5L0T5_ASTMX,1.0,,1,,,,,,,,
E9QBT0,E9QBT0_DANRE,1.0,,1,,,,,,,,
E9QI18,E9QI18_DANRE,1.0,,1,,,,,,,,
W5K1D7,W5K1D7_ASTMX,1.0,,1,,,,,,,,
U3K6J3,U3K6J3_FICAL,1.0,,1,,,,,,,,
B4N011,B4N011_DROWI,1.0,,,,,,1,,,,
B4MUK0,B4MUK0_DROWI,1.0,,,,,,1,,,,
B4N005,B4N005_DROWI,1.0,,,,,,1,,,,
