,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09332,ENSGT00760000118958,CGPGFGD,TF315976,EOG7T1RC6,NOG261733,HOG000147164,HBG021349,NA,Q9Y2V3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y2V3,RX_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
O35602,RX_MOUSE,8.0,1,1,1,1,1,1,,1,,1
G3RZZ4,G3RZZ4_GORGO,5.0,1,1,1,1,1,,,,,
F6SRZ1,F6SRZ1_MACMU,5.0,1,1,1,1,1,,,,,
F7DYZ2,F7DYZ2_CALJA,5.0,1,1,1,1,1,,,,,
H2QEL5,H2QEL5_PANTR,5.0,1,1,1,1,1,,,,,
K7E1P1,K7E1P1_MONDO,5.0,1,1,1,1,1,,,,,
Q90WR2,Q90WR2_ORYLA,5.0,1,1,,,1,1,,1,,
Q9I9A2,RX2_ORYLA,4.0,1,1,,,,1,,1,,
G3WH46,G3WH46_SARHA,4.0,,1,1,1,1,,,,,
K7FM49,K7FM49_PELSI,4.0,,1,1,1,1,,,,,
I3MKF5,I3MKF5_SPETR,4.0,,1,1,1,1,,,,,
E1BHB8,E1BHB8_BOVIN,4.0,,1,1,1,1,,,,,
H1A4E8,H1A4E8_TAEGU,4.0,,1,1,1,1,,,,,
G1SZB2,G1SZB2_RABIT,4.0,,1,1,1,1,,,,,
G1LJ78,G1LJ78_AILME,4.0,,1,1,1,1,,,,,
Q9PVY0,RX1_CHICK,4.0,1,1,,,,1,,1,,
H9GCT7,H9GCT7_ANOCA,4.0,1,1,,1,1,,,,,
Q9JLT7,RX_RAT,4.0,1,,,,,1,,1,,1
F1SMS6,F1SMS6_PIG,4.0,,1,1,1,1,,,,,
F7DHA7,F7DHA7_ORNAN,4.0,,1,1,1,1,,,,,
H2NWF8,H2NWF8_PONAB,4.0,,1,1,1,1,,,,,
H0VRA7,H0VRA7_CAVPO,4.0,,1,1,1,1,,,,,
Q7YRX0,RAX2_BOVIN,4.0,,1,,1,1,,,1,,
O42358,RX3_DANRE,4.0,1,,,,,1,,1,,1
A2T711,RAX2_PANTR,4.0,,1,,1,1,,,1,,
H0WL12,H0WL12_OTOGA,4.0,,1,1,1,1,,,,,
F7CLK2,F7CLK2_HORSE,4.0,,1,1,1,1,,,,,
F1S7P4,F1S7P4_PIG,3.0,,1,,1,1,,,,,
F6TB90,F6TB90_MONDO,3.0,,1,,1,1,,,,,
G1QR43,G1QR43_NOMLE,3.0,,1,,1,1,,,,,
G1PGR4,G1PGR4_MYOLU,3.0,,1,,1,1,,,,,
A8E7H4,A8E7H4_DANRE,3.0,,1,,,1,,,1,,
Q6P984,Q6P984_DANRE,3.0,1,1,,,,,,1,,
Q8AYJ4,Q8AYJ4_CHICK,3.0,1,,,,,,,1,,1
