,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00570000079216,CAPQSAE,NA,EOG71P293,NOG313121,HOG000202635,HBG085225,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IYW2,CFA46_HUMAN,6.0,,1,1,,1,1,1,1,,
H2Y0L3,H2Y0L3_CIOIN,2.0,,1,,,1,,,,,
G3VK46,G3VK46_SARHA,2.0,,1,,,1,,,,,
E9Q2C0,E9Q2C0_MOUSE,2.0,,1,,,1,,,,,
F7EWM2,F7EWM2_MACMU,2.0,,1,1,,,,,,,
F1PYB2,F1PYB2_CANFA,2.0,,1,,,1,,,,,
H2TMJ1,H2TMJ1_TAKRU,2.0,,1,,,1,,,,,
H2NC20,H2NC20_PONAB,2.0,,1,1,,,,,,,
H2NC19,H2NC19_PONAB,2.0,,1,,,1,,,,,
F1SCV6,F1SCV6_PIG,2.0,,1,,,1,,,,,
H2L4L9,H2L4L9_ORYLA,2.0,,1,,,1,,,,,
H0ZN85,H0ZN85_TAEGU,2.0,,1,,,1,,,,,
H0XQW3,H0XQW3_OTOGA,2.0,,1,,,1,,,,,
F6TU28,F6TU28_CALJA,2.0,,1,,,1,,,,,
H0VCI7,H0VCI7_CAVPO,2.0,,1,,,1,,,,,
G3TA88,G3TA88_LOXAF,2.0,,1,,,1,,,,,
H2YF97,H2YF97_CIOSA,2.0,,1,,,1,,,,,
G3RL20,G3RL20_GORGO,2.0,,1,,,1,,,,,
G3NEH0,G3NEH0_GASAC,2.0,,1,,,1,,,,,
G1TKX9,G1TKX9_RABIT,2.0,,1,1,,,,,,,
G1QNA0,G1QNA0_NOMLE,2.0,,1,1,,,,,,,
G1QN87,G1QN87_NOMLE,2.0,,1,,,1,,,,,
F7CHI3,F7CHI3_XENTR,2.0,,1,,,1,,,,,
G1P7U4,G1P7U4_MYOLU,2.0,,1,,,1,,,,,
F7CMT4,F7CMT4_HORSE,2.0,,1,,,1,,,,,
G1LVL0,G1LVL0_AILME,2.0,,1,,,1,,,,,
G1KER8,G1KER8_ANOCA,2.0,,1,,,1,,,,,
F7E9H4,F7E9H4_ORNAN,2.0,,1,1,,,,,,,
F7F1K6,F7F1K6_ORNAN,2.0,,1,,,1,,,,,
E7FCJ8,E7FCJ8_DANRE,2.0,,1,,,1,,,,,
F7EWR5,F7EWR5_MACMU,2.0,,1,,,1,,,,,
M3ZZE9,M3ZZE9_XIPMA,2.0,,1,,,1,,,,,
H2ZYN0,H2ZYN0_LATCH,2.0,,1,,,1,,,,,
E1BM25,E1BM25_BOVIN,2.0,,1,,,1,,,,,
M3WY76,M3WY76_FELCA,2.0,,1,,,1,,,,,
H9H8Q0,H9H8Q0_MONDO,2.0,,1,,,1,,,,,
D3Z8S9,D3Z8S9_RAT,2.0,,1,,,1,,,,,
I3L622,I3L622_PIG,2.0,,1,,,1,,,,,
I3LRA5,I3LRA5_PIG,2.0,,1,,,1,,,,,
I3N1T0,I3N1T0_SPETR,2.0,,1,,,1,,,,,
K7EC54,K7EC54_ORNAN,2.0,,1,,,1,,,,,
M3YEC1,M3YEC1_MUSPF,2.0,,1,,,1,,,,,
K7EEN1,K7EEN1_ORNAN,2.0,,1,,,1,,,,,
K7FN61,K7FN61_PELSI,2.0,,1,,,1,,,,,
Q8BZQ3,Q8BZQ3_MOUSE,2.0,,,,,,,1,1,,
B3S8Y7,B3S8Y7_TRIAD,1.0,,,,,1,,,,,
B3DLH9,B3DLH9_XENTR,1.0,,,,,,,,1,,
E2R021,E2R021_CANFA,1.0,,1,,,,,,,,
F7DHP6,F7DHP6_CALJA,1.0,,1,,,,,,,,
A7RGW5,A7RGW5_NEMVE,1.0,,,,,1,,,,,
A7RGW4,A7RGW4_NEMVE,1.0,,,,,1,,,,,
A2DQI3,A2DQI3_TRIVA,1.0,,,,,,1,,,,
A0A096NSX4,A0A096NSX4_PAPAN,1.0,,1,,,,,,,,
F7DYC9,F7DYC9_CALJA,1.0,,1,,,,,,,,
D2H2M5,D2H2M5_AILME,1.0,,,,,,,1,,,
B3S8Y8,B3S8Y8_TRIAD,1.0,,,,,1,,,,,
B3S8Y9,B3S8Y9_TRIAD,1.0,,,,,1,,,,,
B3SEM1,B3SEM1_TRIAD,1.0,,,,,1,,,,,
F7C892,F7C892_XENTR,1.0,,1,,,,,,,,
F6Z9L2,F6Z9L2_XENTR,1.0,,,,,1,,,,,
F6X1M5,F6X1M5_CIOIN,1.0,,1,,,,,,,,
D3Z0A9,D3Z0A9_MOUSE,1.0,,1,,,,,,,,
F1SCW8,F1SCW8_PIG,1.0,,,,,1,,,,,
D6RJ10,D6RJ10_MOUSE,1.0,,1,,,,,,,,
F1MK94,F1MK94_BOVIN,1.0,,,,,1,,,,,
W5Q6Y5,W5Q6Y5_SHEEP,1.0,,1,,,,,,,,
G3UVW5,G3UVW5_MOUSE,1.0,,1,,,,,,,,
F7EWQ4,F7EWQ4_MACMU,1.0,,,,,1,,,,,
F7H610,F7H610_CALJA,1.0,,,,,1,,,,,
W5L5I2,W5L5I2_ASTMX,1.0,,1,,,,,,,,
U3JF47,U3JF47_FICAL,1.0,,1,,,,,,,,
U3IEG4,U3IEG4_ANAPL,1.0,,1,,,,,,,,
S4RCF8,S4RCF8_PETMA,1.0,,1,,,,,,,,
Q3UGE8,Q3UGE8_MOUSE,1.0,,,,,,,,1,,
