,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005182,VEPWFEI,TF332538,EOG7CRTRF,NOG147660,NA,HBG081494,NA,Q96PZ2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D2L9,F111A_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q96PZ2,F111A_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q96PZ2,F111A_HUMAN,7.0,,1,1,1,1,1,,1,,1
D4A8N0,D4A8N0_RAT,5.0,,1,1,1,1,,,,,1
D4A8N0,D4A8N0_RAT,5.0,,1,1,1,1,,,,,1
G1KFR2,G1KFR2_ANOCA,4.0,,1,1,1,1,,,,,
F7IDD7,F7IDD7_CALJA,4.0,,1,1,1,1,,,,,
G3VJT4,G3VJT4_SARHA,4.0,,1,1,1,1,,,,,
H0WN61,H0WN61_OTOGA,4.0,,1,1,1,1,,,,,
G3T8F5,G3T8F5_LOXAF,4.0,,1,1,1,1,,,,,
H2NDC9,H2NDC9_PONAB,4.0,,1,1,1,1,,,,,
G3RXJ5,G3RXJ5_GORGO,4.0,,1,1,1,1,,,,,
H2R392,H2R392_PANTR,4.0,,1,1,1,1,,,,,
I3NBM0,I3NBM0_SPETR,4.0,,1,1,1,1,,,,,
G1L1R7,G1L1R7_AILME,4.0,,1,1,1,1,,,,,
K7F183,K7F183_PELSI,4.0,,1,1,1,1,,,,,
H0UXT6,H0UXT6_CAVPO,4.0,,1,1,1,1,,,,,
F6VZZ2,F6VZZ2_HORSE,4.0,,1,1,1,1,,,,,
F1MNU1,F1MNU1_BOVIN,4.0,,1,1,1,1,,,,,
F6PVL0,F6PVL0_MACMU,4.0,,1,1,1,1,,,,,
Q6SJ93,F111B_HUMAN,4.0,,1,,1,1,1,,,,
F1RMG0,F1RMG0_PIG,4.0,,1,1,1,1,,,,,
F7GZP1,F7GZP1_CALJA,3.0,,1,,1,1,,,,,
