,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011163,EYTMLCM,TF333004,EOG7X0VJS,COG5029,HOG000246424,HBG039391,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6DG52,CHUR_MOUSE,7.0,,1,1,1,1,1,1,1,,
Q8WUH1,CHUR_HUMAN,7.0,,1,1,1,1,1,1,1,,
B5DER2,B5DER2_RAT,6.0,,1,1,1,1,,1,1,,
Q5R6Q5,CHUR_PONAB,5.0,,1,1,1,1,,,1,,
Q4T7L7,Q4T7L7_TETNG,5.0,,1,1,1,1,,,1,,
F1SA59,F1SA59_PIG,4.0,,1,1,1,1,,,,,
G1P236,G1P236_MYOLU,4.0,,1,1,1,1,,,,,
H2VAT4,H2VAT4_TAKRU,4.0,,1,1,1,1,,,,,
H2REW8,H2REW8_PANTR,4.0,,1,1,1,1,,,,,
H2MAK5,H2MAK5_ORYLA,4.0,,1,1,1,1,,,,,
G3P5T9,G3P5T9_GASAC,4.0,,1,1,1,1,,,,,
G1SG81,G1SG81_RABIT,4.0,,1,1,1,1,,,,,
Q2HJG7,CHUR_BOVIN,4.0,,,,1,1,,1,1,,
G1KIE2,G1KIE2_ANOCA,4.0,,1,1,1,1,,,,,
F7A532,F7A532_HORSE,4.0,,1,1,1,1,,,,,
F6SHV0,F6SHV0_MONDO,4.0,,1,1,1,1,,,,,
F6RRY8,F6RRY8_MACMU,4.0,,1,1,1,1,,,,,
K7FTV0,K7FTV0_PELSI,3.0,,1,,1,1,,,,,
M4ATB2,M4ATB2_XIPMA,3.0,,1,1,,1,,,,,
A3EXK7,A3EXK7_NEMVE,3.0,,,1,,1,,1,,,
Q5U3N7,CHUR_DANRE,3.0,,,,1,,,1,1,,
M3Y5Y7,M3Y5Y7_MUSPF,3.0,,1,1,,1,,,,,
B3S6F8,B3S6F8_TRIAD,3.0,,,1,,1,,1,,,
M3WTF7,M3WTF7_FELCA,3.0,,1,1,,1,,,,,
H3BC13,H3BC13_LATCH,3.0,,1,,1,1,,,,,
I3JFN0,I3JFN0_ORENI,3.0,,,1,1,1,,,,,
F7BCI9,F7BCI9_ORNAN,3.0,,1,,1,1,,,,,
F6SKM1,F6SKM1_XENTR,3.0,,1,,1,1,,,,,
F6Y190,F6Y190_CANFA,3.0,,1,1,1,,,,,,
G3WIK7,G3WIK7_SARHA,3.0,,1,1,,1,,,,,
H0ZAW0,H0ZAW0_TAEGU,2.0,,1,,,1,,,,,
G3WIK8,G3WIK8_SARHA,2.0,,1,,1,,,,,,
Z4YHN4,Z4YHN4_DANRE,2.0,,1,1,,,,,,,
W5N7Q1,W5N7Q1_LEPOC,2.0,,1,1,,,,,,,
Q5DCU2,Q5DCU2_SCHJA,1.0,,,,,,1,,,,
B4NXA6,B4NXA6_DROYA,1.0,,,,,,1,,,,
B7EIV3,B7EIV3_ORYSJ,1.0,,,,,,1,,,,
B6HRV9,B6HRV9_PENCW,1.0,,,,,,1,,,,
B6HME5,B6HME5_PENCW,1.0,,,,,,1,,,,
B6H5Z4,B6H5Z4_PENCW,1.0,,,,,,1,,,,
B5XGR1,B5XGR1_SALSA,1.0,,,,,,,,1,,
B5FYY4,B5FYY4_TAEGU,1.0,,,,,,,,1,,
V4AA62,V4AA62_LOTGI,1.0,,,1,,,,,,,
B4ZYJ1,B4ZYJ1_CAEBE,1.0,,,,,,1,,,,
B4PQZ9,B4PQZ9_DROYA,1.0,,,,,,1,,,,
B4NWA5,B4NWA5_DROYA,1.0,,,,,,1,,,,
B7PKD0,B7PKD0_IXOSC,1.0,,,,,,1,,,,
B4NLA3,B4NLA3_DROWI,1.0,,,,,,1,,,,
B4N0I5,B4N0I5_DROWI,1.0,,,,,,1,,,,
B4MZZ4,B4MZZ4_DROWI,1.0,,,,,,1,,,,
B4M9I4,B4M9I4_DROVI,1.0,,,,,,1,,,,
B4LWX0,B4LWX0_DROVI,1.0,,,,,,1,,,,
B4LS59,B4LS59_DROVI,1.0,,,,,,1,,,,
