,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000010382,LNTHESS,TF324724,NA,NOG71154,HOG000007096,HBG054033,NA,Q1RMZ1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q1RMZ1,BMT2_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q8BXK4,BMT2_MOUSE,6.0,,1,1,1,,1,,1,,1
A4IIA7,BMT2_XENTR,4.0,,1,,,,1,1,1,,
D3ZV22,D3ZV22_RAT,4.0,,1,1,1,,,,,,1
Q0P410,BMT2_DANRE,4.0,,,,,,1,1,1,,1
Q7PWG2,Q7PWG2_ANOGA,4.0,,,1,,,1,1,,,1
A7RVZ9,A7RVZ9_NEMVE,4.0,,,1,,,1,1,,,1
Q5ZJ87,BMT2_CHICK,4.0,,,,,,1,1,1,,1
G1LG86,G1LG86_AILME,3.0,,1,1,1,,,,,,
H2XS31,H2XS31_CIOIN,3.0,,1,1,1,,,,,,
G1RKR8,G1RKR8_NOMLE,3.0,,1,1,1,,,,,,
G3NH65,G3NH65_GASAC,3.0,,1,1,1,,,,,,
H3CSR8,H3CSR8_TETNG,3.0,,1,1,1,,,,,,
H2ZZ35,H2ZZ35_LATCH,3.0,,1,1,1,,,,,,
H2YK68,H2YK68_CIOSA,3.0,,1,1,1,,,,,,
E1B7X8,E1B7X8_BOVIN,3.0,,1,1,1,,,,,,
H2UXC3,H2UXC3_TAKRU,3.0,,1,1,1,,,,,,
G3S2J7,G3S2J7_GORGO,3.0,,1,1,1,,,,,,
G3U309,G3U309_LOXAF,3.0,,1,1,1,,,,,,
J9P1G0,J9P1G0_CANFA,3.0,,1,1,1,,,,,,
G3WSC3,G3WSC3_SARHA,3.0,,1,1,1,,,,,,
H0VQB8,H0VQB8_CAVPO,3.0,,1,1,1,,,,,,
H2PN88,H2PN88_PONAB,3.0,,1,1,1,,,,,,
H0WQR4,H0WQR4_OTOGA,3.0,,1,1,1,,,,,,
H2L9M0,H2L9M0_ORYLA,3.0,,1,1,1,,,,,,
I3N7G5,I3N7G5_SPETR,3.0,,1,1,1,,,,,,
H0Z4S1,H0Z4S1_TAEGU,3.0,,1,1,1,,,,,,
G1QAU6,G1QAU6_MYOLU,3.0,,1,1,1,,,,,,
K7G349,K7G349_PELSI,3.0,,1,1,1,,,,,,
F1NUL4,F1NUL4_CHICK,3.0,,1,1,1,,,,,,
F1R880,F1R880_DANRE,3.0,,1,1,1,,,,,,
F6R8G0,F6R8G0_XENTR,3.0,,1,1,1,,,,,,
F6RG25,F6RG25_MACMU,3.0,,1,1,1,,,,,,
Q9W138,BMT2_DROME,3.0,,1,,,,1,,,,1
F6Z4Z8,F6Z4Z8_HORSE,3.0,,1,1,1,,,,,,
F7AGK3,F7AGK3_MONDO,3.0,,1,1,1,,,,,,
F7DQR6,F7DQR6_ORNAN,3.0,,1,1,1,,,,,,
F7IAE2,F7IAE2_CALJA,3.0,,1,1,1,,,,,,
Q4H2G1,Q4H2G1_CIOIN,3.0,,,,,,1,1,1,,
Q16Y25,Q16Y25_AEDAE,3.0,,,1,,,1,1,,,
C3XQK0,C3XQK0_BRAFL,3.0,,,1,,,1,,,,1
G1NA45,G1NA45_MELGA,3.0,,1,1,1,,,,,,
G1KG09,G1KG09_ANOCA,2.0,,1,,1,,,,,,
W5NG58,W5NG58_LEPOC,2.0,,1,1,,,,,,,
B7QMD5,B7QMD5_IXOSC,2.0,,,,,,1,,,,1
G1SZZ5,G1SZZ5_RABIT,2.0,,1,,1,,,,,,
W5NVA5,W5NVA5_SHEEP,2.0,,1,1,,,,,,,
