,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K18763,ENSGT00530000063417,PPCTAEL,TF321960,EOG74J971,NOG327281,HOG000004803,HBG055137,NA,Q71RC2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q71RC2,LARP4_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q71RC2,LARP4_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q92615,LAR4B_HUMAN,7.0,1,1,,1,1,1,1,1,,
Q05AJ1,Q05AJ1_DANRE,7.0,1,1,,1,1,1,1,1,,
Q6A0A2,LAR4B_MOUSE,6.0,1,1,,1,1,1,1,,,
Q8BWW4,LARP4_MOUSE,5.0,1,,,,,1,1,1,,1
Q8BWW4,LARP4_MOUSE,5.0,1,,,,,1,1,1,,1
H2RD71,H2RD71_PANTR,5.0,1,1,1,1,1,,,,,
Q5F449,Q5F449_CHICK,4.0,1,,,,,,1,1,,1
H9H1S6,H9H1S6_MELGA,4.0,,1,1,1,1,,,,,
F6S2X2,F6S2X2_HORSE,4.0,,1,1,1,1,,,,,
F6WFA3,F6WFA3_MONDO,4.0,1,1,,1,1,,,,,
B3DLD6,B3DLD6_XENTR,4.0,1,,,,,1,1,1,,
H2LQZ0,H2LQZ0_ORYLA,4.0,,1,1,1,1,,,,,
H2Q1I9,H2Q1I9_PANTR,4.0,1,1,,1,1,,,,,
F1RX46,F1RX46_PIG,4.0,1,1,,1,1,,,,,
B5DEW7,B5DEW7_XENTR,4.0,1,,,,,1,1,1,,
F1MHD9,F1MHD9_BOVIN,4.0,,1,1,1,1,,,,,
E9QDP4,E9QDP4_DANRE,4.0,1,1,,1,1,,,,,
I3M2I1,I3M2I1_SPETR,4.0,,1,1,1,1,,,,,
H3DCC1,H3DCC1_TETNG,4.0,,1,1,1,1,,,,,
H0VXN0,H0VXN0_CAVPO,4.0,,1,1,1,1,,,,,
H9KZD5,H9KZD5_CHICK,4.0,,1,1,1,1,,,,,
G3P0G8,G3P0G8_GASAC,4.0,,1,1,1,1,,,,,
A7MB26,A7MB26_BOVIN,4.0,1,,,,,1,1,1,,
G1RSV0,G1RSV0_NOMLE,4.0,1,1,,1,1,,,,,
