,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000110744,QSREGPW,TF330037,EOG7ZD1TM,NOG271485,NA,HBG057885,NA,Q53EL9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q53EL9,SEZ6_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q7TSK2,SEZ6_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q7TSK2,SEZ6_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q53EL9,SEZ6_HUMAN,7.0,,1,1,1,1,1,,1,,1
G3R9H9,G3R9H9_GORGO,4.0,,1,1,1,1,,,,,
H0WXE5,H0WXE5_OTOGA,4.0,,1,1,1,1,,,,,
G1NJD7,G1NJD7_MELGA,4.0,,1,1,1,1,,,,,
F1MA42,F1MA42_RAT,4.0,,1,1,1,1,,,,,
F1N649,F1N649_BOVIN,4.0,,1,1,1,1,,,,,
H2QCJ9,H2QCJ9_PANTR,4.0,,1,1,1,1,,,,,
H2NT57,H2NT57_PONAB,4.0,,1,1,1,1,,,,,
I3MVQ1,I3MVQ1_SPETR,4.0,,1,1,1,1,,,,,
F1PM44,F1PM44_CANFA,4.0,,1,1,1,1,,,,,
G3QAB3,G3QAB3_GASAC,4.0,,1,1,1,1,,,,,
H0VA81,H0VA81_CAVPO,4.0,,1,1,1,1,,,,,
F7HIT0,F7HIT0_CALJA,4.0,,1,1,1,1,,,,,
G1PN14,G1PN14_MYOLU,4.0,,1,1,1,1,,,,,
G1LCU7,G1LCU7_AILME,4.0,,1,1,1,1,,,,,
G3WRF2,G3WRF2_SARHA,4.0,,1,1,1,1,,,,,
H2M1T7,H2M1T7_ORYLA,4.0,,1,1,1,1,,,,,
F6R331,F6R331_HORSE,4.0,,1,1,1,1,,,,,
H3CCX3,H3CCX3_TETNG,3.0,,1,,1,1,,,,,
H2TP72,H2TP72_TAKRU,3.0,,1,1,1,,,,,,
H3CZJ6,H3CZJ6_TETNG,3.0,,1,,1,1,,,,,
F7F6J3,F7F6J3_MACMU,3.0,,1,1,1,,,,,,
E7F3I7,E7F3I7_DANRE,3.0,,1,,1,1,,,,,
F6XTE7,F6XTE7_MONDO,3.0,,1,,1,1,,,,,
Q29RN8,SE6L2_BOVIN,3.0,,1,,1,,,,1,,
M3ZED0,M3ZED0_XIPMA,3.0,,1,1,,1,,,,,
M3YRQ0,M3YRQ0_MUSPF,3.0,,1,1,,1,,,,,
F6Y6Y2,F6Y6Y2_XENTR,3.0,,1,,1,1,,,,,
M3W6Z6,M3W6Z6_FELCA,3.0,,1,1,,1,,,,,
E7F3V6,E7F3V6_DANRE,3.0,,1,,1,1,,,,,
Q4V9Z5,SE6L2_MOUSE,3.0,,1,,1,,,,1,,
Q9BYH1,SE6L1_HUMAN,3.0,,1,,1,,,,1,,
H1A033,H1A033_TAEGU,3.0,,1,,1,1,,,,,
Q6P1D5,SE6L1_MOUSE,3.0,,1,,1,,,,1,,
Q6UXD5,SE6L2_HUMAN,3.0,,1,,1,,,,1,,
G3TC53,G3TC53_LOXAF,3.0,,1,1,1,,,,,,
H3ACQ2,H3ACQ2_LATCH,2.0,,1,,1,,,,,,
F7GPP8,F7GPP8_MACMU,2.0,,1,,1,,,,,,
H2M697,H2M697_ORYLA,2.0,,1,,1,,,,,,
F7I0K2,F7I0K2_CALJA,2.0,,1,,1,,,,,,
F6VEG7,F6VEG7_XENTR,2.0,,1,,1,,,,,,
H3A5G6,H3A5G6_LATCH,2.0,,1,,1,,,,,,
H2TP71,H2TP71_TAKRU,2.0,,1,,,1,,,,,
F6V7H9,F6V7H9_ORNAN,2.0,,1,,1,,,,,,
H0WDF1,H0WDF1_CAVPO,2.0,,1,,1,,,,,,
G1R7R1,G1R7R1_NOMLE,2.0,,1,,1,,,,,,
W5P5M0,W5P5M0_SHEEP,2.0,,1,1,,,,,,,
F6UY33,F6UY33_XENTR,2.0,,1,,1,,,,,,
H0UZ09,H0UZ09_CAVPO,2.0,,1,,1,,,,,,
H2L6M3,H2L6M3_ORYLA,2.0,,1,,1,,,,,,
F6X862,F6X862_CALJA,2.0,,1,,1,,,,,,
H2P3W3,H2P3W3_PONAB,2.0,,1,,1,,,,,,
H2NQL5,H2NQL5_PONAB,2.0,,1,,1,,,,,,
F7F6M3,F7F6M3_MACMU,2.0,,1,,,1,,,,,
H2R105,H2R105_PANTR,2.0,,1,,1,,,,,,
F6XX70,F6XX70_MACMU,2.0,,1,,1,,,,,,
H2R3A7,H2R3A7_PANTR,2.0,,1,,1,,,,,,
F6YP00,F6YP00_HORSE,2.0,,1,,1,,,,,,
H2RJZ3,H2RJZ3_TAKRU,2.0,,1,,,1,,,,,
H2RJZ5,H2RJZ5_TAKRU,2.0,,1,,1,,,,,,
F6YQN8,F6YQN8_MONDO,2.0,,1,,1,,,,,,
H2S594,H2S594_TAKRU,2.0,,1,,1,,,,,,
F7FLS7,F7FLS7_ORNAN,2.0,,1,,,1,,,,,
H0X300,H0X300_OTOGA,2.0,,1,,1,,,,,,
H2VEM7,H2VEM7_TAKRU,2.0,,1,,1,,,,,,
H0X2W4,H0X2W4_OTOGA,2.0,,1,,1,,,,,,
H3CEM9,H3CEM9_TETNG,2.0,,1,,1,,,,,,
G1R866,G1R866_NOMLE,2.0,,1,,1,,,,,,
H3D7U2,H3D7U2_TETNG,2.0,,1,,1,,,,,,
H9GKW5,H9GKW5_ANOCA,2.0,,1,,1,,,,,,
G1N4Q5,G1N4Q5_MELGA,2.0,,1,,1,,,,,,
B7ZLJ8,B7ZLJ8_HUMAN,2.0,,1,,,,,,1,,
G1PA34,G1PA34_MYOLU,2.0,,1,,1,,,,,,
G3TMW1,G3TMW1_LOXAF,2.0,,1,,1,,,,,,
G3TFL4,G3TFL4_LOXAF,2.0,,1,,1,,,,,,
R4GGA4,R4GGA4_CHICK,2.0,,1,1,,,,,,,
G1PLL4,G1PLL4_MYOLU,2.0,,1,,1,,,,,,
B0QYH5,B0QYH5_HUMAN,2.0,,1,,,,,,1,,
B0QYH4,B0QYH4_HUMAN,2.0,,1,,,,,,1,,
U3JUY9,U3JUY9_FICAL,2.0,,1,1,,,,,,,
G3RHW1,G3RHW1_GORGO,2.0,,1,,1,,,,,,
G3QQK8,G3QQK8_GORGO,2.0,,1,,1,,,,,,
A0JNA2,SEZ6_BOVIN,2.0,,,,,,1,,1,,
G3PPC0,G3PPC0_GASAC,2.0,,1,,1,,,,,,
G3PKH1,G3PKH1_GASAC,2.0,,1,,,1,,,,,
G3PH80,G3PH80_GASAC,2.0,,1,,1,,,,,,
G1U2M2,G1U2M2_RABIT,2.0,,1,,1,,,,,,
G1T924,G1T924_RABIT,2.0,,1,,,1,,,,,
G1QSI4,G1QSI4_NOMLE,2.0,,1,,,1,,,,,
G3U3A5,G3U3A5_LOXAF,2.0,,1,,,1,,,,,
G1MI83,G1MI83_AILME,2.0,,1,,1,,,,,,
D4A6P1,D4A6P1_RAT,2.0,,1,,1,,,,,,
F1RG83,F1RG83_PIG,2.0,,1,,1,,,,,,
G3WJH6,G3WJH6_SARHA,2.0,,1,,1,,,,,,
I3J0Q1,I3J0Q1_ORENI,2.0,,,,1,1,,,,,
I3JNM1,I3JNM1_ORENI,2.0,,,,1,1,,,,,
F6QF68,F6QF68_HORSE,2.0,,1,,1,,,,,,
F6PIR0,F6PIR0_MONDO,2.0,,1,,1,,,,,,
I3LBX3,I3LBX3_PIG,2.0,,1,,1,,,,,,
I3LYP4,I3LYP4_SPETR,2.0,,1,,1,,,,,,
