,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000111628,EVFHILC,NA,EOG7PZS0G,NOG112903,HOG000246960,HBG097015,NA,Q5J5C9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5J5C9,DB121_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q30KT3,Q30KT3_CANFA,5.0,,1,1,,1,1,1,,,
Q30KK6,DB121_PANTR,5.0,,1,1,,1,,1,1,,
Q5J600,DB121_MACMU,5.0,,1,1,,,1,1,1,,
G3QKC0,G3QKC0_GORGO,3.0,,1,1,,1,,,,,
G1REJ5,G1REJ5_NOMLE,3.0,,1,1,,1,,,,,
G1PIK7,G1PIK7_MYOLU,3.0,,1,1,,1,,,,,
H2P1J4,H2P1J4_PONAB,3.0,,1,1,,1,,,,,
F7IIN8,F7IIN8_CALJA,2.0,,1,,,1,,,,,
F7H242,F7H242_CALJA,2.0,,1,1,,,,,,,
F7CK77,F7CK77_MACMU,2.0,,1,,,1,,,,,
I3L8Z9,I3L8Z9_PIG,2.0,,1,,,1,,,,,
Q1RLJ6,Q1RLJ6_PIG,2.0,,,1,,,1,,,,
G3MYA8,G3MYA8_BOVIN,1.0,,,,,1,,,,,
H0XV57,H0XV57_OTOGA,1.0,,,,,1,,,,,
H2P1J1,H2P1J1_PONAB,1.0,,,,,1,,,,,
H0WKI5,H0WKI5_OTOGA,1.0,,,,,1,,,,,
H2P2P8,H2P2P8_PONAB,1.0,,,,,1,,,,,
H2RCW3,H2RCW3_PANTR,1.0,,,,,1,,,,,
H0WBT5,H0WBT5_CAVPO,1.0,,,,,1,,,,,
G7N560,G7N560_MACMU,1.0,,,1,,,,,,,
G3RG97,G3RG97_GORGO,1.0,,,,,1,,,,,
Q96PH6,DB118_HUMAN,1.0,,,,,1,,,,,
G1S9I1,G1S9I1_NOMLE,1.0,,,,,1,,,,,
G1TUU6,G1TUU6_RABIT,1.0,,,,,1,,,,,
G1TDE4,G1TDE4_RABIT,1.0,,,,,1,,,,,
P0C8A5,DEFB1_ORNAN,1.0,,,,,1,,,,,
G1REI9,G1REI9_NOMLE,1.0,,,,,1,,,,,
F7IIL3,F7IIL3_CALJA,1.0,,,,,1,,,,,
F7CF08,F7CF08_HORSE,1.0,,,,,1,,,,,
F1M796,F1M796_RAT,1.0,,,,,1,,,,,
D2H924,D2H924_AILME,1.0,,,,,1,,,,,
A7LMA0,A7LMA0_BOVIN,1.0,,,,,,,1,,,
A7LM99,A7LM99_BOVIN,1.0,,,,,,,1,,,
A7LM98,A7LM98_BOVIN,1.0,,,,,,,1,,,
A4H263,DB132_PONPY,1.0,,,,,,,1,,,
A4H236,DB123_PONPY,1.0,,,,,,,1,,,
I3MWS3,I3MWS3_SPETR,1.0,,,,,1,,,,,
Q30KJ7,DB132_PANTR,1.0,,,,,,,1,,,
Q0VBX1,Q0VBX1_BOVIN,1.0,,,,,,,1,,,
Q95LI0,DB118_MACMU,1.0,,,,,1,,,,,
Q8NES8,DB124_HUMAN,1.0,,,,,,,1,,,
Q8N688,DB123_HUMAN,1.0,,,,,,,1,,,
Q8K3U4,DFB36_MOUSE,1.0,,,,,,,1,,,
Q8K3I8,DFB19_MOUSE,1.0,,,,,,,,,,1
Q8C5Z4,Q8C5Z4_MOUSE,1.0,,,,,1,,,,,
Q863C9,Q863C9_CANFA,1.0,,,,,,,1,,,
Q7Z7B7,DB132_HUMAN,1.0,,,,,,,1,,,
Q5J5Z9,DB122_MACMU,1.0,,,,,,,1,,,
Q5J5D0,DB123_MACMU,1.0,,,,,,,1,,,
Q5GRF9,Q5GRF9_HUMAN,1.0,,,,,,,,1,,
Q3V490,Q3V490_MOUSE,1.0,,,,,,,1,,,
Q32ZH1,Q32ZH1_RAT,1.0,,,,,1,,,,,
Q32ZG7,DFB25_RAT,1.0,,,,,,,1,,,
Q32ZG6,Q32ZG6_RAT,1.0,,,,,,,,,,1
Q32ZG5,Q32ZG5_RAT,1.0,,,,,,,1,,,
Q32ZG2,DFB30_RAT,1.0,,,,,,,1,,,
Q32ZG0,Q32ZG0_RAT,1.0,,,,,,,1,,,
Q30KT2,Q30KT2_CANFA,1.0,,,,,,,1,,,
Q30KT1,Q30KT1_CANFA,1.0,,,,,,,1,,,
Q30KT0,Q30KT0_CANFA,1.0,,,,,,,1,,,
Q30KS2,Q30KS2_CANFA,1.0,,,,,,,1,,,
Q30KS0,Q30KS0_CANFA,1.0,,,,,,,1,,,
Q30KP9,DB135_HUMAN,1.0,,,,,,,1,,,
Q30KP4,Q30KP4_MOUSE,1.0,,,,,1,,,,,
Q30KN8,DFB25_MOUSE,1.0,,,,,,,1,,,
Q30KN4,DFB30_MOUSE,1.0,,,,,,,1,,,
Q30KK9,DB118_PANTR,1.0,,,,,1,,,,,
Q30KK5,DB123_PANTR,1.0,,,,,,,1,,,
Q30KK4,DB124_PANTR,1.0,,,,,,,1,,,
A0A096NV14,A0A096NV14_PAPAN,1.0,,1,,,,,,,,
