,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00420000029769,KVGERPW,TF330994,EOG76DTS4,NOG44675,HOG000112372,NA,NA,Q6UWH4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6P7B4,F198B_RAT,7.0,,1,1,1,1,1,1,,,1
Q3UPI1,F198B_MOUSE,7.0,,1,1,1,1,1,1,,,1
Q6P7B4,F198B_RAT,7.0,,1,1,1,1,1,1,,,1
Q6UWH4,F198B_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q6UWH4,F198B_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q3UPI1,F198B_MOUSE,7.0,,1,1,1,1,1,1,,,1
F6UQW3,F6UQW3_MACMU,4.0,,1,1,1,1,,,,,
G1MSF3,G1MSF3_MELGA,4.0,,1,1,1,1,,,,,
F6VCM9,F6VCM9_XENTR,4.0,,1,1,1,1,,,,,
G1P3U2,G1P3U2_MYOLU,4.0,,1,1,1,1,,,,,
H3D676,H3D676_TETNG,4.0,,1,1,1,1,,,,,
F6VJU0,F6VJU0_MONDO,4.0,,1,1,1,1,,,,,
F6WNX8,F6WNX8_HORSE,4.0,,1,1,1,1,,,,,
G1L633,G1L633_AILME,4.0,,1,1,1,1,,,,,
J9NW58,J9NW58_CANFA,4.0,,1,1,1,1,,,,,
G1KST9,G1KST9_ANOCA,4.0,,1,1,1,1,,,,,
H3AV16,H3AV16_LATCH,4.0,,1,1,1,1,,,,,
H0W863,H0W863_CAVPO,4.0,,1,1,1,1,,,,,
H2QQC7,H2QQC7_PANTR,4.0,,1,1,1,1,,,,,
F1RW93,F1RW93_PIG,4.0,,1,1,1,1,,,,,
H2PEL8,H2PEL8_PONAB,4.0,,1,1,1,1,,,,,
H2N151,H2N151_ORYLA,4.0,,1,1,1,1,,,,,
H0Z569,H0Z569_TAEGU,4.0,,1,1,1,1,,,,,
G3PW97,G3PW97_GASAC,4.0,,1,1,1,1,,,,,
E7F6L4,E7F6L4_DANRE,4.0,,1,1,1,1,,,,,
H0X3U2,H0X3U2_OTOGA,4.0,,1,1,1,1,,,,,
E1BY05,E1BY05_CHICK,4.0,,1,1,1,1,,,,,
G3WRS9,G3WRS9_SARHA,4.0,,1,1,1,1,,,,,
F7IKU9,F7IKU9_CALJA,4.0,,1,1,1,1,,,,,
F7FY88,F7FY88_ORNAN,3.0,,1,,1,1,,,,,
H2UW83,H2UW83_TAKRU,3.0,,1,1,1,,,,,,
I3IY54,I3IY54_ORENI,3.0,,,1,1,1,,,,,
K7G2C2,K7G2C2_PELSI,3.0,,1,,1,1,,,,,
G3SST1,G3SST1_LOXAF,3.0,,1,1,1,,,,,,
M3VXC1,M3VXC1_FELCA,3.0,,1,1,,1,,,,,
M3Z328,M3Z328_MUSPF,3.0,,1,1,,1,,,,,
M3ZJ07,M3ZJ07_XIPMA,3.0,,1,1,,1,,,,,
F1MGZ8,F1MGZ8_BOVIN,3.0,,1,,1,1,,,,,
G1SQ31,G1SQ31_RABIT,2.0,,1,,1,,,,,,
C3YL85,C3YL85_BRAFL,2.0,,,,,,1,,,,1
G3S7E8,G3S7E8_GORGO,2.0,,1,,,1,,,,,
G3RD71,G3RD71_GORGO,2.0,,1,,1,,,,,,
E7F233,E7F233_DANRE,2.0,,1,,1,,,,,,
G3QEK9,G3QEK9_GORGO,2.0,,1,,1,,,,,,
F1M9D8,F1M9D8_RAT,2.0,,1,,1,,,,,,
F1NZ20,F1NZ20_CHICK,2.0,,1,,1,,,,,,
G3NI17,G3NI17_GASAC,2.0,,1,,1,,,,,,
F1PRI1,F1PRI1_CANFA,2.0,,1,,1,,,,,,
F6ZQC5,F6ZQC5_MACMU,2.0,,1,,1,,,,,,
F1SRD4,F1SRD4_PIG,2.0,,1,,1,,,,,,
G1KBI0,G1KBI0_ANOCA,2.0,,1,,1,,,,,,
