,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00650000093230,SDTDSCN,TF317467,EOG7FJH25,NOG331898,HOG000231911,HBG053613,NA,Q9HB20
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HB20,PKHA3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9ERS4,PKHA3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9ERS4,PKHA3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
B0JZU5,B0JZU5_XENTR,6.0,,1,,1,1,1,1,1,,
F6VUN2,F6VUN2_MONDO,4.0,,1,1,1,1,,,,,
G3RTW6,G3RTW6_GORGO,4.0,,1,1,1,1,,,,,
H9GP57,H9GP57_ANOCA,4.0,,1,1,1,1,,,,,
F6T027,F6T027_HORSE,4.0,,1,1,1,1,,,,,
G1NB38,G1NB38_MELGA,4.0,,1,1,1,1,,,,,
F6WME3,F6WME3_MACMU,4.0,,1,1,1,1,,,,,
G3SY28,G3SY28_LOXAF,4.0,,1,1,1,1,,,,,
I3M7E9,I3M7E9_SPETR,4.0,,1,1,1,1,,,,,
H0V1Y4,H0V1Y4_CAVPO,4.0,,1,1,1,1,,,,,
G3PCN9,G3PCN9_GASAC,4.0,,1,1,1,1,,,,,
J9NYG6,J9NYG6_CANFA,4.0,,1,1,1,1,,,,,
Q5ZL31,Q5ZL31_CHICK,4.0,,,,,,1,1,1,,1
G1SP17,G1SP17_RABIT,4.0,,1,1,1,1,,,,,
K7GK25,K7GK25_PELSI,4.0,,1,1,1,1,,,,,
G1R2P1,G1R2P1_NOMLE,4.0,,1,1,1,1,,,,,
F7IGZ9,F7IGZ9_CALJA,4.0,,1,1,1,1,,,,,
G1L1Q6,G1L1Q6_AILME,4.0,,1,1,1,1,,,,,
G3W995,G3W995_SARHA,4.0,,1,1,1,1,,,,,
G1P5M4,G1P5M4_MYOLU,4.0,,1,1,1,1,,,,,
H0WLC5,H0WLC5_OTOGA,4.0,,1,1,1,1,,,,,
F1P131,F1P131_CHICK,4.0,,1,1,1,1,,,,,
H3A7R1,H3A7R1_LATCH,4.0,,1,1,1,1,,,,,
H0ZFX1,H0ZFX1_TAEGU,4.0,,1,1,1,1,,,,,
E9PSY1,E9PSY1_RAT,4.0,,1,1,1,1,,,,,
F1MJR5,F1MJR5_BOVIN,4.0,,1,1,1,1,,,,,
H2QJ23,H2QJ23_PANTR,4.0,,1,1,1,1,,,,,
F1QV61,F1QV61_DANRE,4.0,,1,1,1,1,,,,,
F1RZC9,F1RZC9_PIG,4.0,,1,1,1,1,,,,,
H2P802,H2P802_PONAB,4.0,,1,1,1,1,,,,,
M3X8M4,M3X8M4_FELCA,3.0,,1,1,,1,,,,,
G1P9X5,G1P9X5_MYOLU,3.0,,1,,1,1,,,,,
H2QUC8,H2QUC8_PANTR,3.0,,1,,1,1,,,,,
H2MZ47,H2MZ47_ORYLA,3.0,,1,,1,1,,,,,
H2USF2,H2USF2_TAKRU,3.0,,1,,1,1,,,,,
M3XVM0,M3XVM0_MUSPF,3.0,,1,1,,1,,,,,
G1RYQ9,G1RYQ9_NOMLE,3.0,,1,,1,1,,,,,
H2PMI1,H2PMI1_PONAB,3.0,,1,,1,1,,,,,
K7GIG8,K7GIG8_PELSI,3.0,,1,,1,1,,,,,
K7F4B6,K7F4B6_PELSI,3.0,,1,,1,1,,,,,
I3MCV2,I3MCV2_SPETR,3.0,,1,,1,1,,,,,
G3NZI0,G3NZI0_GASAC,3.0,,1,,1,1,,,,,
H2LT57,H2LT57_ORYLA,3.0,,1,,1,1,,,,,
H0ZVQ4,H0ZVQ4_TAEGU,3.0,,1,,1,1,,,,,
H0X401,H0X401_OTOGA,3.0,,1,,1,1,,,,,
G3QT89,G3QT89_GORGO,3.0,,1,,1,1,,,,,
H3AEC6,H3AEC6_LATCH,3.0,,1,,1,1,,,,,
I3IZ23,I3IZ23_ORENI,3.0,,,1,1,1,,,,,
H0YXT0,H0YXT0_TAEGU,3.0,,1,,1,1,,,,,
G3TUB4,G3TUB4_LOXAF,3.0,,1,,1,1,,,,,
