,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011295,IYFALYN,TF317153,EOG751NF5,NOG301487,HOG000252938,HBG057270,NA,Q9BYI3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BYI3,HYCCI_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6P121,HYCCI_DANRE,7.0,,1,,1,1,1,1,1,,1
Q6P121,HYCCI_DANRE,7.0,,1,,1,1,1,1,1,,1
Q8C729,F126B_MOUSE,6.0,,1,,1,1,1,1,1,,
Q4V7D4,Q4V7D4_RAT,5.0,,1,,,1,1,1,1,,
D4AE31,D4AE31_RAT,5.0,,1,1,1,1,,,,,1
Q8IXS8,F126B_HUMAN,5.0,,1,,1,,1,1,1,,
Q6P9N1,HYCCI_MOUSE,5.0,,,,1,,1,1,1,,1
Q5RC64,Q5RC64_PONAB,5.0,,1,,1,1,,1,1,,
Q7K1C5,Q7K1C5_DROME,4.0,,1,,,1,1,,,,1
H2QU91,H2QU91_PANTR,4.0,,1,1,1,1,,,,,
Q7K1C5,Q7K1C5_DROME,4.0,,1,,,1,1,,,,1
F7CPS5,F7CPS5_HORSE,4.0,,1,1,1,1,,,,,
Q3TTP7,Q3TTP7_MOUSE,4.0,,1,,,1,,1,1,,
G1SR93,G1SR93_RABIT,4.0,,1,1,1,1,,,,,
G1S4F1,G1S4F1_NOMLE,4.0,,1,1,1,1,,,,,
I3N0F8,I3N0F8_SPETR,4.0,,1,1,1,1,,,,,
G1NDC3,G1NDC3_MELGA,4.0,,1,1,1,1,,,,,
F7A477,F7A477_MACMU,4.0,,1,1,1,1,,,,,
Q5ZM13,HYCCI_CHICK,4.0,,,,,,1,1,1,,1
G3W921,G3W921_SARHA,4.0,,1,1,1,1,,,,,
H0V104,H0V104_CAVPO,4.0,,1,1,1,1,,,,,
E1BFZ6,E1BFZ6_BOVIN,4.0,,1,1,1,1,,,,,
H0YWZ1,H0YWZ1_TAEGU,4.0,,1,1,1,1,,,,,
E2QUV5,E2QUV5_CANFA,4.0,,1,1,1,1,,,,,
A0JM87,A0JM87_XENTR,4.0,,1,,,1,,1,1,,
G1L9G1,G1L9G1_AILME,4.0,,1,1,1,1,,,,,
F1NT76,F1NT76_CHICK,4.0,,1,1,1,1,,,,,
H0WKS0,H0WKS0_OTOGA,4.0,,1,1,1,1,,,,,
G1N6Y3,G1N6Y3_MELGA,3.0,,1,,1,1,,,,,
H2Z869,H2Z869_CIOSA,3.0,,1,,1,1,,,,,
G3NSC4,G3NSC4_GASAC,3.0,,1,,1,1,,,,,
H0X6N7,H0X6N7_OTOGA,3.0,,1,,1,1,,,,,
H9G5P4,H9G5P4_ANOCA,3.0,,1,,1,1,,,,,
G1NUA8,G1NUA8_MYOLU,3.0,,1,,1,1,,,,,
H3DGB4,H3DGB4_TETNG,3.0,,1,,1,1,,,,,
H3CA22,H3CA22_TETNG,3.0,,1,,1,1,,,,,
G1PLH5,G1PLH5_MYOLU,3.0,,1,,1,1,,,,,
H3B3R8,H3B3R8_LATCH,3.0,,1,,1,1,,,,,
H3AN45,H3AN45_LATCH,3.0,,1,,1,1,,,,,
G1QD00,G1QD00_MYOLU,3.0,,1,,1,1,,,,,
H2U4W3,H2U4W3_TAKRU,3.0,,1,,1,1,,,,,
G1R5J1,G1R5J1_NOMLE,3.0,,1,,1,1,,,,,
H0VG56,H0VG56_CAVPO,3.0,,1,,1,1,,,,,
G3UGT4,G3UGT4_LOXAF,3.0,,1,,1,1,,,,,
H2TBH6,H2TBH6_TAKRU,3.0,,1,,1,1,,,,,
H2QJ85,H2QJ85_PANTR,3.0,,1,,1,1,,,,,
G3WJ09,G3WJ09_SARHA,3.0,,1,,1,1,,,,,
B8ZZJ1,B8ZZJ1_HUMAN,3.0,,1,,,,,1,1,,
H2LFV8,H2LFV8_ORYLA,3.0,,1,,1,1,,,,,
H2MNS0,H2MNS0_ORYLA,3.0,,1,,1,1,,,,,
G1U4C4,G1U4C4_RABIT,3.0,,1,,1,1,,,,,
G3NRT6,G3NRT6_GASAC,3.0,,1,,1,1,,,,,
H0ZJA2,H0ZJA2_TAEGU,3.0,,1,,1,1,,,,,
M3WEC3,M3WEC3_FELCA,3.0,,1,1,,1,,,,,
G1LHE8,G1LHE8_AILME,3.0,,1,,1,1,,,,,
F7DSQ1,F7DSQ1_HORSE,3.0,,1,,1,1,,,,,
E1BN31,E1BN31_BOVIN,3.0,,1,,1,1,,,,,
E1BW14,E1BW14_CHICK,3.0,,1,,1,1,,,,,
E2RRF1,E2RRF1_CANFA,3.0,,1,,1,1,,,,,
E7F799,E7F799_DANRE,3.0,,1,,1,1,,,,,
E7FAF0,E7FAF0_DANRE,3.0,,1,,1,1,,,,,
F1QAG7,F1QAG7_DANRE,3.0,,1,,1,1,,,,,
Q7PT63,Q7PT63_ANOGA,3.0,,,,,1,1,,,,1
F6Q0V4,F6Q0V4_CIOIN,3.0,,1,,1,1,,,,,
Q6A586,Q6A586_CAEEL,3.0,,1,,,1,,,,,1
A7S2A0,A7S2A0_NEMVE,3.0,,,,,1,1,,,,1
F6VFY7,F6VFY7_MACMU,3.0,,1,,1,1,,,,,
F6YAA0,F6YAA0_ORNAN,3.0,,1,,1,1,,,,,
I3LJX1,I3LJX1_PIG,3.0,,1,,1,1,,,,,
F7DPN7,F7DPN7_MONDO,3.0,,1,,1,1,,,,,
F7E110,F7E110_XENTR,3.0,,1,,1,1,,,,,
K7FAN5,K7FAN5_PELSI,3.0,,1,,1,1,,,,,
I3NHR9,I3NHR9_SPETR,3.0,,1,,1,1,,,,,
G1KPE4,G1KPE4_ANOCA,3.0,,1,,1,1,,,,,
K7EFC5,K7EFC5_ORNAN,3.0,,1,,1,1,,,,,
K7ET61,K7ET61_PONAB,3.0,,1,,1,1,,,,,
G3R8G5,G3R8G5_GORGO,3.0,,1,,1,1,,,,,
G3T058,G3T058_LOXAF,3.0,,1,,1,1,,,,,
F7HU60,F7HU60_CALJA,3.0,,1,,1,1,,,,,
F7F3H6,F7F3H6_MONDO,3.0,,1,,1,1,,,,,
F6PLF7,F6PLF7_ORNAN,2.0,,1,,,1,,,,,
F7EHL4,F7EHL4_XENTR,2.0,,1,,1,,,,,,
F8W7X4,F8W7X4_HUMAN,2.0,,1,,,1,,,,,
F7INF8,F7INF8_CALJA,2.0,,1,,,1,,,,,
F7INF6,F7INF6_CALJA,2.0,,1,,1,,,,,,
C9JTA1,C9JTA1_HUMAN,2.0,,1,,,,,1,,,
