,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10691,ENSGT00600000084471,GHQEGDG,TF314406,EOG7288QF,NOG236675,NA,HBG058328,NA,Q5T4S7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5T4S7,UBR4_HUMAN,8.0,1,1,1,1,1,1,,1,,1
A2AN08,UBR4_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q9VLT5,POE_DROME,6.0,1,1,1,,1,1,,,,1
Q9VLT5,POE_DROME,6.0,1,1,1,,1,1,,,,1
F6STT4,F6STT4_HORSE,5.0,1,1,1,1,1,,,,,
H2PY68,H2PY68_PANTR,5.0,1,1,1,1,1,,,,,
E2RF02,E2RF02_CANFA,5.0,1,1,1,1,1,,,,,
Q7PX10,Q7PX10_ANOGA,4.0,1,,,,1,1,,,,1
H3D368,H3D368_TETNG,4.0,,1,1,1,1,,,,,
G1L8B1,G1L8B1_AILME,4.0,,1,1,1,1,,,,,
B7P483,B7P483_IXOSC,4.0,1,,,,1,1,,,,1
G3NT04,G3NT04_GASAC,4.0,,1,1,1,1,,,,,
G1NVV1,G1NVV1_MYOLU,4.0,,1,1,1,1,,,,,
B4NWD0,B4NWD0_DROYA,4.0,1,,1,,1,1,,,,
B4MUI1,B4MUI1_DROWI,4.0,1,,1,,1,1,,,,
Q2TL32,UBR4_RAT,4.0,1,,,,,1,,1,,1
B4LSL6,B4LSL6_DROVI,4.0,1,,1,,1,1,,,,
Q0IES4,Q0IES4_AEDAE,4.0,1,,1,,1,1,,,,
K7GGI3,K7GGI3_PELSI,4.0,,1,1,1,1,,,,,
H3BIS8,H3BIS8_LATCH,4.0,,1,1,1,1,,,,,
G1N142,G1N142_MELGA,4.0,,1,1,1,1,,,,,
F1P2G5,F1P2G5_CHICK,4.0,,1,1,1,1,,,,,
G3W4V4,G3W4V4_SARHA,4.0,,1,1,1,1,,,,,
H2URA3,H2URA3_TAKRU,4.0,,1,1,1,1,,,,,
E1BHT5,E1BHT5_BOVIN,4.0,,1,1,1,1,,,,,
F7F0G1,F7F0G1_MONDO,4.0,,1,1,1,1,,,,,
F7C0D4,F7C0D4_CALJA,4.0,,1,1,1,1,,,,,
H2LGQ9,H2LGQ9_ORYLA,4.0,,1,1,1,1,,,,,
H1A2Q1,H1A2Q1_TAEGU,4.0,,1,1,1,1,,,,,
G1R8K9,G1R8K9_NOMLE,4.0,,1,1,1,1,,,,,
G3QCW4,G3QCW4_GORGO,4.0,,1,1,1,1,,,,,
G3UIW4,G3UIW4_LOXAF,4.0,,1,1,1,1,,,,,
H0VBF5,H0VBF5_CAVPO,4.0,,1,1,1,1,,,,,
G1SCY3,G1SCY3_RABIT,4.0,,1,1,1,1,,,,,
K9J8C5,K9J8C5_XENTR,3.0,,1,,1,1,,,,,
B4JC01,B4JC01_DROGR,3.0,1,,,,1,1,,,,
F1LQI5,F1LQI5_RAT,3.0,,1,1,,1,,,,,
F1QWA2,F1QWA2_DANRE,3.0,,1,1,1,,,,,,
I3MNY9,I3MNY9_SPETR,3.0,,1,,1,1,,,,,
M3WA73,M3WA73_FELCA,3.0,,1,1,,1,,,,,
F7H1W6,F7H1W6_MACMU,3.0,,1,1,1,,,,,,
H2N8U0,H2N8U0_PONAB,3.0,,1,,1,1,,,,,
F1SUQ5,F1SUQ5_PIG,3.0,,1,,1,1,,,,,
E0VLM7,E0VLM7_PEDHC,3.0,1,,1,,1,,,,,
B3RV01,B3RV01_TRIAD,3.0,1,,,,1,1,,,,
B4KEC2,B4KEC2_DROMO,3.0,1,,1,,1,,,,,
M3YXM2,M3YXM2_MUSPF,3.0,,1,1,,1,,,,,
B3MMX5,B3MMX5_DROAN,3.0,1,,,,1,1,,,,
A8Y1V8,A8Y1V8_CAEBR,3.0,1,,,,1,1,,,,
Q9SRU2,BIG_ARATH,3.0,1,,,,,1,,,,1
A7RYW5,A7RYW5_NEMVE,3.0,1,,,,1,1,,,,
M4AWS3,M4AWS3_XIPMA,3.0,,1,1,,1,,,,,
Q29L39,POE_DROPS,3.0,1,,,,1,1,,,,
Q7KQG4,Q7KQG4_CAEEL,3.0,1,1,,,1,,,,,
O01808,O01808_CAEEL,3.0,1,1,,,,1,,,,
A2DC43,A2DC43_TRIVA,2.0,1,,,,,1,,,,
W5PKJ7,W5PKJ7_SHEEP,2.0,,1,1,,,,,,,
H2YSY5,H2YSY5_CIOSA,2.0,,1,,,1,,,,,
W5MAW8,W5MAW8_LEPOC,2.0,,1,1,,,,,,,
C5YJZ4,C5YJZ4_SORBI,2.0,1,,,,,1,,,,
H2Y3N9,H2Y3N9_CIOIN,2.0,,1,,,1,,,,,
D6X566,D6X566_TRICA,2.0,,,1,,1,,,,,
A7T694,A7T694_NEMVE,2.0,,,,,1,1,,,,
F1R984,F1R984_DANRE,2.0,,1,,,1,,,,,
F6UQ10,F6UQ10_ORNAN,2.0,,1,,,1,,,,,
U3IX00,U3IX00_ANAPL,2.0,,1,1,,,,,,,
U3K7X9,U3K7X9_FICAL,2.0,,1,1,,,,,,,
A7RYW6,A7RYW6_NEMVE,2.0,1,,,,1,,,,,
F7CIW9,F7CIW9_XENTR,2.0,,1,,,1,,,,,
H0XM05,H0XM05_OTOGA,2.0,,1,,,1,,,,,
V4CQY7,V4CQY7_LOTGI,2.0,1,,1,,,,,,,
A4RUM0,A4RUM0_OSTLU,2.0,1,,,,,1,,,,
F7E7V5,F7E7V5_ORNAN,2.0,,1,,,1,,,,,
F6VR91,F6VR91_CIOIN,2.0,,1,,,1,,,,,
A2DQM4,A2DQM4_TRIVA,2.0,1,,,,,1,,,,
H2YTF6,H2YTF6_CIOSA,2.0,,1,,,1,,,,,
C3ZHY2,C3ZHY2_BRAFL,2.0,1,,,,,,,,,1
B0WXT2,B0WXT2_CULQU,2.0,1,,,,1,,,,,
I3LC35,I3LC35_PIG,2.0,,1,,,1,,,,,
B3N6Z7,B3N6Z7_DROER,2.0,1,,,,1,,,,,
B4H8S2,B4H8S2_DROPE,2.0,1,,,,1,,,,,
B4HYE1,B4HYE1_DROSE,2.0,1,,,,1,,,,,
M9PB68,M9PB68_DROME,2.0,1,,1,,,,,,,
Q4S817,Q4S817_TETNG,2.0,,,,,,1,,1,,
F7H1V5,F7H1V5_MACMU,2.0,,1,,,1,,,,,
Q54QG5,Y3893_DICDI,2.0,1,,,,,1,,,,
B4Q692,B4Q692_DROSI,2.0,1,,,,1,,,,,
A9RVH7,A9RVH7_PHYPA,2.0,1,,,,,,,,,1
A9S254,A9S254_PHYPA,2.0,1,,,,,,,,,1
F7BAR3,F7BAR3_ORNAN,2.0,,1,,,1,,,,,
I3L5Y4,I3L5Y4_PIG,2.0,,1,,,1,,,,,
Q8T3G9,Q8T3G9_CAEEL,2.0,1,1,,,,,,,,
I3J104,I3J104_ORENI,2.0,,,,1,1,,,,,
B7P484,B7P484_IXOSC,2.0,,,,,1,1,,,,
H9GK08,H9GK08_ANOCA,2.0,,1,,,1,,,,,
H9GJS0,H9GJS0_ANOCA,2.0,,1,,,1,,,,,
F1QT71,F1QT71_DANRE,1.0,,,,1,,,,,,
F6SSP6,F6SSP6_MOUSE,1.0,,1,,,,,,,,
F6SI09,F6SI09_CALJA,1.0,,1,,,,,,,,
F6VZ48,F6VZ48_MONDO,1.0,,,,1,,,,,,
F4QAW9,F4QAW9_DICFS,1.0,1,,,,,,,,,
F6WHG2,F6WHG2_HORSE,1.0,,1,,,,,,,,
F1P0U1,F1P0U1_CHICK,1.0,,,,1,,,,,,
F1N0L2,F1N0L2_BOVIN,1.0,,,,1,,,,,,
F6Z150,F6Z150_CALJA,1.0,,1,,,,,,,,
F6TKY9,F6TKY9_CALJA,1.0,,1,,,,,,,,
Z4YMA7,Z4YMA7_MOUSE,1.0,,1,,,,,,,,
F0ZQG3,F0ZQG3_DICPU,1.0,1,,,,,,,,,
B6VBA4,B6VBA4_CAEBE,1.0,,,,,,1,,,,
A0A061ENC5,A0A061ENC5_THECC,1.0,1,,,,,,,,,
A0A087Y687,A0A087Y687_POEFO,1.0,,1,,,,,,,,
A0A088AK76,A0A088AK76_APIME,1.0,1,,,,,,,,,
A0A096NP78,A0A096NP78_PAPAN,1.0,,1,,,,,,,,
A0A0A0MSW0,A0A0A0MSW0_HUMAN,1.0,,1,,,,,,,,
A2EK01,A2EK01_TRIVA,1.0,,,,,,1,,,,
A2FQ18,A2FQ18_TRIVA,1.0,,,,,,1,,,,
A5ALD2,A5ALD2_VITVI,1.0,,,,,,1,,,,
A7SWY5,A7SWY5_NEMVE,1.0,,,,,1,,,,,
A8Y1V7,A8Y1V7_CAEBR,1.0,,,,,1,,,,,
B4NRY4,B4NRY4_DROSI,1.0,,,,,1,,,,,
B5YNP1,B5YNP1_THAPS,1.0,1,,,,,,,,,
B7PMP2,B7PMP2_IXOSC,1.0,,,,,1,,,,,
E9Q2H1,E9Q2H1_MOUSE,1.0,,,,1,,,,,,
F6ZM01,F6ZM01_XENTR,1.0,,,,1,,,,,,
B9SIX2,B9SIX2_RICCO,1.0,1,,,,,,,,,
C1DZQ0,C1DZQ0_MICSR,1.0,1,,,,,,,,,
C1MJ56,C1MJ56_MICPC,1.0,1,,,,,,,,,
D7KZF0,D7KZF0_ARALL,1.0,1,,,,,,,,,
D8QVR5,D8QVR5_SELML,1.0,1,,,,,,,,,
D8QVR9,D8QVR9_SELML,1.0,1,,,,,,,,,
D8SA78,D8SA78_SELML,1.0,1,,,,,,,,,
D8SA83,D8SA83_SELML,1.0,1,,,,,,,,,
E9H3F1,E9H3F1_DAPPU,1.0,,,1,,,,,,,
E9IYB4,E9IYB4_SOLIN,1.0,,,,,1,,,,,
E9J8Y0,E9J8Y0_SOLIN,1.0,,,1,,,,,,,
B8BD82,B8BD82_ORYSI,1.0,,,,,,1,,,,
G3N0A8,G3N0A8_BOVIN,1.0,,1,,,,,,,,
F7AHP3,F7AHP3_CIOIN,1.0,,,,1,,,,,,
K7G451,K7G451_PELSI,1.0,,,,1,,,,,,
Q5BW95,Q5BW95_SCHJA,1.0,,,,,,1,,,,
O95071,UBR5_HUMAN,1.0,,,,1,,,,,,
M5XAL1,M5XAL1_PRUPE,1.0,1,,,,,,,,,
L1IUA6,L1IUA6_GUITH,1.0,1,,,,,,,,,
K8FEQ1,K8FEQ1_9CHLO,1.0,1,,,,,,,,,
K7MV36,K7MV36_SOYBN,1.0,1,,,,,,,,,
K7GPI8,K7GPI8_PIG,1.0,,,,1,,,,,,
K7EG26,K7EG26_ORNAN,1.0,,1,,,,,,,,
