,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K15615,ENSGT00540000070251,DQVQLHS,TF315545,EOG7C5M8Z,NOG244874,HOG000261651,HBG017802,NA,Q9UIU6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q61321,SIX4_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9UIU6,SIX4_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5TYZ4,Q5TYZ4_DANRE,6.0,1,1,,1,1,1,1,,,
A4IG26,A4IG26_DANRE,6.0,1,1,,1,1,1,1,,,
H2NLF4,H2NLF4_PONAB,5.0,1,1,1,1,1,,,,,
F6UJE4,F6UJE4_HORSE,5.0,1,1,1,1,1,,,,,
F1SRW3,F1SRW3_PIG,5.0,1,1,1,1,1,,,,,
F7I6A7,F7I6A7_CALJA,5.0,1,1,1,1,1,,,,,
F1NHV5,F1NHV5_CHICK,5.0,1,1,1,1,1,,,,,
K7G7Q1,K7G7Q1_PELSI,4.0,,1,1,1,1,,,,,
D3ZAJ7,D3ZAJ7_RAT,4.0,1,1,1,,1,,,,,
H0VQX4,H0VQX4_CAVPO,4.0,,1,1,1,1,,,,,
G3WTY1,G3WTY1_SARHA,4.0,,1,1,1,1,,,,,
H0XEL6,H0XEL6_OTOGA,4.0,,1,1,1,1,,,,,
F6PGG3,F6PGG3_MONDO,4.0,,1,1,1,1,,,,,
H9GBN0,H9GBN0_ANOCA,4.0,,1,1,1,1,,,,,
F6Y0Z9,F6Y0Z9_XENTR,4.0,,1,1,1,1,,,,,
H2R2J7,H2R2J7_PANTR,4.0,,1,1,1,1,,,,,
F7GRZ1,F7GRZ1_MACMU,4.0,,1,1,1,1,,,,,
G3TMW0,G3TMW0_LOXAF,4.0,,1,1,1,1,,,,,
F6XRS2,F6XRS2_CANFA,4.0,1,1,1,1,,,,,,
Q8N196,SIX5_HUMAN,4.0,,1,,1,1,1,,,,
P70178,SIX5_MOUSE,4.0,,1,,1,1,1,,,,
H3BGR7,H3BGR7_LATCH,4.0,,1,1,1,1,,,,,
I3N3Q8,I3N3Q8_SPETR,4.0,,1,1,1,1,,,,,
D2GVS5,D2GVS5_AILME,4.0,,1,1,1,,,1,,,
H3C8X7,H3C8X7_TETNG,3.0,,1,,1,1,,,,,
K7FN86,K7FN86_PELSI,3.0,,1,,1,1,,,,,
K7FLU8,K7FLU8_PELSI,3.0,,1,,1,1,,,,,
H3C1I8,H3C1I8_TETNG,3.0,,1,,1,1,,,,,
G1RTX3,G1RTX3_NOMLE,3.0,,1,,1,1,,,,,
H9GNG8,H9GNG8_ANOCA,3.0,,1,,1,1,,,,,
H3CPU1,H3CPU1_TETNG,3.0,,1,,1,1,,,,,
H9G831,H9G831_ANOCA,3.0,,1,,1,1,,,,,
H3DIZ1,H3DIZ1_TETNG,3.0,,1,,1,1,,,,,
H3CDC8,H3CDC8_TETNG,3.0,,1,,1,1,,,,,
H3CID3,H3CID3_TETNG,3.0,,1,,1,1,,,,,
G3TCC7,G3TCC7_LOXAF,3.0,,1,,1,1,,,,,
H9GNL3,H9GNL3_ANOCA,3.0,,1,,1,1,,,,,
H3CPU0,H3CPU0_TETNG,3.0,,1,,1,1,,,,,
H9G823,H9G823_ANOCA,3.0,,1,,1,1,,,,,
J9P3S7,J9P3S7_CANFA,3.0,,1,,1,1,,,,,
H9GTH4,H9GTH4_ANOCA,3.0,,1,,1,1,,,,,
G1RTX8,G1RTX8_NOMLE,3.0,,1,1,,1,,,,,
G1T717,G1T717_RABIT,3.0,,1,,1,1,,,,,
G1TWB1,G1TWB1_RABIT,3.0,,1,,1,1,,,,,
I3N9B8,I3N9B8_SPETR,3.0,,1,,1,1,,,,,
I3N8E1,I3N8E1_SPETR,3.0,,1,,1,1,,,,,
I3N7F8,I3N7F8_SPETR,3.0,,1,,1,1,,,,,
I3N0V4,I3N0V4_SPETR,3.0,,1,,1,1,,,,,
G1SBL4,G1SBL4_NOMLE,3.0,,1,,1,1,,,,,
I3MXR8,I3MXR8_SPETR,3.0,,1,,1,1,,,,,
G1S4P9,G1S4P9_NOMLE,3.0,,1,,1,1,,,,,
G3NEB2,G3NEB2_GASAC,3.0,,1,,1,1,,,,,
G3P0L5,G3P0L5_GASAC,3.0,,1,,1,1,,,,,
G3P0M4,G3P0M4_GASAC,3.0,,1,,1,1,,,,,
G3P0M9,G3P0M9_GASAC,3.0,,1,,1,1,,,,,
G3P5E8,G3P5E8_GASAC,3.0,,1,,1,1,,,,,
G3P5F7,G3P5F7_GASAC,3.0,,1,,1,1,,,,,
G3P9K7,G3P9K7_GASAC,3.0,,1,,1,1,,,,,
G3Q5K9,G3Q5K9_GASAC,3.0,,1,,1,1,,,,,
H3BGX2,H3BGX2_LATCH,3.0,,1,,1,1,,,,,
G3QZU3,G3QZU3_GORGO,3.0,,1,,1,1,,,,,
G3R3F2,G3R3F2_GORGO,3.0,,1,1,,1,,,,,
G3RXM7,G3RXM7_GORGO,3.0,,1,,1,1,,,,,
G3SBS4,G3SBS4_GORGO,3.0,,1,,1,1,,,,,
H2LQZ2,H2LQZ2_ORYLA,3.0,,1,,1,1,,,,,
H3BGT3,H3BGT3_LATCH,3.0,,1,,1,1,,,,,
H0X817,H0X817_OTOGA,3.0,,1,,1,1,,,,,
H2QHU8,H2QHU8_PANTR,3.0,,1,,1,1,,,,,
H2QHU7,H2QHU7_PANTR,3.0,,1,,1,1,,,,,
H2Q8E8,H2Q8E8_PANTR,3.0,,1,,1,1,,,,,
H0X949,H0X949_OTOGA,3.0,,1,,1,1,,,,,
H2P6C7,H2P6C7_PONAB,3.0,,1,,1,1,,,,,
H2P6C6,H2P6C6_PONAB,3.0,,1,,1,1,,,,,
H2NZ95,H2NZ95_PONAB,3.0,,1,,1,1,,,,,
H2NLF2,H2NLF2_PONAB,3.0,,1,,1,1,,,,,
H2NLF1,H2NLF1_PONAB,3.0,,1,,1,1,,,,,
H2MM07,H2MM07_ORYLA,3.0,,1,,1,1,,,,,
H2MM02,H2MM02_ORYLA,3.0,,1,,1,1,,,,,
H2MLZ5,H2MLZ5_ORYLA,3.0,,1,,1,1,,,,,
H2M3C2,H2M3C2_ORYLA,3.0,,1,,1,1,,,,,
H2LV74,H2LV74_ORYLA,3.0,,1,,1,1,,,,,
H2LQY8,H2LQY8_ORYLA,3.0,,1,,1,1,,,,,
H2LHU6,H2LHU6_ORYLA,3.0,,1,,1,1,,,,,
H0ZRY7,H0ZRY7_TAEGU,3.0,,1,,1,1,,,,,
H0ZRY6,H0ZRY6_TAEGU,3.0,,1,1,,1,,,,,
H0Z093,H0Z093_TAEGU,3.0,,1,,1,1,,,,,
H0Z084,H0Z084_TAEGU,3.0,,1,,1,1,,,,,
H0XUM1,H0XUM1_OTOGA,3.0,,1,,1,1,,,,,
H2R5Z8,H2R5Z8_PANTR,3.0,,1,,1,1,,,,,
H2RKS6,H2RKS6_TAKRU,3.0,,1,,1,1,,,,,
H3B598,H3B598_LATCH,3.0,,1,,1,1,,,,,
H0WDM5,H0WDM5_CAVPO,3.0,,1,,1,1,,,,,
H3B1Y7,H3B1Y7_LATCH,3.0,,1,,1,1,,,,,
H3AZ45,H3AZ45_LATCH,3.0,,1,,1,1,,,,,
K7G822,K7G822_PELSI,3.0,,1,,1,1,,,,,
H2YGF9,H2YGF9_CIOSA,3.0,,1,,1,1,,,,,
H2YB77,H2YB77_CIOSA,3.0,,1,,1,1,,,,,
H2YA91,H2YA91_CIOSA,3.0,,1,,1,1,,,,,
H2XLH4,H2XLH4_CIOIN,3.0,,1,,1,1,,,,,
H2UND1,H2UND1_TAKRU,3.0,,1,,1,1,,,,,
G3V970,G3V970_RAT,3.0,,1,,1,1,,,,,
G3WRH9,G3WRH9_SARHA,3.0,,1,,1,1,,,,,
H2TQP6,H2TQP6_TAKRU,3.0,,1,,1,1,,,,,
H2TQH5,H2TQH5_TAKRU,3.0,,1,,1,1,,,,,
G3WSV0,G3WSV0_SARHA,3.0,,1,,1,1,,,,,
H2TPS1,H2TPS1_TAKRU,3.0,,1,,1,1,,,,,
H2T103,H2T103_TAKRU,3.0,,1,,1,1,,,,,
H0V0F2,H0V0F2_CAVPO,3.0,,1,,1,1,,,,,
H0VQN9,H0VQN9_CAVPO,3.0,,1,,1,1,,,,,
H2SIG5,H2SIG5_TAKRU,3.0,,1,,1,1,,,,,
H0VTL6,H0VTL6_CAVPO,3.0,,1,,1,1,,,,,
H0W0A6,H0W0A6_CAVPO,3.0,,1,,1,1,,,,,
H2RYD1,H2RYD1_TAKRU,3.0,,1,,1,1,,,,,
H3AXH0,H3AXH0_LATCH,3.0,,1,,1,1,,,,,
G1PMB8,G1PMB8_MYOLU,3.0,,1,,1,1,,,,,
G1RTW5,G1RTW5_NOMLE,3.0,,1,,1,1,,,,,
Q7T3G8,Q7T3G8_DANRE,3.0,,1,,1,1,,,,,
Q9Y1P6,Q9Y1P6_DROME,3.0,,1,,,1,,,,,1
Q9QZ28,SIX6_MOUSE,3.0,,1,,1,1,,,,,
Q9NPC8,SIX2_HUMAN,3.0,,1,,1,1,,,,,
F6PGL1,F6PGL1_MONDO,3.0,,1,,1,1,,,,,
Q98TH1,Q98TH1_DANRE,3.0,,1,,1,1,,,,,
F6PGM1,F6PGM1_MONDO,3.0,,1,,1,1,,,,,
F6PRL5,F6PRL5_CIOIN,3.0,,1,,1,1,,,,,
F6SPS0,F6SPS0_HORSE,3.0,,1,,1,1,,,,,
Q7QH81,Q7QH81_ANOGA,3.0,,,,,1,1,,,,1
Q4RM36,Q4RM36_TETNG,3.0,,1,,1,1,,,,,
Q6PCA5,Q6PCA5_DANRE,3.0,,1,,1,1,,,,,
Q6NZ04,SIX1B_DANRE,3.0,,1,,1,1,,,,,
Q6DHF9,SIX1A_DANRE,3.0,,1,,1,1,,,,,
F6T8J6,F6T8J6_MONDO,3.0,,1,,1,1,,,,,
Q62232,SIX2_MOUSE,3.0,,1,,1,1,,,,,
Q62231,SIX1_MOUSE,3.0,,1,,1,1,,,,,
Q5TYZ2,Q5TYZ2_DANRE,3.0,,1,,1,1,,,,,
F6UQT2,F6UQT2_HORSE,3.0,,1,,1,1,,,,,
Q9Y1P6,Q9Y1P6_DROME,3.0,,1,,,1,,,,,1
F1SSH9,F1SSH9_PIG,3.0,,1,,1,1,,,,,
F1S5K5,F1S5K5_PIG,3.0,,1,,1,1,,,,,
F1PSK1,F1PSK1_CANFA,3.0,,1,,1,1,,,,,
A0NBT5,A0NBT5_ANOGA,3.0,,,,,1,1,,,,1
A6QQM5,A6QQM5_BOVIN,3.0,,1,,1,1,,,,,
B0R222,B0R222_ORYLA,3.0,,1,,1,1,,,,,
B3DIJ7,B3DIJ7_DANRE,3.0,,1,,1,1,,,,,
D2GUA0,D2GUA0_AILME,3.0,,1,,1,1,,,,,
D2GVS4,D2GVS4_AILME,3.0,,1,,1,1,,,,,
D3ZCC7,D3ZCC7_RAT,3.0,,1,,1,1,,,,,
D3ZM80,D3ZM80_RAT,3.0,,1,,1,1,,,,,
E1BAD7,E1BAD7_BOVIN,3.0,,1,,1,1,,,,,
E1BJ27,E1BJ27_BOVIN,3.0,,1,,1,1,,,,,
E1BMT1,E1BMT1_BOVIN,3.0,,1,,1,1,,,,,
E2R181,E2R181_CANFA,3.0,,1,,1,1,,,,,
E2R195,E2R195_CANFA,3.0,,1,,1,1,,,,,
E5DCJ4,E5DCJ4_PIG,3.0,,1,,1,1,,,,,
U3JLD3,U3JLD3_FICAL,3.0,1,1,1,,,,,,,
E9PTM1,E9PTM1_RAT,3.0,,1,,1,1,,,,,
F1PN35,F1PN35_CANFA,3.0,,1,,1,1,,,,,
F6VMC5,F6VMC5_HORSE,3.0,,1,,1,1,,,,,
F6ST81,F6ST81_MONDO,3.0,,1,,1,1,,,,,
F6VQQ1,F6VQQ1_MACMU,3.0,,1,,1,1,,,,,
F7IFQ0,F7IFQ0_CALJA,3.0,,1,,1,1,,,,,
F7C4U0,F7C4U0_ORNAN,3.0,,1,,1,1,,,,,
F7D0D8,F7D0D8_XENTR,3.0,,1,,1,1,,,,,
F7E5P2,F7E5P2_ORNAN,3.0,,1,,1,1,,,,,
F7GEZ3,F7GEZ3_MACMU,3.0,,1,,1,1,,,,,
F7H037,F7H037_MACMU,3.0,,1,,1,1,,,,,
F6VVA7,F6VVA7_CIOIN,3.0,,1,,1,1,,,,,
F7I8P1,F7I8P1_CALJA,3.0,,1,,1,1,,,,,
M3ZQ27,M3ZQ27_XIPMA,3.0,1,1,,,1,,,,,
G1L892,G1L892_AILME,3.0,,1,,1,1,,,,,
O93282,O93282_DANRE,3.0,,1,,1,1,,,,,
G1LHA4,G1LHA4_AILME,3.0,,1,,1,1,,,,,
G1NLF1,G1NLF1_MELGA,3.0,,1,,1,1,,,,,
G1NLF3,G1NLF3_MELGA,3.0,,1,,1,1,,,,,
G1NVB8,G1NVB8_MYOLU,3.0,,1,,1,1,,,,,
G1NXL5,G1NXL5_MYOLU,3.0,,1,,1,1,,,,,
G1NXM0,G1NXM0_MYOLU,3.0,,1,1,,1,,,,,
H0Y1T2,H0Y1T2_OTOGA,3.0,,1,,1,1,,,,,
G1QCC7,G1QCC7_MYOLU,3.0,,1,,1,1,,,,,
O73709,O73709_DANRE,3.0,,1,,1,1,,,,,
