,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00410000025739,DIWSWIP,TF315420,EOG7R830Z,NOG315027,HOG000273861,HBG068667,NA,Q9ULP9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9ULP9,TBC24_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9ULP9,TBC24_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3UUG6,TBC24_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q3UUG6,TBC24_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q08CX5,TBC24_XENTR,7.0,,1,1,1,1,1,1,1,,
G3P035,G3P035_GASAC,4.0,,1,1,1,1,,,,,
F7CWY1,F7CWY1_HORSE,4.0,,1,1,1,1,,,,,
F7G5L0,F7G5L0_CALJA,4.0,,1,1,1,1,,,,,
G1MI01,G1MI01_AILME,4.0,,1,1,1,1,,,,,
G1NC94,G1NC94_MELGA,4.0,,1,1,1,1,,,,,
G1PTU8,G1PTU8_MYOLU,4.0,,1,1,1,1,,,,,
G1SQD4,G1SQD4_RABIT,4.0,,1,1,1,1,,,,,
G3RCF3,G3RCF3_GORGO,4.0,,1,1,1,1,,,,,
F6S4P5,F6S4P5_MONDO,4.0,,1,1,1,1,,,,,
G3TG12,G3TG12_LOXAF,4.0,,1,1,1,1,,,,,
K7G158,K7G158_PELSI,4.0,,1,1,1,1,,,,,
G3WNG6,G3WNG6_SARHA,4.0,,1,1,1,1,,,,,
I3MKY5,I3MKY5_SPETR,4.0,,1,1,1,1,,,,,
H0VFZ9,H0VFZ9_CAVPO,4.0,,1,1,1,1,,,,,
H0YYH6,H0YYH6_TAEGU,4.0,,1,1,1,1,,,,,
H2LSG4,H2LSG4_ORYLA,4.0,,1,1,1,1,,,,,
H3D5I4,H3D5I4_TETNG,4.0,,1,1,1,1,,,,,
H2QAD6,H2QAD6_PANTR,4.0,,1,1,1,1,,,,,
H2UJG0,H2UJG0_TAKRU,4.0,,1,1,1,1,,,,,
F6TFP7,F6TFP7_MACMU,4.0,,1,1,1,1,,,,,
H0WIE2,H0WIE2_OTOGA,4.0,,1,1,1,1,,,,,
E7FCR8,E7FCR8_DANRE,4.0,,1,1,1,1,,,,,
F1NEU9,F1NEU9_CHICK,4.0,,1,1,1,1,,,,,
Q7Q0N9,Q7Q0N9_ANOGA,4.0,,,1,,1,1,,,,1
