,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063673,RCEKYVE,TF314502,EOG7GN2MD,NOG145331,HOG000115590,HBG101204,NA,Q8NA58
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8NA58,PNDC1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8NA58,PNDC1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
B2RXZ1,B2RXZ1_MOUSE,6.0,,1,1,1,1,,,1,,1
Q4KLL1,Q4KLL1_RAT,5.0,,1,,,1,1,1,,,1
P69341,PARN_BOVIN,4.0,,1,,1,1,1,,,,
G3WR41,G3WR41_SARHA,4.0,,1,1,1,1,,,,,
H0WW41,H0WW41_OTOGA,4.0,,1,1,1,1,,,,,
Q21412,Q21412_CAEEL,4.0,,1,,,1,1,,,,1
F1SB65,F1SB65_PIG,4.0,,1,1,1,1,,,,,
F7EE59,F7EE59_MONDO,4.0,,1,1,1,1,,,,,
H2PKS6,H2PKS6_PONAB,4.0,,1,1,1,1,,,,,
H2QTZ9,H2QTZ9_PANTR,4.0,,1,1,1,1,,,,,
F1MX01,F1MX01_BOVIN,4.0,,1,1,1,1,,,,,
F7FVG9,F7FVG9_ORNAN,4.0,,1,1,1,1,,,,,
E2R0L8,E2R0L8_CANFA,4.0,,1,1,1,1,,,,,
E1BVT8,E1BVT8_CHICK,4.0,,1,1,1,1,,,,,
O95453,PARN_HUMAN,4.0,,1,,1,1,1,,,,
F6RUP1,F6RUP1_CALJA,4.0,,1,1,1,1,,,,,
I3M6D0,I3M6D0_SPETR,4.0,,1,1,1,1,,,,,
G1NU05,G1NU05_MYOLU,4.0,,1,1,1,1,,,,,
G1KP33,G1KP33_ANOCA,4.0,,1,1,1,1,,,,,
G1MA55,G1MA55_AILME,4.0,,1,1,1,1,,,,,
G1RKI3,G1RKI3_NOMLE,4.0,,1,1,1,1,,,,,
F6XSN7,F6XSN7_MACMU,3.0,,1,,1,1,,,,,
F6XLZ1,F6XLZ1_XENTR,3.0,,1,,1,1,,,,,
G1MQS6,G1MQS6_MELGA,3.0,,1,,1,1,,,,,
H2NQ72,H2NQ72_PONAB,3.0,,1,,1,1,,,,,
H2QAM0,H2QAM0_PANTR,3.0,,1,,1,1,,,,,
F1RLR7,F1RLR7_PIG,3.0,,1,,1,1,,,,,
H2MW75,H2MW75_ORYLA,3.0,,1,,1,1,,,,,
H2UPI2,H2UPI2_TAKRU,3.0,,1,,1,1,,,,,
F1REN3,F1REN3_DANRE,3.0,,1,,1,1,,,,,
F1NEI8,F1NEI8_CHICK,3.0,,1,,1,1,,,,,
G1LXQ5,G1LXQ5_AILME,3.0,,1,,1,1,,,,,
H9G9S4,H9G9S4_ANOCA,3.0,,1,,1,1,,,,,
F7BH34,F7BH34_MONDO,3.0,,1,,1,1,,,,,
F7IH98,F7IH98_CALJA,3.0,,1,,1,1,,,,,
G1NIN2,G1NIN2_MELGA,3.0,,1,,1,1,,,,,
G3Q7C0,G3Q7C0_GASAC,3.0,,1,,1,1,,,,,
G3RWB8,G3RWB8_GORGO,3.0,,1,,1,1,,,,,
F6X2Q9,F6X2Q9_MACMU,3.0,,1,,1,1,,,,,
G3TEC9,G3TEC9_LOXAF,3.0,,1,,1,1,,,,,
F6UWF1,F6UWF1_ORNAN,3.0,,1,,1,1,,,,,
G1T6A2,G1T6A2_RABIT,3.0,,1,,1,1,,,,,
G1SD24,G1SD24_RABIT,3.0,,1,,1,1,,,,,
G3W307,G3W307_SARHA,3.0,,1,,1,1,,,,,
F6SFG8,F6SFG8_HORSE,3.0,,1,,1,1,,,,,
H0UY53,H0UY53_CAVPO,3.0,,1,,1,1,,,,,
F6PI67,F6PI67_CIOIN,3.0,,1,,1,1,,,,,
I3M9X4,I3M9X4_SPETR,3.0,,1,,1,1,,,,,
H0VXW2,H0VXW2_CAVPO,3.0,,1,,1,1,,,,,
H0XBL8,H0XBL8_OTOGA,3.0,,1,,1,1,,,,,
F6Q3J7,F6Q3J7_HORSE,3.0,,1,,1,1,,,,,
H0Z3M0,H0Z3M0_TAEGU,3.0,,1,,1,1,,,,,
G1P4Q5,G1P4Q5_MYOLU,3.0,,1,,1,1,,,,,
H0ZME9,H0ZME9_TAEGU,3.0,,1,,1,1,,,,,
G3U7G8,G3U7G8_LOXAF,3.0,,1,,1,1,,,,,
H3CS48,H3CS48_TETNG,3.0,,1,,1,1,,,,,
D3ZJM8,D3ZJM8_RAT,3.0,,1,,1,1,,,,,
B7PS70,B7PS70_IXOSC,3.0,,,,,1,1,,,,1
M3Y0M9,M3Y0M9_MUSPF,3.0,,1,1,,1,,,,,
Q8VDG3,PARN_MOUSE,3.0,,,,1,1,1,,,,
M3VZ91,M3VZ91_FELCA,3.0,,1,1,,1,,,,,
K7FXB8,K7FXB8_PELSI,3.0,,1,,1,1,,,,,
A7S4R7,A7S4R7_NEMVE,3.0,,,,,1,1,,,,1
K7G9L5,K7G9L5_PELSI,3.0,,1,,1,1,,,,,
B8C6X4,B8C6X4_THAPS,2.0,,,,,,1,,,,1
A7S1J3,A7S1J3_NEMVE,2.0,,,,,1,1,,,,
G1RH04,G1RH04_NOMLE,2.0,,1,,,1,,,,,
A7T0T2,A7T0T2_NEMVE,2.0,,,,,1,1,,,,
Q7PT32,Q7PT32_ANOGA,2.0,,,,,1,1,,,,
B3RMU1,B3RMU1_TRIAD,2.0,,,,,1,1,,,,
Q17L86,Q17L86_AEDAE,2.0,,,,,1,1,,,,
Q7S1Z4,Q7S1Z4_NEUCR,2.0,,,,,,1,,,,1
W5P3B1,W5P3B1_SHEEP,2.0,,1,1,,,,,,,
A8X749,A8X749_CAEBR,2.0,,,,,1,1,,,,
B0XEX2,B0XEX2_CULQU,2.0,,,,,1,1,,,,
G3RTT7,G3RTT7_GORGO,2.0,,1,,1,,,,,,
G3RDY1,G3RDY1_GORGO,2.0,,1,,,1,,,,,
Q9LG26,PARN_ARATH,2.0,,,,,,1,,,,1
C3YTQ7,C3YTQ7_BRAFL,2.0,,,,,,1,,,,1
A0A096UWG8,A0A096UWG8_RAT,2.0,,1,,1,,,,,,
Q9LG26,PARN_ARATH,2.0,,,,,,1,,,,1
D6WZH5,D6WZH5_TRICA,2.0,,,1,,1,,,,,
I3IUA3,I3IUA3_ORENI,2.0,,,,1,1,,,,,
M4AK71,M4AK71_XIPMA,2.0,,1,,,1,,,,,
H9JAQ7,H9JAQ7_BOMMO,2.0,,,1,,1,,,,,
K7E7Q9,K7E7Q9_ORNAN,2.0,,1,,,1,,,,,
F6XU41,F6XU41_CANFA,2.0,,1,,1,,,,,,
M3YSP4,M3YSP4_MUSPF,2.0,,1,,,1,,,,,
M3XD99,M3XD99_FELCA,2.0,,1,,,1,,,,,
M3VUQ1,M3VUQ1_FELCA,2.0,,1,,,1,,,,,
H2Y4Q6,H2Y4Q6_CIOSA,2.0,,1,,,1,,,,,
H3A512,H3A512_LATCH,2.0,,1,,,1,,,,,
H3A513,H3A513_LATCH,2.0,,1,,1,,,,,,
A0A096MJ55,A0A096MJ55_RAT,1.0,,1,,,,,,,,
F7E0E0,F7E0E0_MONDO,1.0,,,,1,,,,,,
F7DZ74,F7DZ74_CALJA,1.0,,1,,,,,,,,
F6VJ53,F6VJ53_XENTR,1.0,,,,1,,,,,,
A0A096MK26,A0A096MK26_RAT,1.0,,1,,,,,,,,
A0A096NZS6,A0A096NZS6_PAPAN,1.0,,1,,,,,,,,
F6XGT9,F6XGT9_CIOIN,1.0,,,,1,,,,,,
A7F7U2,A7F7U2_SCLS1,1.0,,,,,,1,,,,
A5BKV2,A5BKV2_VITVI,1.0,,,,,,1,,,,
A4IC91,A4IC91_LEIIN,1.0,,,,,,1,,,,
A1DIR1,A1DIR1_NEOFI,1.0,,,1,,,,,,,
A0A096NLT2,A0A096NLT2_PAPAN,1.0,,1,,,,,,,,
E0VHV7,E0VHV7_PEDHC,1.0,,,,,1,,,,,
A9S7Y3,A9S7Y3_PHYPA,1.0,,,,,,,,,,1
A9SGS0,A9SGS0_PHYPA,1.0,,,,,,,,,,1
D6WYW0,D6WYW0_TRICA,1.0,,,,,1,,,,,
E2RGC9,E2RGC9_CANFA,1.0,,,,1,,,,,,
E9JAE6,E9JAE6_SOLIN,1.0,,,,,1,,,,,
F1N9P8,F1N9P8_CHICK,1.0,,,,1,,,,,,
F1Q5Z4,F1Q5Z4_DANRE,1.0,,,,1,,,,,,
F1S369,F1S369_PIG,1.0,,,,1,,,,,,
D2HS52,D2HS52_AILME,1.0,,,,,,,1,,,
C5YA90,C5YA90_SORBI,1.0,,,,,,1,,,,
F5H1Z4,F5H1Z4_HUMAN,1.0,,1,,,,,,,,
C5PDN1,C5PDN1_COCP7,1.0,,,,,,1,,,,
C3YC97,C3YC97_BRAFL,1.0,,,,,,1,,,,
B9GFM7,B9GFM7_POPTR,1.0,,,,,,1,,,,
F6R8H8,F6R8H8_ORNAN,1.0,,,,1,,,,,,
B7EFD3,B7EFD3_ORYSJ,1.0,,,,,,1,,,,
E0VCB1,E0VCB1_PEDHC,1.0,,,,,1,,,,,
B5DFR2,B5DFR2_XENTR,1.0,,,,,,1,,,,
F6RVK4,F6RVK4_CALJA,1.0,,1,,,,,,,,
F6UAK5,F6UAK5_XENTR,1.0,,1,,,,,,,,
F6UV52,F6UV52_HORSE,1.0,,,,1,,,,,,
B6HJI4,B6HJI4_PENCW,1.0,,,,,,1,,,,
W5PCG5,W5PCG5_SHEEP,1.0,,1,,,,,,,,
F7GPC3,F7GPC3_MACMU,1.0,,,,1,,,,,,
Q4QBB3,Q4QBB3_LEIMA,1.0,,,,,,,,,,1
Q5ZJ72,Q5ZJ72_CHICK,1.0,,,,,,1,,,,
Q5R6R6,PNDC1_PONAB,1.0,,,,,,,,1,,
Q5AWP6,Q5AWP6_EMENI,1.0,,,,,,1,,,,
Q57W87,Q57W87_TRYB2,1.0,,,,,,1,,,,
Q4UF32,Q4UF32_THEAN,1.0,,,,,,1,,,,
Q4SMK4,Q4SMK4_TETNG,1.0,,,,,,1,,,,
Q4N4G4,Q4N4G4_THEPA,1.0,,,,,,1,,,,
F7I1A4,F7I1A4_CALJA,1.0,,1,,,,,,,,
