,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011832,LTCKGEG,TF320966,EOG7KWSMX,NOG78588,HOG000230902,HBG057729,NA,Q5T9C2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5T9C2,F102A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5T9C2,F102A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q78T81,F102A_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q5RH77,Q5RH77_DANRE,6.0,,1,,1,1,1,1,1,,
Q5T8I3,F102B_HUMAN,6.0,,1,,1,1,1,1,1,,
A2CEP8,A2CEP8_DANRE,6.0,,1,,1,1,1,1,1,,
Q8BQS4,F102B_MOUSE,5.0,,1,,,1,1,1,1,,
E1BZB0,E1BZB0_CHICK,5.0,,1,1,1,1,,,,,1
F1MIT7,F1MIT7_BOVIN,4.0,,1,1,1,1,,,,,
H2SG19,H2SG19_TAKRU,4.0,,1,1,1,1,,,,,
H0XW87,H0XW87_OTOGA,4.0,,1,1,1,1,,,,,
E2RSK5,E2RSK5_CANFA,4.0,,1,1,1,1,,,,,
H3B9M2,H3B9M2_LATCH,4.0,,1,1,1,1,,,,,
H3DH35,H3DH35_TETNG,4.0,,1,1,1,1,,,,,
H2R6A0,H2R6A0_PANTR,4.0,,1,1,1,1,,,,,
H2PTH8,H2PTH8_PONAB,4.0,,1,1,1,1,,,,,
H9GLU9,H9GLU9_ANOCA,4.0,,1,1,1,1,,,,,
H2MTW1,H2MTW1_ORYLA,4.0,,1,1,1,1,,,,,
H0YZB1,H0YZB1_TAEGU,4.0,,1,1,1,1,,,,,
K7FJ61,K7FJ61_PELSI,4.0,,1,1,1,1,,,,,
H0V1X2,H0V1X2_CAVPO,4.0,,1,1,1,1,,,,,
G3X2H9,G3X2H9_SARHA,4.0,,1,1,1,1,,,,,
G3T8R0,G3T8R0_LOXAF,4.0,,1,1,1,1,,,,,
G3RFH0,G3RFH0_GORGO,4.0,,1,1,1,1,,,,,
G1U6M6,G1U6M6_RABIT,4.0,,1,1,1,1,,,,,
G1S6X2,G1S6X2_NOMLE,4.0,,1,1,1,1,,,,,
G1PN41,G1PN41_MYOLU,4.0,,1,1,1,1,,,,,
G1MWZ5,G1MWZ5_MELGA,4.0,,1,1,1,1,,,,,
G1M9M1,G1M9M1_AILME,4.0,,1,1,1,1,,,,,
F7DDH3,F7DDH3_HORSE,4.0,,1,1,1,1,,,,,
F7CLX8,F7CLX8_MACMU,4.0,,1,1,1,1,,,,,
F6Z1L0,F6Z1L0_CALJA,4.0,,1,1,1,1,,,,,
F6UKZ2,F6UKZ2_MONDO,4.0,,1,1,1,1,,,,,
F6UJ44,F6UJ44_ORNAN,4.0,,1,1,1,1,,,,,
I3M1I6,I3M1I6_SPETR,4.0,,1,1,1,1,,,,,
F1RRY9,F1RRY9_PIG,4.0,,1,1,1,1,,,,,
Q1ECV2,Q1ECV2_DANRE,4.0,,1,,,,1,1,1,,
H0Z2E9,H0Z2E9_TAEGU,3.0,,1,,1,1,,,,,
F1PFK7,F1PFK7_CANFA,3.0,,1,,1,1,,,,,
G3PPL5,G3PPL5_GASAC,3.0,,1,,1,1,,,,,
F1P5K9,F1P5K9_CHICK,3.0,,1,,1,1,,,,,
G3Q3F3,G3Q3F3_GASAC,3.0,,1,,1,1,,,,,
G3R162,G3R162_GORGO,3.0,,1,,1,1,,,,,
G3WWB4,G3WWB4_SARHA,3.0,,1,,1,1,,,,,
H0V3F0,H0V3F0_CAVPO,3.0,,1,,1,1,,,,,
G1SRP1,G1SRP1_RABIT,3.0,,1,,1,1,,,,,
H0X933,H0X933_OTOGA,3.0,,1,,1,1,,,,,
H2M6Y9,H2M6Y9_ORYLA,3.0,,1,,1,1,,,,,
H2N6K4,H2N6K4_PONAB,3.0,,1,,1,1,,,,,
H2PZJ1,H2PZJ1_PANTR,3.0,,1,,1,1,,,,,
F1N4Z9,F1N4Z9_BOVIN,3.0,,1,,1,1,,,,,
F1M2P6,F1M2P6_RAT,3.0,,1,,1,1,,,,,
G3NT33,G3NT33_GASAC,3.0,,1,,1,1,,,,,
G1QLQ9,G1QLQ9_NOMLE,3.0,,1,,1,1,,,,,
H2VC31,H2VC31_TAKRU,3.0,,1,,1,1,,,,,
F6ZM98,F6ZM98_CIOIN,3.0,,1,,1,1,,,,,
F1S577,F1S577_PIG,3.0,,1,,1,1,,,,,
F6P2G3,F6P2G3_DANRE,3.0,,1,,1,1,,,,,
F6S166,F6S166_XENTR,3.0,,1,,1,1,,,,,
F6TD42,F6TD42_HORSE,3.0,,1,,1,1,,,,,
F6USB9,F6USB9_XENTR,3.0,,1,,1,1,,,,,
F6X8V7,F6X8V7_MACMU,3.0,,1,,1,1,,,,,
F7CJW2,F7CJW2_CALJA,3.0,,1,,1,1,,,,,
G1NTI1,G1NTI1_MYOLU,3.0,,1,,1,1,,,,,
F7DD03,F7DD03_MONDO,3.0,,1,,1,1,,,,,
F7EDZ7,F7EDZ7_ORNAN,3.0,,1,,1,1,,,,,
