,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00500000045333,KWLNSKN,TF353548,EOG7TMZV6,NOG313931,HOG000015274,HBG093727,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A8MTT3,CEBOS_HUMAN,7.0,,1,1,1,1,1,1,1,,
Q8BTE5,CEBOS_MOUSE,7.0,,1,1,1,1,1,1,1,,
F1S4Q7,F1S4Q7_PIG,4.0,,1,1,1,1,,,,,
D3ZL39,D3ZL39_RAT,4.0,,1,1,1,1,,,,,
F6SU65,F6SU65_HORSE,4.0,,1,1,1,1,,,,,
G1MGT2,G1MGT2_AILME,4.0,,1,1,1,1,,,,,
G3RR81,G3RR81_GORGO,4.0,,1,1,1,1,,,,,
G3TM68,G3TM68_LOXAF,4.0,,1,1,1,1,,,,,
G3VF57,G3VF57_SARHA,4.0,,1,1,1,1,,,,,
H2RDG7,H2RDG7_PANTR,4.0,,1,1,1,1,,,,,
H3AZB1,H3AZB1_LATCH,4.0,,1,1,1,1,,,,,
J9P8R9,J9P8R9_CANFA,4.0,,1,1,1,1,,,,,
K7ETX8,K7ETX8_PONAB,4.0,,1,1,1,1,,,,,
M3X5S3,M3X5S3_FELCA,3.0,,1,1,,1,,,,,
B0W5Q8,B0W5Q8_CULQU,2.0,,,,,1,1,,,,
B4LTT1,B4LTT1_DROVI,2.0,,,,,1,1,,,,
B4JAP7,B4JAP7_DROGR,2.0,,,,,1,1,,,,
B4NW66,B4NW66_DROYA,2.0,,,,,1,1,,,,
G1TSW6,G1TSW6_RABIT,2.0,,1,,,1,,,,,
B7YZZ0,B7YZZ0_DROME,2.0,,,,,1,1,,,,
H0ZE60,H0ZE60_TAEGU,2.0,,1,,,1,,,,,
Q0IF55,Q0IF55_AEDAE,2.0,,,,,1,1,,,,
B3MJA9,B3MJA9_DROAN,2.0,,,,,1,1,,,,
A0A0A6YXB8,A0A0A6YXB8_MOUSE,1.0,,1,,,,,,,,
B4G956,B4G956_DROPE,1.0,,,,,1,,,,,
U3KB87,U3KB87_FICAL,1.0,,1,,,,,,,,
B4I2G3,B4I2G3_DROSE,1.0,,,,,1,,,,,
B4KGA9,B4KGA9_DROMO,1.0,,,,,1,,,,,
B4Q7P2,B4Q7P2_DROSI,1.0,,,,,1,,,,,
B5DIC4,B5DIC4_DROPS,1.0,,,,,1,,,,,
A0A096NUH3,A0A096NUH3_PAPAN,1.0,,1,,,,,,,,
