,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03023,ENSGT00390000002799,NQLPTAR,TF103048,NA,NOG262914,HOG000046475,HBG059543,NA,Q9BUI4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5XIL3,RPC3_RAT,8.0,1,1,1,1,,1,1,1,,1
Q5XIL3,RPC3_RAT,8.0,1,1,1,1,,1,1,1,,1
Q9D483,RPC3_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q9BUI4,RPC3_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9D483,RPC3_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q7ZUX1,RPC3_DANRE,5.0,1,,,,,1,1,1,,1
G1R0Y6,G1R0Y6_NOMLE,4.0,1,1,1,1,,,,,,
Q9VG60,Q9VG60_DROME,4.0,1,1,,,,1,,,,1
G3X2N1,G3X2N1_SARHA,4.0,1,1,1,1,,,,,,
Q8IG67,Q8IG67_CAEEL,4.0,1,1,,,,1,,,,1
G3QWH0,G3QWH0_GORGO,4.0,1,1,1,1,,,,,,
G1SIX9,G1SIX9_RABIT,4.0,1,1,1,1,,,,,,
G1MGP1,G1MGP1_AILME,4.0,1,1,1,1,,,,,,
E2R8N8,E2R8N8_CANFA,4.0,1,1,1,1,,,,,,
K7FAI6,K7FAI6_PELSI,4.0,1,1,1,1,,,,,,
Q2TBL4,RPC3_BOVIN,4.0,1,,,,,1,1,1,,
B2RX77,B2RX77_MOUSE,4.0,1,,1,,,,1,1,,
F1SDD7,F1SDD7_PIG,4.0,1,1,1,1,,,,,,
H2PZU3,H2PZU3_PANTR,4.0,1,1,1,1,,,,,,
F6Z6M4,F6Z6M4_CALJA,4.0,1,1,1,1,,,,,,
F6Y987,F6Y987_HORSE,4.0,1,1,1,1,,,,,,
Q7QC11,Q7QC11_ANOGA,4.0,1,,,,,1,1,,,1
Q9VG60,Q9VG60_DROME,4.0,1,1,,,,1,,,,1
H2TQV6,H2TQV6_TAKRU,3.0,,1,1,1,,,,,,
H2ZAS8,H2ZAS8_CIOSA,3.0,,1,1,1,,,,,,
F6V631,F6V631_MACMU,3.0,,1,1,1,,,,,,
H3BCF6,H3BCF6_LATCH,3.0,,1,1,1,,,,,,
H3DQC2,H3DQC2_TETNG,3.0,,1,1,1,,,,,,
I3MN83,I3MN83_SPETR,3.0,,1,1,1,,,,,,
Q5A246,RPC3_CANAL,3.0,1,,,,,1,,,,1
A9UR34,A9UR34_MONBE,3.0,1,,,,,1,,,,1
Q55FJ5,RPC3_DICDI,3.0,1,,,,,1,,,,1
B0WS61,B0WS61_CULQU,3.0,1,,,,,1,1,,,
Q171Y0,Q171Y0_AEDAE,3.0,1,,,,,1,1,,,
M3WIQ4,M3WIQ4_FELCA,3.0,1,1,1,,,,,,,
Q5A246,RPC3_CANAL,3.0,1,,,,,1,,,,1
Q8WZW7,RPC3_NEUCR,3.0,1,,,,,1,,,,1
Q8LPK6,Q8LPK6_ARATH,3.0,1,,1,,,,,,,1
H0V3M7,H0V3M7_CAVPO,3.0,,1,1,1,,,,,,
W5QHC5,W5QHC5_SHEEP,3.0,1,1,1,,,,,,,
F7EF59,F7EF59_MONDO,3.0,,1,1,1,,,,,,
F1QNQ7,F1QNQ7_DANRE,3.0,,1,1,1,,,,,,
F1MUY3,F1MUY3_BOVIN,3.0,,1,1,1,,,,,,
G1P1K3,G1P1K3_MYOLU,3.0,,1,1,1,,,,,,
G3UBN3,G3UBN3_LOXAF,3.0,,1,1,1,,,,,,
G3PDI2,G3PDI2_GASAC,3.0,,1,1,1,,,,,,
H0WFY5,H0WFY5_OTOGA,3.0,,1,1,1,,,,,,
H1A2X7,H1A2X7_TAEGU,3.0,,1,1,1,,,,,,
Q9C106,RPC3_SCHPO,3.0,1,,,,,1,,,,1
H2N630,H2N630_PONAB,3.0,1,1,,1,,,,,,
H2M2R1,H2M2R1_ORYLA,3.0,,1,1,1,,,,,,
M4AP79,M4AP79_XIPMA,3.0,1,1,1,,,,,,,
B3RRC8,B3RRC8_TRIAD,2.0,1,,,,,1,,,,
I3JGN6,I3JGN6_ORENI,2.0,,,1,1,,,,,,
B8C591,B8C591_THAPS,2.0,1,,,,,,,,,1
D2HQ44,D2HQ44_AILME,2.0,,,1,,,,1,,,
B7PNV4,B7PNV4_IXOSC,2.0,1,,,,,,,,,1
D2A0B8,D2A0B8_TRICA,2.0,1,,1,,,,,,,
B9ID92,B9ID92_POPTR,2.0,1,,,,,1,,,,
B4N8R8,B4N8R8_DROWI,2.0,1,,,,,1,,,,
F7G3V4,F7G3V4_ORNAN,2.0,,1,,1,,,,,,
B4M6A3,B4M6A3_DROVI,2.0,1,,,,,1,,,,
B9WL91,B9WL91_CANDC,2.0,1,,,,,1,,,,
F7AE51,F7AE51_CIOIN,2.0,,1,,1,,,,,,
B4JI82,B4JI82_DROGR,2.0,1,,,,,1,,,,
C5P7T7,C5P7T7_COCP7,2.0,1,,,,,1,,,,
M3XNK1,M3XNK1_MUSPF,2.0,,1,1,,,,,,,
B4PPB0,B4PPB0_DROYA,2.0,1,,,,,1,,,,
A0A024R4C1,A0A024R4C1_HUMAN,2.0,1,,1,,,,,,,
B6GZE9,B6GZE9_PENCW,2.0,1,,,,,1,,,,
A2QUS7,RPC3_ASPNC,2.0,1,,,,,1,,,,
Q6C2E2,RPC3_YARLI,2.0,1,,,,,,,,,1
Q6DJJ8,Q6DJJ8_XENLA,2.0,1,,,,,,,1,,
A9TAL8,A9TAL8_PHYPA,2.0,1,,,,,,,,,1
Q9BT08,Q9BT08_HUMAN,2.0,,,,,,,1,1,,
Q5KG27,Q5KG27_CRYNJ,2.0,1,,,,,,,,,1
Q5ATV8,RPC3_EMENI,2.0,1,,,,,1,,,,
A1C4R7,RPC3_ASPCL,2.0,1,,,,,1,,,,
Q4WEU2,RPC3_ASPFU,2.0,1,,,,,1,,,,
P32349,RPC3_YEAST,2.0,1,1,,,,,,,,
A6RPU8,RPC3_BOTFB,2.0,1,,,,,1,,,,
A3LQX9,RPC3_PICST,2.0,1,,,,,1,,,,
W5KLP6,W5KLP6_ASTMX,2.0,,1,1,,,,,,,
Q01F38,Q01F38_OSTTA,2.0,1,,,,,1,,,,
B3M2S2,B3M2S2_DROAN,2.0,1,,,,,1,,,,
Q4RBZ2,Q4RBZ2_TETNG,2.0,,,,,,1,1,,,
Q0V2S2,Q0V2S2_PHANO,2.0,1,,,,,,,,,1
A1CZP6,RPC3_NEOFI,2.0,1,,,,,1,,,,
Q2U9X7,RPC3_ASPOR,2.0,1,,,,,1,,,,
D8T895,D8T895_SELML,1.0,1,,,,,,,,,
D8SQX4,D8SQX4_SELML,1.0,1,,,,,,,,,
D8TBK5,D8TBK5_SELML,1.0,1,,,,,,,,,
A4RSS6,A4RSS6_OSTLU,1.0,,,,,,1,,,,
E0VD51,E0VD51_PEDHC,1.0,1,,,,,,,,,
A5DQA6,RPC3_PICGU,1.0,1,,,,,,,,,
D8PVY5,D8PVY5_SCHCM,1.0,1,,,,,,,,,
E1ZPD4,E1ZPD4_CHLVA,1.0,1,,,,,,,,,
E2R8J4,E2R8J4_CANFA,1.0,,1,,,,,,,,
A2FRS6,A2FRS6_TRIVA,1.0,1,,,,,,,,,
D8RTG9,D8RTG9_SELML,1.0,1,,,,,,,,,
D8TSR9,D8TSR9_VOLCA,1.0,1,,,,,,,,,
E6R695,E6R695_CRYGW,1.0,1,,,,,,,,,
A0A096QV62,A0A096QV62_MAIZE,1.0,1,,,,,,,,,
A0A087Y810,A0A087Y810_POEFO,1.0,,1,,,,,,,,
F6QK97,F6QK97_MOUSE,1.0,,1,,,,,,,,
A0A061G078,A0A061G078_THECC,1.0,1,,,,,,,,,
A0A061G0X6,A0A061G0X6_THECC,1.0,1,,,,,,,,,
F4RGB9,F4RGB9_MELLP,1.0,1,,,,,,,,,
F4PPX6,F4PPX6_DICFS,1.0,1,,,,,,,,,
A0A061H8F0,A0A061H8F0_9BASI,1.0,1,,,,,,,,,
A0A067EAC9,A0A067EAC9_CITSI,1.0,1,,,,,,,,,
A0A067ELE8,A0A067ELE8_CITSI,1.0,1,,,,,,,,,
A0A087ZRQ3,A0A087ZRQ3_APIME,1.0,1,,,,,,,,,
A0A096NYV2,A0A096NYV2_PAPAN,1.0,,1,,,,,,,,
F0ZAC3,F0ZAC3_DICPU,1.0,1,,,,,,,,,
E9PHH9,E9PHH9_HUMAN,1.0,,1,,,,,,,,
E9HN28,E9HN28_DAPPU,1.0,,,1,,,,,,,
E9EPY0,E9EPY0_METRA,1.0,1,,,,,,,,,
E9E727,E9E727_METAQ,1.0,1,,,,,,,,,
D7LS31,D7LS31_ARALL,1.0,1,,,,,,,,,
E3RNW4,E3RNW4_PYRTT,1.0,1,,,,,,,,,
E3K8J5,E3K8J5_PUCGT,1.0,1,,,,,,,,,
D7LX61,D7LX61_ARALL,1.0,1,,,,,,,,,
B3P4A8,B3P4A8_DROER,1.0,1,,,,,,,,,
D5GAS5,D5GAS5_TUBMM,1.0,1,,,,,,,,,
B0DSC2,B0DSC2_LACBS,1.0,1,,,,,,,,,
A8XG31,A8XG31_CAEBR,1.0,,,,,,1,,,,
C3ZWG1,C3ZWG1_BRAFL,1.0,1,,,,,,,,,
C1MKL4,C1MKL4_MICPC,1.0,1,,,,,,,,,
C1HBE8,C1HBE8_PARBA,1.0,1,,,,,,,,,
C1FE42,C1FE42_MICSR,1.0,1,,,,,,,,,
B9R9A5,B9R9A5_RICCO,1.0,1,,,,,,,,,
B8NQL7,B8NQL7_ASPFN,1.0,1,,,,,,,,,
