,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00620000088005,ALSTMVQ,TF336103,EOG7DFXDR,NOG114358,HOG000231660,NA,NA,Q6UWW0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6UWW0,LCN15_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q0D282,Q0D282_DANRE,5.0,,1,,1,,1,1,,,1
G1MQ18,G1MQ18_MELGA,4.0,,1,1,1,1,,,,,
G1M3G4,G1M3G4_AILME,4.0,,1,1,1,1,,,,,
F6QQQ8,F6QQQ8_MACMU,4.0,,1,1,1,1,,,,,
F1MIA9,F1MIA9_BOVIN,4.0,,1,1,1,1,,,,,
H0XFE5,H0XFE5_OTOGA,4.0,,1,1,1,1,,,,,
F1RVY2,F1RVY2_PIG,4.0,,1,1,1,1,,,,,
I3N1X2,I3N1X2_SPETR,4.0,,1,1,1,1,,,,,
F1NI28,F1NI28_CHICK,4.0,,1,1,1,1,,,,,
F7GWG9,F7GWG9_CALJA,4.0,,1,1,1,1,,,,,
G3VGZ4,G3VGZ4_SARHA,4.0,,1,1,1,1,,,,,
F6SPT8,F6SPT8_HORSE,4.0,,1,1,1,1,,,,,
H2QY68,H2QY68_PANTR,4.0,,1,1,1,1,,,,,
G3TDW5,G3TDW5_LOXAF,4.0,,1,1,1,1,,,,,
G3RGD0,G3RGD0_GORGO,4.0,,1,1,1,1,,,,,
F6VYX5,F6VYX5_MONDO,4.0,,1,1,1,1,,,,,
H0VPS8,H0VPS8_CAVPO,4.0,,1,1,1,1,,,,,
I3N7F6,I3N7F6_SPETR,3.0,,1,,1,1,,,,,
H0XZV9,H0XZV9_OTOGA,3.0,,1,,1,1,,,,,
E2R6E0,E2R6E0_CANFA,3.0,,1,,1,1,,,,,
F7EHI5,F7EHI5_ORNAN,3.0,,1,,1,1,,,,,
P22057,PTGDS_RAT,3.0,,1,,1,,,1,,,
M3YIA4,M3YIA4_MUSPF,3.0,,1,1,,1,,,,,
O09114,PTGDS_MOUSE,3.0,,1,,1,,,1,,,
E2R1I1,E2R1I1_CANFA,3.0,,1,1,1,,,,,,
G1M432,G1M432_AILME,3.0,,1,,1,1,,,,,
O02853,PTGDS_BOVIN,3.0,,1,,1,,,1,,,
G3W3H3,G3W3H3_SARHA,3.0,,1,,1,1,,,,,
G1MQ16,G1MQ16_MELGA,3.0,,1,,1,1,,,,,
E1BBX7,E1BBX7_BOVIN,3.0,,1,,1,1,,,,,
Q8QGV5,Q8QGV5_DANRE,3.0,,1,,1,,,,,,1
G3U9G1,G3U9G1_LOXAF,3.0,,1,,1,1,,,,,
G1RAI1,G1RAI1_NOMLE,3.0,,1,,1,1,,,,,
B3DI79,B3DI79_DANRE,3.0,,1,,1,,,,,,1
K7E5E8,K7E5E8_MONDO,3.0,,1,,1,1,,,,,
G3SD36,G3SD36_GORGO,2.0,,1,,1,,,,,,
F7ADL8,F7ADL8_CALJA,2.0,,1,,1,,,,,,
F7EK74,F7EK74_ORNAN,2.0,,1,,,1,,,,,
H2V284,H2V284_TAKRU,2.0,,1,,1,,,,,,
