,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF326617,NA,NOG78018,HOG000112118,HBG107791,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H2H0,CXXC4_HUMAN,4.0,,,,1,,1,1,1,,
Q6NXI8,CXXC4_MOUSE,4.0,,,,1,,1,1,1,,
Q9EQC9,CXXC4_RAT,4.0,,,,1,,1,1,1,,
Q91WA4,CXXC5_MOUSE,2.0,,,,1,,,1,,,
Q7LFL8,CXXC5_HUMAN,2.0,,,,1,,,1,,,
Q5XIQ3,CXXC5_RAT,2.0,,,,1,,,1,,,
Q5R7N4,CXXC5_PONAB,2.0,,,,1,,,1,,,
Q4RJD6,Q4RJD6_TETNG,2.0,,,,,,1,,1,,
Q32LB3,CXXC5_BOVIN,2.0,,,,1,,,1,,,
F7CW03,F7CW03_MONDO,1.0,,,,1,,,,,,
F6TTJ1,F6TTJ1_ORNAN,1.0,,,,1,,,,,,
F6UD34,F6UD34_CALJA,1.0,,,,1,,,,,,
F6XBC8,F6XBC8_HORSE,1.0,,,,1,,,,,,
F6Y5C5,F6Y5C5_CANFA,1.0,,,,1,,,,,,
G1LXI6,G1LXI6_AILME,1.0,,,,1,,,,,,
F8WFL6,F8WFL6_RAT,1.0,,,,1,,,,,,
G1KAB6,G1KAB6_ANOCA,1.0,,,,1,,,,,,
F1RGF6,F1RGF6_PIG,1.0,,,,1,,,,,,
G1MVL5,G1MVL5_MELGA,1.0,,,,1,,,,,,
F6TRL8,F6TRL8_MACMU,1.0,,,,1,,,,,,
E7F708,E7F708_DANRE,1.0,,,,1,,,,,,
F1NCW6,F1NCW6_CHICK,1.0,,,,1,,,,,,
E7FC24,E7FC24_DANRE,1.0,,,,1,,,,,,
E7FAL9,E7FAL9_DANRE,1.0,,,,1,,,,,,
G1RD84,G1RD84_NOMLE,1.0,,,,1,,,,,,
D6RDY2,D6RDY2_HUMAN,1.0,,,,,,,1,,,
D6RBE0,D6RBE0_HUMAN,1.0,,,,,,,1,,,
B7QKG7,B7QKG7_IXOSC,1.0,,,,,,1,,,,
B4PCY3,B4PCY3_DROYA,1.0,,,,,,1,,,,
B4MN30,B4MN30_DROWI,1.0,,,,,,1,,,,
B4LE35,B4LE35_DROVI,1.0,,,,,,1,,,,
B3M7G9,B3M7G9_DROAN,1.0,,,,,,1,,,,
B0WRX9,B0WRX9_CULQU,1.0,,,,,,1,,,,
G1NZ95,G1NZ95_MYOLU,1.0,,,,1,,,,,,
G3RNF5,G3RNF5_GORGO,1.0,,,,1,,,,,,
G1RS94,G1RS94_NOMLE,1.0,,,,1,,,,,,
H2SDI3,H2SDI3_TAKRU,1.0,,,,1,,,,,,
Q800L6,CXXC4_XENLA,1.0,,,,,,,,1,,
Q17JP9,Q17JP9_AEDAE,1.0,,,,,,1,,,,
Q0VFP6,CXXC4_XENTR,1.0,,,,,,,,1,,
K7G566,K7G566_PELSI,1.0,,,,1,,,,,,
I3NDZ7,I3NDZ7_SPETR,1.0,,,,1,,,,,,
I3N8B8,I3N8B8_SPETR,1.0,,,,1,,,,,,
I3JBQ0,I3JBQ0_ORENI,1.0,,,,1,,,,,,
H3ASN2,H3ASN2_LATCH,1.0,,,,1,,,,,,
H3A1G5,H3A1G5_LATCH,1.0,,,,1,,,,,,
H2V2Z4,H2V2Z4_TAKRU,1.0,,,,1,,,,,,
H2RBC2,H2RBC2_PANTR,1.0,,,,1,,,,,,
G1T9N1,G1T9N1_RABIT,1.0,,,,1,,,,,,
H2QRL7,H2QRL7_PANTR,1.0,,,,1,,,,,,
H2PE13,H2PE13_PONAB,1.0,,,,1,,,,,,
H2LNQ0,H2LNQ0_ORYLA,1.0,,,,1,,,,,,
H0YTP3,H0YTP3_TAEGU,1.0,,,,1,,,,,,
H0XXB9,H0XXB9_OTOGA,1.0,,,,1,,,,,,
H0UVK6,H0UVK6_CAVPO,1.0,,,,1,,,,,,
G3WG38,G3WG38_SARHA,1.0,,,,1,,,,,,
G3T855,G3T855_LOXAF,1.0,,,,1,,,,,,
G3RYX0,G3RYX0_GORGO,1.0,,,,1,,,,,,
G3QBQ4,G3QBQ4_GASAC,1.0,,,,1,,,,,,
A7URN2,A7URN2_ANOGA,1.0,,,,,,1,,,,
