,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,NA,NOG329389,HOG000220892,HBG054878,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3UYA2,Q3UYA2_MOUSE,3.0,,,,,,1,1,1,,
Q96TA0,PCDBI_HUMAN,3.0,,,,,,1,1,1,,
Q5DRD4,PCDBI_PANTR,2.0,,,,,,1,,1,,
Q5R6N6,Q5R6N6_PONAB,2.0,,,,,,,1,1,,
Q5DRF1,PCDAD_PANTR,2.0,,,,,,,1,1,,
Q5DRF2,PCDAC_PANTR,2.0,,,,,,,1,1,,
Q5DRF3,PCDAB_PANTR,2.0,,,,,,,1,1,,
Q5DRF4,PCDAA_PANTR,2.0,,,,,,,1,1,,
Q5DTQ9,Q5DTQ9_MOUSE,2.0,,,,,,,1,1,,
Q5PQQ0,Q5PQQ0_RAT,2.0,,,,,,,1,1,,
Q5R7F1,Q5R7F1_PONAB,2.0,,,,,,,1,1,,
Q5DRE9,PCDA3_PANTR,2.0,,,,,,,1,1,,
Q5RCR0,Q5RCR0_PONAB,2.0,,,,,,,1,1,,
Q5REA3,Q5REA3_PONAB,2.0,,,,,,,1,1,,
Q5W7K5,Q5W7K5_DANRE,2.0,,,,,,,1,1,,
Q60H55,Q60H55_DANRE,2.0,,,,,,,1,1,,
Q60H57,Q60H57_DANRE,2.0,,,,,,,1,1,,
Q60H58,Q60H58_DANRE,2.0,,,,,,,1,1,,
Q60H59,Q60H59_DANRE,2.0,,,,,,,1,1,,
Q5DRF0,PCDA2_PANTR,2.0,,,,,,,1,1,,
Q5DRE8,PCDA4_PANTR,2.0,,,,,,,1,1,,
Q60H63,Q60H63_DANRE,2.0,,,,,,,1,1,,
Q5DRE7,PCDA5_PANTR,2.0,,,,,,,1,1,,
Q5DRD1,PCDB3_PANTR,2.0,,,,,,,1,1,,
Q5DRD2,PCDB2_PANTR,2.0,,,,,,,1,1,,
Q5DRD3,PCDBF_PANTR,2.0,,,,,,,1,1,,
Q5DRD5,PCDBE_PANTR,2.0,,,,,,,1,1,,
Q5DRD6,PCDBD_PANTR,2.0,,,,,,,1,1,,
Q5DRD7,PCDBC_PANTR,2.0,,,,,,,1,1,,
Q5DRD8,PCDBB_PANTR,2.0,,,,,,,1,1,,
Q5DRD9,PCDBA_PANTR,2.0,,,,,,,1,1,,
Q5DRE0,PCDB1_PANTR,2.0,,,,,,,1,1,,
Q5DRE1,PCDC2_PANTR,2.0,,,,,,,1,1,,
Q5DRE2,PCDC1_PANTR,2.0,,,,,,,1,1,,
Q5DRE3,PCDA9_PANTR,2.0,,,,,,,1,1,,
Q5DRE4,PCDA8_PANTR,2.0,,,,,,,1,1,,
Q5DRE5,PCDA7_PANTR,2.0,,,,,,,1,1,,
Q5DRE6,PCDA6_PANTR,2.0,,,,,,,1,1,,
Q60H60,Q60H60_DANRE,2.0,,,,,,,1,1,,
Q60H65,Q60H65_DANRE,2.0,,,,,,,1,1,,
Q5DRC9,PCDB5_PANTR,2.0,,,,,,,1,1,,
Q767I4,Q767I4_RAT,2.0,,,,,,,1,1,,
Q6R0I8,Q6R0I8_CHICK,2.0,,,,,,,1,1,,
Q6R0J0,Q6R0J0_CHICK,2.0,,,,,,,1,1,,
Q767H7,Q767H7_RAT,2.0,,,,,,,1,1,,
Q767H8,Q767H8_RAT,2.0,,,,,,,1,1,,
Q767H9,Q767H9_RAT,2.0,,,,,,,1,1,,
Q767I1,Q767I1_RAT,2.0,,,,,,,1,1,,
Q767I2,Q767I2_RAT,2.0,,,,,,,1,1,,
Q767I6,Q767I6_RAT,2.0,,,,,,,1,1,,
Q6R0I3,Q6R0I3_CHICK,2.0,,,,,,,1,1,,
Q767I7,Q767I7_RAT,2.0,,,,,,,1,1,,
Q767I8,PCDA4_RAT,2.0,,,,,,,1,1,,
Q767J1,Q767J1_RAT,2.0,,,,,,,1,1,,
Q7TSK3,PCDH8_MOUSE,2.0,,,,,,,1,1,,
Q80TB2,Q80TB2_MOUSE,2.0,,,,,,,1,1,,
Q8BQT7,Q8BQT7_MOUSE,2.0,,,,,,,1,1,,
Q8C5K2,Q8C5K2_MOUSE,2.0,,,,,,,1,1,,
Q6R0I6,Q6R0I6_CHICK,2.0,,,,,,,1,1,,
Q6R0I0,Q6R0I0_CHICK,2.0,,,,,,,1,1,,
Q60H66,Q60H66_DANRE,2.0,,,,,,,1,1,,
Q60I70,Q60I70_DANRE,2.0,,,,,,,1,1,,
Q60H67,Q60H67_DANRE,2.0,,,,,,,1,1,,
Q60H69,Q60H69_DANRE,2.0,,,,,,,1,1,,
Q60I64,Q60I64_DANRE,2.0,,,,,,,1,1,,
Q60I66,Q60I66_DANRE,2.0,,,,,,,1,1,,
Q60I67,Q60I67_DANRE,2.0,,,,,,,1,1,,
Q60I68,Q60I68_DANRE,2.0,,,,,,,1,1,,
Q60I69,Q60I69_DANRE,2.0,,,,,,,1,1,,
Q60I72,Q60I72_DANRE,2.0,,,,,,,1,1,,
Q6R0H9,Q6R0H9_CHICK,2.0,,,,,,,1,1,,
Q60I73,Q60I73_DANRE,2.0,,,,,,,1,1,,
Q60I76,Q60I76_DANRE,2.0,,,,,,,1,1,,
Q6GL51,Q6GL51_XENTR,2.0,,,,,,,1,1,,
Q6NZD9,Q6NZD9_MOUSE,2.0,,,,,,,1,1,,
Q6NZI0,Q6NZI0_DANRE,2.0,,,,,,,1,1,,
Q6PB90,PCDBE_MOUSE,2.0,,,,,,,1,1,,
Q6R0H8,Q6R0H8_CHICK,2.0,,,,,,,1,1,,
Q5DRD0,PCDB4_PANTR,2.0,,,,,,,1,1,,
Q5DRC7,PCDB7_PANTR,2.0,,,,,,,1,1,,
Q5DRC8,PCDB6_PANTR,2.0,,,,,,,1,1,,
B3DGZ7,B3DGZ7_DANRE,2.0,,,,,,,1,1,,
B3DGR7,B3DGR7_DANRE,2.0,,,,,,,1,1,,
B3DGV2,B3DGV2_DANRE,2.0,,,,,,,1,1,,
B3DGV7,B3DGV7_DANRE,2.0,,,,,,,1,1,,
B3DGW1,B3DGW1_DANRE,2.0,,,,,,,1,1,,
B3DGX4,B3DGX4_DANRE,2.0,,,,,,,1,1,,
B3DGX5,B3DGX5_DANRE,2.0,,,,,,,1,1,,
B3DGX9,B3DGX9_DANRE,2.0,,,,,,,1,1,,
B3DH07,B3DH07_DANRE,2.0,,,,,,,1,1,,
O88689,PCDA4_MOUSE,2.0,,,,,,,1,1,,
B3DIX6,B3DIX6_DANRE,2.0,,,,,,,1,1,,
B3DIY2,B3DIY2_DANRE,2.0,,,,,,,1,1,,
B3DJ00,B3DJ00_DANRE,2.0,,,,,,,1,1,,
B3DJ02,B3DJ02_DANRE,2.0,,,,,,,1,1,,
B3DK80,B3DK80_DANRE,2.0,,,,,,,1,1,,
B4DEQ8,B4DEQ8_HUMAN,2.0,,,,,,,1,1,,
B4DJM8,B4DJM8_HUMAN,2.0,,,,,,,1,1,,
B3DGR4,B3DGR4_DANRE,2.0,,,,,,,1,1,,
B3DGP4,B3DGP4_DANRE,2.0,,,,,,,1,1,,
B3DGN3,B3DGN3_DANRE,2.0,,,,,,,1,1,,
B3DGB1,B3DGB1_DANRE,2.0,,,,,,,1,1,,
A1L2Z5,A1L2Z5_HUMAN,2.0,,,,,,,1,1,,
A5D7F4,A5D7F4_BOVIN,2.0,,,,,,,1,1,,
A5D7Q6,A5D7Q6_BOVIN,2.0,,,,,,,1,1,,
A5PKJ8,A5PKJ8_BOVIN,2.0,,,,,,,1,1,,
A5Y5L6,A5Y5L6_CHICK,2.0,,,,,,,1,1,,
A6QNV3,A6QNV3_BOVIN,2.0,,,,,,,1,1,,
A7E317,A7E317_BOVIN,2.0,,,,,,,1,1,,
A7MD58,A7MD58_DANRE,2.0,,,,,,,1,1,,
A8E4K6,A8E4K6_MOUSE,2.0,,,,,,,1,1,,
B0Z663,B0Z663_XENTR,2.0,,,,,,,1,1,,
B2RNA7,B2RNA7_HUMAN,2.0,,,,,,,1,1,,
B2RUH4,B2RUH4_MOUSE,2.0,,,,,,,1,1,,
B2RUH7,B2RUH7_MOUSE,2.0,,,,,,,1,1,,
B2RWV0,B2RWV0_MOUSE,2.0,,,,,,,1,1,,
B3DFM1,B3DFM1_DANRE,2.0,,,,,,,1,1,,
O60330,PCDGC_HUMAN,2.0,,,,,,,1,1,,
O88690,O88690_MOUSE,2.0,,,,,,,1,1,,
Q8CCK1,Q8CCK1_MOUSE,2.0,,,,,,,1,1,,
Q5DRB6,PCDG4_PANTR,2.0,,,,,,,1,1,,
Q5DRA9,PCDGE_PANTR,2.0,,,,,,,1,1,,
Q5DRB0,PCDGD_PANTR,2.0,,,,,,,1,1,,
Q5DRB1,PCDG9_PANTR,2.0,,,,,,,1,1,,
Q5DRB2,PCDG8_PANTR,2.0,,,,,,,1,1,,
Q5DRB3,PCDG7_PANTR,2.0,,,,,,,1,1,,
Q5DRB4,PCDG6_PANTR,2.0,,,,,,,1,1,,
Q5DRB5,PCDG5_PANTR,2.0,,,,,,,1,1,,
Q5DRB7,PCDG3_PANTR,2.0,,,,,,,1,1,,
O93508,O93508_DANRE,2.0,,,,,,,1,1,,
Q5DRB8,PCDG2_PANTR,2.0,,,,,,,1,1,,
Q5DRB9,PCDGC_PANTR,2.0,,,,,,,1,1,,
Q5DRC0,PCDGB_PANTR,2.0,,,,,,,1,1,,
Q5DRC2,PCDG1_PANTR,2.0,,,,,,,1,1,,
Q5DRC3,PCDBH_PANTR,2.0,,,,,,,1,1,,
Q5DRC4,PCDB9_PANTR,2.0,,,,,,,1,1,,
Q5DRC6,PCDB8_PANTR,2.0,,,,,,,1,1,,
Q5DRA8,PCDGG_PANTR,2.0,,,,,,,1,1,,
Q5DRA7,PCDGH_PANTR,2.0,,,,,,,1,1,,
Q5DRA6,PCDGI_PANTR,2.0,,,,,,,1,1,,
Q5DRA5,PCDGJ_PANTR,2.0,,,,,,,1,1,,
O95206,PCDH8_HUMAN,2.0,,,,,,,1,1,,
Q14BM8,Q14BM8_MOUSE,2.0,,,,,,,1,1,,
Q32PS9,Q32PS9_DANRE,2.0,,,,,,,1,1,,
Q3TUJ6,Q3TUJ6_MOUSE,2.0,,,,,,,1,1,,
Q3UH89,Q3UH89_MOUSE,2.0,,,,,,,1,1,,
Q3USI6,Q3USI6_MOUSE,2.0,,,,,,,1,1,,
Q59FR6,Q59FR6_HUMAN,2.0,,,,,,,1,1,,
Q59G84,Q59G84_HUMAN,2.0,,,,,,,1,1,,
Q59GA4,Q59GA4_HUMAN,2.0,,,,,,,1,1,,
Q59GD1,Q59GD1_HUMAN,2.0,,,,,,,1,1,,
Q59H32,Q59H32_HUMAN,2.0,,,,,,,1,1,,
Q59H35,Q59H35_HUMAN,2.0,,,,,,,1,1,,
Q5DRA2,PCDGM_PANTR,2.0,,,,,,,1,1,,
Q5DRA3,PCDGL_PANTR,2.0,,,,,,,1,1,,
Q5DRA4,PCDGK_PANTR,2.0,,,,,,,1,1,,
Q8C8Z3,Q8C8Z3_MOUSE,2.0,,,,,,,1,1,,
A0PJT6,A0PJT6_MOUSE,2.0,,,,,,,1,1,,
Q91Y06,Q91Y06_MOUSE,2.0,,,,,,,1,1,,
Q9Y5H7,PCDA5_HUMAN,2.0,,,,,,,1,1,,
Q9Y5F1,PCDBC_HUMAN,2.0,,,,,,,1,1,,
Q9Y5H6,PCDA8_HUMAN,2.0,,,,,,,1,1,,
Q91XY5,Q91XY5_MOUSE,2.0,,,,,,,1,1,,
Q9Y5F3,PCDB1_HUMAN,2.0,,,,,,,1,1,,
Q9Y5E6,PCDB3_HUMAN,2.0,,,,,,,1,1,,
Q9Y5E5,PCDB4_HUMAN,2.0,,,,,,,1,1,,
Q9Y5F6,PCDGM_HUMAN,2.0,,,,,,,1,1,,
Q9Y5F8,PCDGJ_HUMAN,2.0,,,,,,,1,1,,
Q9Y5F7,PCDGL_HUMAN,2.0,,,,,,,1,1,,
Q9Y5E3,PCDB6_HUMAN,2.0,,,,,,,1,1,,
Q9Y5H9,PCDA2_HUMAN,2.0,,,,,,,1,1,,
Q91XY7,Q91XY7_MOUSE,2.0,,,,,,,1,1,,
Q9Y5I1,PCDAB_HUMAN,2.0,,,,,,,1,1,,
Q91XY8,Q91XY8_MOUSE,2.0,,,,,,,1,1,,
Q9Y5F0,PCDBD_HUMAN,2.0,,,,,,,1,1,,
Q91VE5,Q91VE5_MOUSE,2.0,,,,,,,1,1,,
Q9Y5E7,PCDB2_HUMAN,2.0,,,,,,,1,1,,
Q91XW9,Q91XW9_MOUSE,2.0,,,,,,,1,1,,
Q91XX0,Q91XX0_MOUSE,2.0,,,,,,,1,1,,
Q9Y5E9,PCDBE_HUMAN,2.0,,,,,,,1,1,,
Q9Y5E8,PCDBF_HUMAN,2.0,,,,,,,1,1,,
Q9H158,PCDC1_HUMAN,2.0,,,,,,,1,1,,
Q91XX9,Q91XX9_MOUSE,2.0,,,,,,,1,1,,
Q91Y08,Q91Y08_MOUSE,2.0,,,,,,,1,1,,
Q9UN71,PCDGG_HUMAN,2.0,,,,,,,1,1,,
Q9UN70,PCDGK_HUMAN,2.0,,,,,,,1,1,,
Q91XX1,Q91XX1_MOUSE,2.0,,,,,,,1,1,,
Q9UN67,PCDBA_HUMAN,2.0,,,,,,,1,1,,
Q9UN66,PCDB8_HUMAN,2.0,,,,,,,1,1,,
Q9HAB4,Q9HAB4_HUMAN,2.0,,,,,,,1,1,,
Q9NRJ7,PCDBG_HUMAN,2.0,,,,,,,1,1,,
Q9Y5I3,PCDA1_HUMAN,2.0,,,,,,,1,1,,
Q9Y5I0,PCDAD_HUMAN,2.0,,,,,,,1,1,,
Q9Y5F9,PCDGI_HUMAN,2.0,,,,,,,1,1,,
Q9UN75,PCDAC_HUMAN,2.0,,,,,,,1,1,,
Q91Y09,Q91Y09_MOUSE,2.0,,,,,,,1,1,,
Q9Y5I4,PCDC2_HUMAN,2.0,,,,,,,1,1,,
Q91Y10,Q91Y10_MOUSE,2.0,,,,,,,1,1,,
Q91Y11,PCDA9_MOUSE,2.0,,,,,,,1,1,,
Q9Y5H1,PCDG2_HUMAN,2.0,,,,,,,1,1,,
Q9Y5H2,PCDGB_HUMAN,2.0,,,,,,,1,1,,
Q9Y5H3,PCDGA_HUMAN,2.0,,,,,,,1,1,,
Q9Y5H4,PCDG1_HUMAN,2.0,,,,,,,1,1,,
Q9UN72,PCDA7_HUMAN,2.0,,,,,,,1,1,,
Q9Y5G8,PCDG5_HUMAN,2.0,,,,,,,1,1,,
Q91XZ7,Q91XZ7_MOUSE,2.0,,,,,,,1,1,,
Q9UN73,PCDA6_HUMAN,2.0,,,,,,,1,1,,
Q9UN74,PCDA4_HUMAN,2.0,,,,,,,1,1,,
Q9Y5G5,PCDG8_HUMAN,2.0,,,,,,,1,1,,
Q9Y5G6,PCDG7_HUMAN,2.0,,,,,,,1,1,,
Q91Y21,Q91Y21_MOUSE,2.0,,,,,,,1,1,,
Q9Y5G2,PCDGE_HUMAN,2.0,,,,,,,1,1,,
Q9Y5E2,PCDB7_HUMAN,2.0,,,,,,,1,1,,
Q8K4A2,Q8K4A2_MOUSE,2.0,,,,,,,1,1,,
Q91Y17,Q91Y17_MOUSE,2.0,,,,,,,1,1,,
Q91Y20,PCDAA_MOUSE,2.0,,,,,,,1,1,,
Q91Y19,Q91Y19_MOUSE,2.0,,,,,,,1,1,,
Q9Y5H5,PCDA9_HUMAN,2.0,,,,,,,1,1,,
Q9Y5G3,PCDGD_HUMAN,2.0,,,,,,,1,1,,
Q91Y18,Q91Y18_MOUSE,2.0,,,,,,,1,1,,
Q8CHE5,Q8CHE5_MOUSE,2.0,,,,,,,1,1,,
B5AK96,B5AK96_MOUSE,1.0,,,,,,,,1,,
B4DSB6,B4DSB6_HUMAN,1.0,,,,,,,,1,,
B5AK97,B5AK97_MOUSE,1.0,,,,,,,,1,,
B5DEL4,B5DEL4_RAT,1.0,,,,,,,,1,,
Q9Y5G1,PCDGF_HUMAN,1.0,,,,,,,,1,,
B4DW32,B4DW32_HUMAN,1.0,,,,,,,,1,,
Q9Y5F2,PCDBB_HUMAN,1.0,,,,,,,,1,,
B9EJ65,B9EJ65_MOUSE,1.0,,,,,,,,1,,
Q9Y5G4,PCDG9_HUMAN,1.0,,,,,,,,1,,
B3DGN6,B3DGN6_DANRE,1.0,,,,,,,,1,,
Q9Y5G7,PCDG6_HUMAN,1.0,,,,,,,,1,,
B3KU71,B3KU71_HUMAN,1.0,,,,,,,,1,,
Q9Y5G0,PCDGH_HUMAN,1.0,,,,,,,,1,,
B3KPI2,B3KPI2_HUMAN,1.0,,,,,,,,1,,
B5TR11,B5TR11_XENLA,1.0,,,,,,,,1,,
Q8CCS3,Q8CCS3_MOUSE,1.0,,,,,,,,1,,
B9EJ92,B9EJ92_MOUSE,1.0,,,,,,,,1,,
Q0IHW5,Q0IHW5_XENTR,1.0,,,,,,,,1,,
Q147Z9,Q147Z9_MOUSE,1.0,,,,,,,,1,,
Q14DQ9,Q14DQ9_MOUSE,1.0,,,,,,,,1,,
Q14DV7,Q14DV7_HUMAN,1.0,,,,,,,,1,,
Q284V9,Q284V9_XENLA,1.0,,,,,,,,1,,
Q2M272,Q2M272_HUMAN,1.0,,,,,,,,1,,
Q2M3R2,Q2M3R2_HUMAN,1.0,,,,,,,,1,,
Q9Y5E1,PCDB9_HUMAN,1.0,,,,,,,,1,,
Q3SY74,Q3SY74_HUMAN,1.0,,,,,,,,1,,
Q3TZ28,Q3TZ28_MOUSE,1.0,,,,,,,,1,,
Q3UQY8,Q3UQY8_MOUSE,1.0,,,,,,,,1,,
Q3UTF9,Q3UTF9_MOUSE,1.0,,,,,,,,1,,
Q3UTG9,Q3UTG9_MOUSE,1.0,,,,,,,,1,,
Q3UTK9,Q3UTK9_MOUSE,1.0,,,,,,,,1,,
Q3UTP0,Q3UTP0_MOUSE,1.0,,,,,,,,1,,
Q3V7A3,Q3V7A3_9PRIM,1.0,,,,,,,,1,,
Q3V7A4,Q3V7A4_9PRIM,1.0,,,,,,,,1,,
Q3V7A5,Q3V7A5_9PRIM,1.0,,,,,,,,1,,
Q3V7A6,Q3V7A6_9PRIM,1.0,,,,,,,,1,,
Q3V7A7,Q3V7A7_9PRIM,1.0,,,,,,,,1,,
Q3V7A8,Q3V7A8_9PRIM,1.0,,,,,,,,1,,
Q3V7A9,Q3V7A9_9PRIM,1.0,,,,,,,,1,,
Q0V9M2,Q0V9M2_XENTR,1.0,,,,,,,,1,,
Q0IHR9,Q0IHR9_XENTR,1.0,,,,,,,,1,,
B9EKB6,B9EKB6_MOUSE,1.0,,,,,,,,1,,
Q0E9Q8,Q0E9Q8_DANRE,1.0,,,,,,,,1,,
D2GUM3,D2GUM3_AILME,1.0,,,,,,,1,,,
D2GUM7,D2GUM7_AILME,1.0,,,,,,,1,,,
D3ZE55,PCDH8_RAT,1.0,,,,,,,,1,,
D6RA20,D6RA20_HUMAN,1.0,,,,,,,1,,,
F7F4E7,F7F4E7_RAT,1.0,,,,,,,,1,,
O08963,O08963_RATRT,1.0,,,,,,,,1,,
O08965,O08965_RATRT,1.0,,,,,,,,1,,
O13129,O13129_CHICK,1.0,,,,,,,,1,,
O14917,PCD17_HUMAN,1.0,,,,,,,,1,,
O35100,O35100_RATRT,1.0,,,,,,,,1,,
O88190,O88190_MOUSE,1.0,,,,,,,,1,,
O88191,O88191_MOUSE,1.0,,,,,,,,1,,
O88192,O88192_MOUSE,1.0,,,,,,,,1,,
O88193,O88193_MOUSE,1.0,,,,,,,,1,,
O88194,O88194_MOUSE,1.0,,,,,,,,1,,
O88195,O88195_MOUSE,1.0,,,,,,,,1,,
Q9Y5E4,PCDB5_HUMAN,1.0,,,,,,,,1,,
O93509,O93509_XENLA,1.0,,,,,,,,1,,
O95883,O95883_HUMAN,1.0,,,,,,,,1,,
Q05C01,Q05C01_MOUSE,1.0,,,,,,,,1,,
Q0D2E1,Q0D2E1_XENTR,1.0,,,,,,,,1,,
F7F4G8,F7F4G8_RAT,1.0,,,,,,,,1,,
B2R951,B2R951_HUMAN,1.0,,,,,,,,1,,
B3DGM5,B3DGM5_DANRE,1.0,,,,,,,,1,,
B3DGM3,B3DGM3_DANRE,1.0,,,,,,,,1,,
A4KCN4,A4KCN4_TAKRU,1.0,,,,,,,1,,,
A4KCN5,A4KCN5_TAKRU,1.0,,,,,,,1,,,
A4KCN6,A4KCN6_TAKRU,1.0,,,,,,,1,,,
A4KCN8,A4KCN8_TAKRU,1.0,,,,,,,1,,,
A4QMV0,A4QMV0_MOUSE,1.0,,,,,,,,1,,
Q9Y5I2,PCDAA_HUMAN,1.0,,,,,,,,1,,
A5Y5L7,A5Y5L7_CHICK,1.0,,,,,,,,1,,
A6QPE9,A6QPE9_BOVIN,1.0,,,,,,,,1,,
Q9Y5H8,PCDA3_HUMAN,1.0,,,,,,,,1,,
A7MB46,PCD18_BOVIN,1.0,,,,,,,,1,,
A7RRZ9,A7RRZ9_NEMVE,1.0,,,,,,,1,,,
A7SHT2,A7SHT2_NEMVE,1.0,,,,,,,1,,,
