,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00550000074398,YGLFQIR,TF324882,EOG7BW0M5,NOG73924,HOG000037357,HBG052297,NA,Q96KX0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D925,LYZL4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9D925,LYZL4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q96KX0,LYZL4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96KX0,LYZL4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6B411,LYSM_BOVIN,5.0,,1,,1,1,,1,1,,
Q9CPX3,LYZL1_MOUSE,5.0,,1,,1,1,,1,1,,
Q06284,LYSC3_BOVIN,5.0,,1,,1,1,,1,1,,
Q06285,LYSC1_BOVIN,5.0,,1,,1,1,,1,1,,
Q24JW2,Q24JW2_DANRE,5.0,,1,,1,1,,1,1,,
P08905,LYZ2_MOUSE,5.0,,1,,1,1,,1,1,,
Q6B410,LYSI_BOVIN,5.0,,1,,1,1,,1,1,,
Q7Z4W2,LYZL2_HUMAN,5.0,,1,,1,1,,1,1,,
Q6UWQ5,LYZL1_HUMAN,5.0,,1,,1,1,,1,1,,
P80189,LYSCN_BOVIN,5.0,,1,,1,1,,1,1,,
Q8BM26,Q8BM26_MOUSE,5.0,,1,,1,1,,1,1,,
Q8IXA5,SACA3_HUMAN,5.0,,1,,1,1,,1,1,,
Q96QH8,LYZL5_HUMAN,5.0,,1,,1,1,,1,1,,
Q9DA11,LYZL6_MOUSE,5.0,,1,,1,1,,1,1,,
Q9D9X8,SACA3_MOUSE,5.0,,1,,1,1,,1,1,,
A2AE20,LYZL5_MOUSE,5.0,,1,,1,1,,1,1,,
O75951,LYZL6_HUMAN,5.0,,1,,1,1,,1,1,,
Q06283,LYSC2_BOVIN,5.0,,1,,1,1,,1,1,,
P30201,LYSC_MACMU,5.0,,1,,1,1,,1,1,,
P00713,LALBA_CAVPO,5.0,,1,,1,1,,1,1,,
P00711,LALBA_BOVIN,5.0,,1,,1,1,,1,1,,
A0JNM6,LYZL1_BOVIN,5.0,,1,,1,1,,1,1,,
P00709,LALBA_HUMAN,5.0,,1,,1,1,,1,1,,
P61626,LYSC_HUMAN,5.0,,1,,1,1,,1,1,,
P17897,LYZ1_MOUSE,5.0,,1,,1,1,,1,1,,
D4ABW7,D4ABW7_RAT,5.0,,1,1,1,1,,,,,1
D4ABW7,D4ABW7_RAT,5.0,,1,1,1,1,,,,,1
P00698,LYSC_CHICK,5.0,,1,,1,1,,1,1,,
P29752,LALBA_MOUSE,5.0,,1,,1,1,,1,1,,
P12068,LYSC2_PIG,4.0,,1,,1,1,,,1,,
P18137,LALBA_PIG,4.0,,1,,1,1,,,1,,
P00703,LYSC_MELGA,4.0,,1,,1,1,,,1,,
G1L403,G1L403_AILME,4.0,,1,1,1,1,,,,,
H0XY17,H0XY17_OTOGA,4.0,,1,1,1,1,,,,,
H0W7P4,H0W7P4_CAVPO,4.0,,1,1,1,1,,,,,
G1R1F8,G1R1F8_NOMLE,4.0,,1,1,1,1,,,,,
I3NE01,I3NE01_SPETR,4.0,,1,1,1,1,,,,,
G1T4Q1,G1T4Q1_RABIT,4.0,,1,1,1,1,,,,,
Q4RZF0,Q4RZF0_TETNG,4.0,,1,,1,1,,,1,,
Q32PD6,LYZL5_BOVIN,4.0,,1,,1,1,,,1,,
G3RHB9,G3RHB9_GORGO,4.0,,1,1,1,1,,,,,
G3SM46,G3SM46_LOXAF,4.0,,1,1,1,1,,,,,
H2QMD2,H2QMD2_PANTR,4.0,,1,1,1,1,,,,,
P79158,LYSC_CALJA,4.0,,,,1,1,,1,1,,
H2PB27,H2PB27_PONAB,4.0,,1,1,1,1,,,,,
G3X7E0,G3X7E0_BOVIN,4.0,,1,1,1,1,,,,,
G1PFK1,G1PFK1_MYOLU,4.0,,1,1,1,1,,,,,
P00716,LALBA_RABIT,4.0,,1,,,1,,1,1,,
F6QGN0,F6QGN0_CALJA,4.0,,1,1,1,1,,,,,
D2HWT5,D2HWT5_AILME,4.0,,1,,1,1,,1,,,
B6VH75,SACA3_CANFA,4.0,,1,,1,1,,1,,,
F1SRG9,F1SRG9_PIG,4.0,,1,1,1,1,,,,,
F6WRF5,F6WRF5_MACMU,4.0,,1,1,1,1,,,,,
F6ZMI7,F6ZMI7_HORSE,4.0,,1,1,1,1,,,,,
H2NTE7,H2NTE7_PONAB,3.0,,1,,1,1,,,,,
F1PTQ7,F1PTQ7_CANFA,3.0,,1,,1,1,,,,,
F1MES9,F1MES9_BOVIN,3.0,,1,,1,1,,,,,
H2NA30,H2NA30_PONAB,3.0,,1,,1,1,,,,,
H2NA37,H2NA37_PONAB,3.0,,1,,1,1,,,,,
H2NH48,H2NH48_PONAB,3.0,,1,,1,1,,,,,
H2NI05,H2NI05_PONAB,3.0,,1,,1,1,,,,,
F7CJ99,F7CJ99_ORNAN,3.0,,1,,1,1,,,,,
H2NVE4,H2NVE4_PONAB,3.0,,1,,1,1,,,,,
H0XR14,H0XR14_OTOGA,3.0,,1,,1,1,,,,,
F1MC59,F1MC59_BOVIN,3.0,,1,,1,1,,,,,
H2PVH6,H2PVH6_PONAB,3.0,,1,,1,1,,,,,
F1MBE4,F1MBE4_BOVIN,3.0,,1,,1,1,,,,,
H2Q1S7,H2Q1S7_PANTR,3.0,,1,,1,1,,,,,
H0XRV5,H0XRV5_OTOGA,3.0,,1,,1,1,,,,,
H0WRP0,H0WRP0_OTOGA,3.0,,1,,1,1,,,,,
H0XQ75,H0XQ75_OTOGA,3.0,,1,,1,1,,,,,
H0XND8,H0XND8_OTOGA,3.0,,1,,1,1,,,,,
H2QCQ9,H2QCQ9_PANTR,3.0,,1,,1,1,,,,,
F1RKX1,F1RKX1_PIG,3.0,,1,,1,1,,,,,
H0W0R8,H0W0R8_CAVPO,3.0,,1,,1,1,,,,,
H0VJT0,H0VJT0_CAVPO,3.0,,1,,1,1,,,,,
H0V4J3,H0V4J3_CAVPO,3.0,,1,,1,1,,,,,
H0UWM3,H0UWM3_CAVPO,3.0,,1,,1,1,,,,,
H0UUM2,H0UUM2_CAVPO,3.0,,1,,1,1,,,,,
H0UTJ5,H0UTJ5_CAVPO,3.0,,1,,1,1,,,,,
G5E502,G5E502_BOVIN,3.0,,1,,1,1,,,,,
F1RRQ9,F1RRQ9_PIG,3.0,,1,,1,1,,,,,
F1RWE4,F1RWE4_PIG,3.0,,1,,1,1,,,,,
F6PPX7,F6PPX7_HORSE,3.0,,1,,1,1,,,,,
G3VQQ8,G3VQQ8_SARHA,3.0,,1,,1,1,,,,,
H2Q5T5,H2Q5T5_PANTR,3.0,,1,,1,1,,,,,
H2QYJ5,H2QYJ5_PANTR,3.0,,1,,1,1,,,,,
F1M8E9,F1M8E9_RAT,3.0,,1,,1,1,,,,,
M3WAH3,M3WAH3_FELCA,3.0,,1,1,,1,,,,,
K7G7U1,K7G7U1_PELSI,3.0,,1,,1,1,,,,,
K7G9M7,K7G9M7_PELSI,3.0,,1,,1,1,,,,,
E2RR82,E2RR82_CANFA,3.0,,1,,1,1,,,,,
E1BG16,E1BG16_BOVIN,3.0,,1,,1,1,,,,,
K7GD48,K7GD48_PELSI,3.0,,1,,1,1,,,,,
K7GD91,K7GD91_PELSI,3.0,,1,,1,1,,,,,
M3YK10,M3YK10_MUSPF,3.0,,1,1,,1,,,,,
F1M6E7,F1M6E7_RAT,3.0,,1,,1,1,,,,,
E1BBW5,E1BBW5_BOVIN,3.0,,1,,1,1,,,,,
D5K891,D5K891_PIG,3.0,,1,,1,1,,,,,
D4A0W2,D4A0W2_RAT,3.0,,1,,1,1,,,,,
D4A0W0,D4A0W0_RAT,3.0,,1,,1,1,,,,,
D3ZSK1,D3ZSK1_RAT,3.0,,1,,1,1,,,,,
C3V6M9,C3V6M9_ORYLA,3.0,,1,,1,1,,,,,
J9P340,J9P340_CANFA,3.0,,1,,1,1,,,,,
I3NDP2,I3NDP2_SPETR,3.0,,1,,1,1,,,,,
G3U9V6,G3U9V6_LOXAF,3.0,,1,,1,1,,,,,
H9GKL4,H9GKL4_ANOCA,3.0,,1,,1,1,,,,,
H2R791,H2R791_PANTR,3.0,,1,,1,1,,,,,
H2R7R3,H2R7R3_PANTR,3.0,,1,,1,1,,,,,
H2SSC3,H2SSC3_TAKRU,3.0,,1,,1,1,,,,,
H3AT74,H3AT74_LATCH,3.0,,1,,1,1,,,,,
H3BCX6,H3BCX6_LATCH,3.0,,1,,1,1,,,,,
H9GKE7,H9GKE7_ANOCA,3.0,,1,,1,1,,,,,
F1M7M1,F1M7M1_RAT,3.0,,1,,1,1,,,,,
I3N9L2,I3N9L2_SPETR,3.0,,1,,1,1,,,,,
H9GKL7,H9GKL7_ANOCA,3.0,,1,,1,1,,,,,
H9GX31,H9GX31_CANFA,3.0,,1,,1,1,,,,,
I3M7I3,I3M7I3_SPETR,3.0,,1,,1,1,,,,,
I3M8P0,I3M8P0_SPETR,3.0,,1,,1,1,,,,,
I3MI98,I3MI98_SPETR,3.0,,1,,1,1,,,,,
I3N6D0,I3N6D0_SPETR,3.0,,1,,1,1,,,,,
G3VEF8,G3VEF8_SARHA,3.0,,1,,1,1,,,,,
G3TRP6,G3TRP6_LOXAF,3.0,,1,,1,1,,,,,
G3U6D0,G3U6D0_LOXAF,3.0,,1,,1,1,,,,,
G1LGN8,G1LGN8_AILME,3.0,,1,,1,1,,,,,
G1KF22,G1KF22_ANOCA,3.0,,1,,1,1,,,,,
G1KF47,G1KF47_ANOCA,3.0,,1,,1,1,,,,,
G1KFS6,G1KFS6_ANOCA,3.0,,1,,1,1,,,,,
G1KVM9,G1KVM9_ANOCA,3.0,,1,,1,1,,,,,
F6Z1V8,F6Z1V8_XENTR,3.0,,1,,1,1,,,,,
F6YP75,F6YP75_HORSE,3.0,,1,,1,1,,,,,
G1LLA2,G1LLA2_AILME,3.0,,1,,1,1,,,,,
G1K230,G1K230_BOVIN,3.0,,1,,1,1,,,,,
G1LZC7,G1LZC7_AILME,3.0,,1,,1,1,,,,,
