,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09648,ENSGT00550000075044,DCVGYVA,TF315065,EOG7DC25T,COG0681,NA,HBG081792,NA,Q96T52
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96T52,IMP2L_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q96T52,IMP2L_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q8BPT6,IMP2L_MOUSE,7.0,1,1,1,1,1,1,,1,,
Q4QQ12,Q4QQ12_DROME,6.0,1,1,1,,1,1,,,,1
P46972,IMP2_YEAST,5.0,1,1,1,,,1,,,,1
H2PN80,H2PN80_PONAB,5.0,1,1,1,1,1,,,,,
Q9N371,Q9N371_CAEEL,5.0,1,1,,,1,1,,,,1
F6RN87,F6RN87_MACMU,5.0,1,1,1,1,1,,,,,
F7GH07,F7GH07_MONDO,5.0,1,1,1,1,1,,,,,
H0Z597,H0Z597_TAEGU,5.0,1,1,1,1,1,,,,,
Q6AZD4,IMP2L_DANRE,5.0,1,1,,,,1,,1,,1
H2QV89,H2QV89_PANTR,5.0,1,1,1,1,1,,,,,
Q7PT24,Q7PT24_ANOGA,5.0,1,,1,,1,1,,,,1
Q2KI92,IMP2L_BOVIN,5.0,,1,,1,1,1,,1,,
Q9S724,Q9S724_ARATH,4.0,1,,1,,,1,,,,1
B4PA37,B4PA37_DROYA,4.0,1,,1,,1,1,,,,
B4MEA1,B4MEA1_DROVI,4.0,1,,1,,1,1,,,,
B4MPJ0,B4MPJ0_DROWI,4.0,1,,1,,1,1,,,,
G3VNA1,G3VNA1_SARHA,4.0,,1,1,1,1,,,,,
Q17L88,Q17L88_AEDAE,4.0,1,,1,,1,1,,,,
B4J956,B4J956_DROGR,4.0,1,,1,,1,1,,,,
B7P2A0,B7P2A0_IXOSC,4.0,1,,,,1,1,,,,1
H2L5C6,H2L5C6_ORYLA,4.0,1,1,,1,1,,,,,
B0X901,B0X901_CULQU,4.0,1,,1,,1,1,,,,
H0XH53,H0XH53_OTOGA,4.0,,1,1,1,1,,,,,
A7SSJ7,A7SSJ7_NEMVE,4.0,1,,,,1,1,,,,1
F7DWS9,F7DWS9_HORSE,3.0,,1,,1,1,,,,,
F6WS92,F6WS92_CIOIN,3.0,,1,,1,1,,,,,
A4D0S9,A4D0S9_HUMAN,3.0,1,,1,,,,,1,,
G3NZJ6,G3NZJ6_GASAC,3.0,,1,,1,1,,,,,
B3MIU0,B3MIU0_DROAN,3.0,1,,,,1,1,,,,
