,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000111173,WNQRGQK,TF323893,EOG7RJPSZ,COG4642,HOG000000688,HBG054330,NA,Q8NDC4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5ZK06,Q5ZK06_CHICK,8.0,,1,1,1,1,1,1,1,,1
Q5BJS9,MORN4_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8NDC4,MORN4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q566N4,Q566N4_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q8NDC4,MORN4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5BJS9,MORN4_RAT,8.0,,1,1,1,1,1,1,1,,1
Q6PGF2,MORN4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q0VD26,MORN4_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q7PH89,Q7PH89_ANOGA,5.0,,,1,,1,1,1,,,1
Q7PH89,Q7PH89_ANOGA,5.0,,,1,,1,1,1,,,1
Q5R578,MORN4_PONAB,5.0,,1,1,1,1,,,1,,
F1S8X8,F1S8X8_PIG,4.0,,1,1,1,1,,,,,
F7G9G4,F7G9G4_MONDO,4.0,,1,1,1,1,,,,,
F7GDK5,F7GDK5_MACMU,4.0,,1,1,1,1,,,,,
H3AP12,H3AP12_LATCH,4.0,,1,1,1,1,,,,,
G1KBC1,G1KBC1_ANOCA,4.0,,1,1,1,1,,,,,
H3CAP1,H3CAP1_TETNG,4.0,,1,1,1,1,,,,,
G1NBP1,G1NBP1_MELGA,4.0,,1,1,1,1,,,,,
G1PDI3,G1PDI3_MYOLU,4.0,,1,1,1,1,,,,,
G1STU6,G1STU6_RABIT,4.0,,1,1,1,1,,,,,
F6UBK3,F6UBK3_HORSE,4.0,,1,1,1,1,,,,,
H2TAJ4,H2TAJ4_TAKRU,4.0,,1,1,1,1,,,,,
G3X0V1,G3X0V1_SARHA,4.0,,1,1,1,1,,,,,
E2RBY1,E2RBY1_CANFA,4.0,,1,1,1,1,,,,,
D2H5K5,D2H5K5_AILME,4.0,,1,,1,1,,1,,,
I3N005,I3N005_SPETR,4.0,,1,1,1,1,,,,,
H0W3A6,H0W3A6_CAVPO,4.0,,1,1,1,1,,,,,
H0ZH51,H0ZH51_TAEGU,4.0,,1,1,1,1,,,,,
B0WIW1,B0WIW1_CULQU,4.0,,,1,,1,1,1,,,
Q17PB7,Q17PB7_AEDAE,4.0,,,1,,1,1,1,,,
A7RYL4,A7RYL4_NEMVE,4.0,,,,,1,1,1,,,1
G3NX59,G3NX59_GASAC,4.0,,1,1,1,1,,,,,
G3RGW1,G3RGW1_GORGO,3.0,,1,,1,1,,,,,
G9KB34,G9KB34_MUSPF,3.0,,1,1,,1,,,,,
G3TPA5,G3TPA5_LOXAF,3.0,,1,,1,1,,,,,
H0WZ85,H0WZ85_OTOGA,3.0,,1,,1,1,,,,,
H2L2V0,H2L2V0_ORYLA,3.0,,1,,1,1,,,,,
H2Q2D3,H2Q2D3_PANTR,3.0,,1,,1,1,,,,,
H2SQX1,H2SQX1_TAKRU,3.0,,1,,1,1,,,,,
G1RVN1,G1RVN1_NOMLE,3.0,,1,1,,1,,,,,
H3CHS2,H3CHS2_TETNG,3.0,,1,,1,1,,,,,
I3KPP0,I3KPP0_ORENI,3.0,,,1,1,1,,,,,
C3ZTM9,C3ZTM9_BRAFL,3.0,,,1,,,1,,,,1
M3WZ19,M3WZ19_FELCA,3.0,,1,1,,1,,,,,
B4PV68,B4PV68_DROYA,3.0,,,1,,1,1,,,,
B4NI67,B4NI67_DROWI,3.0,,,1,,1,1,,,,
B4M4X8,B4M4X8_DROVI,3.0,,,1,,1,1,,,,
B4JSP7,B4JSP7_DROGR,3.0,,,1,,1,1,,,,
M3ZJY4,M3ZJY4_XIPMA,3.0,,1,1,,1,,,,,
Q9VN91,Q9VN91_DROME,3.0,,1,1,,,,,,,1
A6XB87,A6XB87_HUMAN,3.0,,,1,,,,1,1,,
H3HP23,H3HP23_STRPU,2.0,,,1,,1,,,,,
M3ZTW8,M3ZTW8_XIPMA,2.0,,1,,,1,,,,,
Q32KM6,MORN3_BOVIN,2.0,,,,1,,1,,,,
I3IUN7,I3IUN7_ORENI,2.0,,,,1,1,,,,,
W5PMZ1,W5PMZ1_SHEEP,2.0,,1,1,,,,,,,
G3TU49,G3TU49_LOXAF,2.0,,1,1,,,,,,,
B5YNI9,B5YNI9_THAPS,2.0,,,,,,1,1,,,
A2EU28,A2EU28_TRIVA,2.0,,,,,,1,,,,1
A9V4L6,A9V4L6_MONBE,2.0,,,,,,1,,,,1
B2RYT2,B2RYT2_RAT,2.0,,,,,,1,1,,,
B3M170,B3M170_DROAN,2.0,,,,,1,1,,,,
B3STU0,B3STU0_RAT,2.0,,,1,,,,,1,,
B4KCM3,B4KCM3_DROMO,2.0,,,1,,1,,,,,
B8C9D2,B8C9D2_THAPS,2.0,,,,,,1,,,,1
G3RM33,G3RM33_GORGO,2.0,,1,1,,,,,,,
B8HRI5,B8HRI5_CYAP4,2.0,,,,,,1,1,,,
W5N577,W5N577_LEPOC,2.0,,1,1,,,,,,,
F7C4R4,F7C4R4_CALJA,2.0,,1,1,,,,,,,
F7C4W1,F7C4W1_CALJA,2.0,,1,,1,,,,,,
F7E5T4,F7E5T4_ORNAN,2.0,,1,,,1,,,,,
G1KZQ8,G1KZQ8_AILME,2.0,,1,1,,,,,,,
Q4T0Z7,Q4T0Z7_TETNG,2.0,,,,,,1,,1,,
D7EIQ0,D7EIQ0_TRICA,2.0,,,1,,1,,,,,
Q8C5T4,MORN3_MOUSE,2.0,,,,1,,1,,,,
U3K176,U3K176_FICAL,2.0,,1,1,,,,,,,
Q6PF18,MORN3_HUMAN,2.0,,,,1,,1,,,,
W5K3U9,W5K3U9_ASTMX,2.0,,1,1,,,,,,,
Q57U01,Q57U01_TRYB2,1.0,,,,,,1,,,,
B4J9K6,B4J9K6_DROGR,1.0,,,,,,1,,,,
B3RZR6,B3RZR6_TRIAD,1.0,,,,,,1,,,,
B3S2M3,B3S2M3_TRIAD,1.0,,,,,,1,,,,
B3S7L4,B3S7L4_TRIAD,1.0,,,,,,1,,,,
Q9VK29,Q9VK29_DROME,1.0,,,,,,1,,,,
B4GFE9,B4GFE9_DROPE,1.0,,,,,1,,,,,
B4I3X3,B4I3X3_DROSE,1.0,,,,,1,,,,,
B4ITC6,B4ITC6_DROYA,1.0,,,,,,1,,,,
B4IYU6,B4IYU6_DROGR,1.0,,,,,,1,,,,
B4JA56,B4JA56_DROGR,1.0,,,,,,1,,,,
B3RI84,B3RI84_TRIAD,1.0,,,,,,1,,,,
Q9SUI2,PI5K7_ARATH,1.0,,,,,,1,,,,
Q9SLG9,PI5K5_ARATH,1.0,,,,,,1,,,,
B4LD91,B4LD91_DROVI,1.0,,,,,,1,,,,
B4LL01,B4LL01_DROVI,1.0,,,,,,1,,,,
B4LT09,B4LT09_DROVI,1.0,,,,,,1,,,,
Q9SFB8,PI5K6_ARATH,1.0,,,,,,1,,,,
B4MNG2,B4MNG2_DROWI,1.0,,,,,,1,,,,
B4MU29,B4MU29_DROWI,1.0,,,,,,1,,,,
B4MYJ2,B4MYJ2_DROWI,1.0,,,,,,1,,,,
B3RTM5,B3RTM5_TRIAD,1.0,,,,,,1,,,,
B3P2A4,B3P2A4_DROER,1.0,,,,,1,,,,,
B3PCZ4,B3PCZ4_CELJU,1.0,,,,,,1,,,,
B4P2M5,B4P2M5_DROYA,1.0,,,,,,1,,,,
B0SPN0,B0SPN0_LEPBP,1.0,,,,,,1,,,,
B0SQU4,B0SQU4_LEPBP,1.0,,,,,,1,,,,
B0SRP8,B0SRP8_LEPBP,1.0,,,,,,1,,,,
